REGIAO:;CO
UF:;DF
ESTACAO:;BRAZLANDIA
CODIGO (WMO):;A042
LATITUDE:;-15,59972221
LONGITUDE:;-48,1311111
ALTITUDE:;1143
DATA DE FUNDACAO:;19/07/17
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;0;887,2;887,2;886,6;;20,1;18,5;20,1;19,7;18,6;18,2;92;90;91;26;2,9;1,3;
2025/01/01;0100 UTC;0;887,5;887,5;887,2;;20;18;20,2;20;18,6;18;91;87;88;13;2,7;,5;
2025/01/01;0200 UTC;0;887,9;888;887,4;;20,2;18,2;20,2;20;18,3;18;89;88;88;347;3,1;1,2;
2025/01/01;0300 UTC;0;887,4;887,9;887,4;;19,9;18;20,2;19,8;18,2;18;89;88;89;22;3,6;,3;
2025/01/01;0400 UTC;0;887,1;887,4;887,1;;20,1;17,6;20,1;19,8;18;17,6;89;85;86;40;2,7;,1;
2025/01/01;0500 UTC;0;886,6;887,1;886,5;;19,8;17,4;20,2;19,8;17,7;17,3;87;85;86;24;1,9;,1;
2025/01/01;0600 UTC;0;886,5;886,6;886,5;;19,8;17,8;19,9;19,6;17,8;17,4;89;86;88;71;1,8;0;
2025/01/01;0700 UTC;0;886,3;886,5;886,2;;19,9;17,6;19,9;19,6;17,8;17,6;88;86;86;97;1,1;0;
2025/01/01;0800 UTC;0;886,5;886,5;886,3;;19,9;17,8;20;19,6;17,8;17,5;89;86;88;146;1,4;,1;
2025/01/01;0900 UTC;0;887;887;886,5;3;19,8;17,7;20,1;19,8;17,8;17,6;88;85;88;118;1,7;0;
