REGIAO:;CO
UF:;GO
ESTACAO:;IPORA
CODIGO (WMO):;A028
LATITUDE:;-16,42305554
LONGITUDE:;-51,14888888
ALTITUDE:;610,41
DATA DE FUNDACAO:;24/06/13
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;0;942,6;942,7;942;;23,5;22,6;23,9;23,4;23;22,6;95;94;95;29;3,1;1,5;
2025/01/01;0100 UTC;0;943,2;943,2;942,6;;23,3;22;23,6;23,3;22,7;22;95;91;92;351;2,9;1,3;
2025/01/01;0200 UTC;0;943,6;943,6;943,2;;23,2;22;23,3;22,7;22,3;22;96;92;93;27;2,8;1,8;
2025/01/01;0300 UTC;0;943,1;943,6;943,1;;22,8;21,9;23,2;22,6;22,1;21,8;96;93;95;11;3,9;2,1;
2025/01/01;0400 UTC;0;943;943,1;943;;22,5;21,7;22,7;22,5;21,9;21,7;96;95;96;21;3,4;1,6;
2025/01/01;0500 UTC;0;942,8;943;942,8;;22,4;21,9;22,5;22,2;21,9;21,7;97;96;97;24;2,6;,5;
2025/01/01;0600 UTC;0;942,4;942,8;942,4;;21,9;21,7;22,5;21,7;21,9;21,5;99;96;99;82;1,7;,5;
2025/01/01;0700 UTC;0;942,3;942,5;942,3;;22,2;21,9;22,3;21,9;22;21,8;99;98;98;24;1,1;,8;
2025/01/01;0800 UTC;0;942,8;942,8;942,3;;22,6;22,1;22,6;22,1;22,1;21,7;98;97;97;115;1,3;,8;
2025/01/01;0900 UTC;0;943,6;943,6;942,8;,8;22,4;21,8;22,7;22,4;22,1;21,8;98;96;96;360;1,5;,6;
2025/01/01;1000 UTC;0;944,2;944,2;943,6;230,9;23,8;22,2;23,8;22,4;22,5;21,7;97;91;91;21;2;,6;
2025/01/01;1100 UTC;0;944,8;944,8;944,2;843,5;24,1;21,5;25,2;23,7;22,6;21,2;91;82;85;338;2,4;1,2;
2025/01/01;1200 UTC;0;945,2;945,2;944,8;1101,4;25,6;22,4;25,6;24,1;22,6;21,6;88;81;82;317;2,7;1;
2025/01/01;1300 UTC;0;945,3;945,3;945,2;2009,5;26,7;22,4;27;25,1;23;21,7;85;76;78;305;4,7;2,5;
2025/01/01;1400 UTC;0;945;945,3;945;2560,3;27,6;22,8;28,2;26,2;23,3;21,7;79;70;75;1;6,5;2,9;
2025/01/01;1500 UTC;0;944,3;945;944,3;2714,7;28,6;21,4;29,2;27,4;22,9;21;76;64;65;356;7,5;3,8;
2025/01/01;1600 UTC;0;943,7;944,3;943,7;3376,2;29,6;21,2;29,6;28,1;22,2;20,9;68;61;61;346;7,7;3,8;
2025/01/01;1700 UTC;0;942,4;943,7;942,4;3693,9;29,7;21,3;30,4;29,1;22,9;20,4;66;58;61;334;8;4,8;
2025/01/01;1800 UTC;0;941,5;942,4;941,5;3345,8;30;21;30,7;29,6;22,1;20,7;62;56;59;350;8,3;3,6;
2025/01/01;1900 UTC;0;940,8;941,5;940,8;2223,9;29;21,3;30,4;28,9;22,1;20,8;63;58;63;330;7,1;3,8;
2025/01/01;2000 UTC;0;940;940,8;940;1553,3;29,5;21,3;30,1;29;22,4;20,6;66;58;61;6;6,4;2,6;
2025/01/01;2100 UTC;0;940,3;940,3;940;988,9;29,3;21,8;29,9;28,9;22,1;20,7;64;59;64;328;5,5;2,6;
2025/01/01;2200 UTC;0;941,1;941,1;940,3;209,7;27,4;22,3;29,3;27,4;22,3;21,3;74;62;74;345;4,4;1,1;
2025/01/01;2300 UTC;0;941,4;941,4;941,1;;26,1;22,4;27,3;26,1;22,8;22,2;81;74;80;360;2,5;1,6;
2025/01/02;0000 UTC;0;942,3;942,3;941,4;;25,6;22,4;26,2;25,2;22,9;22,3;87;79;82;70;3,2;1,1;
2025/01/02;0100 UTC;0;943,6;943,6;942,3;;25,4;22,3;25,6;25,4;22,4;22;83;80;83;347;2,9;1,6;
2025/01/02;0200 UTC;0;943,4;943,7;943,4;;24,8;22,1;25,4;24,8;22,3;21,7;85;80;85;11;2,8;1,4;
2025/01/02;0300 UTC;0;943,7;943,8;943,4;;24,2;21,8;25;24;22,2;21,6;89;81;87;50;3;1,1;
2025/01/02;0400 UTC;0;943,4;943,7;943,4;;24,2;21,6;24,7;24;21,8;21,2;87;81;85;332;4;,9;
2025/01/02;0500 UTC;0;942,9;943,4;942,9;;23,5;21,5;24,4;23,5;21,5;21;88;82;88;168;1,7;,3;
2025/01/02;0600 UTC;0;942,4;943;942,4;;22,8;21,6;23,5;22,8;21,9;21,5;94;88;93;339;1,9;1,5;
2025/01/02;0700 UTC;0;942,3;942,5;942,2;;22,8;21,5;22,9;22,4;21,8;21,4;95;92;92;118;2,1;,9;
2025/01/02;0800 UTC;0;942,5;942,5;942,2;;22,3;21,5;22,8;22,1;21,8;21,4;97;92;95;341;2;,7;
2025/01/02;0900 UTC;0;943,3;943,3;942,5;;22,3;21,6;22,7;22,2;21,7;21,4;97;94;96;85;3,1;1,2;
2025/01/02;1000 UTC;0;944,3;944,3;943,3;63,4;23,4;22,4;23,4;22,2;22,6;21,6;98;94;94;95;4,1;2,3;
2025/01/02;1100 UTC;0;945,3;945,3;944,3;335,2;23;22;23,5;22,9;22,5;21,7;95;92;94;63;6,9;4,1;
2025/01/02;1200 UTC;,6;945,8;945,8;945,2;455;22,5;21,8;23;22,5;22,1;21,5;96;93;96;27;7,5;3,9;
2025/01/02;1300 UTC;4,4;946,3;946,3;945,8;198,3;21,4;21,1;22,5;21,3;21,8;20,9;99;94;98;23;10,5;5,3;
2025/01/02;1400 UTC;4,8;946,4;946,6;946,3;498,8;21,7;21,3;21,7;21,1;21,4;20,8;99;97;98;8;9,4;4,1;
2025/01/02;1500 UTC;,6;946,4;946,4;946,3;1440,4;22,9;20,8;23,2;21,7;22;20,7;98;87;88;328;7,9;4,3;
2025/01/02;1600 UTC;0;945,5;946,4;945,5;1670,2;22,9;20,4;23,3;22,6;21,1;20;89;83;86;319;7,5;3,6;
2025/01/02;1700 UTC;0;944,5;945,5;944,5;2310,2;23,8;20,7;24,1;22,7;21,4;20;87;82;83;338;7,4;4,3;
2025/01/02;1800 UTC;0;943;944,5;943;2285,8;24,4;20,6;24,5;23,5;21,6;20,2;85;79;79;348;7,3;3,6;
2025/01/02;1900 UTC;0;942,2;943,1;942,1;2513,3;25,4;21;25,7;23,9;21,4;19,9;82;74;77;338;6,6;2,1;
2025/01/02;2000 UTC;0;941,6;942,2;941,6;2002,2;25,8;21,1;25,8;24,8;21,1;19,1;77;69;75;343;5,6;2,3;
2025/01/02;2100 UTC;0;942,3;942,3;941,6;964;25,1;20,9;26,2;25,1;21,6;19,9;78;69;78;281;4,7;2,2;
2025/01/02;2200 UTC;0;942,9;942,9;942,3;124,6;23,5;20,4;25,1;23,5;21,2;20,3;83;78;83;323;4,3;2,2;
2025/01/02;2300 UTC;;;;;;;;;;;;;;;;;;
2025/01/03;0000 UTC;0;943,9;943,9;942,6;;22,4;21;23,2;22,4;21,1;20,5;92;85;92;279;1,1;,4;
2025/01/03;0100 UTC;0;944,8;944,9;943,9;;21,9;21,4;22,4;21,6;21,4;20,9;98;92;97;3;2,5;1;
2025/01/03;0200 UTC;0;945;945,1;944,8;;21,6;21,2;21,9;21,4;21,4;21,1;99;97;98;16;2,2;1;
2025/01/03;0300 UTC;0;944,8;945,1;944,8;;21,2;21;21,6;21,2;21,2;20,9;99;98;98;19;2,7;1,3;
2025/01/03;0400 UTC;0;944,2;944,8;944,2;;21,2;20,9;21,5;21,2;21,2;20,9;98;98;98;346;3,3;1,3;
2025/01/03;0500 UTC;0;943,9;944,2;943,9;;21,3;21,1;21,4;21,2;21,1;20,9;99;98;99;18;4,4;1,5;
2025/01/03;0600 UTC;0;943,6;943,9;943,6;;21,1;20,9;21,4;21,1;21,1;20,9;99;98;99;350;2,6;1,4;
2025/01/03;0700 UTC;0;943,8;943,8;943,6;;20,8;20,7;21,2;20,8;21;20,7;99;99;99;37;2,4;1,6;
2025/01/03;0800 UTC;0;943,6;943,9;943,5;;20,6;20,6;20,8;20,6;20,8;20,6;100;99;100;42;2,4;1,3;
2025/01/03;0900 UTC;0;944,4;944,4;943,6;,1;21,5;21,4;21,5;20,6;21,4;20,6;100;100;100;295;4,1;1,8;
2025/01/03;1000 UTC;0;945,4;945,4;944,4;144;21,8;21,5;21,8;21,5;21,5;21,3;100;98;98;356;2,9;1;
2025/01/03;1100 UTC;0;945,9;945,9;945,4;592,7;22,7;21,3;22,8;21,8;21,7;21,1;98;92;92;335;4,5;2,4;
2025/01/03;1200 UTC;0;945,9;945,9;945,7;1325,9;23,6;21,7;24,1;22,5;22;21;93;85;89;6;8,8;4;
2025/01/03;1300 UTC;0;946,5;946,5;945,9;2024,3;23,9;21,2;24,4;23,5;22;21;89;83;85;349;8,4;3,4;
2025/01/03;1400 UTC;0;946,1;946,5;946,1;2858,3;25,4;21,4;25,8;23,9;22,4;21,2;87;77;78;1;6,6;3,8;
2025/01/03;1500 UTC;0;945,5;946,1;945,5;2846,6;26;21;26,4;25,1;22,6;20,8;82;73;74;354;5,5;3;
2025/01/03;1600 UTC;0;944,7;945,5;944,7;2413,8;26,5;20,8;27,1;25,9;22;20,2;77;67;71;333;5,1;2,5;
2025/01/03;1700 UTC;0;943,7;944,7;943,7;2902,3;28;21;28,6;26,4;22;20,5;74;63;66;286;5,7;2,7;
2025/01/03;1800 UTC;0;942,2;943,7;942,2;2994,2;28,5;20,6;29;28;22;20,4;68;61;62;319;4,8;2,7;
2025/01/03;1900 UTC;0;941,4;942,3;941,4;1528,7;28,6;21;29,3;28,1;22,1;20,6;68;61;64;354;4,8;2,1;
2025/01/03;2000 UTC;0;940,7;941,5;940,7;1597;29,1;21,5;29,3;28,2;22,1;20,8;67;62;63;288;5,5;2,7;
2025/01/03;2100 UTC;0;940,6;940,8;940,5;668,3;27,9;21,6;29,1;27,9;22,1;21;70;63;68;278;5,5;1,9;
2025/01/03;2200 UTC;0;941;941,1;940,6;144,6;26,3;22,6;27,9;26,3;22,6;21,4;80;68;80;9;3,3;1,5;
2025/01/03;2300 UTC;0;941,3;941,3;940,8;;25,3;22,7;26,4;25,3;23;22,6;86;80;85;335;2,7;1,3;
2025/01/04;0000 UTC;;;;;;;;;;;;;;;;;;
2025/01/04;0100 UTC;;;;;;;;;;;;;;;;;;
2025/01/04;0200 UTC;;;;;;;;;;;;;;;;;;
2025/01/04;0300 UTC;0;944,2;944,4;944,2;;23,6;22,4;23,9;23,6;22,5;22,3;93;91;93;7;2,8;1,3;
2025/01/04;0400 UTC;,2;943,5;944,2;943,5;;23,6;22,1;24;23,6;22,5;21,9;94;89;91;338;4,4;1;
2025/01/04;0500 UTC;0;943;943,5;943;;23,4;22,7;24,1;23,3;22,7;22,1;96;89;96;5;2,8;1,2;
2025/01/04;0600 UTC;0;942,7;943;942,7;;23,7;22,6;23,8;23,4;22,7;22,3;96;91;93;51;2,1;1;
2025/01/04;0700 UTC;0;942,5;942,8;942,4;;23,5;22,3;24;23,5;22,6;22,1;93;89;93;348;1,9;,7;
2025/01/04;0800 UTC;0;942,3;942,5;942,2;;23;22,2;23,5;23;22,4;22,1;95;93;95;42;1,6;,7;
2025/01/04;0900 UTC;0;943,1;943,1;942,3;;23,5;22,3;23,5;23;22,3;22;95;92;93;342;1,6;,6;
2025/01/04;1000 UTC;0;943,4;943,5;943,1;230,5;23,9;22,7;23,9;23,4;22,8;22,2;94;91;93;18;1,7;,8;
2025/01/04;1100 UTC;0;944;944;943,4;894,8;25,6;23,2;25,8;23,9;23,6;22,6;94;85;86;338;3;1,8;
2025/01/04;1200 UTC;,6;944,4;944,4;944;1726,4;25,2;22,9;27,2;25,2;23,8;22,6;87;78;87;271;7,7;4,9;
2025/01/04;1300 UTC;,2;944,4;944,6;944,3;983,5;23,6;21,4;25,1;23,6;23,6;21,4;94;85;87;230;7,7;2,4;
2025/01/04;1400 UTC;0;943,7;944,4;943,7;2745;28,2;23,1;28,2;23,6;23,8;21,4;89;73;74;329;5,1;2,6;
2025/01/04;1500 UTC;0;943,1;943,7;943,1;2941,1;29,5;22,3;29,9;28,1;23,7;21,8;74;64;65;276;6,7;4,5;
2025/01/04;1600 UTC;0;942,7;943,1;942,7;2540,5;27,2;22,3;30,6;27,2;22,9;21,6;76;61;75;235;7,3;2,1;
2025/01/04;1700 UTC;1,8;941,9;942,7;941,9;1372;25,8;23,4;28,8;23,7;23,6;21,4;91;69;87;52;10,1;1,1;
2025/01/04;1800 UTC;0;941,4;941,9;941,3;2673,2;28,8;22,4;29,4;25,8;24,2;21,3;87;64;68;290;6,5;4,2;
2025/01/04;1900 UTC;0;940,4;941,4;940,4;1699,2;28,7;21,8;29;28,3;22,4;20,8;69;62;66;263;7,1;2,9;
2025/01/04;2000 UTC;0;940,4;940,6;940,4;878,5;27,6;21;28,8;27,5;21,8;20,2;68;62;67;294;6,2;1,7;
2025/01/04;2100 UTC;0;940,7;940,7;940,4;270;26,6;21,4;27,6;26,6;21,9;20,5;75;65;73;280;3,4;,9;
2025/01/04;2200 UTC;0;941,1;941,2;940,6;84,4;25,3;22,4;26,6;25,3;22,9;21,4;86;73;84;224;1,9;1;
2025/01/04;2300 UTC;0;941,8;941,8;941,1;;25,5;21,3;25,5;25;22,9;21,2;87;77;77;182;1,9;,6;
2025/01/05;0000 UTC;;;;;;;;;;;;;;;;;;
2025/01/05;0100 UTC;0;943,2;943,2;942,6;;24,4;21,9;24,4;23,7;22,8;21,9;93;86;86;259;2,3;1,1;
2025/01/05;0200 UTC;0;943,5;943,6;943,1;;23,4;22,6;24,7;23,4;22,7;21,5;96;84;96;39;1,7;,9;
2025/01/05;0300 UTC;0;943,3;943,6;943,3;;23,3;22,1;23,6;23,3;22,7;22,1;96;92;93;330;1,6;1;
2025/01/05;0400 UTC;0;942,8;943,3;942,8;;22,5;22,1;23,3;22,5;22,1;21,8;98;91;98;23;1,5;,8;
2025/01/05;0500 UTC;0;942,2;942,8;942,2;;22,1;21,8;22,6;22;22,2;21,7;99;97;98;9;2,9;1;
2025/01/05;0600 UTC;0;941,5;942,2;941,5;;22;21,6;22,2;22;21,8;21,5;98;96;97;29;2,7;1,3;
2025/01/05;0700 UTC;0;941,5;941,5;941,3;;22,2;21,4;22,4;22;21,7;21,4;97;95;96;113;2;,7;
2025/01/05;0800 UTC;0;941,8;941,8;941,3;;21,8;21,2;22,3;21,8;21,5;21,1;97;93;96;28;1,3;,5;
2025/01/05;0900 UTC;0;942,4;942,4;941,8;;21;20,9;21,8;21;21,2;20,9;99;96;99;336;2,6;2;
2025/01/05;1000 UTC;0;943,3;943,3;942,4;153,9;21,9;21,6;21,9;21;21,6;20,9;100;98;98;14;2,8;1,2;
2025/01/05;1100 UTC;0;944;944;943,3;560,5;23,9;22,6;23,9;21,9;22,6;21,6;98;92;92;3;2,3;1,4;
2025/01/05;1200 UTC;0;944,6;944,6;944;1534,4;25,9;23,2;26,5;23,9;23,8;22,5;93;81;85;15;8,6;4,8;
2025/01/05;1300 UTC;0;944,9;945,1;944,7;2196,6;25,4;21,9;26,2;24,5;23,3;21,9;89;80;81;359;10,8;4,5;
2025/01/05;1400 UTC;0;944,5;944,9;944,4;3275;28;22,5;28,1;25,3;22,6;21,5;83;69;72;8;8;3,8;
2025/01/05;1500 UTC;0;943,8;944,5;943,8;3674,9;28,3;21,7;29;27,6;23,1;21,2;72;65;68;11;7,8;4,2;
2025/01/05;1600 UTC;0;943,1;943,8;943,1;3805,3;29,9;21,7;30;28,1;22,9;21,2;70;62;62;340;7,5;3,2;
2025/01/05;1700 UTC;0;942;943,1;942;3234,8;30,2;22,2;30,7;28,9;23;21,5;68;60;63;359;7,4;3,2;
2025/01/05;1800 UTC;0;941;942;940,9;3014,7;29,6;21,9;30,7;29,5;22,4;20,8;65;57;63;333;6,7;3,6;
2025/01/05;1900 UTC;0;940,7;941;940,6;2153,3;30,1;21,2;31,2;29,2;22,9;20,7;68;55;59;309;6;2,6;
2025/01/05;2000 UTC;0;940,3;940,7;940,3;1057,2;29,3;21,8;30,5;29,3;22,5;21,1;66;58;64;289;4,8;2,2;
