REGIAO:;CO
UF:;GO
ESTACAO:;EDEIA
CODIGO (WMO):;A029
LATITUDE:;-17,33694444
LONGITUDE:;-49,91472222
ALTITUDE:;608
DATA DE FUNDACAO:;26/08/17
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;0;942,8;942,9;942;;22;20,9;22;21,5;21;20,7;96;93;94;327;3,2;,4;
2025/01/01;0100 UTC;0;943;943,1;942,8;;21,7;20,8;22;21,7;21;20,8;95;93;95;357;2,5;,3;
2025/01/01;0200 UTC;0;943,3;943,4;943;;22,2;21,1;22,2;21,5;21,1;20,6;95;93;94;346;3,3;1,6;
2025/01/01;0300 UTC;0;943;943,3;942,9;;22,2;21;22,3;21,8;21,2;21;95;93;93;3;3,6;1,8;
2025/01/01;0400 UTC;0;942,8;943,1;942,8;;21,6;20,9;22,2;21,6;21;20,8;96;93;96;39;3,5;,1;
2025/01/01;0500 UTC;0;942,6;942,9;942,6;;21,8;21,2;21,9;21,6;21,2;20,9;96;96;96;356;2,5;,1;
2025/01/01;0600 UTC;0;942,3;942,6;942,1;;21,4;20,8;21,9;21,4;21,2;20,7;97;95;96;25;2,4;,2;
2025/01/01;0700 UTC;0;942,1;942,3;942,1;;21,5;20,9;21,7;21,4;21,1;20,7;97;96;96;298;1,8;0;
2025/01/01;0800 UTC;0;942,7;942,7;942,1;;21,2;20,8;21,5;21,2;20,9;20,7;97;96;97;31;1,7;0;
2025/01/01;0900 UTC;0;943,6;943,6;942,7;2,9;21,2;20,8;21,2;21,1;20,8;20,7;98;97;98;45;1,5;0;
2025/01/01;1000 UTC;0;944;944;943,6;303,4;23;22;23;21,2;22,1;20,8;98;94;94;31;1,3;0;
2025/01/01;1100 UTC;0;944,3;944,3;944;1207,6;25,5;22,9;25,5;22,9;22,9;21,6;94;85;86;327;2,3;,1;
2025/01/01;1200 UTC;0;944,8;944,8;944,3;2039,3;27;22,1;27,3;25,4;22,9;21,7;86;72;75;270;4,2;1,2;
2025/01/01;1300 UTC;0;945,1;945,2;944,8;2698,4;28,8;22,5;29,2;27;23,9;21,4;77;68;69;238;4,9;,9;
2025/01/01;1400 UTC;0;944,4;945,2;944,4;2267,8;28,3;22,6;29,6;27,3;23,6;21,5;76;67;71;267;4,5;,6;
2025/01/01;1500 UTC;0;944,1;944,4;944,1;2612,7;27,6;21,7;30,7;25,3;23,8;21,1;84;61;71;242;8,1;1;
2025/01/01;1600 UTC;0;943,2;944,1;943,2;3850,8;29,7;22,3;30,2;27,6;24;21,7;74;63;65;255;4,2;1,4;
2025/01/01;1700 UTC;0;942,1;943,2;942,1;2881,4;29,3;23,5;31,4;28,9;24,5;21,8;71;61;71;248;5,2;,5;
2025/01/01;1800 UTC;5,6;941,9;942,1;941,7;1375;23,2;21,9;31,3;23;24,7;21,6;93;61;92;297;9,5;3,6;
2025/01/01;1900 UTC;0;941;942,1;941;1299,2;23,2;21,7;25,7;23,2;23,9;21,5;94;87;91;9;7,7;2,7;
2025/01/01;2000 UTC;0;940,8;941,1;940,8;145,8;24,4;22,7;24,6;23,2;22,8;21,8;93;89;90;195;5,5;0;
2025/01/01;2100 UTC;0;941,2;941,2;940,3;295,6;23,8;22,5;24,8;23,2;23,2;21,9;95;88;92;59;2,8;,5;
2025/01/01;2200 UTC;0;941,7;941,7;941,1;93;23,1;21,5;23,8;23;22,4;21,5;94;91;91;86;4,4;,1;
