REGIAO:;CO
UF:;GO
ESTACAO:;MONTE ALEGRE DE GOIAS
CODIGO (WMO):;A032
LATITUDE:;-13,25361111
LONGITUDE:;-46,89027777
ALTITUDE:;552
DATA DE FUNDACAO:;07/06/07
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;;;;;;;;;;;;;;;;;;
2025/01/01;0100 UTC;0;949,8;950;949,4;0;22,7;20,9;23,3;22,7;20,9;20,4;90;84;90;24;0;0;
2025/01/01;0200 UTC;;;;;;;;;;;;;;;;;;
2025/01/01;0300 UTC;0;949,6;950,1;949,6;0;22,9;21,1;23,1;22,8;21,1;20,9;90;87;90;15;0;0;
2025/01/01;0400 UTC;;;;;;;;;;;;;;;;;;
2025/01/01;0500 UTC;;;;;;;;;;;;;;;;;;
2025/01/01;0600 UTC;;;;;;;;;;;;;;;;;;
2025/01/01;0700 UTC;;;;;;;;;;;;;;;;;;
2025/01/01;0800 UTC;;;;;;;;;;;;;;;;;;
2025/01/01;0900 UTC;0;949,7;949,8;949,1;8,5;21,9;21,1;21,9;21,5;21,3;21;97;95;96;14;0;0;
2025/01/01;1000 UTC;0;950,5;950,5;949,7;298,8;22,7;21,5;22,7;21,8;21,5;21,1;96;93;93;338;0;0;
2025/01/01;1100 UTC;0;950,9;951;950,5;1150,8;26,2;21,3;26,2;22,7;22,1;20,6;93;73;75;97;0;0;
2025/01/01;1200 UTC;;;;;;;;;;;;;;;;;;
2025/01/01;1300 UTC;0;951,5;951,5;951,3;2692,6;28,6;21,3;29,1;26,6;21,8;20,3;71;61;65;322;0;0;
2025/01/01;1400 UTC;0;951;951,5;951;3474,9;29,6;21;30,5;28,1;22,6;20,5;65;56;60;214;0;0;
2025/01/01;1500 UTC;0;950,5;951;950,5;2207;29,4;20,2;30,5;29;22,2;20;65;56;58;73;0;0;
2025/01/01;1600 UTC;1,8;949,4;950,5;949,4;1361,3;28,4;22,8;29,5;25,9;23,1;20,1;82;57;72;333;5,7;0;
2025/01/01;1700 UTC;;;;;;;;;;;;;;;;;;
2025/01/01;1800 UTC;18;948,6;949,3;948,3;872,4;22;19,9;28,7;21,6;22,2;19,2;96;59;88;327;10,9;1,8;
2025/01/01;1900 UTC;,8;947,9;948,6;947,9;233,1;22,3;21;22,4;22;21,1;20;93;88;92;192;4,6;0;
2025/01/01;2000 UTC;0;947,6;947,9;947,3;194,5;23,1;21;23,1;22,3;21,1;20,6;92;88;88;239;2,6;,1;
2025/01/01;2100 UTC;0;947,9;947,9;947,5;140,5;23;20,8;23,7;22,9;21,3;20,3;89;85;87;104;1,7;0;
2025/01/01;2200 UTC;0;949,4;949,4;947,9;30,2;23;21,7;23;22,6;21,8;20,7;94;87;92;101;4,6;1,2;
2025/01/01;2300 UTC;0;949,4;949,5;949,1;0;22,7;20,9;23,1;22,7;21,6;20,7;92;87;90;273;4,6;0;
2025/01/02;0000 UTC;0;950,5;950,5;949,4;0;22,5;21,5;22,8;22,4;21,5;20,9;94;89;94;115;0;0;
2025/01/02;0100 UTC;0;951;951,2;950,5;0;21,6;18,9;22,5;21,5;21,5;18,6;94;83;85;2;0;0;
2025/01/02;0200 UTC;0;951;951,2;951;0;21,3;19,3;21,7;21,1;19,5;19,1;90;85;88;306;0;0;
2025/01/02;0300 UTC;0;950,4;951;950,4;0;21,6;19,9;21,7;21,1;19,9;19,3;91;87;90;13;0;0;
2025/01/02;0400 UTC;;;;;;;;;;;;;;;;;;
2025/01/02;0500 UTC;;;;;;;;;;;;;;;;;;
2025/01/02;0600 UTC;;;;;;;;;;;;;;;;;;
2025/01/02;0700 UTC;0;949,3;949,4;949;0;21,3;19,6;21,4;21,1;20,5;19,2;95;88;90;343;0;0;
2025/01/02;0800 UTC;;;;;;;;;;;;;;;;;;
2025/01/02;0900 UTC;;;;;;;;;;;;;;;;;;
2025/01/02;1000 UTC;;;;;;;;;;;;;;;;;;
2025/01/02;1100 UTC;0;951,6;951,7;950,9;1142,1;23,4;19,5;24;22,7;20;19,1;82;75;79;150;5,3;1,6;
2025/01/02;1200 UTC;0;952;952;951,6;1547,5;25;19,9;25,2;23,4;20,7;19,4;80;72;74;169;5,5;0;
2025/01/02;1300 UTC;0;952,2;952,2;951,9;1591,5;26,1;20,6;26,3;24,3;21,2;19,5;79;71;72;188;5,6;1,8;
2025/01/02;1400 UTC;0;952,1;952,2;952;2732,8;28,2;20,6;28,5;25,7;21,6;19,7;73;62;63;141;4,5;0;
2025/01/02;1500 UTC;;;;;;;;;;;;;;;;;;
2025/01/02;1600 UTC;0;950,2;951,4;950,2;3822,7;29,7;22,3;29,7;28;22,3;20,1;66;60;64;146;7;0;
2025/01/02;1700 UTC;0;948,6;950,2;948,6;3293,2;30,1;21;30,3;28,9;22,2;20,1;64;55;58;131;0;0;
2025/01/02;1800 UTC;0;947,9;948,6;947,9;2562,6;30,2;22;30,5;28,8;22,1;20,1;65;56;62;127;0;0;
2025/01/02;1900 UTC;0;947,5;947,9;947,4;2103,1;30,6;20,9;31,5;29,6;22,1;19,6;62;52;56;113;0;0;
2025/01/02;2000 UTC;0;948,1;948,2;947,5;692,7;24,5;18,4;30,6;24,5;21,3;17,8;69;52;69;71;11;3,8;
2025/01/02;2100 UTC;;;;;;;;;;;;;;;;;;
2025/01/02;2200 UTC;;;;;;;;;;;;;;;;;;
2025/01/02;2300 UTC;;;;;;;;;;;;;;;;;;
2025/01/03;0000 UTC;;;;;;;;;;;;;;;;;;
2025/01/03;0100 UTC;;;;;;;;;;;;;;;;;;
2025/01/03;0200 UTC;0;951,7;951,8;951,5;0;21,4;20,5;21,8;21,4;20,6;19,8;95;88;95;162;0;0;
2025/01/03;0300 UTC;;;;;;;;;;;;;;;;;;
2025/01/03;0400 UTC;;;;;;;;;;;;;;;;;;
2025/01/03;0500 UTC;;;;;;;;;;;;;;;;;;
2025/01/03;0600 UTC;;;;;;;;;;;;;;;;;;
2025/01/03;0700 UTC;;;;;;;;;;;;;;;;;;
2025/01/03;0800 UTC;0;949,7;949,7;949,4;0;20,9;20,2;21,3;20,7;20,4;19,9;96;94;96;267;0;0;
2025/01/03;0900 UTC;;;;;;;;;;;;;;;;;;
2025/01/03;1000 UTC;0;951;951;950,3;192,5;21,9;20,3;21,9;20,4;20,7;19,8;97;91;91;8;0;0;
2025/01/03;1100 UTC;0;951,4;951,4;951;801;23,5;20,8;23,5;21,9;20,8;19,9;91;84;85;13;0;0;
2025/01/03;1200 UTC;0;952;952;951,4;1846,9;24,8;20,3;24,8;23,5;21,1;20,2;85;76;76;26;3,5;0;
2025/01/03;1300 UTC;0;952,2;952,3;952;1746,2;26,5;20,6;26,7;24,8;21,4;20,2;78;69;70;99;0;0;
2025/01/03;1400 UTC;0;952;952,2;951,9;2735,8;27,6;20,5;28,1;26,1;21,9;20;72;64;65;94;0;0;
2025/01/03;1500 UTC;0;951,4;952;951,4;3411,6;28,9;21,4;28,9;27,5;22,1;19,7;69;59;64;83;0;0;
2025/01/03;1600 UTC;0;950,2;951,4;950,2;3758,5;30,3;20,2;30,7;28,5;21,8;19,3;66;54;55;10;0;0;
2025/01/03;1700 UTC;0;949,4;950,2;949,4;2586,3;29,3;20,8;30,6;28,9;21,9;19,8;63;53;60;114;0;0;
2025/01/03;1800 UTC;0;948,9;949,4;948,8;1413;25,9;19;30,8;25,9;21,4;18,5;66;53;66;215;6,7;3,7;
2025/01/03;1900 UTC;0;948,3;949,1;948,3;379,5;25,2;20,9;25,9;24,8;21;18,7;78;65;77;20;6,7;0;
2025/01/03;2000 UTC;0;948;948,3;947,8;654,9;26,6;20,4;26,8;25,1;21,1;19,5;78;65;69;123;0;0;
2025/01/03;2100 UTC;0;948,1;948,1;947,8;622,5;26,1;20,3;27,3;26,1;20,6;18,9;72;60;71;13;0;0;
2025/01/03;2200 UTC;0;948,4;948,4;948,1;71,9;24,9;21;26,1;24,9;21,2;20;80;70;79;7;0;0;
2025/01/03;2300 UTC;0;948,7;948,7;948,4;0;24,2;21;24,9;24,2;21,3;20,8;82;78;82;15;0;0;
2025/01/04;0000 UTC;;;;;;;;;;;;;;;;;;
2025/01/04;0100 UTC;;;;;;;;;;;;;;;;;;
2025/01/04;0200 UTC;;;;;;;;;;;;;;;;;;
2025/01/04;0300 UTC;;;;;;;;;;;;;;;;;;
2025/01/04;0400 UTC;;;;;;;;;;;;;;;;;;
2025/01/04;0500 UTC;;;;;;;;;;;;;;;;;;
2025/01/04;0600 UTC;;;;;;;;;;;;;;;;;;
2025/01/04;0700 UTC;0;948,2;948,2;948,1;0;22,4;21,4;23,1;22,4;21,4;20,9;94;88;94;82;0;0;
2025/01/04;0800 UTC;;;;;;;;;;;;;;;;;;
2025/01/04;0900 UTC;;;;;;;;;;;;;;;;;;
2025/01/04;1000 UTC;0;949,8;949,8;949,2;110,4;23,3;21,6;23,3;22,7;21,6;21;90;89;90;19;5,6;,7;
2025/01/04;1100 UTC;0;950,2;950,2;949,8;815,9;25,3;22,1;25,3;23,3;22,5;21,6;90;82;83;52;4,8;,8;
2025/01/04;1200 UTC;0;950,5;950,5;950,2;2038,7;27,8;22,2;27,9;25;22,7;21,6;83;69;71;77;4,8;0;
2025/01/04;1300 UTC;0;950,2;950,5;950,2;2844,4;29,6;22,2;29,6;27,8;22,4;20,9;72;62;64;49;0;0;
2025/01/04;1400 UTC;0;949,7;950,2;949,7;3410,5;30,4;21,8;31,3;29,5;22,8;21;65;57;60;98;0;0;
2025/01/04;1500 UTC;0;949,4;949,7;949,4;3188,3;30,2;20,3;32,2;30,1;22,4;19,9;62;51;55;93;0;0;
2025/01/04;1600 UTC;0;948,4;949,4;948,4;2710,6;30,9;21,3;32,7;30,2;22;19,3;60;48;56;136;0;0;
2025/01/04;1700 UTC;0;947,6;948,4;947,6;1002,6;28,5;19,5;31,4;28,5;21,7;18,7;61;48;58;229;1,9;0;
2025/01/04;1800 UTC;0;946,6;947,6;946,6;1074,2;29,5;21,1;29,9;28,2;21,8;19,1;63;55;61;174;3,1;,9;
2025/01/04;1900 UTC;0;946,5;946,6;946,4;824,6;28;20,1;29,5;28;22,2;20,1;68;60;62;63;8,3;4,3;
2025/01/04;2000 UTC;0;945,9;946,6;945,9;900,8;28,7;19,6;28,7;27,7;20,7;19,2;66;57;58;34;8,3;2,7;
