REGIAO:;CO
UF:;GO
ESTACAO:;PIRES DO RIO
CODIGO (WMO):;A033
LATITUDE:;-17,30416666
LONGITUDE:;-48,28416666
ALTITUDE:;757,27
DATA DE FUNDACAO:;12/10/07
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;0;928,6;928,6;928,1;;21,8;20,2;21,9;21,6;20,4;20,1;92;90;90;147;1,9;,1;
2025/01/01;0100 UTC;0;928,9;929;928,6;;21,7;20;22;21,5;20,3;19,9;91;90;90;172;1,6;,3;
2025/01/01;0200 UTC;,2;929,3;929,5;928,9;;21,8;20,3;22;21,7;20,5;19,9;92;89;91;83;3,5;2,1;
2025/01/01;0300 UTC;0;928,8;929,3;928,8;;21,5;19,9;21,8;21,4;20,3;19,9;92;91;91;56;4,6;1,9;
2025/01/01;0400 UTC;0;928,8;928,9;928,7;;21,3;19,6;21,5;21,2;19,9;19,5;91;89;90;51;5,1;1,9;
2025/01/01;0500 UTC;0;928,1;928,8;928,1;;21,1;19,4;21,3;21,1;19,6;19,4;90;90;90;58;6,7;3;
2025/01/01;0600 UTC;0;927,7;928,1;927,6;;20,9;19,5;21,1;20,9;19,6;19,4;92;90;92;50;5,5;2,1;
2025/01/01;0700 UTC;0;927,9;927,9;927,6;;20,8;19,5;20,9;20,8;19,5;19,4;92;92;92;11;5;2,3;
2025/01/01;0800 UTC;0;928;928;927,8;;20,9;19,3;21;20,8;19,5;19,3;92;90;91;6;3,9;1,6;
2025/01/01;0900 UTC;0;928,7;928,7;928;4,2;21;19,4;21;20,8;19,4;19,2;91;91;91;34;3;1,3;
2025/01/01;1000 UTC;0;929,6;929,6;928,7;232,8;21,5;19,8;21,5;21;19,8;19,4;91;90;90;51;3,2;1;
2025/01/01;1100 UTC;0;929,9;929,9;929,6;788,2;22,3;19,6;22,7;21,5;20,3;19,6;90;84;84;63;3,8;2,2;
2025/01/01;1200 UTC;0;930,3;930,3;929,9;1276,2;23,8;20,1;24;22,3;20,6;19,8;86;79;80;38;6,2;2,6;
2025/01/01;1300 UTC;0;930,4;930,5;930,3;2378,3;26,2;21,4;26,2;23,7;21,4;20;81;71;75;5;6,2;1,6;
2025/01/01;1400 UTC;0;929,7;930,4;929,7;3386,5;28,3;20,2;28,4;26;21,6;19,1;75;60;61;3;4,2;1,3;
2025/01/01;1500 UTC;0;928,9;929,7;928,9;3194,8;28,3;20,4;29,4;27,6;20,9;18,9;65;55;62;280;5,2;1,7;
2025/01/01;1600 UTC;0;928,5;928,9;928,5;1509,7;26,6;20,8;28,3;26,5;21,5;19,6;71;62;71;7;7,5;2;
2025/01/01;1700 UTC;0;927,1;928,5;927,1;2126;28,4;20,1;29,2;26,6;21,4;19,7;71;58;61;347;6,1;2,3;
2025/01/01;1800 UTC;0;926,2;927,2;926,2;1739,8;28,1;19,9;30;28,1;21,3;19;62;55;61;11;6,1;1,8;
2025/01/01;1900 UTC;32,2;927;927,4;925,9;155;20,2;19,5;28,1;19,9;20,8;17,1;96;59;96;311;8,6;3,1;
2025/01/01;2000 UTC;11,6;926,6;927;926,5;54,6;20,6;20,1;20,6;20;20,1;19,4;97;96;97;276;6;1,6;
2025/01/01;2100 UTC;2,6;926,6;927,2;926,5;36,8;20,5;19,8;20,6;20,1;20,1;19,4;97;96;96;73;4,9;1,3;
2025/01/01;2200 UTC;,4;927,7;927,7;926,3;43,2;21,1;20,2;21,1;20,5;20,2;19,9;96;95;95;88;4,6;1,4;
2025/01/01;2300 UTC;1;928,8;928,8;927,7;;21;20,3;21,1;21;20,4;20,2;96;95;96;177;3,3;1,1;
2025/01/02;0000 UTC;1,6;929,4;929,4;928,8;;20,9;20,2;21;20,9;20,3;20,2;96;95;95;131;3,2;,9;
2025/01/02;0100 UTC;0;929,4;929,5;929,2;;20,9;19,9;21;20,8;20,2;19,9;95;94;94;34;3,5;1,5;
2025/01/02;0200 UTC;0;929,5;929,7;929,2;;20,8;19,7;20,9;20,7;20;19,7;95;94;94;3;3,8;1,3;
2025/01/02;0300 UTC;0;929,7;929,8;929,5;;20,7;19,5;21;20,7;19,8;19,5;94;92;93;78;5,5;2,1;
2025/01/02;0400 UTC;0;929,1;929,7;929,1;;20,3;19,3;20,7;20,3;19,5;19,3;94;93;94;64;4,8;1,2;
2025/01/02;0500 UTC;0;928,5;929,2;928,5;;20,2;19;20,4;20,1;19,3;19;94;93;93;43;3,9;1,8;
2025/01/02;0600 UTC;0;928,2;928,6;928,1;;19,9;18,7;20,2;19,9;19;18,7;94;93;93;86;3,9;,9;
2025/01/02;0700 UTC;0;928,1;928,2;927,9;;19,8;18,4;19,9;19,7;18,7;18,3;93;92;92;46;4,4;1,6;
2025/01/02;0800 UTC;0;928,4;928,4;927,9;;20,2;18,8;20,2;19,6;18,8;18,4;93;92;92;52;3,9;1,5;
2025/01/02;0900 UTC;0;928,7;928,7;928,4;3,8;20;18,8;20,2;19,9;18,8;18,7;93;92;92;358;3,2;1,3;
2025/01/02;1000 UTC;0;929,5;929,5;928,6;173,1;20,9;19,1;21;20;19,5;18,7;93;90;90;8;5,1;,4;
2025/01/02;1100 UTC;0;930,1;930,1;929,4;1018,6;22,8;19,9;23;20,9;20,2;19,1;90;82;84;38;4,5;2,1;
2025/01/02;1200 UTC;0;930,5;930,5;930,1;1570;24;20,1;24,3;22,6;20,8;19,6;84;77;79;19;5,7;3,1;
2025/01/02;1300 UTC;0;930,3;930,6;930,2;2525,5;25,6;20,5;26,2;24;21,3;19,9;80;71;73;16;5,6;2,5;
2025/01/02;1400 UTC;0;929,9;930,3;929,8;2886,3;27,5;21,1;27,7;25,5;21,8;19,8;74;64;68;357;5,5;2,3;
2025/01/02;1500 UTC;0;928,7;929,9;928,7;3257,3;27,2;20,8;28,9;27,2;22;20;69;61;68;38;6,1;2;
2025/01/02;1600 UTC;12,2;929,4;930;928,7;195,7;21,1;20,4;27,2;20,2;21,2;19;96;67;96;10;12,8;,6;
2025/01/02;1700 UTC;,2;928;929,4;928;1157,8;23,1;21,7;23,2;21,1;22,1;20,5;96;91;92;79;4;2,2;
2025/01/02;1800 UTC;0;926,6;928;926,6;1366,8;24,8;22;24,8;23,1;22,3;21,5;92;83;85;29;3,3;1,4;
2025/01/02;1900 UTC;0;926,1;926,7;925,9;1877,3;25,6;22;26,6;24,7;22,9;21,6;85;77;80;108;3,6;1,5;
2025/01/02;2000 UTC;0;925,8;926,1;925,7;1447,7;27,4;22,1;27,7;25,5;23;21,1;83;68;73;187;3,9;1,2;
2025/01/02;2100 UTC;0;926,1;926,1;925,7;523,5;25,5;21,6;27,5;25,4;22,3;21;79;71;79;92;2,8;1,6;
2025/01/02;2200 UTC;0;927,1;927,1;926;80,7;24,4;21,6;25,6;24,4;21,8;21;84;78;84;169;2,8;0;
2025/01/02;2300 UTC;0;927,4;927,4;927,1;;23,7;21,6;24,5;23,7;22,1;21,4;89;84;88;250;1,6;,5;
2025/01/03;0000 UTC;0;928,1;928,1;927,4;;23,5;20,5;23,9;23,4;21,5;20,5;88;82;83;248;2,9;,2;
2025/01/03;0100 UTC;0;929;929,1;928,2;;22,8;20,6;23,6;22,7;20,8;20,4;88;84;88;283;1,8;,3;
2025/01/03;0200 UTC;0;929,8;929,8;929;;22,4;20,5;22,8;22,1;20,7;20,4;91;88;89;61;1,9;1,3;
2025/01/03;0300 UTC;0;929,3;929,8;929,3;;21,7;20,3;22,5;21,7;20,5;20,2;92;88;92;189;2;0;
