REGIAO:;CO
UF:;GO
ESTACAO:;CRISTALINA
CODIGO (WMO):;A036
LATITUDE:;-16,78499999
LONGITUDE:;-47,61305555
ALTITUDE:;1211,08
DATA DE FUNDACAO:;14/12/07
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;;881;881;880;;18,7;17,1;19,5;18;17,7;15,7;91;85;91;105;8,4;1,6;
2025/01/01;0100 UTC;;881,3;881,4;881;;19;18,1;19,6;18,7;18,6;17,1;94;91;94;66;4,5;2,2;
2025/01/01;0200 UTC;;881,5;881,7;881,4;;18,9;18;19,2;18,7;18,3;17,8;95;94;95;46;6;1,8;
2025/01/01;0300 UTC;;881,3;881,5;881,2;;18,5;17,5;19,3;18,5;18,4;17,5;95;94;94;312;5,8;3;
2025/01/01;0400 UTC;;880,9;881,4;880,9;;18,4;17,5;18,5;18,4;17,5;17,4;94;94;94;124;4,8;1,1;
2025/01/01;0500 UTC;;880,4;880,9;880,4;;18,3;17,4;18,4;18,2;17,6;17,3;95;94;95;75;2,3;,7;
2025/01/01;0600 UTC;;880,2;880,5;880,1;;18,2;17,3;18,3;18,1;17,5;17,2;95;95;95;93;2,3;1,2;
2025/01/01;0700 UTC;;880,1;880,2;880;;18,4;17,5;18,4;18,2;17,6;17,3;95;95;95;89;2,3;1;
2025/01/01;0800 UTC;;880,4;880,4;880,1;;18,4;17,5;18,5;18,3;17,6;17,5;95;95;95;77;2,9;1,1;
2025/01/01;0900 UTC;;881,2;881,2;880,4;21,9;17,9;17,1;18,4;17,8;17,6;17;95;95;95;69;2,3;1,5;
2025/01/01;1000 UTC;;881,8;881,8;881,1;206,4;18,6;17,8;18,8;17,9;17,9;17,1;95;95;95;45;2,8;1,3;
2025/01/01;1100 UTC;;882,3;882,4;881,8;380,2;19,2;18,3;19,3;18,6;18,4;17,7;95;95;95;89;2,8;1,4;
2025/01/01;1200 UTC;;882,8;882,8;882,3;284,6;19,6;18,7;19,6;19,1;18,7;18,2;95;94;95;179;2,8;,9;
2025/01/01;1300 UTC;;882,9;883;882,8;1156,9;21;18,8;21;19,2;18,9;17,9;95;86;87;49;4,5;1,4;
2025/01/01;1400 UTC;;882,5;882,9;882,5;2495,1;22,8;17,9;23,5;20,8;19,9;17,4;87;72;74;358;5,5;2;
2025/01/01;1500 UTC;;882;882,5;882;2435,7;23,1;18,3;23,8;22;19,2;17,5;81;72;75;34;5,6;3,1;
2025/01/01;1600 UTC;;881,5;882;881,5;2609,6;24;19,2;25;23;19,7;18;77;69;75;38;6,8;4;
2025/01/01;1700 UTC;;880,5;881,5;880,5;2528,3;24,3;19,9;24,6;23;19,9;18,1;78;69;76;29;7,1;3,6;
2025/01/01;1800 UTC;;879,9;880,8;879,9;999,8;20,3;18,1;24,9;18,9;19,4;16,7;93;67;87;299;14,8;2,2;
2025/01/01;1900 UTC;;878,4;879,9;878,4;794,9;21,4;18,7;21,5;20,2;19,3;17,7;88;82;85;24;6,1;3,2;
2025/01/01;2000 UTC;;879,5;879,5;878,4;374,2;21,2;19;21,5;21,2;19,1;18,4;87;84;87;68;6;2;
2025/01/01;2100 UTC;;879,8;879,9;879,5;69,8;20,9;18,9;21,3;20,9;19,3;18,9;89;87;89;53;4,2;2,4;
2025/01/01;2200 UTC;;880,1;880,1;879,7;7,1;20,3;19,2;20,9;20,3;19,3;18,9;94;89;94;61;5,5;2,2;
2025/01/01;2300 UTC;;881,1;881,1;880,1;;20,1;19,1;20,3;20;19,2;19;94;93;94;52;5,3;3,1;
2025/01/02;0000 UTC;;881,7;881,9;881,1;0;19,4;17,7;20,1;19,4;19,1;17,7;94;90;90;34;8,7;5,2;
2025/01/02;0100 UTC;;881,7;881,8;881,6;;18,5;17,1;19,4;18,5;17,7;17,1;92;90;92;28;8,7;2,9;
2025/01/02;0200 UTC;;882,8;882,8;881,7;;18,8;17;19,2;18,4;17,6;16,9;93;87;90;117;6,6;1,8;
2025/01/02;0300 UTC;;882;882,9;882;;18,2;17,3;18,8;18,2;17,4;17;94;90;94;73;5;1,6;
2025/01/02;0400 UTC;;881,3;882;881,3;;17,8;16,9;18,2;17,8;17,3;16,9;95;94;95;59;5;2,4;
2025/01/02;0500 UTC;;880,9;881,3;880,8;;17,6;16,8;17,8;17,6;17;16,8;95;95;95;61;4,8;2;
2025/01/02;0600 UTC;;880,7;880,9;880,7;;18,2;17,3;18,2;17,6;17,3;16,8;95;94;94;45;4,8;2,5;
2025/01/02;0700 UTC;;880,5;880,8;880,4;;18,2;17,1;18,3;18,2;17,3;17;94;92;93;41;7;3,8;
2025/01/02;0800 UTC;;881,1;881,1;880,5;;18,2;17,2;18,4;18,2;17,2;16,9;94;92;94;41;6,5;3;
2025/01/02;0900 UTC;;881,2;881,3;881,1;10,1;18;17,1;18,2;17,9;17,2;17;94;94;94;39;7,7;4,3;
2025/01/02;1000 UTC;;881,8;881,8;881,2;233,3;18,4;17,4;18,4;18;17,5;17;94;94;94;42;7,9;4,5;
2025/01/02;1100 UTC;;882,3;882,3;881,8;886;19,7;17,4;19,7;18,2;17,4;16,6;94;86;87;23;7,9;3,3;
2025/01/02;1200 UTC;;882,5;882,5;882,3;2519,6;21,9;17,3;22;19,7;18;16,8;87;74;75;347;9,4;4,2;
2025/01/02;1300 UTC;;882,5;882,6;882,4;2756,8;22,1;17,5;23,4;21,9;18,5;16,6;76;70;75;332;9,3;4,1;
2025/01/02;1400 UTC;;882,2;882,5;882,2;2698,4;24,5;17,8;24,8;22,1;18,6;16,4;76;64;66;328;7,9;4,2;
2025/01/02;1500 UTC;;881,4;882,2;881,4;2401,8;24,6;18,1;26,1;24,1;19;17,3;68;61;67;308;6,5;3,1;
2025/01/02;1600 UTC;;881,1;881,4;880,9;1634,8;23,2;18,4;26,4;23,2;19,2;17,3;74;62;74;274;8,5;3,3;
2025/01/02;1700 UTC;;880;881,5;880;306,5;20,2;18,7;23,2;19,1;18,7;15,3;91;75;91;254;15,1;4,1;
2025/01/02;1800 UTC;;879,4;880,1;879,4;2466,7;23,7;19;23,8;20,2;20,3;18,7;92;74;75;274;7,4;3,4;
2025/01/02;1900 UTC;;879,1;879,4;878,7;2655,8;24,2;18,5;25,1;23,7;19,5;17,6;75;65;70;279;6,9;3,3;
2025/01/02;2000 UTC;;878,7;879,2;878,6;843,9;24,2;19;24,3;23,7;19,3;18,3;74;71;73;298;6,5;2,3;
2025/01/02;2100 UTC;;879,1;879,2;878,7;547,8;21,4;17,5;24,5;21,3;19,1;17,4;80;70;79;34;7;2,9;
2025/01/02;2200 UTC;;879,7;879,9;879,1;9,1;19,6;17,4;21,4;18,3;17,6;16,7;92;78;87;347;8,9;1,3;
2025/01/02;2300 UTC;;880,4;880,6;879,7;;19,6;17,4;20,3;19,5;17,7;17,1;88;84;87;323;7,3;2,8;
2025/01/03;0000 UTC;;881,3;881,4;880,4;;20,1;17,2;20,3;19,6;17,5;17,2;88;83;84;336;4,4;2,3;
2025/01/03;0100 UTC;;881,8;881,8;881,4;;20,4;16,9;20,5;20;17,2;16,8;83;80;80;329;5;2,2;
2025/01/03;0200 UTC;;882,4;882,4;881,8;;20,4;17,2;20,7;20,2;17,3;16,9;83;80;82;329;4,5;2;
2025/01/03;0300 UTC;;881,6;882,4;881,6;;19,8;17,3;20,4;19,7;17,3;17;86;82;85;334;3,4;1,5;
2025/01/03;0400 UTC;;880,8;881,6;880,8;;19,5;17,2;19,9;19,4;17,4;17,1;87;85;87;320;3,6;1,7;
2025/01/03;0500 UTC;;880,6;880,8;880,5;;19,1;17;19,5;19,1;17,2;17;88;87;88;301;3;1,7;
2025/01/03;0600 UTC;;880,5;880,6;880,5;;19,2;17,3;19,4;19,1;17,3;17,1;89;87;89;309;3,8;1,7;
2025/01/03;0700 UTC;;880,3;880,5;880,2;;19,1;17,4;19,2;19;17,4;17,2;90;89;90;313;3,1;1,9;
2025/01/03;0800 UTC;;880,6;880,6;880,2;;18,9;17,3;19,1;18,9;17,4;17,2;91;90;91;312;3,6;2,1;
2025/01/03;0900 UTC;;881,2;881,2;880,6;46,9;18,8;17,6;18,9;18,5;17,6;17,2;93;91;93;324;3,2;2,1;
2025/01/03;1000 UTC;;881,9;881,9;881,2;476,5;19,2;17,8;19,3;18,8;17,8;17,5;93;91;91;339;5;2,5;
2025/01/03;1100 UTC;;882,3;882,3;881,9;1407,5;20,8;18;20,8;19,2;18,6;17,6;92;82;84;327;6,5;3,5;
