REGIAO:;CO
UF:;GO
ESTACAO:;SILVANIA
CODIGO (WMO):;A037
LATITUDE:;-16,67972221
LONGITUDE:;-48,61805554
ALTITUDE:;952
DATA DE FUNDACAO:;08/10/10
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;;907,6;907,6;906,6;0;20,5;20,3;20,6;20,4;20,3;20,1;98;98;98;158;3,6;,4;
2025/01/01;0100 UTC;;907,7;907,8;907,6;0;20,5;20,3;20,6;20,4;20,3;20,1;99;98;99;93;2;,5;
2025/01/01;0200 UTC;;908;908,2;907,7;0;20,3;20,1;20,6;20,3;20,3;20,1;99;98;99;101;1,9;,2;
2025/01/01;0300 UTC;;907,9;908;907,8;0;19,8;19,5;20,4;19,8;20,2;19,5;99;98;98;90;2,5;,5;
2025/01/01;0400 UTC;;907,6;907,9;907,6;,1;19,8;19,6;19,8;19,7;19,7;19,5;99;98;99;47;2,4;,4;
2025/01/01;0500 UTC;;906,9;907,6;906,9;,2;19,8;19,7;20;19,8;19,9;19,6;99;99;99;59;1,9;,7;
2025/01/01;0600 UTC;;906,9;906,9;906,8;,1;19,7;19,6;19,8;19,6;19,7;19,4;99;99;99;149;1,5;,2;
2025/01/01;0700 UTC;;906,8;907;906,7;,2;19,5;19,4;19,8;19,5;19,7;19,4;99;99;99;138;1,4;,5;
2025/01/01;0800 UTC;;907;907;906,7;0;19,4;19,3;19,7;19,4;19,6;19,3;100;99;99;153;1,4;,2;
2025/01/01;0900 UTC;;907,8;907,8;907;,6;19,7;19,7;19,8;19,4;19,7;19,3;100;99;100;112;2,2;,6;
2025/01/01;1000 UTC;;908,5;908,5;907,8;14,3;19,7;19,6;19,7;19,6;19,7;19,5;100;99;99;64;2,4;,7;
2025/01/01;1100 UTC;;909;909;908,5;92,2;19,7;19,5;19,8;19,5;19,7;19,3;99;99;99;126;2,2;,2;
2025/01/01;1200 UTC;;909,3;909,3;909;429,1;21,1;19,8;21,1;19,5;20,6;19,4;99;92;93;43;2,1;,8;
2025/01/01;1300 UTC;;909,6;909,7;909,3;911,5;22,7;20,6;22,8;21,1;20,9;19,5;93;84;88;57;2,5;,7;
