REGIAO:;CO
UF:;MS
ESTACAO:;NHUMIRIM
CODIGO (WMO):;A717
LATITUDE:;-18,9886111
LONGITUDE:;-56,62277777
ALTITUDE:;102,26
DATA DE FUNDACAO:;02/08/06
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;0;994,8;994,8;994,3;;27,1;23,3;28,9;27,1;24;22,9;81;73;80;204;,8;,2;
2025/01/01;0100 UTC;0;995,2;995,2;994,8;;26;23;27;25,8;23,7;22,7;84;80;83;34;,8;,3;
2025/01/01;0200 UTC;0;995,6;995,6;995,2;;25,3;22,6;26,1;25,2;23;22,5;87;82;85;31;1;,2;
2025/01/01;0300 UTC;0;995,9;995,9;995,6;;24,6;22,2;25,3;24,6;22,7;22,2;87;85;86;40;1;,5;
2025/01/01;0400 UTC;0;995,8;995,9;995,8;;24,4;22,3;24,7;24,3;22,4;22,1;89;86;89;55;1,1;,7;
2025/01/01;0500 UTC;0;995,3;995,8;995,3;;24;21,8;24,4;24;22,5;21,8;89;88;88;28;1,1;,5;
2025/01/01;0600 UTC;0;995,2;995,4;995,2;;24,7;22,6;25;24;22,6;21,7;90;84;88;29;3;1,1;
2025/01/01;0700 UTC;0;995,4;995,5;995,2;;25,1;22,8;25,5;24,7;23,2;22,4;89;84;87;52;2,4;1,6;
2025/01/01;0800 UTC;0;995,5;995,5;995,3;;25,3;22,9;25,5;25,1;23,1;22,7;88;86;87;27;3,4;2,1;
2025/01/01;0900 UTC;0;996,2;996,2;995,5;;25,6;23,2;25,7;25,3;23,3;22,9;87;86;87;16;3;1,6;
