REGIAO:;CO
UF:;MS
ESTACAO:;COXIM
CODIGO (WMO):;A720
LATITUDE:;-18,51222222
LONGITUDE:;-54,7361111
ALTITUDE:;251,48
DATA DE FUNDACAO:;06/11/06
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;0;978,5;978,5;978,1;;27,5;22,7;29,4;27,5;23,1;22,4;75;67;75;21;3;,8;
2025/01/01;0100 UTC;0;979,1;979,1;978,5;;25,9;22,8;27,5;25,9;23;22,6;83;75;83;92;1,5;,4;
2025/01/01;0200 UTC;0;979,6;979,7;979,1;;25,4;22,9;26,3;25,2;23,2;22,6;87;82;86;14;1,2;,5;
2025/01/01;0300 UTC;0;980;980;979,6;;25,3;23,1;26,2;24,9;23,2;22,4;89;82;88;127;1,5;,4;
2025/01/01;0400 UTC;0;979,9;980;979,9;;24,6;23;25,3;24,5;23,2;22,7;91;87;91;15;2,3;,3;
2025/01/01;0500 UTC;0;979,5;980;979,5;;24,7;22,9;24,8;24,1;23,3;22,7;93;90;90;122;2,2;1,1;
2025/01/01;0600 UTC;0;979,4;979,6;979,4;;24,6;22,5;25;24,5;23;22,5;90;86;88;180;3,3;1,1;
2025/01/01;0700 UTC;0;979,6;979,6;979,4;;23,8;22,4;24,7;23,8;22,6;22,3;92;87;92;294;3,2;,4;
2025/01/01;0800 UTC;0;980;980;979,5;;23,3;22,4;23,9;23,2;23;22,2;95;92;95;45;1,1;,6;
2025/01/01;0900 UTC;0;980,6;980,6;980;;23,2;22,6;23,6;23,2;22,9;22,4;96;95;96;227;1,4;,3;
2025/01/01;1000 UTC;0;981,4;981,4;980,6;176,7;24,9;23,9;24,9;23,1;23,9;22,4;97;94;94;228;,9;,4;
2025/01/01;1100 UTC;0;981,9;981,9;981,4;841,1;27,2;23,5;27,2;24,9;24;23,2;94;80;80;139;2,3;1,1;
2025/01/01;1200 UTC;0;982,6;982,6;981,9;1604,9;29;22,8;29,6;27,1;23,8;22,6;81;68;69;52;4,1;1,6;
2025/01/01;1300 UTC;0;982,7;982,7;982,5;2402,4;32;22,8;32;29;23,4;22;70;58;59;358;5,1;1,7;
2025/01/01;1400 UTC;0;982,3;982,7;982,3;2723,2;33;22,4;33,2;30,7;22,8;20,8;59;51;54;315;6,2;1,7;
2025/01/01;1500 UTC;0;981,9;982,3;981,9;2943,7;33,2;21,5;33,4;31,8;22,5;20,1;55;48;50;304;6,1;2,4;
2025/01/01;1600 UTC;0;981,2;981,9;981,2;2945,8;33,3;21,5;34,3;32,3;22,3;20,1;52;47;50;269;5,7;2,8;
2025/01/01;1700 UTC;0;980,3;981,3;980,3;2594,9;34,7;21,9;34,7;32,6;21,9;20;52;43;47;290;5,9;2,8;
2025/01/01;1800 UTC;0;979;980,3;979;2955,8;34,6;19,8;35,4;33,4;21,8;19,3;48;39;42;291;6,7;3,3;
2025/01/01;1900 UTC;0;978;979;977,9;2942,7;35,6;19,7;35,8;34,6;20,6;18,6;44;38;39;284;6,3;2,8;
2025/01/01;2000 UTC;0;977,4;978;977,3;2171,7;35,4;19,5;35,6;34,8;20,9;18,1;43;37;40;285;6,3;2,7;
2025/01/01;2100 UTC;0;977;977,4;977;1346,7;34,5;19,7;35,4;34,4;20,2;18,6;43;38;42;267;5,5;1,9;
2025/01/01;2200 UTC;0;977,3;977,3;976,9;454,4;32,6;21,1;34,6;32,6;21,3;18,8;51;39;51;298;3,8;1,1;
2025/01/01;2300 UTC;0;977,6;977,6;977,2;12,2;28,2;21,7;32,6;28,2;22;20,3;68;49;68;331;2,7;,6;
2025/01/02;0000 UTC;0;979,2;979,2;977,6;;28,1;21,9;28,2;26,9;22,4;21,4;75;68;69;133;1,6;,7;
2025/01/02;0100 UTC;0;980,2;980,2;979,2;;27;22,1;28,1;26,4;22,1;21,5;77;69;75;122;3;,8;
2025/01/02;0200 UTC;0;981,2;981,2;980,2;;26,6;21,1;28;26,6;22,4;21,1;75;71;72;102;4,7;1,1;
2025/01/02;0300 UTC;0;981,3;981,5;981,2;;24,1;21,3;26,6;24,1;21,5;21;84;72;84;70;2,7;,6;
2025/01/02;0400 UTC;0;981;981,3;981;;24,2;21,2;24,5;23,6;21,6;21;86;83;83;63;2,3;1,1;
2025/01/02;0500 UTC;0;980,9;981,2;980,9;;23,8;21,3;24,5;23,5;21,4;20,9;86;82;86;59;2,3;1,2;
2025/01/02;0600 UTC;0;981;981;980,8;;23,3;21,4;24,4;23,3;21,8;21,2;89;84;89;24;3;,6;
2025/01/02;0700 UTC;0;980,8;981,4;980,8;;23,4;21,9;24,3;23,2;22,4;21,4;91;87;91;211;2,4;,5;
2025/01/02;0800 UTC;0;981;981,2;980,7;;23,8;22,2;24;23;22,3;21,6;92;89;91;97;2,6;,8;
2025/01/02;0900 UTC;0;981,1;981,1;980,9;;23;21,8;23,8;22,7;22,1;21,6;94;91;93;114;1,8;,7;
2025/01/02;1000 UTC;0;981,8;981,8;981,1;110,4;23,8;22,4;23,8;22,8;22,6;21,5;94;92;92;235;1,8;,4;
2025/01/02;1100 UTC;0;982,3;982,3;981,8;611,6;26,1;22,7;26,1;23,8;22,8;22,2;92;82;82;317;1,8;,6;
2025/01/02;1200 UTC;0;982,9;982,9;982;1575,6;28,1;22,1;28,4;26,1;23,1;22,1;81;70;70;239;3,2;1,2;
2025/01/02;1300 UTC;0;983;983;982,9;2089;29,6;22;29,7;28,1;23,1;21,9;72;64;64;288;5,6;2,9;
2025/01/02;1400 UTC;0;983,2;983,3;982,9;2995,1;31,3;22,5;32;29,6;23,2;21,6;66;58;60;297;6,4;3,5;
2025/01/02;1500 UTC;0;982,3;983,2;982,3;2264,7;31,3;22,2;31,4;30,9;23;22,1;62;58;59;294;6,8;3;
2025/01/02;1600 UTC;0;981,2;982,3;981,2;2448,1;32,5;22,8;32,5;31,1;23,3;21,9;60;55;57;310;6,3;2,7;
2025/01/02;1700 UTC;0;979,8;981,2;979,8;2893,8;32,8;21,6;33,4;31,9;23,2;21,4;59;50;52;312;7,2;2,3;
2025/01/02;1800 UTC;0;979;979,8;979;2609,4;33,4;21,4;33,4;32,5;22,2;20,7;54;48;50;281;6,6;2,5;
2025/01/02;1900 UTC;0;978,9;979,1;978,9;2497,1;33,3;21,2;33,9;32,7;21,6;20,3;52;46;49;283;7,1;3,6;
2025/01/02;2000 UTC;0;978,5;978,9;978,4;1629,5;32,6;21,1;33,3;32,6;21,7;20,8;52;48;51;277;6,8;3,1;
2025/01/02;2100 UTC;0;978,6;978,9;978,5;708,8;31,3;22,3;32,6;31,3;22,8;20,5;60;49;59;232;6,5;3;
2025/01/02;2200 UTC;0;979,2;979,2;978,5;515,9;30,7;23;32;30,7;23;22,2;63;57;63;221;5,6;2,4;
2025/01/02;2300 UTC;0;980,6;980,6;979,2;8,7;29,4;23,1;30,7;29,2;23,2;22,8;70;64;69;170;4;,7;
2025/01/03;0000 UTC;0;981,3;981,3;980,3;;27,3;23,2;29,4;27,3;23,4;22,9;79;69;79;275;2,1;1,2;
2025/01/03;0100 UTC;0;982,1;982,3;981,3;;26,2;20,7;27,9;26,2;23,7;20,7;81;72;72;56;8;3,7;
2025/01/03;0200 UTC;;;;;;;;;;;;;;;;;;
2025/01/03;0300 UTC;15,2;982,8;983,7;982,8;;22,8;21,9;22,9;22,2;22;21,2;96;92;94;309;5,3;1,8;
2025/01/03;0400 UTC;,4;982,1;982,8;982,1;;23,4;22,4;23,4;22,8;22,5;21,9;95;94;94;296;6;1,9;
2025/01/03;0500 UTC;0;981,4;982,1;981,4;;23,2;22,5;23,8;23,2;22,8;22,3;96;94;96;83;4,4;1,1;
2025/01/03;0600 UTC;0;980,7;981,4;980,7;;23,2;22,5;23,4;23,2;22,8;22,5;96;96;96;91;2,5;,7;
2025/01/03;0700 UTC;0;980,5;980,7;980,4;;23,1;22,5;23,2;22,7;22,6;22,1;97;96;97;74;2,9;1,3;
2025/01/03;0800 UTC;0;980,5;980,5;980,3;;22,9;22,4;23,1;22,8;22,6;22,3;97;97;97;33;3,1;,8;
2025/01/03;0900 UTC;0;981,2;981,2;980,5;;22,8;22,4;22,9;22,8;22,5;22,3;97;97;97;13;2,3;1,1;
2025/01/03;1000 UTC;0;982,1;982,1;981,2;79,6;23,7;22,8;23,7;22,9;23;22,4;97;95;95;4;3,3;1,4;
2025/01/03;1100 UTC;0;983,1;983,1;982,1;541,7;25;22,9;25;23,7;23,3;22,7;95;88;88;3;3,1;1,3;
2025/01/03;1200 UTC;0;983,6;983,6;983,1;1106,8;26,5;22,9;26,5;25;23,3;22;89;80;81;261;3,1;,7;
2025/01/03;1300 UTC;0;983,6;983,7;983,6;2264,1;28,7;22,2;28,8;26,5;23,4;21,6;81;66;68;337;4,7;1,9;
2025/01/03;1400 UTC;0;983,7;983,8;983,6;2930,5;29,5;22;29,7;28,7;22,9;21,3;70;61;64;279;5,3;3,1;
2025/01/03;1500 UTC;0;983,4;983,7;983,3;3343;30,7;21,2;30,9;29,5;22,8;21,2;65;57;57;282;6,2;3,1;
2025/01/03;1600 UTC;0;982,2;983,4;982,2;2689,6;31;21,7;31,3;30,2;23;20,6;62;56;58;287;6,2;2,8;
2025/01/03;1700 UTC;0;981;982,2;981;2545,7;30,8;22;31,6;30,8;22,4;21,1;61;55;59;297;5,7;2,4;
2025/01/03;1800 UTC;0;979,8;981;979,8;2820,5;32,1;21,2;32,8;30,8;23,2;21;61;52;53;305;5,5;2;
2025/01/03;1900 UTC;0;979,1;979,8;979,1;2581,5;32;21,2;32,8;31,5;22,8;20,4;58;50;53;306;5,2;1,7;
2025/01/03;2000 UTC;0;978,4;979,1;978,4;2201,1;32,4;21,7;33,1;32;22;20,2;54;48;53;261;5;2;
2025/01/03;2100 UTC;0;978,2;978,5;978,1;980,4;31,3;21,2;32,6;31,3;21,8;20,3;56;50;55;289;4,5;1,5;
2025/01/03;2200 UTC;0;979,1;979,1;978,1;209,4;30,2;21,8;31,3;30,2;21,8;20,9;61;54;61;230;3,3;1,7;
2025/01/03;2300 UTC;0;979,7;979,7;979,1;3,3;26,8;22,3;30,2;26,8;22,4;21,5;77;61;77;156;4;,4;
2025/01/04;0000 UTC;0;980,5;980,5;979,7;;28;22,4;28,1;26,5;22,9;22,3;80;71;71;268;3,5;2,3;
2025/01/04;0100 UTC;;;;;;;;;;;;;;;;;;
2025/01/04;0200 UTC;;;;;;;;;;;;;;;;;;
2025/01/04;0300 UTC;;;;;;;;;;;;;;;;;;
2025/01/04;0400 UTC;;;;;;;;;;;;;;;;;;
2025/01/04;0500 UTC;0;981,2;981,5;981,2;;24,5;22,3;24,8;24,2;22,3;21,9;88;85;87;299;2,2;,8;
2025/01/04;0600 UTC;0;981,1;981,3;981,1;;24,7;22,4;24,8;24,4;22,5;22,3;89;86;87;214;2,3;,5;
2025/01/04;0700 UTC;0;980,6;981,1;980,6;;24,3;22,5;24,8;24,3;22,7;22,3;90;86;90;16;1,5;,8;
2025/01/04;0800 UTC;0;980,9;980,9;980,5;;24,2;22,6;24,5;24,2;22,8;22,5;91;89;91;167;2,1;1;
2025/01/04;0900 UTC;0;981;981,2;980,8;;24,2;23;24,3;23,9;23,1;22,6;94;91;93;321;2,2;1;
2025/01/04;1000 UTC;0;981,7;981,7;981;75,3;24,2;23;24,3;24;23,1;22,8;94;93;93;18;2,2;,6;
2025/01/04;1100 UTC;0;982,4;982,4;981,7;408,3;25,6;22,7;25,8;24,2;23,4;22,7;93;84;84;315;2,7;1,2;
2025/01/04;1200 UTC;0;982,6;982,7;982,4;1446,7;28;22;28,1;25,6;23,5;21,5;86;69;70;10;2,7;,7;
2025/01/04;1300 UTC;0;982,9;982,9;982,6;2507,9;30;22,4;30;27,9;22,8;21,1;71;62;64;326;3,7;1,5;
2025/01/04;1400 UTC;0;982,7;982,9;982,7;2994,6;30,9;22,1;30,9;29,5;23,2;21,6;68;58;59;309;3,8;1,6;
2025/01/04;1500 UTC;0;981,9;982,7;981,9;2787,2;30,8;21,1;31,7;30,6;22,6;20,7;60;54;56;300;4,5;1,8;
2025/01/04;1600 UTC;0;981;981,9;981;1620,4;30,8;21,3;31,2;30,7;22,1;20,7;60;55;57;270;5,7;2,6;
2025/01/04;1700 UTC;0;980,6;981;980,4;1507,5;30,4;22,7;31,5;30,4;23,1;21,2;64;56;64;136;5,1;2,2;
2025/01/04;1800 UTC;38,6;980,5;981,2;980,4;213;23,7;23;30,4;22,9;23,3;21,6;97;62;96;246;10;1,3;
2025/01/04;1900 UTC;1,2;981;981,1;980,3;91,4;24,1;23,4;24,5;23,7;23,8;23,1;96;95;96;338;4,2;1,8;
2025/01/04;2000 UTC;,2;979,8;981;979,8;91,2;23,9;23,3;24,1;23,8;23,4;23,2;96;95;96;331;4,8;1,4;
