REGIAO:;CO
UF:;MS
ESTACAO:;DOURADOS
CODIGO (WMO):;A721
LATITUDE:;-22,19388888
LONGITUDE:;-54,91138888
ALTITUDE:;463,3
DATA DE FUNDACAO:;18/10/06
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;;955,1;955,1;954,8;;27,5;17,3;28,5;27,5;18,2;17,3;55;52;54;174;2;,8;
2025/01/01;0100 UTC;;955,7;955,7;955,1;;27,5;16,2;28;27,3;17,4;16,2;54;50;50;191;2;,4;
2025/01/01;0200 UTC;;956,2;956,2;955,7;;26,6;17,3;27,6;25,9;17,7;16,1;60;50;57;243;3,1;1,6;
2025/01/01;0300 UTC;;956,2;956,2;956,2;;25,7;18,8;26,6;25,7;18,9;17,3;66;57;66;233;3,9;2,1;
2025/01/01;0400 UTC;;956,1;956,3;956,1;;25,7;18,8;25,8;25,5;19;18,8;67;66;66;234;4,1;2,2;
2025/01/01;0500 UTC;;955,9;956,1;955,8;;25,5;19,1;26;25,4;19,2;18,6;68;65;68;221;3,5;1,6;
2025/01/01;0600 UTC;;955,9;956;955,8;;22,7;18,6;25,6;22,7;19,2;18,2;78;67;78;181;5,5;1,8;
2025/01/01;0700 UTC;;955,7;955,9;955,7;;22,2;18,6;22,7;22,1;18,9;18,5;81;78;80;167;3,7;1,7;
2025/01/01;0800 UTC;;956;956;955,6;;22,9;18,9;23,1;22,2;19;18,6;81;77;78;190;2,8;1,2;
2025/01/01;0900 UTC;;956,6;956,6;956;;21,8;19;23,2;21,1;19;18,1;84;76;84;120;2,6;0;
2025/01/01;1000 UTC;;957,4;957,4;956,6;215,1;24;19;24,1;21,8;19,5;18,8;84;74;74;177;2;,7;
