REGIAO:;CO
UF:;MS
ESTACAO:;MARACAJU
CODIGO (WMO):;A731
LATITUDE:;-21,60916666
LONGITUDE:;-55,17749999
ALTITUDE:;388,94
DATA DE FUNDACAO:;15/12/06
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;;961,3;961,3;961;;23,9;19,6;26,3;23,8;20,7;19,4;77;70;77;;;;
2025/01/01;0100 UTC;;961,7;961,7;961,3;;22,4;18,8;24;22,4;19,7;18,8;81;77;80;;;;
2025/01/01;0200 UTC;;961,9;961,9;961,7;;21,5;18,7;22,4;21,5;18,9;18,4;84;80;84;;;;
2025/01/01;0300 UTC;;962,1;962,1;961,9;;20,9;18,4;21,9;20,9;19;18,4;86;82;86;;;;
2025/01/01;0400 UTC;;962,2;962,2;962;;21,4;19,2;21,4;20,1;19,3;17,9;90;86;88;;;;
2025/01/01;0500 UTC;;961,8;962,2;961,8;;19,6;17,8;21,5;19,6;19,1;17,7;89;86;89;;;;
2025/01/01;0600 UTC;;961,8;962;961,8;;20,3;18,4;20,3;19,2;18,5;17,6;92;89;89;;;;
2025/01/01;0700 UTC;;961,7;961,8;961,6;;19;17,5;20,3;19;18,2;17,4;92;88;91;;;;
2025/01/01;0800 UTC;;961,9;961,9;961,6;;18,3;17;19,1;18,1;17,5;16,8;92;90;92;;;;
2025/01/01;0900 UTC;;962,5;962,5;961,9;;18,8;17,2;19;18,3;17,4;17,1;92;90;90;;;;
2025/01/01;1000 UTC;;963;963,1;962,4;177,4;20,3;18,2;20,3;18,9;18,2;17;91;86;88;;;;
2025/01/01;1100 UTC;;962,4;963,1;962,4;889,4;26,4;20,3;26,4;20,3;20,3;18,2;88;68;69;;;;
2025/01/01;1200 UTC;;961,7;962,4;961,6;1730,7;30,1;21,9;30,2;26,4;22,3;19,9;69;61;61;;;;
2025/01/01;1300 UTC;;962;962;961,6;2595,4;32;21,6;32;29,3;22,4;20,4;63;54;54;;;;
2025/01/01;1400 UTC;;962,6;962,6;962;3201,6;32;20,7;32,4;31,1;22,1;19,6;58;50;51;;;;
2025/01/01;1500 UTC;;962,2;962,6;962,1;3473,7;32,7;21,1;33,8;32;22,5;19,4;54;45;50;;;;
2025/01/01;1600 UTC;;961,9;962,2;961,9;3946,8;34,2;20,7;34,4;32,7;22;19,5;51;43;45;;;;
2025/01/01;1700 UTC;;961,4;961,9;961,4;3955,5;34,5;19,6;34,8;33,4;21,5;19,2;47;41;42;;;;
2025/01/01;1800 UTC;;960,7;961,4;960,7;3656,2;34,7;19,4;35,1;34,3;20,2;16,9;43;34;41;;;;
2025/01/01;1900 UTC;;960;960,8;960;3131,9;34,6;20,8;35,1;33,9;20,9;18,3;46;38;45;;;;
2025/01/01;2000 UTC;;959,2;960;959,2;2389,7;34,2;20,9;35,1;34;21,8;18,8;49;39;46;;;;
2025/01/01;2100 UTC;;958,8;959,2;958,8;1526,6;33,7;21,4;34,9;33,4;21,9;19;51;41;49;;;;
2025/01/01;2200 UTC;;959,4;959,4;958,8;564,2;30,3;21,9;33,8;30,3;22;20,9;61;48;61;;;;
2025/01/01;2300 UTC;;960,6;960,6;959,4;25,7;27,1;22,9;30,3;27,1;23,2;21,9;78;61;78;;;;
2025/01/02;0000 UTC;;961,4;961,5;960,6;;26,5;22,3;27,3;26,5;22,9;22,3;79;76;78;;;;
2025/01/02;0100 UTC;;962,3;962,3;961,4;;25,3;21,9;26,5;25,3;22,4;21,8;82;77;82;;;;
2025/01/02;0200 UTC;;963;963;962,3;;24,8;21,9;25,4;24,5;22;21,6;84;81;84;;;;
2025/01/02;0300 UTC;;963,2;963,2;962,9;;24,6;21,5;24,9;24,3;21,9;21,5;85;83;83;;;;
2025/01/02;0400 UTC;;962,7;963,3;962,7;;23,8;20,7;24,7;23,8;21,5;20,7;83;81;83;;;;
2025/01/02;0500 UTC;;962,2;962,7;962,2;;23,3;20,4;23,8;23,2;20,7;20,3;84;82;84;;;;
2025/01/02;0600 UTC;;961,7;962,1;961,7;;22,6;20,4;23,3;22,3;20,5;20,1;88;84;87;;;;
2025/01/02;0700 UTC;;961,2;961,7;961,2;;22,7;20,5;22,9;22,3;20,6;20,2;89;86;87;;;;
2025/01/02;0800 UTC;;961,4;961,4;961,2;;22,4;20,5;22,7;22,4;20,7;20,5;89;87;89;;;;
2025/01/02;0900 UTC;;961,7;961,7;961,3;;22,3;20,5;22,9;22,1;20,8;20,4;91;87;90;;;;
2025/01/02;1000 UTC;;961,6;961,9;961,6;171,7;23,8;20,7;24,1;22,3;21,3;20,4;90;82;82;;;;
2025/01/02;1100 UTC;;961,8;961,9;961,6;856,4;26,6;21,5;26,7;23,8;22,1;20,7;84;73;74;;;;
2025/01/02;1200 UTC;;962,1;962,1;961,5;1311,8;27,2;21,6;28,1;26,5;22;20,8;74;67;72;;;;
2025/01/02;1300 UTC;;962,4;962,5;962,1;1525,6;27,9;22;29,2;27,2;22,7;21,3;72;66;70;;;;
2025/01/02;1400 UTC;;964,5;964,6;962,3;640,1;22,4;21;28,1;21,5;22,1;19;92;69;92;;;;
2025/01/02;1500 UTC;;963;964,5;963;452,4;24,2;21,6;24,2;22,4;21,9;20,7;92;86;86;;;;
2025/01/02;1600 UTC;;960,9;963;960,9;1526;28,9;25,1;28,9;24,2;25,1;21,6;87;78;80;;;;
2025/01/02;1700 UTC;;959,1;960,9;959,1;1740,4;28,5;24,8;30,7;28,2;25,8;23,9;84;72;80;;;;
2025/01/02;1800 UTC;;961,2;961,7;959,1;552,4;22,9;20,5;28,5;22,3;24,6;19,5;92;71;86;;;;
2025/01/02;1900 UTC;;962,3;965;960,8;102,1;21,7;21;22,9;20,6;21,3;19,1;96;85;96;;;;
2025/01/02;2000 UTC;;961;962,3;961;18,3;21,8;21,1;22,1;21,1;21,4;20,5;96;96;96;;;;
