REGIAO:;CO
UF:;MS
ESTACAO:;SAO GABRIEL DO OESTE
CODIGO (WMO):;A732
LATITUDE:;-19,42027777
LONGITUDE:;-54,55305555
ALTITUDE:;646
DATA DE FUNDACAO:;18/12/06
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;0;936,2;936,2;935,7;;25,4;20,5;25,6;24,6;20,9;20,1;79;72;74;45;3,1;,1;
2025/01/01;0100 UTC;0;936,6;936,7;936,1;;24,1;20,4;25,4;23,9;21;20,2;82;74;80;47;1;0;
2025/01/01;0200 UTC;0;937,1;937,1;936,6;;23,3;20,1;24,3;23,1;20,6;20;83;79;82;197;0;0;
2025/01/01;0300 UTC;0;937;937,1;937;;23,3;20,6;23,8;22,9;20,7;20;85;82;85;276;0;0;
2025/01/01;0400 UTC;0;937,1;937,2;937;;21,1;19,5;23,3;21;20,5;19,3;91;85;91;147;3,9;0;
2025/01/01;0500 UTC;0;936,7;937,2;936,7;;21,7;19,8;22,3;21,1;20,1;19,5;91;87;89;157;1,9;,3;
2025/01/01;0600 UTC;0;936,5;936,7;936,5;;22,2;19,7;22,3;21,3;20,1;19,3;89;86;86;142;1,6;,4;
2025/01/01;0700 UTC;0;936,5;936,5;936,4;;21,4;19,5;22,2;21,4;19,9;19,3;89;86;89;83;1,4;0;
2025/01/01;0800 UTC;0;936,8;936,8;936,5;;20,8;19,6;21,6;20,3;19,9;18,9;93;89;93;252;1,2;,2;
2025/01/01;0900 UTC;0;937,5;937,5;936,8;;21,5;19,9;21,5;20,9;19,9;19,6;93;90;91;305;2,4;1,2;
2025/01/01;1000 UTC;0;938,2;938,2;937,5;125,4;22,3;20,5;22,3;21,1;20,5;19,4;92;89;90;152;2,4;0;
2025/01/01;1100 UTC;0;938,9;938,9;938,1;777,8;25,6;21,9;25,7;22,3;21,9;20,6;90;78;80;41;2,1;,6;
