REGIAO:;CO
UF:;MT
ESTACAO:;CUIABA
CODIGO (WMO):;A901
LATITUDE:;-15,60694444
LONGITUDE:;-56,06083333
ALTITUDE:;184
DATA DE FUNDACAO:;08/12/02
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;;;;;;;;;;;;;;;;;;
2025/01/01;0100 UTC;0;987,4;987,4;986,6;;29;20,7;29,7;28,5;21;20,5;64;58;61;83;1,6;,9;
2025/01/01;0200 UTC;0;988,3;988,3;987,4;;29,1;20,5;29,1;28,6;21,1;20,5;64;60;60;63;2;,9;
2025/01/01;0300 UTC;0;988,2;988,4;988,2;;29;20,1;29,1;28,9;20,5;20;61;58;59;51;2,1;,9;
2025/01/01;0400 UTC;0;987,8;988,2;987,8;;28,6;19,9;29;28,6;20,1;19,8;60;58;60;52;3;1,3;
2025/01/01;0500 UTC;0;987,6;987,8;987,5;;28,3;20,1;28,7;28,3;20,1;19,9;61;59;61;50;3,7;1,3;
2025/01/01;0600 UTC;0;987,2;987,6;987,2;;28,1;20,3;28,3;27,9;20,4;20,1;64;61;63;34;3,5;1,2;
2025/01/01;0700 UTC;0;987,2;987,2;987,1;;27,8;20,3;28,2;27,7;20,3;20,2;64;62;64;42;2,8;,9;
2025/01/01;0800 UTC;0;987,6;987,6;987,2;;27;20,6;27,8;26,8;20,6;20,3;68;64;68;353;2,5;1;
2025/01/01;0900 UTC;0;988,4;988,4;987,6;;26,6;21;27,3;25,9;21;20,5;74;67;71;331;2,2;,8;
2025/01/01;1000 UTC;0;989,1;989,1;988,4;51,8;27,3;20,9;27,3;26,6;21;20,7;71;68;68;8;3,1;1,2;
2025/01/01;1100 UTC;0;989,7;989,7;989,1;281,3;28,8;21,2;28,8;27,3;21,4;20,9;68;64;64;19;4,5;1,7;
2025/01/01;1200 UTC;0;990,2;990,3;989,7;1563;29,7;21,2;29,9;28,6;21,6;21;64;60;60;5;6,5;2,8;
2025/01/01;1300 UTC;0;990,5;990,5;990,2;2359,9;31,3;21,5;31,3;29,6;21,8;21;61;56;56;14;8,2;3,6;
2025/01/01;1400 UTC;0;990,6;990,6;990,4;3118,4;31,9;20,5;33;31,1;21,8;20,5;56;50;51;22;7,7;3,3;
2025/01/01;1500 UTC;0;990;990,6;989,9;2675,4;33,6;21,3;33,6;31,7;21,4;20,3;53;47;49;8;6,6;2,4;
2025/01/01;1600 UTC;0;989;990;989;3132,3;34,1;20,4;34,4;32,6;21,2;19,5;51;42;45;5;6,6;2,4;
2025/01/01;1700 UTC;0;988,3;989;988,3;3205,4;33,9;20,2;34,5;32,6;21,6;19,5;50;43;45;5;7,9;3,6;
2025/01/01;1800 UTC;0;987,1;988,2;987,1;3034;34,4;20,2;34,6;33,2;21,2;19,9;48;44;44;348;7,2;3,1;
2025/01/01;1900 UTC;0;985,9;987,1;985,9;3104,6;34,3;20,8;34,8;34,1;21,1;19,2;46;41;45;345;7,8;3,5;
2025/01/01;2000 UTC;0;985,5;985,9;985,5;1408,4;32,7;20,3;34,5;32,3;21,1;19,5;49;44;48;338;9,3;5;
2025/01/01;2100 UTC;0;985,3;985,5;985,2;960;31,7;20,1;32,8;31,7;20,3;19,2;50;46;50;339;9,3;4,1;
2025/01/01;2200 UTC;0;985,6;985,7;985,3;291;31,4;19,9;31,9;31,4;20,4;19,7;51;49;50;345;7,3;2,7;
2025/01/01;2300 UTC;0;986,2;986,2;985,6;8,1;31;20,5;31,5;30,8;20,6;20;54;50;54;355;4,7;1,4;
2025/01/02;0000 UTC;0;987,1;987,1;986,2;;30,3;20,9;31;30,3;20,9;20,4;57;53;57;2;4,1;1,4;
2025/01/02;0100 UTC;0;988;988;987,1;;30;21,7;30,4;30;21,7;20,9;61;57;61;21;4,6;2,1;
2025/01/02;0200 UTC;0;989,4;989,4;988;;29,5;21,8;30;29,5;21,8;21,6;63;61;63;4;4,9;2,2;
2025/01/02;0300 UTC;0;989,8;989,8;989,4;;29,2;21,3;29,5;29,1;21,9;21,3;64;63;63;26;5,4;2,1;
2025/01/02;0400 UTC;0;989,4;989,8;989,4;;28,7;21,3;29,2;28,7;21,4;21,1;65;62;65;23;6,2;2,1;
2025/01/02;0500 UTC;;;;;;;;;;;;;;;;;;
2025/01/02;0600 UTC;;;;;;;;;;;;;;;;;;
