REGIAO:;CO
UF:;MT
ESTACAO:;TANGARA DA SERRA
CODIGO (WMO):;A902
LATITUDE:;-14,65
LONGITUDE:;-57,43166666
ALTITUDE:;440,01
DATA DE FUNDACAO:;11/12/02
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;0;958,2;958,2;957,6;0;25,8;22,6;26,9;25,8;23,3;22,6;83;80;83;241;3;2,2;
2025/01/01;0100 UTC;0;959,1;959,1;958,2;0;25;22,3;25,8;25;22,7;22,3;85;83;85;220;3,1;1,3;
2025/01/01;0200 UTC;0;959,8;959,8;959,1;0;24,9;22,3;25,2;24,9;22,4;22,2;86;84;86;205;3,1;2,1;
2025/01/01;0300 UTC;0;960,1;960,2;959,8;0;24,3;22,1;24,9;24,3;22,3;22,1;88;86;88;208;3;0;
2025/01/01;0400 UTC;0;959,9;960,1;959,9;0;23,9;21,9;24,3;23,9;22,2;21,8;89;88;89;204;2,6;0;
2025/01/01;0500 UTC;0;959,4;959,9;959,4;0;23,4;21,6;24;23,4;21,9;21,5;89;88;89;161;2,4;0;
2025/01/01;0600 UTC;0;959,2;959,4;959,1;0;23,7;21,8;23,8;23,4;21,8;21,5;90;89;89;205;3,4;1,1;
2025/01/01;0700 UTC;0;959,1;959,3;959,1;0;22,7;21,2;23,7;22,7;21,8;21,2;91;89;91;162;2,7;0;
2025/01/01;0800 UTC;0;959;959,1;958,9;0;23,1;21,4;23,2;22,7;21,7;21,3;92;90;91;169;2,9;1,8;
2025/01/01;0900 UTC;0;959,7;959,7;959;0;22,8;21,3;23,1;22,8;21,6;21,3;92;91;91;171;3,2;0;
2025/01/01;1000 UTC;0;960,6;960,6;959,7;72,8;24,2;22,4;24,3;22,7;22,5;21,2;92;89;89;187;0;0;
2025/01/01;1100 UTC;0;961,1;961,1;960,6;688,1;25,5;22,7;25,5;24,1;22,8;22,1;89;85;85;150;0;0;
2025/01/01;1200 UTC;0;961,7;961,7;961,1;1629,4;26,6;22,2;26,6;25,4;23;22,1;85;77;77;136;4,8;2,4;
2025/01/01;1300 UTC;0;962,2;962,2;961,7;2347,7;28;22;28,3;26,4;23,3;21,9;78;70;70;112;4,9;2,7;
2025/01/01;1400 UTC;0;962,3;962,3;962,1;3105,3;29,3;23,7;29,7;27,9;23,7;22,1;74;67;72;121;5,8;3,5;
2025/01/01;1500 UTC;,2;961,8;962,3;961,8;2554,9;28,1;24,2;29,9;26,9;24,2;22,5;81;66;80;184;8,1;1,6;
2025/01/01;1600 UTC;6;961,2;961,8;961,2;2550,5;26,2;23,9;30,4;23,5;25,1;21,4;92;62;87;47;8,5;,6;
2025/01/01;1700 UTC;2,6;960,5;961,2;960,5;2152,9;25,2;23;28;23,5;23,9;21,4;91;73;88;180;9,3;2;
2025/01/01;1800 UTC;,4;959,1;960,5;959,1;2406,5;28,1;22,9;28,1;25,2;25,1;22,5;88;72;74;134;4,4;1,9;
2025/01/01;1900 UTC;0;958,3;959,1;958,3;2805;29,5;22,5;30,7;28,1;23,9;22,1;74;62;66;132;4,1;2,3;
2025/01/01;2000 UTC;0;957,5;958,6;957,5;1311;27,2;23,9;29,5;27,2;24,4;22,4;83;66;82;144;8,1;3,3;
2025/01/01;2100 UTC;0;957,3;957,6;957,3;528,7;26,3;23,3;27,2;26,2;24,1;23,3;86;81;84;180;5;2,7;
2025/01/01;2200 UTC;0;957,8;957,8;957,2;174,8;25,3;23,3;26,3;25,3;23,5;23,2;89;83;89;168;3,9;1,9;
2025/01/01;2300 UTC;0;958;958,1;957,8;9,9;24,8;23;25,3;24,7;23,3;23;91;89;90;190;2,6;1,6;
2025/01/02;0000 UTC;0;959,1;959,1;957,9;0;24,6;22,6;25;24,5;23;22,6;90;88;89;156;3,2;1,9;
2025/01/02;0100 UTC;0;960,3;960,3;959,1;0;24,2;22,5;24,6;24,2;22,7;22,5;90;89;90;149;3,1;2,3;
2025/01/02;0200 UTC;0;961,3;961,3;960,3;0;24,2;22,6;24,3;24,1;22,7;22,6;92;90;91;149;3,1;1,3;
2025/01/02;0300 UTC;0;961,7;961,7;961,3;0;23,8;22,5;24,2;23,7;22,6;22,4;93;91;92;138;3,1;,5;
2025/01/02;0400 UTC;0;961;961,7;960,9;0;24;22,1;24,4;23,7;22,7;22,1;93;88;89;117;4;2,7;
2025/01/02;0500 UTC;0;960,8;961;960,8;0;23,5;22;24,2;23,5;22,2;22;91;89;91;149;4,6;2,4;
2025/01/02;0600 UTC;0;961,1;961,1;960,7;0;23,3;21,9;23,6;23,2;22,1;21,9;93;91;92;149;3,4;2;
2025/01/02;0700 UTC;0;960,3;961,1;960,3;0;23,1;22;23,3;23;22;21,8;93;92;93;127;3;2;
2025/01/02;0800 UTC;0;960,2;960,4;960,1;0;22,7;21,8;23,1;22,6;22;21,7;95;93;95;115;3,4;1,6;
2025/01/02;0900 UTC;0;960,9;960,9;960,2;0;22,7;21,8;22,7;22,4;21,8;21,6;95;95;95;153;2,5;1,5;
2025/01/02;1000 UTC;0;961,2;961,2;960,9;37,6;22,7;21,9;22,8;22,5;21,9;21,6;95;94;95;158;3,6;2,3;
2025/01/02;1100 UTC;0;961,9;961,9;961,2;427,4;23,7;22,5;23,7;22,7;22,5;21,9;95;93;93;161;4,3;2,6;
2025/01/02;1200 UTC;0;962,4;962,4;961,8;954,4;24,5;22,5;24,7;23,7;22,9;22,3;93;88;88;115;4,9;2,1;
2025/01/02;1300 UTC;0;963,2;963,2;962,4;1431,3;25,8;22,6;26;24,5;23,3;22,4;89;82;83;92;4,9;2,3;
2025/01/02;1400 UTC;0;963,6;963,7;963,2;1562,8;27,2;22,8;27,6;25,7;23,5;22,3;84;76;77;95;4,5;1,7;
2025/01/02;1500 UTC;0;962,9;963,6;962,9;1637;27,8;23,4;28,3;27,1;23,4;22,4;77;72;77;88;6;2,9;
2025/01/02;1600 UTC;1,2;961,9;962,9;961,9;1678,1;24,8;21,7;28,2;23,5;23,6;20,9;89;74;83;171;9,4;2,2;
2025/01/02;1700 UTC;0;961;961,9;961;2706,5;27,1;22,7;27,6;24,7;23,6;22;86;73;77;187;4,9;2,5;
2025/01/02;1800 UTC;4,6;960,7;961,5;960,7;855,6;23,8;22,4;27,2;23;23,2;21,4;94;77;92;121;8,9;2,7;
2025/01/02;1900 UTC;0;960;961;960;1153,5;24,6;22,7;24,7;23,7;22,9;22;93;88;89;154;6;3,4;
