REGIAO:;CO
UF:;MT
ESTACAO:;GUARANTA DO NORTE
CODIGO (WMO):;A906
LATITUDE:;-9,9525
LONGITUDE:;-54,89777777
ALTITUDE:;283,58
DATA DE FUNDACAO:;20/12/02
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;;976,7;976,7;976,1;;26,3;23,4;26,5;26,1;23,7;23;86;81;84;35;1,6;,3;
2025/01/01;0100 UTC;;977,8;977,8;976,7;;26,2;23,5;26,5;25,5;23,7;23,1;89;82;85;346;1,6;,9;
2025/01/01;0200 UTC;;978,4;978,5;977,8;;25,6;22,6;26,2;25,6;23,4;22,5;85;81;83;8;3,8;1,4;
2025/01/01;0300 UTC;;978,7;978,8;978,4;;25,2;22,8;25,6;25;22,9;22,6;87;83;87;17;3,2;1,1;
2025/01/01;0400 UTC;;978,4;978,8;978,4;;25,1;22,6;25,2;24,9;22,8;22,6;88;86;86;54;3,3;,9;
2025/01/01;0500 UTC;;977,9;978,5;977,9;;23,9;22,5;25,2;23,9;22,7;22,5;92;85;92;59;4,1;1,2;
2025/01/01;0600 UTC;;977,2;977,9;977,2;;23,5;22,5;23,9;23,4;22,6;22,4;95;92;95;31;4;,2;
2025/01/01;0700 UTC;;976,8;977,2;976,8;;23,2;22,3;23,6;23,2;22,7;22,3;95;94;95;292;1,8;,2;
2025/01/01;0800 UTC;;976,9;976,9;976,7;;22,9;22;23,3;22,9;22,5;22;96;95;95;295;1,9;0;
2025/01/01;0900 UTC;;977,7;977,7;976,9;;23,3;22,5;23,3;22,9;22,6;22,1;96;95;96;167;1;0;
2025/01/01;1000 UTC;;978,4;978,4;977,6;24,3;23,5;22,8;23,6;23,1;22,9;22,4;96;95;96;174;1,7;,3;
2025/01/01;1100 UTC;;979,6;979,6;978,4;266,3;24,3;23,2;24,3;23,4;23,3;22,7;96;93;93;54;1,5;,5;
2025/01/01;1200 UTC;;980,3;980,3;979,6;653;25,4;23;25,4;24,2;23,3;22,7;93;87;87;54;2,2;,8;
2025/01/01;1300 UTC;;980,5;980,5;980,3;747,7;26,5;23,8;26,5;25,3;23,8;22,8;87;84;85;38;2,5;,5;
2025/01/01;1400 UTC;;980,5;980,6;980,5;1465,3;28,2;24,2;28,4;26,5;24,6;23,5;85;77;79;38;3,4;,7;
2025/01/01;1500 UTC;;979,9;980,5;979,9;2058;30,3;24,4;30,3;28;24,7;23,5;80;71;71;38;3,6;1,2;
2025/01/01;1600 UTC;;978,7;980;978,7;1610,6;25,4;24,2;30,9;23,1;24,5;21,5;95;66;93;245;10,5;,2;
2025/01/01;1700 UTC;;977,4;978,7;977,4;3500,7;30,1;23,9;31,2;25,4;25,4;23,2;93;64;69;271;3,6;,7;
2025/01/01;1800 UTC;;975,9;977,4;975,9;1270,4;28,3;23,7;31,1;27,4;26,1;22,4;79;68;76;237;4,1;,3;
2025/01/01;1900 UTC;;975,1;976;975,1;2511,2;31,3;24,8;32,2;28,3;25,4;23,6;78;63;69;270;4,8;,6;
2025/01/01;2000 UTC;;974,7;975,1;974,6;903,4;28,6;24;31,9;28,6;24,8;23,4;77;64;76;234;3,5;1,1;
2025/01/01;2100 UTC;;975,5;975,6;974,6;276;27,1;23,8;28,6;27,1;24,6;23,4;83;76;82;257;5,6;1;
2025/01/01;2200 UTC;;976,4;976,4;975,4;42,6;26,5;23,9;27,1;26,5;24,1;23,7;86;82;85;226;3,5;2;
2025/01/01;2300 UTC;;976,6;976,6;976,3;;24,7;22,8;26,5;24,7;24;22,6;89;85;89;180;3,4;0;
2025/01/02;0000 UTC;;977,2;977,3;976,6;;23,9;22,3;24,7;23,9;22,9;22,2;91;89;91;185;1,8;,5;
2025/01/02;0100 UTC;;978,4;978,4;977,2;;23,7;22,1;24,1;23,6;22,5;22;92;90;91;117;1,5;0;
2025/01/02;0200 UTC;;979,7;979,8;978,4;;23,8;22,3;23,8;23,6;22,3;21,8;91;90;91;127;,4;0;
2025/01/02;0300 UTC;;979,3;979,8;979,3;;23,9;22,5;24,1;23,8;22,5;22,1;92;90;92;332;,9;,1;
2025/01/02;0400 UTC;;979;979,3;978,9;;24,1;23,1;24,1;23,7;23,1;22,5;94;92;94;225;1,3;,1;
2025/01/02;0500 UTC;;978,8;979;978,5;;24,1;23;24,4;24,1;23,5;23;95;94;94;68;2,3;,4;
2025/01/02;0600 UTC;;978,1;978,8;978;;23,3;22,5;24,2;23,3;23,2;22,5;95;94;95;111;2,3;,1;
2025/01/02;0700 UTC;;977,7;978,4;977,5;;22,5;21,9;23,5;21,8;22,8;21,3;97;95;97;231;7,5;1,5;
2025/01/02;0800 UTC;;978;978,1;977,6;;21,7;21,2;22,7;21,7;22,1;21,2;97;96;96;126;3,3;0;
2025/01/02;0900 UTC;;978,9;979;978;;21,8;21,3;22,1;21,7;21,6;21,2;97;96;97;193;1,9;,3;
2025/01/02;1000 UTC;;979,9;979,9;978,9;,6;21,7;21,2;21,9;21,7;21,5;21,2;97;97;97;141;1,4;0;
2025/01/02;1100 UTC;;980,8;980,8;979,9;31,5;22;21,5;22;21,6;21,6;21,1;97;97;97;167;1;,1;
2025/01/02;1200 UTC;;981,5;981,5;980,8;132,5;22,3;21,8;22,4;21,9;21,9;21,4;97;97;97;183;1,8;,3;
2025/01/02;1300 UTC;;981,9;981,9;981,5;350,6;22,9;22,2;23;22,3;22,4;21,8;97;96;96;216;4;1,9;
2025/01/02;1400 UTC;;981,8;982,1;981,8;596,4;23,8;22,6;23,8;22,9;22,6;22,1;96;92;93;204;4,3;2,4;
2025/01/02;1500 UTC;;981,5;981,9;981,5;695,6;24,5;22,5;24,6;23,7;22,9;22,1;93;88;89;232;4,1;,7;
2025/01/02;1600 UTC;;980,6;981,5;980,6;1188,8;26,8;24;26,8;24,5;24;22,4;90;84;85;262;2,3;,7;
2025/01/02;1700 UTC;;979,2;980,6;979,2;2448;27;23,2;27,8;26,2;24,1;22,4;85;76;80;293;3,6;1,1;
2025/01/02;1800 UTC;;977,8;979,2;977,8;2368,3;27,9;24,1;28,8;27;24,3;22,9;81;74;80;237;4,7;1,8;
2025/01/02;1900 UTC;;976,9;977,9;976,9;2092,8;28,1;23,5;29,4;27,7;24,5;22,8;80;71;76;266;4,7;,9;
2025/01/02;2000 UTC;;976,6;976,9;976,5;1690,2;28,6;23,4;29,4;28;24,4;22,8;77;71;74;230;4,7;2,1;
2025/01/02;2100 UTC;;976,8;976,8;976,5;794,4;27,2;23;29,7;27,2;24,4;22,6;80;70;78;256;4,7;1,1;
2025/01/02;2200 UTC;;977,1;977,1;976,7;124;26,2;23,6;27,3;26,2;23,8;23;85;78;85;269;3,6;0;
2025/01/02;2300 UTC;;978,3;978,3;977,1;;25,4;23,5;26,2;25,4;23,7;23,3;90;85;89;245;1,5;0;
2025/01/03;0000 UTC;;979,2;979,3;978,3;;24,7;23,4;25,4;24,7;23,5;23,3;92;89;92;114;,7;0;
2025/01/03;0100 UTC;;980;980;979,2;;24,6;23,4;24,8;24,6;23,6;23,4;93;92;93;359;2,2;1,1;
2025/01/03;0200 UTC;;980;980,4;980;;24,9;22,8;25,1;24,6;23,4;22,8;93;88;88;25;3,5;1,3;
2025/01/03;0300 UTC;;980,5;980,6;980;;24,5;22,2;24,9;24,4;22,8;21,9;88;86;87;36;2,5;,4;
2025/01/03;0400 UTC;;980;980,5;980;;23,6;21,9;24,5;23,6;22,4;21,9;90;87;90;81;2,3;,4;
2025/01/03;0500 UTC;;979,4;980;979,4;;23,1;21,8;23,6;23,1;21,9;21,6;92;90;92;81;2,7;,9;
2025/01/03;0600 UTC;;978,5;979,4;978,5;;22,9;21,7;23,1;22,8;21,8;21,7;93;92;93;66;3,8;,7;
2025/01/03;0700 UTC;;977,7;978,6;977,7;;22,6;21,4;22,9;22,6;21,7;21,4;93;92;93;102;3,5;,2;
2025/01/03;0800 UTC;;977,6;977,7;977,4;;22,4;21,4;22,6;22,3;21,5;21,4;95;93;94;164;2,2;0;
2025/01/03;0900 UTC;;978,3;978,3;977,6;;22,2;21,4;22,4;22,2;21,5;21,3;95;94;95;186;1,3;0;
2025/01/03;1000 UTC;;979,3;979,3;978,3;17,4;22,4;21,7;22,4;22,1;21,7;21,3;96;95;96;186;0;0;
2025/01/03;1100 UTC;;980,1;980,1;979,3;203;23,2;22;23,2;22,4;22,1;21,6;96;93;93;171;,8;0;
2025/01/03;1200 UTC;;980,6;980,6;980,1;577,4;24,5;22,2;24,6;23,1;22,3;21,7;93;87;87;330;1;,2;
2025/01/03;1300 UTC;;981;981;980,6;1021,7;26,3;22,8;26,3;24,5;22,8;21,6;87;79;81;81;1,4;,1;
2025/01/03;1400 UTC;;980,8;981;980,7;1230,1;27,6;22,6;27,7;26,2;23,1;21,4;82;74;74;118;1,5;0;
2025/01/03;1500 UTC;;980,1;980,8;980,1;2933,4;30,7;22,1;30,8;27,4;23,3;20,9;76;57;60;134;2,4;,5;
2025/01/03;1600 UTC;;979,3;980,2;979,3;3417,1;30,4;22,4;31,5;30,2;23,4;21,6;67;57;62;223;4;1,8;
2025/01/03;1700 UTC;;978,5;979,3;978,5;3364;31,4;22,4;31,7;30,4;24;22,3;65;59;59;215;5,8;2,9;
2025/01/03;1800 UTC;;977,4;978,5;977,4;1968,8;32,2;22,8;32,5;30,2;24,7;21,9;67;56;58;187;5,9;,6;
2025/01/03;1900 UTC;;975,7;977,4;975,7;1438,6;30,9;23,2;32,7;29,8;24,3;21,4;70;53;64;198;3,9;1,2;
2025/01/03;2000 UTC;;974,4;975,7;974,4;1255,7;32,6;22;32,9;30,3;24,1;21,7;68;53;54;162;3,9;,3;
2025/01/03;2100 UTC;;974;974,5;974;1018,3;31,4;23,5;33,4;31,2;24,1;21,9;65;53;63;172;2,6;,5;
2025/01/03;2200 UTC;;974,7;974,8;974;220,5;27,7;23,7;31,8;27,7;24,1;22;79;60;79;165;2,4;,1;
2025/01/03;2300 UTC;;976;976;974,7;;26,4;23,8;27,7;26,4;24,2;23,5;86;79;86;109;,9;0;
2025/01/04;0000 UTC;;977,4;977,5;976;;26,1;24;26,4;25,9;24;22,8;88;81;88;146;,7;0;
2025/01/04;0100 UTC;;977,9;978;977,4;;26,5;22,9;26,7;25,9;24,2;22,9;89;81;81;245;4,4;2,1;
2025/01/04;0200 UTC;;978,6;978,8;977,9;;25,5;22,9;26,5;25,4;23,3;22,7;87;81;86;285;4,4;,5;
2025/01/04;0300 UTC;;978,6;979;978,6;;24,5;22,9;25,9;24,5;23,2;22,7;91;84;91;154;2,1;0;
2025/01/04;0400 UTC;;978,6;978,8;978,5;;24;22,8;24,7;24;23;22,6;93;89;93;271;1,3;0;
