REGIAO:;CO
UF:;MT
ESTACAO:;SAPEZAL
CODIGO (WMO):;A911
LATITUDE:;-13,30388888
LONGITUDE:;-58,76333333
ALTITUDE:;105
DATA DE FUNDACAO:;20/10/17
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;0;946,9;946,9;946;0;22,7;22,3;23,5;22,7;22,8;22,3;98;95;98;323;3;1,9;
2025/01/01;0100 UTC;0;947,5;947,5;946,9;0;22,3;22;22,7;22,3;22,3;22;98;98;98;335;2,9;2,4;
2025/01/01;0200 UTC;0;947,9;947,9;947,5;0;22,1;21,4;22,4;22,1;22;21,4;98;96;96;322;2,9;2,1;
2025/01/01;0300 UTC;0;948,5;948,5;947,9;0;21,8;21,4;22,1;21,7;21,5;21,3;98;96;98;332;2,9;1,4;
2025/01/01;0400 UTC;0;948,6;948,8;948,5;0;21,5;21,3;21,9;21,4;21,5;21,1;98;98;98;346;2,4;1,7;
2025/01/01;0500 UTC;0;948,1;948,6;948,1;0;21,2;21,1;21,6;21;21,3;20,9;99;98;99;319;2,7;2;
2025/01/01;0600 UTC;0;947,7;948,1;947,7;0;22;21,9;22;21,2;21,9;21,1;99;99;99;319;2,8;1,9;
2025/01/01;0700 UTC;0;947,3;947,7;947,3;0;21,7;21,6;22,1;21,7;22;21,6;99;99;99;297;2,7;1,7;
2025/01/01;0800 UTC;0;947,3;947,3;947,3;0;21,9;21,8;21,9;21,5;21,8;21,4;99;99;99;314;2;,2;
2025/01/01;0900 UTC;0;948;948;947,4;0;21,4;21,3;22;21,4;21,9;21,3;99;99;99;314;2;1,6;
2025/01/01;1000 UTC;0;948,8;948,8;948;42,3;21,4;21,3;21,4;20,9;21,3;20,8;99;99;99;327;2;1,2;
2025/01/01;1100 UTC;0;949,6;949,6;948,8;426,1;22,8;22,6;22,8;21,4;22,7;21,3;99;99;99;16;3,7;2,4;
2025/01/01;1200 UTC;0;950,5;950,5;949,6;817,2;23,6;22,7;23,9;22,8;23,5;22,6;99;95;95;347;5,3;3,5;
2025/01/01;1300 UTC;0;951,1;951,1;950,5;1791,7;25,2;22,9;25,4;23,6;23,5;22,6;95;86;87;328;6,1;4,2;
2025/01/01;1400 UTC;0;951,2;951,3;951,1;2677,1;26,4;23,4;26,6;25,2;24,3;22,9;89;84;84;342;7,8;5,4;
2025/01/01;1500 UTC;0;950,7;951,2;950,7;2441,9;26,3;23,6;26,8;25,3;24,6;23,2;92;83;85;331;8,3;5,5;
2025/01/01;1600 UTC;0;949,8;950,7;949,8;2251,4;27,6;25,1;27,7;25,9;25,1;23,3;87;81;86;306;7,9;3,5;
2025/01/01;1700 UTC;,4;948,8;949,8;948,8;1335,1;27,1;23,4;27,6;25,5;24,6;23,1;90;78;80;318;6,5;2,1;
2025/01/01;1800 UTC;0;947,3;948,8;947,3;2260;24,6;23;27,8;24,6;24,9;22,8;91;79;91;342;9,3;5,7;
2025/01/01;1900 UTC;,2;946,4;947,3;946,4;2149,2;27,2;24,2;27,6;24,6;24,9;23,2;93;81;84;347;7,8;3,8;
2025/01/01;2000 UTC;1,8;945,9;946,5;945,9;765;25,6;23,4;28,1;25,3;24,7;22,6;89;79;88;347;6,8;2,8;
2025/01/01;2100 UTC;0;946,3;946,3;945,9;236,2;24,2;22,8;25,6;24,1;23,8;22,2;95;88;92;270;6,9;4;
2025/01/01;2200 UTC;0;946,5;946,5;946,2;239,2;24,5;23,9;24,7;24,2;24;22,9;96;92;96;340;6,1;3;
2025/01/01;2300 UTC;0;947,2;947,3;946,5;20;23,3;22,4;24,5;23,3;23,9;22,4;96;94;95;304;4,4;3,3;
2025/01/02;0000 UTC;0;948,4;948,4;947,2;0;22,8;22,3;23,3;22,8;22,7;22,3;97;95;97;324;6,5;3,6;
2025/01/02;0100 UTC;,2;948,7;948,7;948,4;0;22,8;22,2;22,8;22,6;22,3;22,1;97;97;97;308;6,2;2,9;
2025/01/02;0200 UTC;0;949,8;949,8;948,7;0;22,4;22,1;22,8;22,2;22,2;21,8;98;96;98;304;4,8;3;
2025/01/02;0300 UTC;0;949,9;950,4;949,9;0;22,2;22;22,5;22;22,1;21,7;99;98;99;342;4,3;2,1;
2025/01/02;0400 UTC;0;949,4;949,9;949,1;0;22,2;21,9;22,4;22,2;22,1;21,9;99;98;99;329;4,7;1,7;
2025/01/02;0500 UTC;0;949,5;949,5;949,1;0;22,1;21,9;22,2;22,1;22;21,9;99;99;99;345;5,7;1,9;
2025/01/02;0600 UTC;,2;949,6;949,6;949,3;0;22,1;21,9;22,2;22,1;22;21,8;99;99;99;344;3,8;2,3;
2025/01/02;0700 UTC;0;949,1;949,6;949,1;0;22;21,8;22,1;22;21,9;21,8;99;99;99;317;3,6;,1;
2025/01/02;0800 UTC;,2;949;949,1;948,9;0;22;21,8;22,1;22;21,9;21,8;99;99;99;300;3,3;2,3;
2025/01/02;0900 UTC;4,2;949,3;949,3;949;0;21,9;21,8;22;21,9;21,8;21,7;99;99;99;290;3,3;1,9;
2025/01/02;1000 UTC;2,8;950,1;950,1;949,3;3,1;22;21,9;22;21,9;21,9;21,7;99;99;99;314;3,9;2,2;
2025/01/02;1100 UTC;2,4;950,9;950,9;950,1;48,1;22;21,9;22;22;21,9;21,8;99;99;99;281;4,2;2,4;
2025/01/02;1200 UTC;,8;951,8;951,8;950,9;107;22,1;21,9;22,1;22;22;21,8;99;99;99;264;4;1,9;
2025/01/02;1300 UTC;17;952,1;952,3;951,8;89;21,8;21,6;22,1;21,7;21,9;21,6;99;99;99;304;4,8;2,9;
2025/01/02;1400 UTC;4;952,5;952,5;952,1;186,8;22,2;22;22,2;21,8;22;21,6;99;99;99;309;4,5;2,1;
2025/01/02;1500 UTC;,8;952,3;952,5;952,3;440,5;22,6;22,2;22,8;22,2;22,5;22;99;97;97;295;6,3;4,2;
2025/01/02;1600 UTC;,8;950,9;952,3;950,9;895,7;22,8;22,2;22,9;22,4;22,4;21,9;98;97;97;289;9,9;6;
2025/01/02;1700 UTC;0;950;950,9;950;1560,3;23,7;22,3;23,7;22,7;22,4;21,7;97;90;92;266;9,8;5,3;
2025/01/02;1800 UTC;0;949,2;950;949,2;1599,9;24,5;22,3;24,6;23,7;22,6;21,8;92;86;88;267;7,5;4,7;
2025/01/02;1900 UTC;0;949;949,2;948,9;1469,7;24,9;22,3;25;24,4;22,8;22;89;85;86;260;8,9;4,7;
2025/01/02;2000 UTC;0;948,8;949,2;948,8;1224,3;25,1;22,1;25,2;24,7;22,8;22,1;88;84;84;289;6,6;3,8;
2025/01/02;2100 UTC;0;948;948,8;948;837,1;24,4;22,2;25,2;24,3;22,6;21,5;88;81;88;311;5,3;2,3;
2025/01/02;2200 UTC;0;947,9;948;947,7;309,2;23,5;21,9;24,5;23,5;22,6;21,7;91;88;91;304;3,6;1,1;
2025/01/02;2300 UTC;0;948,2;948,2;947,8;16,7;22,7;21,9;23,5;22,7;22,1;21,8;95;91;95;41;1,6;0;
2025/01/03;0000 UTC;0;948,4;948,5;948,2;0;21,7;21,2;22,7;21,6;21,9;21,1;97;95;97;324;2,9;2,2;
2025/01/03;0100 UTC;0;949,2;949,2;948,4;0;21,7;20,9;21,9;21,4;21,2;20,8;97;95;95;300;2,8;,4;
2025/01/03;0200 UTC;0;950,2;950,2;949,2;0;21,7;21,1;22,1;21,4;21,5;20,7;97;95;96;128;2;0;
2025/01/03;0300 UTC;0;950,5;950,5;950,2;0;21;20,6;21,7;20,9;21,1;20,5;98;96;98;110;1,7;,9;
2025/01/03;0400 UTC;0;950;950,5;950;0;21,6;21,3;21,6;21;21,3;20,7;98;98;98;70;1,4;1;
2025/01/03;0500 UTC;0;949,5;950;949,5;0;21,3;21,1;21,6;21;21,4;20,8;99;98;99;41;1,4;0;
2025/01/03;0600 UTC;0;949,3;949,6;949,3;0;21,1;21;21,3;20,9;21,1;20,7;99;99;99;19;5,9;3;
2025/01/03;0700 UTC;0;949;949,3;949;0;21,3;21,2;21,4;21,1;21,3;21;99;99;99;4;4,7;1,9;
2025/01/03;0800 UTC;0;949,2;949,2;948,8;0;20,9;20,8;21,3;20,9;21,2;20,8;100;99;100;270;3;0;
2025/01/03;0900 UTC;0;949,3;949,3;949,2;0;20,8;20,7;20,9;20,7;20,9;20,6;100;100;100;248;0;0;
