REGIAO:;CO
UF:;MT
ESTACAO:;QUERENCIA
CODIGO (WMO):;A916
LATITUDE:;-12,60305555
LONGITUDE:;-52,1625
ALTITUDE:;355
DATA DE FUNDACAO:;18/07/07
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;0;969,5;969,5;968,7;0;24,1;22,7;24,8;24,1;23,5;22,7;93;92;92;236;1,9;,5;
2025/01/01;0100 UTC;0;970,3;970,3;969,5;0;24,2;22,5;24,2;23,6;22,7;22,3;93;91;91;236;3,1;1,8;
2025/01/01;0200 UTC;0;970,6;970,6;970,2;0;24,3;22,7;24,3;24;22,8;22,5;92;90;91;236;3,2;1,8;
2025/01/01;0300 UTC;0;970,7;970,7;970,5;0;23,3;22,1;24,3;23,3;22,7;22,1;93;91;93;236;2,9;,5;
2025/01/01;0400 UTC;0;970,6;970,9;970,6;0;22,7;21,3;23,3;22,7;22,2;21,3;94;90;92;236;2,2;,5;
2025/01/01;0500 UTC;0;970;970,6;970;0;22,5;21;22,7;22,3;21,4;20,9;93;92;92;236;1,4;0;
2025/01/01;0600 UTC;0;969,6;970;969,6;0;22,2;21,2;22,5;21,6;21,2;20,5;95;91;94;236;1,1;0;
2025/01/01;0700 UTC;0;969,2;969,7;969,2;0;21,8;20,9;22,3;21,8;21,2;20,9;95;94;95;236;0;0;
2025/01/01;0800 UTC;0;969,5;969,5;969,2;0;22,3;21,3;22,3;21,7;21,6;20,8;96;94;94;236;0;0;
2025/01/01;0900 UTC;0;969,9;969,9;969,4;0;22,3;21,3;22,3;22,2;21,4;21,2;95;94;94;236;0;0;
2025/01/01;1000 UTC;0;970,8;970,8;969,9;10,2;22,3;21,4;22,3;22,1;21,4;21,2;95;93;94;236;0;0;
2025/01/01;1100 UTC;0;971,8;971,8;970,8;305,5;23,6;22,1;24,2;22,3;22,5;21,4;95;89;91;236;0;0;
2025/01/01;1200 UTC;0;972,3;972,3;971,8;874,2;25,6;22,4;25,9;23,6;23,1;22;92;82;83;236;2,5;,5;
2025/01/01;1300 UTC;0;972,8;972,8;972,3;1627,9;26,4;23;27;25,6;24;22,4;86;81;81;236;2,9;1;
2025/01/01;1400 UTC;0;973,1;973,1;972,8;1598,7;27,2;23,8;27,2;26,2;24,1;23,2;85;81;82;236;3;1,2;
2025/01/01;1500 UTC;0;972,8;973,1;972,8;2159,7;27,9;24,1;28,3;27,2;24,8;23,4;85;77;79;236;4,1;1;
2025/01/01;1600 UTC;0;971,9;972,8;971,9;2417,3;29,1;24,4;29,1;28;24,8;23,4;81;72;76;236;5,3;2,9;
2025/01/01;1700 UTC;0;970,8;971,9;970,8;2822,5;29,8;24,5;30;28,9;25,3;23,8;78;71;73;236;6,6;1;
2025/01/01;1800 UTC;0;968,9;970,8;968,9;3203,2;31,6;23,5;31,6;29,8;25,4;22,1;76;59;62;236;4,1;,2;
2025/01/01;1900 UTC;0;968,2;968,9;968,2;2458,4;29,9;23,5;31,6;29,9;24,4;21,4;70;54;69;236;3,1;1;
2025/01/01;2000 UTC;0;968;968,3;968;984,2;28,4;24,5;29,8;28,4;24,8;23,3;79;68;79;236;4,6;1,2;
2025/01/01;2100 UTC;0;967,6;968,1;967,6;712,3;27,5;23;28,5;27,5;24,4;23;82;76;76;236;5,3;1,6;
2025/01/01;2200 UTC;0;967,8;967,8;967,4;370,1;27,3;23,4;27,7;27,1;23,8;23;82;76;80;236;4,1;0;
2025/01/01;2300 UTC;0;968,4;968,4;967,7;41,1;25,9;23,6;27,3;25,9;24,1;23,4;88;80;87;236;0;0;
2025/01/02;0000 UTC;0;969,4;969,4;968,4;0;25,4;22,6;25,9;25,4;23,7;22,6;89;84;84;236;0;0;
2025/01/02;0100 UTC;0;970,3;970,4;969,4;0;24,6;22,4;25,4;24,6;22,7;22,3;88;84;88;236;0;0;
2025/01/02;0200 UTC;0;970,7;970,9;970,3;0;24,1;22,7;24,8;24,1;22,7;22,4;92;88;92;236;0;0;
2025/01/02;0300 UTC;0;971,2;971,2;970,7;0;23,6;22,4;24,2;23,6;22,7;22,4;93;91;93;236;0;0;
2025/01/02;0400 UTC;0;971,1;971,4;971,1;0;23,4;22,5;23,8;23,3;22,7;22,3;95;93;95;236;0;0;
2025/01/02;0500 UTC;0;970,5;971,1;970,5;0;23,3;22,3;23,8;23,3;22,9;22,3;95;93;94;236;0;0;
2025/01/02;0600 UTC;0;969,9;970,5;969,9;0;22,7;22;23,3;22,7;22,4;22;96;94;96;236;0;0;
2025/01/02;0700 UTC;0;969,7;969,9;969,6;0;23;22,2;23,2;22,6;22,5;21,9;96;95;95;236;,7;0;
2025/01/02;0800 UTC;0;970,2;970,3;969,7;0;23,3;22,3;23,3;23;22,4;22,1;96;94;94;236;,7;0;
2025/01/02;0900 UTC;0;970,1;970,2;969,9;0;23;22,1;23,3;23;22,3;22,1;95;94;95;236;0;0;
