REGIAO:;CO
UF:;MT
ESTACAO:;VILA BELA DA SANTISSIMA TRINDADE
CODIGO (WMO):;A922
LATITUDE:;-15,06277777
LONGITUDE:;-59,87305554
ALTITUDE:;213
DATA DE FUNDACAO:;01/12/06
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;;;;;;;;;;;;;;;;;;
2025/01/01;0100 UTC;;;;;;;;;;;;;;;;;;
2025/01/01;0200 UTC;;;;;;;;;;;;;;;;;;
2025/01/01;0300 UTC;;;;;;;;;;;;;;;;;;
2025/01/01;0400 UTC;;;;;;;;;;;;;;;;;;
2025/01/01;0500 UTC;;;;;;;;;;;;;;;;;;
2025/01/01;0600 UTC;;;;;;;;;;;;;;;;;;
2025/01/01;0700 UTC;;;;;;;;;;;;;;;;;;
2025/01/01;0800 UTC;;;;;;;;;;;;;;;;;;
2025/01/01;0900 UTC;;;;;;;;;;;;;;;;;;
2025/01/01;1000 UTC;;;;;;;;;;;;;;;;;;
2025/01/01;1100 UTC;;;;;;;;;;;;;;;;;;
2025/01/01;1200 UTC;0;986,2;;;42,5;28,4;22,6;;;;;;;71;321;;2,2;
2025/01/01;1300 UTC;0;986,6;986,6;986,2;212,4;30,6;23,2;30,6;28,4;23,2;22,3;72;63;65;296;5,8;2,3;
2025/01/01;1400 UTC;0;986,9;987;986,6;225,2;31,2;23,2;31,8;30,3;23,6;22,4;65;60;62;296;6,3;2,4;
2025/01/01;1500 UTC;0;986,8;987;986,8;246,5;32,4;23,4;33;31,2;24;22,4;63;56;59;298;6,1;3,2;
2025/01/01;1600 UTC;0;985,6;986,8;985,6;265,1;34,4;22,5;34,4;32,4;23,5;21,9;59;50;50;296;6,5;2,3;
2025/01/01;1700 UTC;0;984,5;985,6;984,5;365,1;34,8;21,8;34,9;33,4;23,4;20,5;53;45;47;297;6,5;2,6;
2025/01/01;1800 UTC;0;983,7;984,5;983,7;280,3;31,2;21,9;35;31,2;23,3;21,1;58;44;58;236;7,3;3;
2025/01/01;1900 UTC;0;982,9;983,7;982,9;187,9;31,1;22,7;31,2;30,3;23;21,7;65;57;61;237;5,7;2,9;
2025/01/01;2000 UTC;0;981,5;982,9;981,4;213;33,3;22,7;33,3;31,2;23,5;21,6;62;52;54;237;5;1,9;
2025/01/01;2100 UTC;0;981,2;981,5;981,2;107,9;34;22,4;35;33,2;23;21,6;55;46;51;237;4,2;1,6;
2025/01/01;2200 UTC;0;980,9;981,4;980,8;25,3;31,7;22,4;34,2;31,7;23,5;21,9;60;50;58;242;3,3;1,6;
2025/01/01;2300 UTC;0;981,4;981,4;980,7;,3;29,2;24;31,7;29,2;24;22,4;74;58;73;298;2,8;0;
2025/01/02;0000 UTC;;;;;;;;;;;;;;;;;;
2025/01/02;0100 UTC;;;;;;;;;;;;;;;;;;
2025/01/02;0200 UTC;;;;;;;;;;;;;;;;;;
2025/01/02;0300 UTC;;;;;;;;;;;;;;;;;;
2025/01/02;0400 UTC;;;;;;;;;;;;;;;;;;
2025/01/02;0500 UTC;;;;;;;;;;;;;;;;;;
2025/01/02;0600 UTC;;;;;;;;;;;;;;;;;;
2025/01/02;0700 UTC;;;;;;;;;;;;;;;;;;
2025/01/02;0800 UTC;;;;;;;;;;;;;;;;;;
