REGIAO:;NE
UF:;BA
ESTACAO:;BARREIRAS
CODIGO (WMO):;A402
LATITUDE:;-12,12472221
LONGITUDE:;-45,02694443
ALTITUDE:;474,17
DATA DE FUNDACAO:;20/12/01
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;;;;;;;;;;;;;;;;;;
2025/01/01;0100 UTC;;;;;;;;;;;;;;;;;;
2025/01/01;0200 UTC;0;958,3;958,3;957,9;;23,5;21,1;24;23,4;21,3;20,9;87;84;87;;;;
2025/01/01;0300 UTC;;;;;;;;;;;;;;;;;;
2025/01/01;0400 UTC;0;957,6;958;957,6;;22,5;20,9;22,7;22,3;21,1;20,6;91;90;90;;;;
2025/01/01;0500 UTC;0;957,4;957,6;957,3;;21,9;20,5;22,5;21,8;20,9;20,3;92;90;92;;;;
2025/01/01;0600 UTC;0;956,6;957,4;956,6;;21,2;20,5;21,9;21,2;20,6;20,3;96;92;96;;;;
2025/01/01;0700 UTC;0;956,9;956,9;956,5;;21,1;20,4;21,2;21,1;20,5;20,4;96;96;96;;;;
2025/01/01;0800 UTC;0;957,3;957,3;956,8;;21,1;20,3;21,5;21,1;20,7;20,2;96;94;95;;;;
2025/01/01;0900 UTC;0;957,9;957,9;957,3;7,4;21,3;20,4;21,3;21,1;20,4;20,3;95;95;95;;;;
2025/01/01;1000 UTC;0;958,7;958,8;957,9;195,4;22,4;21,1;22,4;21,2;21,2;20,4;95;92;92;;;;
2025/01/01;1100 UTC;0;959,4;959,4;958,7;587,1;24;21,4;24;22,4;21,5;20,9;92;85;86;;;;
2025/01/01;1200 UTC;0;959,6;959,6;959,4;1238,8;25,8;21,6;25,9;23,9;21,8;20,7;86;76;78;;;;
2025/01/01;1300 UTC;0;959,8;959,9;959,6;2265,9;28,8;22,3;28,8;25,8;22,9;21,3;78;67;68;;;;
2025/01/01;1400 UTC;0;959,3;959,8;959,3;3131,6;31,3;20,8;31,7;28,4;22,8;20,6;68;53;54;;;;
2025/01/01;1500 UTC;0;958,6;959,3;958,6;3486,6;32,8;17,7;33,6;30,9;21,2;17,7;55;40;41;;;;
2025/01/01;1600 UTC;0;957,6;958,6;957,6;3253,5;33,5;18,8;34,3;32,3;20,2;17,8;46;40;42;;;;
2025/01/01;1700 UTC;0;956,3;957,6;956,3;2999,7;34,4;19,4;34,6;32,5;19,6;17,6;45;38;41;;;;
2025/01/01;1800 UTC;0;955,6;956,3;955,6;1741,4;32,1;19,1;34,8;32,1;19,5;17,2;47;37;46;;;;
2025/01/01;1900 UTC;0;954,9;955,6;954,9;1134,6;32,4;18,6;33;32;19,6;18,2;48;42;44;;;;
2025/01/01;2000 UTC;0;955;955,1;954,9;625,6;31,9;19;32,7;31,9;19,1;18,1;47;43;47;;;;
2025/01/01;2100 UTC;0;955,3;955,3;955;162,3;31,1;19,2;31,9;31,1;19,6;18,9;50;46;49;;;;
2025/01/01;2200 UTC;0;956,1;956,1;955,3;7,5;27,9;20,5;31,1;27,8;20,8;19,2;66;49;64;;;;
2025/01/01;2300 UTC;0;956,9;956,9;956,1;;27,1;20,9;27,9;27;20,9;19,8;69;63;69;;;;
2025/01/02;0000 UTC;0;957,4;957,4;956,9;;25,9;20,5;27,1;25,8;21,3;20,5;75;69;72;;;;
