REGIAO:;NE
UF:;BA
ESTACAO:;CRUZ DAS ALMAS
CODIGO (WMO):;A406
LATITUDE:;-12,67555554
LONGITUDE:;-39,08944444
ALTITUDE:;219,76
DATA DE FUNDACAO:;19/01/03
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;0;988;988;987,8;;24,5;;25,1;24,5;;;;;;108;6,3;3,4;
2025/01/01;0100 UTC;0;988,2;988,3;988;;23,9;;24,5;23,9;;;;;;106;5,9;2,3;
2025/01/01;0200 UTC;0;988,3;988,4;988,2;;23,9;;24;23,8;;;;;;97;5,8;3,3;
2025/01/01;0300 UTC;0;988;988,3;988;;23,6;;23,9;23,6;;;;;;117;5,4;2,2;
2025/01/01;0400 UTC;0;987,5;988;987,4;;23;;23,6;22,9;;;;;;123;3,9;2;
2025/01/01;0500 UTC;0;987,4;987,5;987,4;;22,4;;23,1;22,4;;;;;;114;3,5;1,4;
2025/01/01;0600 UTC;0;987,2;987,5;987,2;;22,5;;22,5;22,3;;;;;;134;2,7;1,1;
2025/01/01;0700 UTC;0;987,2;987,2;987;;21,7;;22,5;21,6;;;;;;202;2,3;,8;
2025/01/01;0800 UTC;0;987,5;987,5;987,2;;21,9;;21,9;21,5;;;;;;204;1,4;1;
2025/01/01;0900 UTC;0;988,2;988,2;987,5;56,1;22,8;;22,8;21,9;;;;;;216;1,9;,6;
2025/01/01;1000 UTC;0;988,9;988,9;988,2;678,1;25,2;;25,3;22,8;;;;;;105;2,2;,6;
2025/01/01;1100 UTC;0;989,4;989,4;988,9;682,4;26,3;;26,3;24,5;;;;;;107;3,9;1,3;
2025/01/01;1200 UTC;0;989,6;989,6;989,4;1576,3;28,6;;28,8;26,3;;;;;;83;5,5;2,2;
2025/01/01;1300 UTC;0;989,2;989,6;989,2;2142,1;29,8;;30,4;27,6;;;;;;124;6,3;3,1;
2025/01/01;1400 UTC;0;988,6;989,2;988,5;3442,4;30,9;;32,1;29,6;;;;;;103;8,8;4,1;
2025/01/01;1500 UTC;0;987,9;988,6;987,8;2828,2;31,2;;32,4;30,3;;;;;;120;9,3;5,1;
2025/01/01;1600 UTC;0;987,1;987,9;987,1;3031,5;31,4;;33;30,8;;;;;;142;9,7;5,3;
2025/01/01;1700 UTC;0;986,4;987,1;986,4;1810,4;32,7;;32,7;30,7;;;;;;130;9,7;4,5;
2025/01/01;1800 UTC;0;985,6;986,4;985,6;2705,2;31,8;;32,8;31,4;;;;;;132;9,3;5,3;
2025/01/01;1900 UTC;0;985,4;985,6;985,3;2043,2;30,8;;31,8;30,7;;;;;;124;9,3;5,3;
2025/01/01;2000 UTC;0;985,7;985,7;985,4;1181,2;28,6;;31,2;28,6;;;;;;124;8,9;5,4;
2025/01/01;2100 UTC;0;986,2;986,2;985,6;350;26,9;;28,6;26,9;;;;;;129;8,9;5,3;
2025/01/01;2200 UTC;0;986,7;986,7;986,2;;25,6;;26,9;25,6;;;;;;127;8,3;4;
2025/01/01;2300 UTC;0;987,2;987,2;986,7;;24,9;;25,6;24,8;;;;;;127;6,7;4;
2025/01/02;0000 UTC;0;988;988;987,2;;24,3;;24,9;24,3;;;;;;114;6,4;3,4;
2025/01/02;0100 UTC;0;988,8;988,8;988;;24;;24,3;23,9;;;;;;119;5,3;2,8;
2025/01/02;0200 UTC;0;989;989;988,8;;23,5;;24;23,5;;;;;;124;4,2;1,5;
2025/01/02;0300 UTC;0;988,4;989;988,4;;23,2;;23,6;23,2;;;;;;123;2,7;1,9;
2025/01/02;0400 UTC;0;988;988,4;988;;23,3;;23,3;23,1;;;;;;157;2,5;,9;
2025/01/02;0500 UTC;0;987,6;988;987,6;;22,4;;23,3;22,3;;;;;;153;1,9;1;
2025/01/02;0600 UTC;0;987,1;987,6;987,1;;22,1;;22,5;22;;;;;;165;1,9;,9;
2025/01/02;0700 UTC;0;987,4;987,4;987;;21,9;;22,2;21,7;;;;;;204;1,6;,7;
2025/01/02;0800 UTC;0;987,7;987,7;987,4;;21,9;;22,1;21,7;;;;;;237;1,3;,4;
2025/01/02;0900 UTC;0;988,5;988,5;987,7;90,2;22,7;;22,7;21,9;;;;;;119;1,2;0;
2025/01/02;1000 UTC;0;988,9;989;988,5;792,7;24,7;;24,8;22,7;;;;;;102;3,7;2,1;
2025/01/02;1100 UTC;0;989,8;989,8;988,9;881,4;25,7;;26;24,7;;;;;;114;6;2,8;
2025/01/02;1200 UTC;0;989,7;989,9;989,7;1612,6;27,2;;28,4;25,7;;;;;;81;5,9;3,3;
2025/01/02;1300 UTC;0;989,3;989,7;989,3;1862,6;29,1;;29,5;27,2;;;;;;96;6,5;3,2;
2025/01/02;1400 UTC;0;988,7;989,3;988,7;2793,5;30,3;;30,9;28,5;;;;;;111;9,1;3,8;
2025/01/02;1500 UTC;0;988,2;988,7;988,1;3264,6;31;;32,3;30;;;;;;121;8,1;2,5;
2025/01/02;1600 UTC;0;987,1;988,2;987,1;3419,1;32,1;;33,2;31;;;;;;98;8,5;3,4;
2025/01/02;1700 UTC;0;986,3;987,1;986,3;2862,2;31,9;;33;31,1;;;;;;120;9,3;4,4;
2025/01/02;1800 UTC;0;985,6;986,3;985,6;2194,8;31,3;;33,1;30,9;;;;;;123;8,9;4,8;
2025/01/02;1900 UTC;0;985,3;985,6;985,3;1704,6;30,2;;31,3;29,9;;;;;;134;9,6;5,7;
2025/01/02;2000 UTC;0;985,8;985,8;985,3;1153,5;28,8;;30,6;28,6;;;;;;126;9,4;4,5;
2025/01/02;2100 UTC;0;985,9;985,9;985,7;257,4;26,7;;28,9;26,7;;;;;;127;8,6;5,2;
2025/01/02;2200 UTC;0;986,4;986,4;985,8;;25,6;;26,7;25,6;;;;;;127;8,3;4,4;
2025/01/02;2300 UTC;0;987,2;987,2;986,4;;25;;25,6;25;;;;;;136;7,1;3,5;
2025/01/03;0000 UTC;0;987,7;987,7;987,2;;23,8;;25;23,8;;;;;;112;5,2;1,9;
2025/01/03;0100 UTC;0;988,2;988,3;987,7;;23,4;;23,9;23,4;;;;;;107;5,1;2,4;
2025/01/03;0200 UTC;0;988,4;988,5;988,1;;23,1;;23,4;22,9;;;;;;100;4,3;1,8;
2025/01/03;0300 UTC;0;987,9;988,4;987,9;;22,8;;23,1;22,7;;;;;;96;3,7;2,1;
2025/01/03;0400 UTC;0;987,6;987,9;987,6;;22,1;;22,8;22,1;;;;;;112;3,8;,2;
2025/01/03;0500 UTC;0;987,3;987,6;987,3;;22,1;;22,2;21,4;;;;;;141;1,8;1,1;
2025/01/03;0600 UTC;0;987,1;987,3;987,1;;21,5;;22,2;21,5;;;;;;146;1,9;,3;
2025/01/03;0700 UTC;0;987;987,2;987;;21;;21,6;20,8;;;;;;165;1,4;,5;
2025/01/03;0800 UTC;0;987,1;987,1;986,9;;21,4;;21,4;20,7;;;;;;188;1,9;,6;
2025/01/03;0900 UTC;0;987,9;987,9;987,1;87,1;22,2;;22,3;21,4;;;;;;293;1,8;0;
2025/01/03;1000 UTC;0;988,4;988,5;987,9;652,6;24,6;;24,6;22,2;;;;;;114;2,2;1,4;
2025/01/03;1100 UTC;0;988,8;988,8;988,4;1258,5;27;;27,1;24,5;;;;;;69;4,7;2,1;
2025/01/03;1200 UTC;0;988,8;988,9;988,7;1934,3;28,6;;28,7;26,4;;;;;;60;9,3;2,4;
2025/01/03;1300 UTC;0;988,6;988,9;988,5;2894,6;29,6;;30,3;27,7;;;;;;150;5,8;1,7;
2025/01/03;1400 UTC;0;987,9;988,6;987,8;3527,6;31,9;;32,2;29,6;;;;;;115;6;3,1;
2025/01/03;1500 UTC;0;987,1;987,9;987,1;3717,7;32,1;;33,1;31,5;;;;;;68;7,9;2,6;
2025/01/03;1600 UTC;0;986,1;987,1;986,1;3559,9;33,2;;33,9;32,1;;;;;;138;8,4;3,2;
2025/01/03;1700 UTC;0;985,4;986,2;985,3;3194,9;33,7;;34,3;32,9;;;;;;117;7,9;4,3;
2025/01/03;1800 UTC;0;984,6;985,4;984,6;2718,7;32,7;;34,7;32,7;;;;;;101;9,4;5,4;
2025/01/03;1900 UTC;0;984,4;984,7;984,3;2055,7;31,1;;33,3;31;;;;;;123;9,5;5,5;
2025/01/03;2000 UTC;0;984,6;984,7;984,3;1193,4;29,2;;31,1;29;;;;;;129;10;5,2;
2025/01/03;2100 UTC;0;985,2;985,2;984,6;346,3;27,1;;29,2;27,1;;;;;;130;9,7;5;
2025/01/03;2200 UTC;0;985,7;985,7;985,2;;25,9;;27,1;25,8;;;;;;128;8,5;4,9;
2025/01/03;2300 UTC;0;987;987;985,6;;25,1;;25,9;25,1;;;;;;130;8,5;3,5;
2025/01/04;0000 UTC;0;987,6;987,6;987;;24,3;;25,1;24,2;;;;;;107;5,5;3,1;
2025/01/04;0100 UTC;0;987,8;987,9;987,5;;23,9;;24,4;23,9;;;;;;91;6,4;3,4;
2025/01/04;0200 UTC;0;987,7;988;987,7;;23,6;;24,1;23,6;;;;;;78;6,9;3;
2025/01/04;0300 UTC;0;987,3;987,7;987,3;;23,2;;23,6;23,2;;;;;;82;5;2,7;
2025/01/04;0400 UTC;0;987;987,4;986,9;;23;;23,2;22,7;;;;;;90;4;2;
2025/01/04;0500 UTC;0;986,5;987;986,5;;22,9;;23,2;22,9;;;;;;85;3,6;1,5;
2025/01/04;0600 UTC;0;986,4;986,5;986,4;;22,2;;22,9;22,2;;;;;;90;2,8;1,1;
2025/01/04;0700 UTC;0;986,7;986,7;986,3;;21,5;;22,2;21,5;;;;;;135;2;,9;
2025/01/04;0800 UTC;0;986,9;986,9;986,7;;21,6;;21,9;21,1;;;;;;144;1,9;1;
2025/01/04;0900 UTC;0;987,7;987,7;986,9;158,4;22,6;;22,6;21,2;;;;;;207;1,9;1,3;
