REGIAO:;NE
UF:;BA
ESTACAO:;ITABERABA
CODIGO (WMO):;A408
LATITUDE:;-12,52416666
LONGITUDE:;-40,29972221
ALTITUDE:;250,11
DATA DE FUNDACAO:;29/01/03
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;0;983,8;983,8;983,1;;27,7;21,8;29,7;27,7;21,9;21,7;70;63;70;93;9;3,7;
2025/01/01;0100 UTC;0;984,3;984,3;983,8;;26,3;22,1;27,7;26,3;22,1;21,8;77;70;77;103;7;2,8;
2025/01/01;0200 UTC;0;984,8;984,8;984,3;;25,3;22,2;26,3;25,3;22,3;22,1;83;77;83;109;5,6;1,9;
2025/01/01;0300 UTC;0;984,5;984,8;984,5;;25,2;22,8;25,3;25;22,8;22,3;87;83;87;92;6,4;2,8;
2025/01/01;0400 UTC;0;984,2;984,5;984,2;;25,1;22,8;25,2;25,1;22,8;22,7;87;86;87;106;6,4;2,4;
2025/01/01;0500 UTC;0;984,1;984,2;984;;25;22,9;25,2;25;23;22,8;88;87;88;95;6,3;3,7;
2025/01/01;0600 UTC;0;984;984,1;984;;25,1;22,4;25,1;25;22,9;22,4;88;85;85;80;6,4;2,8;
2025/01/01;0700 UTC;0;984;984;983,8;;25;22,3;25,1;24,9;22,5;22,3;86;85;85;79;5,6;2,3;
2025/01/01;0800 UTC;0;984,3;984,3;984;;25;22,3;25,1;25;22,4;22,3;85;84;85;83;4,6;1,9;
2025/01/01;0900 UTC;0;985;985;984,3;31,1;25;22,5;25,1;24,9;22,5;22,3;86;85;86;90;5,8;2,9;
2025/01/01;1000 UTC;0;985,5;985,5;985;213,4;25,7;22,7;25,7;25;22,8;22,5;86;84;84;72;4,7;2,7;
2025/01/01;1100 UTC;0;986;986;985,5;910,2;27,2;21,8;28,4;25,7;22,8;21,8;84;70;72;78;5,5;2,7;
2025/01/01;1200 UTC;0;986;986,1;986;1682,5;29,4;21,3;30,2;27,2;22,9;21,3;73;61;62;87;6;2,9;
2025/01/01;1300 UTC;0;985,8;986;985,8;2604,4;31,7;21,2;32,5;29,4;21,9;20,2;62;50;54;60;8,2;2,9;
2025/01/01;1400 UTC;0;985,2;985,8;985,2;3026,7;32,8;19,9;33,5;30,2;21,3;19,5;56;45;47;81;8,2;3;
2025/01/01;1500 UTC;0;984,5;985,2;984,5;2831,4;33,8;18,8;34,7;31,5;20,2;18,8;50;41;41;83;7,1;2,9;
2025/01/01;1600 UTC;0;983,3;984,5;983,3;3329,6;34,3;18,6;36,1;33,7;19,8;18,2;42;37;40;101;8,7;2;
2025/01/01;1700 UTC;0;982,3;983,3;982,3;3039,4;35,8;18,3;36,6;34,3;19,6;17,7;40;35;36;71;8,9;3,7;
2025/01/01;1800 UTC;0;981,2;982,3;981,2;2589,6;36,7;17,3;37,2;35,5;18,7;17,3;36;32;32;74;8,9;3,4;
2025/01/01;1900 UTC;0;980,5;981,2;980,5;1950,9;35,6;17,4;37,5;35,5;18,3;16,8;34;31;34;112;8,7;2,6;
2025/01/01;2000 UTC;0;980,4;980,5;980,3;1174,5;35,1;17,2;36,6;35,1;18,2;17;35;33;35;75;8,3;2,8;
2025/01/01;2100 UTC;0;980,6;980,6;980,3;256,9;33,9;17,7;35,3;33,9;17,8;17,3;38;35;38;114;7,2;3,9;
2025/01/01;2200 UTC;0;981,2;981,3;980,6;6,2;31,8;21,1;33,9;31,8;21,1;17,6;53;38;53;92;9,4;4,9;
2025/01/01;2300 UTC;0;982,3;982,3;981,2;;29,6;22;31,8;29,6;22;21,2;64;53;64;120;9,8;3,6;
2025/01/02;0000 UTC;0;983,6;983,6;982,3;;27,8;21,9;29,6;27,8;22,1;21,9;71;64;71;121;7,3;4,1;
2025/01/02;0100 UTC;0;984,7;984,8;983,6;;26,5;21,3;27,7;26,5;21,9;21;73;70;73;117;8,2;4,4;
2025/01/02;0200 UTC;0;985,2;985,2;984,7;;25,5;21,6;26,5;25,5;21,6;21,3;79;73;79;112;7,9;2,7;
2025/01/02;0300 UTC;0;985;985,2;985;;24,6;22,3;25,5;24,6;22,3;21,6;87;79;87;120;4,8;1,8;
2025/01/02;0400 UTC;0;984,5;985,1;984,5;;24,3;22;24,6;24,3;22,3;22;88;87;87;70;3,4;1,4;
2025/01/02;0500 UTC;0;984,4;984,6;984,4;;24,1;22,2;24,3;24,1;22,2;22;89;87;89;97;4,7;2,4;
2025/01/02;0600 UTC;0;984,1;984,4;984;;24,4;22,3;24,4;24,1;22,4;22,2;89;88;88;86;8;2,9;
2025/01/02;0700 UTC;0;984,2;984,2;983,9;;24,1;22,2;24,5;24,1;22,3;22,2;89;88;89;89;5,3;2,2;
2025/01/02;0800 UTC;0;984,2;984,2;984;;23,5;22,2;24,1;23,5;22,3;22,1;93;89;93;99;5,3;2;
2025/01/02;0900 UTC;0;985,2;985,2;984,2;29,1;23,7;22,5;23,7;23,4;22,5;22,2;93;93;93;127;3,5;1,8;
2025/01/02;1000 UTC;0;986;986;985,2;77,6;23,7;22,9;23,8;23,4;22,9;22,4;96;93;95;137;3,3;1,2;
2025/01/02;1100 UTC;0;986,7;986,7;986;165,7;23,8;23,1;24,2;23,6;23,2;22,7;97;92;96;138;4;2;
2025/01/02;1200 UTC;0;986,8;986,8;986,6;606;25,5;23,5;25,5;23,5;24;22,9;99;88;89;88;3,8;1,4;
2025/01/02;1300 UTC;0;986,4;986,8;986,3;988,5;28;22,2;28;25,4;23,4;22,1;89;71;71;87;4,9;2,7;
2025/01/02;1400 UTC;0;985,7;986,4;985,7;2500,5;30,3;20,8;31,2;27,9;22,7;20,6;71;56;57;158;5;1,6;
2025/01/02;1500 UTC;0;984,6;985,7;984,6;3363,5;33,4;20,6;33,4;29,9;21,7;19,9;58;47;47;165;7,1;1,7;
2025/01/02;1600 UTC;0;983,4;984,6;983,4;3250,9;33,4;18,9;34,7;32,7;20,6;18,4;47;41;42;123;6,4;2,9;
2025/01/02;1700 UTC;0;982,4;983,4;982,4;2677,9;35,1;19,1;36;33,4;19,8;18;43;37;39;76;5,9;1,1;
2025/01/02;1800 UTC;0;981,2;982,4;981,2;1753;35,7;18,2;35,8;34,5;19;17,6;39;35;36;29;5;1,4;
2025/01/02;1900 UTC;0;980,4;981,2;980,4;1125;36,2;17,9;36,2;35;18,5;17;36;34;34;97;6,3;2,7;
2025/01/02;2000 UTC;0;980,4;980,4;980,2;1266,8;35,2;18,2;36,5;35,1;18,2;17,3;37;34;37;92;6,9;2,8;
2025/01/02;2100 UTC;0;980,6;980,6;980,3;363,8;33,8;17,8;35,4;33,8;18,3;17,7;39;35;39;87;8;4,6;
2025/01/02;2200 UTC;0;981,3;981,3;980,6;12;32;19,8;33,8;32;19,8;17,8;49;39;49;100;9;4,5;
2025/01/02;2300 UTC;0;982,2;982,2;981,3;;29,6;22,6;32;29,6;22,6;20;66;49;66;98;9,8;4,2;
2025/01/03;0000 UTC;0;983,2;983,2;982,1;;28,2;22,8;29,6;28,2;22,8;22,6;73;66;73;115;7,7;2,3;
2025/01/03;0100 UTC;0;984,1;984,1;983,2;;26,9;23,2;28,2;26,9;23,2;22,7;80;73;80;89;6,7;3,8;
2025/01/03;0200 UTC;0;984,5;984,5;984,1;;25,7;22,5;26,9;25,7;23,2;22,4;84;80;82;99;6,5;2,9;
2025/01/03;0300 UTC;0;984,6;984,6;984,4;;24,8;22,5;25,7;24,8;22,6;22;87;82;87;115;6;2,5;
2025/01/03;0400 UTC;0;984,3;984,6;984,3;;24,3;22,4;24,9;24,3;22,6;22,4;90;87;89;131;6;1,7;
2025/01/03;0500 UTC;0;984,2;984,4;984,1;;23,5;22,3;24,4;23,5;22,5;22,2;93;89;93;130;3,3;1,7;
2025/01/03;0600 UTC;0;984;984,2;984;;23;22,2;23,5;23;22,4;22,2;95;93;95;110;2,8;1;
2025/01/03;0700 UTC;0;983,8;984,1;983,8;;22,5;22;23;22,5;22,2;22;97;95;97;95;2,4;,8;
2025/01/03;0800 UTC;0;983,9;983,9;983,7;;23,2;22,4;23,2;22,5;22,4;22,1;97;95;95;95;2,9;1,2;
2025/01/03;0900 UTC;0;984,7;984,7;983,9;17,4;23,4;22,2;23,5;23,2;22,4;22,2;95;93;93;117;2,4;,3;
2025/01/03;1000 UTC;0;985,4;985,5;984,7;230,7;24,4;22,2;24,6;23,4;22,7;22,2;93;87;87;141;2,4;1,3;
2025/01/03;1100 UTC;0;985,6;985,6;985,4;795,3;26,9;21,6;26,9;24,4;22,5;21,2;88;72;73;90;6,4;2,6;
2025/01/03;1200 UTC;0;985,7;985,8;985,6;1896,1;29,8;21,2;30,1;26,9;21,8;20,5;73;59;60;75;6,4;2,3;
2025/01/03;1300 UTC;0;985,2;985,7;985,2;2694,5;31,6;21,2;31,6;29;21,4;20,5;62;54;54;74;5,7;2,7;
2025/01/03;1400 UTC;0;984,6;985,2;984,6;3125,7;33;19,5;33,6;30,7;21,4;18,9;56;43;45;100;5,6;2,6;
2025/01/03;1500 UTC;0;983,6;984,6;983,5;3333,4;34,9;18,2;35,4;32,9;19,9;17,1;46;36;37;66;6,3;1,9;
