REGIAO:;NE
UF:;BA
ESTACAO:;CORRENTINA
CODIGO (WMO):;A416
LATITUDE:;-13,33249999
LONGITUDE:;-44,61749999
ALTITUDE:;551,71
DATA DE FUNDACAO:;09/11/07
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;;949,4;949,4;949,2;;22,3;22,3;23,1;22,3;22,9;22,3;100;97;100;321;1,2;,8;
2025/01/01;0100 UTC;;949,9;949,9;949,5;;21,7;21,7;22,4;21,7;22,4;21,7;100;100;100;261;1,4;,4;
2025/01/01;0200 UTC;;950,1;950,3;949,9;;21,3;;21,8;21,2;;;;;;311;1,3;,4;
2025/01/01;0300 UTC;;949,9;950,1;949,7;;20,9;;21,3;20,9;;;;;;266;1,2;,7;
2025/01/01;0400 UTC;;949,5;949,9;949,5;;20,8;;20,9;20,8;;;;;;279;1,8;,9;
2025/01/01;0500 UTC;;949;949,5;949;;20,8;;20,9;20,7;;;;;;280;1,9;,4;
2025/01/01;0600 UTC;;948,5;949;948,5;;20,6;;20,8;20,6;;;;;;256;1,6;,4;
2025/01/01;0700 UTC;;948,2;948,5;948,2;;20,4;;20,6;20,4;;;;;;268;2,1;,9;
2025/01/01;0800 UTC;;948,9;948,9;948,2;;20,3;;20,4;20,3;;;;;;269;2,4;1,1;
2025/01/01;0900 UTC;;949,5;949,5;948,9;12,5;20,4;;20,4;20,3;;;;;;246;2,1;1,1;
2025/01/01;1000 UTC;;950,3;950,3;949,5;255,7;21,4;;21,4;20,4;;;;;;237;2,3;1,2;
2025/01/01;1100 UTC;;950,8;950,8;950,3;525,9;23,1;23,1;23,1;21,4;;;;;100;257;2,1;,8;
2025/01/01;1200 UTC;;951,3;951,3;950,8;865,2;25,1;22,7;25,2;23,1;23,6;22,6;100;86;87;112;2,1;1,2;
2025/01/01;1300 UTC;;951,6;951,6;951,3;1626,6;26,9;23;26,9;24,9;23,4;22,4;88;79;79;106;4,7;1,8;
2025/01/01;1400 UTC;;951,3;951,6;951,3;2972,5;29,5;24,1;29,7;26,9;24,4;22,7;80;70;73;110;3,7;1,6;
2025/01/01;1500 UTC;;950,9;951,3;950,9;3064,9;29,6;22,8;30,1;28,7;24,2;21,6;74;60;67;102;4,8;1,6;
2025/01/01;1600 UTC;;949,9;950,9;949,9;3140,4;30,2;23,5;30,5;29,2;24,1;22,5;71;65;67;125;5,1;1,5;
2025/01/01;1700 UTC;;948,8;949,9;948,8;3550,6;31,5;24,1;31,6;30,3;24,5;23,2;71;62;65;121;5;2;
2025/01/01;1800 UTC;;947,7;948,8;947,5;3225,5;31,5;23,4;32,2;31,3;25,1;23,1;68;61;62;130;6,1;2,6;
2025/01/01;1900 UTC;;948,6;948,6;947,6;1204,6;23,3;20,9;31,9;23,2;24,1;20,3;87;60;87;310;12,1;6,5;
2025/01/01;2000 UTC;;948;949,3;948;44,2;21,3;21,2;24,7;21,3;21,4;19,6;99;77;99;129;12,8;,9;
2025/01/01;2100 UTC;;947,9;948;947,8;24,6;21,5;21,5;21,8;21,2;21,8;21,1;100;99;100;254;2,4;,6;
2025/01/01;2200 UTC;;948,6;948,6;947,8;,3;22,2;;22,2;21,6;;;;;;312;1,9;1;
2025/01/01;2300 UTC;;949,6;949,6;948,6;;22,4;22,4;22,5;21,9;;;;;100;231;3,4;,8;
2025/01/02;0000 UTC;;949,5;949,7;949,5;;22,2;22,2;22,6;22,1;22,6;22,2;100;100;100;267;3,9;,8;
2025/01/02;0100 UTC;;950,5;950,5;949,5;;22;22;22,2;22;22,1;22;100;100;100;243;2,2;1;
2025/01/02;0200 UTC;;950,4;950,7;950,3;;21,8;21,8;22,1;21,8;22,1;21,8;100;100;100;73;2,3;,4;
2025/01/02;0300 UTC;;949,8;950,4;949,8;;21,7;;21,9;21,7;;;;;;251;2;,8;
2025/01/02;0400 UTC;;949,6;949,8;949,6;;21,6;;21,8;21,6;;;;;;254;2;,9;
2025/01/02;0500 UTC;;949,3;949,6;949,3;;21,6;;21,7;21,6;;;;;;260;2;,7;
2025/01/02;0600 UTC;;948,9;949,4;948,9;;21,5;;21,6;21,5;;;;;;264;1,7;,6;
2025/01/02;0700 UTC;;949;949,1;948,9;;21,7;;21,7;21,5;;;;;;316;1,5;,4;
2025/01/02;0800 UTC;;949,6;949,6;949;;21,7;21,7;21,8;21,6;;;;;100;252;1,6;,9;
2025/01/02;0900 UTC;;950,3;950,3;949,6;4;21,7;21,7;21,8;21,6;21,8;21,6;100;100;100;237;2,9;1;
2025/01/02;1000 UTC;;950,9;950,9;950,3;180;22,6;22,2;22,6;21,7;22,3;21,7;100;97;97;119;2,5;1;
2025/01/02;1100 UTC;;951,4;951,4;950,9;603,1;24,1;23,2;24,1;22,6;23,2;22,1;98;94;95;165;3,8;2;
2025/01/02;1200 UTC;;951,6;951,6;951,3;1867,7;27,1;23,8;27,1;24,1;24,6;22,9;95;82;82;157;5,9;2,9;
2025/01/02;1300 UTC;;951,5;951,7;951,4;2786,5;28,1;24;28,6;26,2;24,3;23,2;86;76;79;138;5,6;2,3;
2025/01/02;1400 UTC;;951,3;951,5;951,3;3039,3;28,6;23,4;29,4;27,6;24,6;22,9;79;70;74;120;5,6;2,5;
2025/01/02;1500 UTC;;951;951,4;951;2326,6;29,5;23,3;30,2;28,4;24,3;22,7;76;68;69;95;5,3;1,4;
2025/01/02;1600 UTC;;950,3;951;950,3;3421;30,6;23,9;30,9;29,5;24,8;22,5;73;63;68;72;4,7;1,5;
2025/01/02;1700 UTC;;949;950,3;949;3334,6;31,2;23,7;31,8;30,2;23,9;21,5;68;59;64;60;3,8;1,9;
