REGIAO:;NE
UF:;BA
ESTACAO:;DELFINO
CODIGO (WMO):;A443
LATITUDE:;-10,455
LONGITUDE:;-41,20694444
ALTITUDE:;646,24
DATA DE FUNDACAO:;15/07/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;0;938,7;938,7;938,4;0;27,2;;29,5;27,2;;;;;;23;5,4;1;
2025/01/01;0100 UTC;0;939;939;938,7;0;24,5;;27,2;24,1;;;;;;192;3;1;
2025/01/01;0200 UTC;0;939,2;939,3;939;0;22,8;;24,5;22,4;;;;;;225;2,2;1;
2025/01/01;0300 UTC;0;939,1;939,3;939,1;0;24,7;;25,1;21,3;;;;;;54;4,2;1,4;
2025/01/01;0400 UTC;0;939;939,1;938,9;0;24,3;;25,2;24,3;;;;;;65;4,1;,9;
2025/01/01;0500 UTC;0;939;939,1;938,8;0;23,2;;24,6;23;;;;;;70;3,3;1,1;
2025/01/01;0600 UTC;0;939,2;939,2;939;0;23;;23,4;22,2;;;;;;112;5,3;1,1;
2025/01/01;0700 UTC;0;939,2;939,2;939;0;22,4;;23,1;22,3;;;;;;119;5,5;1,7;
2025/01/01;0800 UTC;0;939,5;939,5;939,2;0;20,3;;22,3;20,3;;;;;;131;3,2;,5;
2025/01/01;0900 UTC;0;940,6;940,6;939,5;32,5;21,6;;21,6;19,5;;;;;;90;3,8;1,3;
2025/01/01;1000 UTC;0;941,4;941,4;940,6;200,2;22,6;;22,6;21,6;;;;;;97;5,9;2,3;
2025/01/01;1100 UTC;0;941,9;941,9;941,4;369,8;23,3;;23,3;22,5;;;;;;98;5,5;2,5;
2025/01/01;1200 UTC;0;942,2;942,2;941,9;841;25;;25,2;23,4;;;;;;112;7,2;3,6;
2025/01/01;1300 UTC;0;942,2;942,4;942,2;1082,6;26,3;;26,3;25;;;;;;95;7,2;2,7;
2025/01/01;1400 UTC;0;941,4;942,2;941,4;1922,4;28,6;;30,1;26,4;;;;;;80;7;3,4;
2025/01/01;1500 UTC;0;940,5;941,4;940,5;1663,7;31;;31;27,8;;;;;;112;8,5;3,6;
2025/01/01;1600 UTC;0;939,7;940,6;939,7;1975,4;30,5;;31,9;30,1;;;;;;81;8,5;2,2;
2025/01/01;1700 UTC;0;938,7;939,7;938,7;2077,6;33;;33,2;30,4;;;;;;79;6,9;2,4;
2025/01/01;1800 UTC;0;937,6;938,7;937,6;1461,1;32;;34;31,6;;;;;;94;7,1;2,8;
2025/01/01;1900 UTC;0;936,8;937,6;936,8;1552,5;33,6;;34,3;31,9;;;;;;57;6,5;1,8;
2025/01/01;2000 UTC;0;936,9;936,9;936,7;522,7;32,5;;34;32,1;;;;;;117;6,6;2,6;
2025/01/01;2100 UTC;0;937,4;937,4;936,9;125;31,2;;32,5;31,2;;;;;;118;6;3;
2025/01/01;2200 UTC;0;937,9;937,9;937,3;1,1;29,5;;31,2;29,3;;;;;;114;5,7;2,8;
2025/01/01;2300 UTC;0;938,6;938,6;937,9;0;26,8;;29,5;26,8;;;;;;275;4,8;,5;
2025/01/02;0000 UTC;0;939,2;939,2;938,6;0;24,7;;26,9;24,7;;;;;;144;1,6;,7;
2025/01/02;0100 UTC;0;939,7;939,7;939,2;0;23,1;;24,7;22,8;;;;;;224;2,8;1,2;
2025/01/02;0200 UTC;0;939,5;939,8;939,5;0;22,4;;23,1;22,4;;;;;;240;4,5;2,2;
2025/01/02;0300 UTC;0;939,7;939,8;939,4;0;21,1;;22,4;21;;;;;;287;3,9;1;
2025/01/02;0400 UTC;0;939,7;939,7;939,4;0;22,8;;23,4;20,6;;;;;;24;3,2;1,4;
2025/01/02;0500 UTC;0;939,7;939,8;939,7;0;23,1;;23,4;22,4;;;;;;41;2,8;1;
2025/01/02;0600 UTC;0;939,5;939,7;939,5;0;23,7;;23,7;23,1;;;;;;85;4,8;1,1;
2025/01/02;0700 UTC;0;939,6;939,6;939,4;0;22,5;;23,7;22,4;;;;;;76;4,1;1,3;
2025/01/02;0800 UTC;0;940;940;939,5;0;22,1;;22,5;22,1;;;;;;121;6,4;1,9;
2025/01/02;0900 UTC;0;940,9;940,9;940;31,8;21,7;;22,2;21,7;;;;;;57;4,5;,8;
2025/01/02;1000 UTC;0;941,7;941,7;940,9;461,6;23,3;;23,5;21,7;;;;;;94;6,8;3;
2025/01/02;1100 UTC;0;942;942,1;941,7;440,1;23,2;;23,7;22,5;;;;;;79;6,1;2,8;
2025/01/02;1200 UTC;0;942,2;942,3;942;803,1;25;;25,3;23,2;;;;;;104;6,6;2,6;
2025/01/02;1300 UTC;0;941,6;942,2;941,6;1797,6;27,8;;27,8;25;;;;;;68;7;3,4;
2025/01/02;1400 UTC;0;940,8;941,6;940,8;2480,6;29,8;;30,9;27,6;;;;;;88;7,6;2,7;
2025/01/02;1500 UTC;0;940,1;940,8;940,1;2585,6;32,2;;32,6;29,7;;;;;;70;7,7;2,3;
2025/01/02;1600 UTC;0;939,1;940,1;939,1;2608,5;33,8;;35;31,7;;;;;;69;8,1;2,6;
2025/01/02;1700 UTC;0;937,9;939,1;937,9;2273,7;34,3;;35,4;33,8;;;;;;104;7,6;2,8;
2025/01/02;1800 UTC;0;937,1;938;937,1;2081,1;35,2;;35,8;34,3;;;;;;102;8,3;3;
2025/01/02;1900 UTC;0;936,5;937,1;936,5;1437,3;35;;35,9;34,3;;;;;;87;8,3;2,6;
2025/01/02;2000 UTC;0;936,5;936,5;936,3;822;33,4;;35,8;33,4;;;;;;106;6,7;3,6;
2025/01/02;2100 UTC;0;937,2;937,2;936,5;105,6;31,8;;33,4;31,8;;;;;;109;6,6;2,2;
2025/01/02;2200 UTC;0;937,7;937,7;937,2;,9;29,7;;31,8;29,7;;;;;;127;5,2;1,8;
2025/01/02;2300 UTC;0;938,3;938,3;937,7;0;29,5;;29,7;29,1;;;;;;114;4,7;1,9;
2025/01/03;0000 UTC;0;938,9;938,9;938,3;0;24,9;;29,5;24,9;;;;;;297;4,4;,2;
2025/01/03;0100 UTC;0;939,2;939,2;938,9;0;22,8;;24,9;22,7;;;;;;217;1,4;,7;
2025/01/03;0200 UTC;0;939,4;939,4;939,2;0;21;;22,9;21;;;;;;240;1,5;,4;
2025/01/03;0300 UTC;0;939,3;939,4;939,2;0;21,5;;21,9;20,7;;;;;;224;2,6;1;
2025/01/03;0400 UTC;0;939,3;939,5;939,2;0;20,7;;21,6;20,7;;;;;;231;3;,8;
2025/01/03;0500 UTC;0;939,1;939,3;939,1;0;20;;20,7;19,9;;;;;;237;2,1;1;
2025/01/03;0600 UTC;0;939,1;939,2;939;0;19,6;;20,4;19,1;;;;;;182;2,2;,7;
2025/01/03;0700 UTC;0;939,3;939,3;939;0;19,7;;19,8;18,9;;;;;;251;2,9;1,4;
2025/01/03;0800 UTC;0;939,6;939,6;939,3;0;19,2;;19,7;19;;;;;;228;3;1,3;
2025/01/03;0900 UTC;0;940,2;940,2;939,6;33,8;19;;19,2;18,2;;;;;;231;3,5;1,3;
2025/01/03;1000 UTC;0;940,4;940,5;940,2;448,7;24,3;;24,4;19;;;;;;22;3,4;,3;
2025/01/03;1100 UTC;0;940,7;940,8;940,4;1055,9;26,8;;26,8;23,9;;;;;;60;4,8;2,2;
2025/01/03;1200 UTC;0;940,8;940,8;940,6;1689,4;29,4;;29,6;26,3;;;;;;101;5,2;2,1;
2025/01/03;1300 UTC;0;940,6;940,8;940,6;2189,1;31,1;;31,9;28,8;;;;;;65;6,3;3,3;
2025/01/03;1400 UTC;0;940;940,6;940;2521,3;32,9;;33,6;30,9;;;;;;113;7,7;3,5;
2025/01/03;1500 UTC;0;939,3;940;939,3;2614,1;34,3;;34,8;32,8;;;;;;70;8,8;3,4;
2025/01/03;1600 UTC;0;938,1;939,3;938,1;2614,2;36,2;;36,3;34,3;;;;;;164;8,7;2,8;
2025/01/03;1700 UTC;0;937,3;938,1;937,3;2444,1;37,9;;37,9;35,7;;;;;;97;5,9;2,7;
2025/01/03;1800 UTC;0;936,3;937,3;936,2;2049,4;37;;37,9;36,1;;;;;;39;6,3;2,6;
2025/01/03;1900 UTC;0;935,6;936,3;935,5;1521,4;36,5;;37,3;36,1;;;;;;49;8,4;2,4;
2025/01/03;2000 UTC;0;935,7;935,8;935,5;868,9;35,5;;36,8;35,5;;;;;;84;7,3;2,8;
2025/01/03;2100 UTC;0;936,4;936,4;935,7;137,5;33,2;;35,5;33,2;;;;;;119;6,7;2,5;
2025/01/03;2200 UTC;0;937;937;936,4;1,9;31,2;;33,2;31,2;;;;;;110;5;2,7;
2025/01/03;2300 UTC;0;937,8;937,8;937;0;29;;31,2;29;;;;;;62;4,9;1,5;
2025/01/04;0000 UTC;0;938,4;938,5;937,8;0;25,6;;29;25,6;;;;;;38;3,5;,6;
2025/01/04;0100 UTC;0;938,8;938,8;938,4;0;22,6;;26,2;22,6;;;;;;219;1,6;,8;
2025/01/04;0200 UTC;0;938,9;939,1;938,8;0;21,4;;23,2;21,2;;;;;;224;1,9;,8;
2025/01/04;0300 UTC;0;938,8;939;938,8;0;21,5;;22,1;21,2;;;;;;228;3,1;1,3;
