REGIAO:;NE
UF:;PE
ESTACAO:;FLORESTA
CODIGO (WMO):;A351
LATITUDE:;-8,59888888
LONGITUDE:;-38,58416666
ALTITUDE:;327,42
DATA DE FUNDACAO:;15/09/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;;972,8;972,8;972,4;;32,1;13,8;32,9;32;14;13,8;33;32;33;136;8,3;3,9;
2025/01/01;0100 UTC;;973,8;973,8;972,8;;29,8;18,5;32,1;29,8;18,5;13,8;51;33;51;127;9,7;4,5;
2025/01/01;0200 UTC;;974,2;974,2;973,7;;28,3;19;29,8;28,3;19;18,5;57;51;57;128;9,6;4,2;
2025/01/01;0300 UTC;;974,2;974,4;974,2;;27,4;19,2;28,3;27,4;19,2;19;61;57;61;127;7,9;3;
2025/01/01;0400 UTC;;973,8;974,2;973,8;;26,5;19,1;27,4;26,5;19,2;19,1;64;61;64;126;8,3;3,2;
2025/01/01;0500 UTC;;973,8;973,9;973,7;;25,3;19,1;26,4;25,3;19,2;19,1;69;64;69;128;6,1;3,5;
2025/01/01;0600 UTC;;973,9;973,9;973,8;;25;19,3;25,3;24,9;19,3;19,1;71;69;71;112;5,6;2,7;
2025/01/01;0700 UTC;;973,9;973,9;973,7;;24,6;19,4;25;24,6;19,4;19,3;73;71;73;116;6,7;2,6;
2025/01/01;0800 UTC;;974,5;974,5;973,9;;24,5;19,4;24,6;24,5;19,5;19,4;73;73;73;116;6,3;2,7;
2025/01/01;0900 UTC;;975,3;975,3;974,5;88,5;25;19,4;25;24,4;19,6;19,4;74;71;71;113;5,5;1,7;
2025/01/01;1000 UTC;;975,8;975,8;975,3;686,4;26,3;19,2;26,3;24,9;19,7;19,2;72;65;65;100;6,6;3,6;
2025/01/01;1100 UTC;;976,4;976,4;975,8;1661,7;27,9;18,7;28,1;26,2;19,4;18,5;65;57;58;107;7,3;3,8;
2025/01/01;1200 UTC;;976,5;976,5;976,3;2241,8;28,4;17,1;29,4;27,8;18,8;17,1;58;49;50;107;7,5;4,2;
2025/01/01;1300 UTC;;976,3;976,5;976,3;2195,2;29,3;16,5;30,3;28,1;18,2;16,4;52;45;46;133;7,5;2,2;
2025/01/01;1400 UTC;;975,7;976,3;975,7;1700,4;30,5;15,7;31,1;29,3;17,2;15,7;47;40;41;118;4,3;2;
2025/01/01;1500 UTC;;974,7;975,7;974,7;3243,6;32,8;16,2;33,5;30,4;17,2;15,6;42;36;37;169;6,7;3,3;
2025/01/01;1600 UTC;;973,6;974,7;973,6;3645,6;34,3;15,1;34,7;32,5;16,6;14,4;37;30;32;183;7,2;2;
2025/01/01;1700 UTC;;972,4;973,6;972,4;2997,7;34,4;14,8;35,6;33,5;15,7;14,2;32;29;31;206;7,5;2,2;
2025/01/01;1800 UTC;;971,5;972,4;971,5;1932,4;34,1;13,8;35;34,1;15,4;13,5;31;28;30;197;7,1;2,1;
2025/01/01;1900 UTC;;970,9;971,5;970,9;1713,4;35,1;13,7;35,7;33,9;14,4;13,5;30;27;28;192;7,1;3,6;
2025/01/01;2000 UTC;;970,9;971;970,7;949,1;34,6;13,1;35,2;34,5;13,7;12,9;28;27;28;162;7,3;3,4;
2025/01/01;2100 UTC;;971,1;971,1;970,8;223,8;33,8;12,7;34,7;33,7;13,2;12,6;28;27;28;170;6,7;3,1;
2025/01/01;2200 UTC;;971,5;971,5;971,1;;33,4;13,1;33,8;33,4;13,1;12,7;29;28;29;152;5,9;3,2;
2025/01/01;2300 UTC;;972,4;972,4;971,5;;32,6;13,8;33,3;32,6;13,8;13;32;29;32;147;7,3;2,9;
2025/01/02;0000 UTC;;973,2;973,2;972,4;;32,3;13,7;32,6;32,3;13,8;13,6;33;32;33;130;6,2;3,4;
2025/01/02;0100 UTC;;973,8;973,8;973,2;;30,1;17,6;32,3;30,1;17,6;13,7;47;33;47;121;10,3;4,4;
2025/01/02;0200 UTC;;974,3;974,3;973,8;;28,5;18,3;30,1;28,5;18,3;17,6;54;47;54;139;10;4,1;
2025/01/02;0300 UTC;;974,1;974,4;974,1;;27,4;18,7;28,5;27,4;18,7;18,4;59;54;59;138;7,4;2,9;
2025/01/02;0400 UTC;;973,9;974,2;973,9;;26,5;18,9;27,4;26,4;18,9;18,7;63;59;63;134;8,1;3,5;
2025/01/02;0500 UTC;;973,6;974,1;973,6;;25,7;19,1;26,5;25,6;19,1;18,9;67;63;67;121;7,1;3,6;
2025/01/02;0600 UTC;;974,1;974,1;973,6;;25,1;19,2;25,7;25,1;19,2;19,1;70;67;70;121;6,4;2,9;
2025/01/02;0700 UTC;;974,1;974,2;974;;24,4;19,2;25,1;24,4;19,2;19,2;73;70;73;124;5,8;2,7;
2025/01/02;0800 UTC;;975;975;974,1;;23,8;19,2;24,4;23,8;19,3;19,2;76;73;75;113;4,7;2,7;
2025/01/02;0900 UTC;;976;976;975;83;24;19,3;24;23,7;19,4;19,2;76;75;75;103;4,9;3;
2025/01/02;1000 UTC;;976,5;976,6;976;758,1;25,2;19,1;25,4;24;19,5;19,1;75;69;69;109;5,8;3,6;
2025/01/02;1100 UTC;;976,8;976,8;976,5;1065,7;26,5;18,8;26,6;25,2;19,5;18,7;70;63;63;90;6,3;2,2;
2025/01/02;1200 UTC;;977,1;977,1;976,1;1595,9;28;18,1;28,4;26,2;19,1;18;63;54;55;84;5,2;2,4;
2025/01/02;1300 UTC;;976,2;977,1;976,2;2663,2;31;17,7;31;27,9;18,6;16,8;55;45;45;67;6,6;2,1;
2025/01/02;1400 UTC;;975,5;976,2;975,5;3565,8;32,3;16;33,1;30,3;17,1;15,9;45;37;38;84;6,9;2;
2025/01/02;1500 UTC;;974,5;975,5;974,5;3463,5;34,1;13,3;34,1;31,8;16,4;13,3;39;29;29;81;7;2,9;
2025/01/02;1600 UTC;;973,3;974,5;973,3;3552,7;35,6;14;36;33,8;14;12,8;29;26;27;168;6,4;1,9;
2025/01/02;1700 UTC;;972,5;973,3;972,5;2834,9;36,4;12,8;36,5;34,7;13,8;12,3;27;24;24;135;7,4;2,3;
2025/01/02;1800 UTC;;971,6;972,5;971,6;1484,8;35,4;12,6;36,9;35,1;13,4;11,4;26;23;25;159;6;1,3;
2025/01/02;1900 UTC;;971,1;971,6;971,1;1398,7;35,4;12,4;37;35,3;12,7;11,4;25;22;25;167;6,9;3,8;
2025/01/02;2000 UTC;;971,2;971,2;971;436,8;35,1;12,1;35,7;34,8;12,9;12,1;26;25;25;148;7,7;4,1;
2025/01/02;2100 UTC;;971,1;971,2;971;188,8;34;12;35,1;34;12,3;11,9;26;25;26;158;7,3;3,7;
2025/01/02;2200 UTC;;971,7;971,7;971,1;;33;11,8;34;33;12,1;11,5;28;26;28;143;7,1;3,1;
2025/01/02;2300 UTC;;972,5;972,5;971,7;;31,8;12,3;33;31,8;12,4;11,8;31;28;30;137;5,4;2,8;
2025/01/03;0000 UTC;;973,1;973,1;972,5;;31;12,8;31,8;31;12,8;12,4;33;30;33;124;5,9;2,6;
2025/01/03;0100 UTC;;973,5;973,5;973,1;;30,1;15;31;30,1;15;12,7;40;33;40;130;9,2;3,5;
2025/01/03;0200 UTC;;973,8;973,8;973,5;;29;16,9;30,1;29;16,9;15,1;48;40;48;135;8,7;2,3;
2025/01/03;0300 UTC;;973,7;973,8;973,6;;27,7;18,1;29;27,7;18,1;16,9;56;48;56;149;7,4;3,3;
2025/01/03;0400 UTC;;973,5;973,7;973,5;;26,8;18,4;27,7;26,8;18,4;18,1;60;56;60;132;5,8;2,7;
2025/01/03;0500 UTC;;973,7;973,7;973,5;;25,9;18,5;26,8;25,9;18,5;18,3;64;60;64;126;6,5;3,2;
2025/01/03;0600 UTC;;973,5;973,7;973,3;;25;18,7;25,9;25;18,7;18,5;68;64;68;140;6;2,8;
2025/01/03;0700 UTC;;973,5;973,5;973,4;;24,3;18,7;25;24,2;18,7;18,6;71;68;71;137;5,4;1,9;
2025/01/03;0800 UTC;;974,2;974,2;973,5;;23,5;18,8;24,3;23,5;18,8;18,6;75;71;75;124;3,8;1,9;
2025/01/03;0900 UTC;;975,1;975,2;974,2;89,9;24;19,3;24;23,3;19,4;18,8;77;75;75;126;3,8;1,2;
2025/01/03;1000 UTC;;975,9;975,9;975,2;728;25,6;19,5;25,6;23,9;19,6;19,2;75;69;69;124;4,9;3;
2025/01/03;1100 UTC;;976,2;976,3;975,8;1225,6;26,9;19,3;26,9;25,5;19,7;18,9;69;63;63;132;6,2;3,2;
2025/01/03;1200 UTC;;975,9;976,2;975,8;1669,8;28,1;18,6;28,8;26,8;19,2;18;63;54;56;85;7,1;2,2;
2025/01/03;1300 UTC;;975,5;975,9;975,4;2946,4;30,6;16,7;31,1;28,1;18,5;16,5;56;42;43;125;7,7;2,4;
2025/01/03;1400 UTC;;974,9;975,5;974,9;3471,4;33;14,6;33,1;30,4;17;14,3;44;33;33;136;6,2;2;
2025/01/03;1500 UTC;;973,9;974,9;973,9;3599,8;34,8;14,4;34,8;32,7;15,2;12,5;34;27;29;105;6,2;1,6;
2025/01/03;1600 UTC;;972,9;974;972,9;3500,7;35,2;14;36,1;34,1;15,9;13,5;32;27;28;147;8,2;3,4;
2025/01/03;1700 UTC;;971,8;972,9;971,8;3165,5;36,3;13,2;36,8;34,9;14,9;12,9;29;25;25;173;7,9;3,6;
2025/01/03;1800 UTC;;971;971,8;971;2587,8;36,9;11,7;37,5;36,2;14;11,7;26;22;22;178;8;3,7;
2025/01/03;1900 UTC;;970,4;971;970,4;1843,4;37,1;11,2;37,5;36,6;12,7;11,2;23;21;21;197;8;4,5;
2025/01/03;2000 UTC;;970,2;970,5;970,2;966,4;36,2;11,3;37,1;36,1;11,8;10,9;22;21;22;166;8,4;4,5;
2025/01/03;2100 UTC;;970,4;970,4;970,2;228,6;34,5;12,3;36,2;34,5;12,3;11,4;26;22;26;166;10,6;4,2;
