REGIAO:;NE
UF:;PE
ESTACAO:;OURICURI
CODIGO (WMO):;A366
LATITUDE:;-7,88583333
LONGITUDE:;-40,10277777
ALTITUDE:;457,85
DATA DE FUNDACAO:;11/08/10
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;0;957,9;957,9;957,3;;31,7;6,7;32,6;31,3;6,8;5,5;21;19;21;65;6,7;2,2;
2025/01/01;0100 UTC;0;958,5;958,5;957,9;;29,1;7,4;31,7;29,1;7,4;6,7;26;21;26;30;3,6;1,5;
2025/01/01;0200 UTC;0;958,4;958,5;958,4;;29,4;8,5;29,6;29;8,5;7,5;27;26;27;49;2,9;1,8;
2025/01/01;0300 UTC;0;957,9;958,4;957,9;;28,7;9,4;29,6;28,7;9,4;8,5;30;27;30;49;2,9;1,6;
2025/01/01;0400 UTC;0;957,6;957,9;957,6;;27,7;10,5;28,7;27,3;10,5;9,4;34;30;34;37;3;1,8;
2025/01/01;0500 UTC;0;957,9;957,9;957,6;;28;13,5;28,5;27,6;13,5;10,5;41;34;41;88;3,8;1,6;
2025/01/01;0600 UTC;0;958,3;958,3;957,9;;27,5;17,9;28,1;27,5;17,9;13,6;56;41;56;84;5,5;2,9;
2025/01/01;0700 UTC;0;958,4;958,4;958,2;;26,3;18,7;27,5;26,3;18,7;18;63;56;63;113;6,3;2,3;
2025/01/01;0800 UTC;0;959;959;958,4;;25,3;19;26,3;25,3;19;18,7;68;63;68;110;5;1,9;
2025/01/01;0900 UTC;0;959,9;959,9;959;42,7;24,9;19,1;25,3;24,8;19,1;18,9;70;68;70;152;4,4;1,3;
2025/01/01;1000 UTC;0;960,8;960,8;959,9;316,3;25,4;19,3;25,4;24,8;19,3;19;71;69;69;145;4,6;2,5;
2025/01/01;1100 UTC;0;961,2;961,2;960,8;1208,9;27,4;19;27,4;25,3;19,4;18,8;69;60;60;122;5;2,3;
2025/01/01;1200 UTC;0;961,3;961,3;961,2;1472,3;28,5;18,2;29,1;26,7;19,1;18,1;62;53;54;74;4,8;1,4;
2025/01/01;1300 UTC;0;961,1;961,4;961,1;1473,6;29,8;17,8;29,8;28,2;18,5;17,6;54;48;49;119;5,1;2,2;
2025/01/01;1400 UTC;0;960,4;961,1;960,4;2213,7;30;17,4;31,4;29,3;18;17,2;50;44;47;144;5,8;2,9;
2025/01/01;1500 UTC;0;959,4;960,4;959,4;2525,3;32;16,7;32,2;30;17,9;15,9;47;38;40;155;6,5;3,4;
2025/01/01;1600 UTC;0;958,2;959,5;958,2;3467,2;34,7;14;35,3;31,8;16,6;13,5;40;28;29;97;6,5;2,2;
2025/01/01;1700 UTC;0;957,1;958,2;956,9;3276;36,3;13,2;36,5;33,8;14,1;12,8;29;25;25;71;8,1;2,9;
2025/01/01;1800 UTC;0;956,1;957,1;956,1;2215,5;35,6;12,8;36,6;34,4;13,5;11,9;28;23;26;115;7,8;3,2;
2025/01/01;1900 UTC;0;955,8;956,1;955,7;1896,4;35,6;11,7;36,4;34,9;12,6;11,7;26;23;24;99;7,5;2,7;
2025/01/01;2000 UTC;0;955,9;955,9;955,7;1115,5;35;11,1;35,7;34,6;12,1;11,1;25;23;23;136;7,6;4;
2025/01/01;2100 UTC;0;956,2;956,2;955,8;285,9;33,8;11,3;35;33,8;11,4;11,1;26;23;26;127;7,6;2,9;
2025/01/01;2200 UTC;0;956,7;956,7;956,2;;32,2;11,9;33,8;32,2;11,9;11,2;29;26;29;141;6,7;1,9;
2025/01/01;2300 UTC;0;957,4;957,5;956,7;;30,3;12,1;32,2;30,3;12,2;11,9;33;29;33;171;4;1,1;
2025/01/02;0000 UTC;0;958,3;958,3;957,4;;29,3;12,2;30,3;29,2;12,2;11,6;35;33;35;29;4,2;2,7;
2025/01/02;0100 UTC;0;958,8;958,8;958,3;;28,8;12,5;30;28,8;12,5;12,2;36;34;36;37;4,4;1,1;
2025/01/02;0200 UTC;0;958,8;958,9;958,8;;29;12,8;29,1;28,2;13,2;12,5;39;36;37;25;2,2;1,2;
2025/01/02;0300 UTC;0;958,5;958,8;958,5;;27,2;18,1;29,5;27,2;18,1;12,7;58;36;58;20;2,7;1,1;
2025/01/02;0400 UTC;0;958,2;958,5;958,2;;27,1;17,1;27,2;26,9;19,1;16,9;62;54;54;39;1,9;,7;
2025/01/02;0500 UTC;0;958,1;958,3;958,1;;27,8;14,1;28,4;26,8;17,1;13,8;55;41;43;115;2,6;1,1;
2025/01/02;0600 UTC;0;958,3;958,3;958;;26,9;15,8;27,9;25,8;16;14,1;53;43;51;102;3,8;1,1;
2025/01/02;0700 UTC;0;958,6;958,6;958,2;;27;17,8;27,5;26,9;17,8;15,8;57;51;57;108;3,6;1,7;
2025/01/02;0800 UTC;0;959,2;959,2;958,6;;26,2;18,2;27;26,2;18,2;17,8;61;57;61;102;6,3;2,3;
2025/01/02;0900 UTC;0;960,2;960,2;959,2;43,6;25,9;18,3;26,2;25,7;18,3;18,2;63;61;63;111;4,9;1,1;
2025/01/02;1000 UTC;0;960,9;960,9;960,2;310,6;26;18,9;26;25,6;18,9;18,3;65;63;65;124;5,6;2,6;
2025/01/02;1100 UTC;0;961,3;961,3;960,9;795,5;26,9;18,6;26,9;25,8;18,9;18,5;65;60;61;113;6,4;3,3;
2025/01/02;1200 UTC;0;961,4;961,6;961,3;1718,5;28,3;18,4;28,7;26,6;18,9;18,1;61;53;55;128;7,1;3;
2025/01/02;1300 UTC;0;961,1;961,4;961;2498,2;29,6;17,5;30,4;28,1;18,4;17,2;55;47;48;125;6,5;3,5;
2025/01/02;1400 UTC;0;960,4;961,1;960,4;2615,4;31,2;16,3;31,4;29,4;17,7;16,3;49;41;41;144;7;2,9;
2025/01/02;1500 UTC;0;959,4;960,5;959,4;2634,6;32,6;14,6;33,2;31,2;16,5;13,9;41;32;34;52;7,4;2,4;
2025/01/02;1600 UTC;0;958,6;959,5;958,6;3068,8;34,1;11,2;35,5;32,6;14,8;11;34;23;25;91;7,6;3,5;
2025/01/02;1700 UTC;0;957,7;958,6;957,7;3229,6;34,7;11,5;36,1;34,1;11,7;10,1;25;21;25;96;7,6;1,7;
2025/01/02;1800 UTC;0;956,8;957,7;956,8;2132,5;35,2;9,8;36,6;34,5;11,6;9,8;24;21;21;80;7;3;
2025/01/02;1900 UTC;0;956,2;956,8;956,1;1697,7;36,5;8,3;36,6;34,8;10,1;7,6;21;18;18;123;8,1;2,9;
2025/01/02;2000 UTC;0;956;956,3;955,9;1070,9;35,4;8,5;36,6;35,1;8,6;7,7;19;17;19;116;7,3;3,8;
2025/01/02;2100 UTC;0;956,3;956,3;956;324,6;34,5;8,8;35,5;34,5;8,8;8,1;21;19;21;110;7,3;2;
2025/01/02;2200 UTC;0;957;957;956,2;;32,9;10,5;34,5;32,9;10,5;8,8;25;21;25;150;6;3;
2025/01/02;2300 UTC;0;957,9;957,9;957;;31,9;9,3;32,9;31,9;10,5;9,2;26;24;25;119;5,9;1,8;
2025/01/03;0000 UTC;0;958,4;958,5;957,9;;31,2;11,5;31,9;31,2;11,5;9,3;30;25;30;85;3,6;1,8;
2025/01/03;0100 UTC;0;958,7;958,7;958,4;;29,4;11,9;31,2;29,4;12,1;11,5;34;30;34;27;3,6;1,5;
2025/01/03;0200 UTC;0;958,5;958,7;958,5;;27,3;12,6;29,4;27,3;12,7;12;41;34;40;23;2,3;1,4;
2025/01/03;0300 UTC;0;958,5;958,6;958,5;;28,2;12,4;29,1;27,3;12,7;12,2;40;35;38;44;3,7;1,3;
2025/01/03;0400 UTC;0;957,9;958,5;957,9;;27,9;12;28,7;27,9;12,3;11,9;38;36;37;78;3;1,4;
2025/01/03;0500 UTC;0;958;958;957,8;;27,1;13;27,9;27;13;12;42;38;42;128;2,7;1,3;
2025/01/03;0600 UTC;0;958,2;958,2;957,9;;26,6;14;27,1;26,5;14;13;46;42;46;86;3,6;1,8;
2025/01/03;0700 UTC;0;958,5;958,5;958,2;;25,7;14,7;26,7;25,5;14,7;14;51;46;51;90;3;1,4;
2025/01/03;0800 UTC;0;959,2;959,2;958,4;;23,4;14,2;25,9;23,4;15,3;14,2;57;50;56;196;2,5;,6;
2025/01/03;0900 UTC;0;959,9;959,9;959,2;22,2;24,5;17,6;24,6;23,2;17,6;14,2;65;56;65;134;3,6;2,2;
2025/01/03;1000 UTC;0;960,4;960,5;959,9;530,2;26,4;18;26,5;24,5;18,2;17,6;66;60;60;133;4,1;2,3;
2025/01/03;1100 UTC;0;960,7;960,8;960,4;1387,6;28,1;17,6;28,3;26,2;18,3;17,6;60;53;53;100;6,1;2,8;
2025/01/03;1200 UTC;0;960,8;960,9;960,6;2254;30;17,4;30;28,1;17,9;17,2;53;47;47;98;6,5;3,4;
2025/01/03;1300 UTC;0;960,2;960,8;960,2;3022,1;31,4;17;32,3;29,6;17,4;16,7;47;40;42;77;7,1;3,1;
2025/01/03;1400 UTC;0;959,9;960,2;959,9;2914,4;32,9;15,8;33,4;30,9;16,9;15,5;43;35;36;100;7,5;3,3;
2025/01/03;1500 UTC;0;959,3;959,9;959,3;2521,1;33,4;14,7;33,8;31,3;16,1;14,7;39;32;33;112;6,8;3,1;
2025/01/03;1600 UTC;0;958,4;959,3;958,4;3506,9;34,9;13,5;35,7;33,4;15,2;13,4;33;28;28;80;7;2,2;
2025/01/03;1700 UTC;0;957,5;958,4;957,5;2673;35,8;13,6;35,9;33,3;14,2;13,2;31;26;26;160;7,4;1,7;
2025/01/03;1800 UTC;0;956,4;957,5;956,3;2970,7;35,9;12,1;37,1;35;13,2;11,7;26;22;24;109;7,6;3,4;
2025/01/03;1900 UTC;0;955,8;956,4;955,8;2002,1;36,6;10,1;37,3;35,8;11,9;9,5;24;20;20;92;7,2;3,2;
2025/01/03;2000 UTC;0;955,5;955,8;955,4;1121;35,8;8,2;36,9;35,6;9,9;8,1;20;18;19;106;6,8;2,8;
2025/01/03;2100 UTC;0;955,7;955,7;955,5;312,5;34,8;8,3;36;34,8;8,7;7,9;20;18;20;134;5,8;2,8;
2025/01/03;2200 UTC;0;956,7;956,7;955,7;;32,4;6,4;34,8;32,4;8,3;6;20;18;20;161;5,5;1,2;
2025/01/03;2300 UTC;0;957,5;957,5;956,7;;30,1;4;32,4;30;6,6;4;21;19;19;191;3,2;,5;
2025/01/04;0000 UTC;0;958,3;958,3;957,5;;29,3;4,7;30,1;28,6;4,7;3,3;22;19;21;59;1,9;1,1;
2025/01/04;0100 UTC;0;958,6;958,7;958,3;;28,3;5,7;30,2;28,3;5,7;4,7;24;20;24;24;4,9;1,5;
2025/01/04;0200 UTC;0;958,5;958,7;958,5;;28;6,6;28,9;27,8;6,6;5,8;26;24;26;31;3,9;1,5;
2025/01/04;0300 UTC;0;958,4;958,6;958,4;;28,4;8,7;29,4;27,5;8,8;6,7;29;26;29;51;4;1,9;
2025/01/04;0400 UTC;0;958,2;958,5;958,2;;27,2;9,5;28,4;27,2;9,5;8,6;33;29;33;51;3,5;2;
2025/01/04;0500 UTC;0;958;958,2;957,8;;25,5;10,8;27,2;25,5;11,2;9,5;40;33;40;34;3;1,1;
2025/01/04;0600 UTC;0;958,1;958,1;958;;25,2;12,2;27,4;25;12,9;10,9;45;39;45;101;3,3;,9;
2025/01/04;0700 UTC;0;958;958,2;958;;25,7;14,4;25,7;24,8;14,4;12,2;50;44;50;115;2,2;1,1;
2025/01/04;0800 UTC;0;958,7;958,7;958;;23,8;14,2;25,7;23,8;14,8;14;55;50;55;284;2,4;,8;
2025/01/04;0900 UTC;0;959,5;959,5;958,6;33,7;24,4;15;24,4;22,9;15;14;59;55;56;292;2,1;1,2;
2025/01/04;1000 UTC;0;960,1;960,2;959,5;411,7;27,5;18,6;27,5;24,4;18,8;15,2;63;56;59;27;3,1;,6;
2025/01/04;1100 UTC;0;960,2;960,2;960,1;1306,2;29,1;18,1;29,5;27,3;18,8;18,1;59;52;52;91;3,8;1,5;
2025/01/04;1200 UTC;0;960,3;960,3;960,2;1165,2;29,5;17,6;30,2;28,8;18,5;17,6;52;49;49;7;4,3;2,3;
2025/01/04;1300 UTC;0;960;960,3;959,9;2313,9;32;17,1;32;29,5;18,3;16,8;49;41;41;90;4,7;1,5;
2025/01/04;1400 UTC;0;959,3;960;959,3;3537,2;33,4;15,7;33,9;31,8;17,5;15,4;41;34;35;53;6,1;2,1;
2025/01/04;1500 UTC;0;958,4;959,3;958,4;2989;34,4;14,5;35,2;33;15,7;14,4;34;30;30;99;4,9;2,5;
2025/01/04;1600 UTC;0;957,2;958,4;957,2;2754,4;34,9;13;36,2;33,9;14,9;12,4;31;25;27;83;6,1;2,7;
2025/01/04;1700 UTC;0;956,2;957,2;956,2;3199,2;37,3;12;37,8;34,9;13,5;11,6;27;22;22;99;7,6;2,6;
2025/01/04;1800 UTC;0;955,4;956,2;955,3;2875;37,6;11,6;38,1;36,4;12,1;9,7;22;19;21;82;8,8;2,9;
2025/01/04;1900 UTC;0;954,9;955,4;954,9;1919,8;37,2;12,1;38,4;36,3;12,3;9,6;23;18;22;30;11,8;5,6;
2025/01/04;2000 UTC;0;954,7;954,9;954,7;1128,1;36,9;10,9;37,4;36,7;11,9;10,5;22;20;21;20;8,8;4,6;
2025/01/04;2100 UTC;0;955,2;955,3;954,7;246,6;33;13,5;37;33;13,5;10,9;31;21;31;96;8,9;4,3;
2025/01/04;2200 UTC;0;955,9;955,9;955,1;;31;15,2;33;30,7;15,9;13,7;41;31;38;202;8,9;1,4;
2025/01/04;2300 UTC;0;956,4;956,4;955,9;;30,5;15,6;31,1;30,3;16,4;15,2;43;38;41;20;2,8;,6;
2025/01/05;0000 UTC;0;957,1;957,1;956,4;;29,4;15,2;30,6;29,4;15,6;15,1;42;39;42;13;1,5;,7;
2025/01/05;0100 UTC;0;957,4;957,5;957,1;;28,9;13,6;29,4;28,5;15,2;13,6;44;39;39;25;2,4;1,7;
2025/01/05;0200 UTC;0;957,6;957,7;957,4;;27,3;14,2;29,3;27,3;14,3;13,1;45;37;45;32;2,4;,2;
2025/01/05;0300 UTC;0;957,8;958;957,6;;30,3;14,7;30,5;27,2;14,7;13,8;45;38;39;31;6,4;3,7;
2025/01/05;0400 UTC;0;957,8;957,9;957,7;;28,4;17,8;30,3;28,4;17,8;14,7;53;39;53;38;9,6;3,6;
2025/01/05;0500 UTC;0;958,4;958,5;957,8;;27,5;18,6;28,4;27,5;18,6;17,8;58;53;58;7;7,7;3,5;
2025/01/05;0600 UTC;0;958,6;958,6;958,3;;27,2;19;27,5;27,2;19;18,6;61;58;61;8;6,2;3,6;
2025/01/05;0700 UTC;0;958,6;958,8;958,6;;26,7;19,1;27,2;26,7;19,2;19;63;61;63;17;6,5;2,8;
2025/01/05;0800 UTC;0;958,7;958,7;958,4;;26,2;19,1;26,8;26,2;19,2;19,1;65;63;65;3;5,8;2,2;
2025/01/05;0900 UTC;0;959,1;959,1;958,7;32,4;26;19,3;26,2;25,7;19,3;19,1;67;65;66;24;3,7;1,3;
2025/01/05;1000 UTC;0;959,5;959,5;959,1;395,7;27,9;19,3;27,9;26;19,4;19,2;66;60;60;43;4;1,9;
2025/01/05;1100 UTC;0;959,8;959,8;959,5;1209,9;29,4;18,8;29,4;27,8;19,3;18,5;60;53;53;61;6,3;3,2;
2025/01/05;1200 UTC;0;959,7;959,9;959,6;1953;31,2;17,5;31,6;28,9;18,7;17,3;53;44;44;66;7,5;4,1;
2025/01/05;1300 UTC;0;959,4;959,7;959,4;2185,7;32,9;16,7;32,9;30,2;17,4;16,6;45;38;38;55;7,6;3,6;
2025/01/05;1400 UTC;0;958,8;959,4;958,8;3066,2;33,6;15,8;33,7;31,9;17;15,8;40;34;34;83;8,1;2,8;
2025/01/05;1500 UTC;0;957,7;958,8;957,7;3043,5;34;15,3;35,6;32,8;16,2;15,1;36;30;33;48;8,1;3,2;
2025/01/05;1600 UTC;0;956,9;957,7;956,9;3626,9;36;14,4;36,2;33,7;15,8;13,8;33;27;28;82;6,9;2,5;
2025/01/05;1700 UTC;0;956,1;956,9;956,1;2922,5;37;12,9;37;35;14,3;12,3;28;23;24;81;8,1;2,6;
2025/01/05;1800 UTC;0;955,3;956,2;955,2;2491,4;37,6;11,6;37,8;35,9;12,8;10,7;24;21;21;52;15;3,6;
2025/01/05;1900 UTC;0;954,7;955,3;954,7;1535,5;37;9,7;37,6;35,7;11,5;9,6;22;19;19;106;9,3;2,7;
2025/01/05;2000 UTC;0;954,6;954,8;954,5;916,1;35,8;9,4;37,5;35,8;9,7;8,5;20;18;20;74;8,8;2,8;
2025/01/05;2100 UTC;0;955,3;955,3;954,5;151;35;9,7;35,9;35;9,7;9;21;20;21;77;5,1;1,9;
2025/01/05;2200 UTC;0;956,3;956,3;955,3;;33,7;11,4;35;33,4;11,4;9,7;26;21;26;13;5,2;2,7;
2025/01/05;2300 UTC;0;956,8;956,8;956,3;;32,2;12;33,7;32,2;12;11,5;29;26;29;19;5,2;3;
2025/01/06;0000 UTC;0;957,2;957,2;956,8;;31,5;12;32,2;31,5;12;12;30;29;30;37;5,9;1,8;
2025/01/06;0100 UTC;0;957,8;957,8;957,2;;30,8;12,5;31,9;30,8;12,5;12;33;30;33;162;2,6;1,6;
2025/01/06;0200 UTC;0;957,6;958;957,6;;30,6;12,7;31;30,4;12,8;12,5;34;32;34;56;3,5;1,8;
2025/01/06;0300 UTC;0;957,5;957,7;957,5;;30,7;13,4;30,8;29,5;13,4;12,6;36;33;35;65;5,5;3;
2025/01/06;0400 UTC;0;957,6;957,7;957,3;;29,1;15,2;30,7;29,1;15,6;13,4;44;35;43;75;8,7;1,6;
2025/01/06;0500 UTC;0;957,3;957,8;957,3;;28,1;17,8;29,4;27,8;18;14,9;55;42;54;1;7,1;3,5;
2025/01/06;0600 UTC;0;957,4;957,4;957,2;;27,4;18,2;28,1;27,4;18,2;17,8;57;54;57;35;6;2,3;
2025/01/06;0700 UTC;0;957,9;957,9;957,4;;27,4;18,3;27,4;27,3;18,4;18,2;58;57;58;349;5,2;1,3;
2025/01/06;0800 UTC;,6;958,4;958,4;957,7;;24,7;21,5;27,4;24,6;21,5;18,3;83;58;83;66;5,3;,9;
2025/01/06;0900 UTC;0;958,9;959;958,4;9,1;24,8;21,3;24,9;24,6;21,8;21,1;84;81;81;16;2,1;,9;
2025/01/06;1000 UTC;0;959,7;959,7;958,9;216,4;26;20,7;26;24,8;21,7;20,5;82;73;73;63;1,8;,4;
2025/01/06;1100 UTC;0;960;960;959,7;863;27,5;19,4;27,7;26;21,2;19,4;74;61;61;129;2,7;1,2;
2025/01/06;1200 UTC;0;960,3;960,4;960;1628,4;28,9;18,6;29,2;27,2;20,1;18,5;63;53;54;86;4,8;2,9;
2025/01/06;1300 UTC;0;960,2;960,3;960,1;2000,9;30,2;18,5;30,4;28,8;18,9;18,2;54;49;50;48;6,5;2,5;
2025/01/06;1400 UTC;0;959,5;960,2;959,5;2872,7;31,5;17,6;32,9;29,8;18,7;17,2;51;41;43;37;6,2;1,8;
2025/01/06;1500 UTC;0;958,6;959,5;958,6;2403,3;32,6;16,7;32,8;31,1;18;16,7;44;39;39;76;4,5;1,6;
2025/01/06;1600 UTC;0;957,4;958,6;957,4;2540,2;33,5;15,3;34,5;32,7;17;15,2;39;32;34;77;7,8;1,7;
2025/01/06;1700 UTC;0;956,4;957,4;956,4;2976,2;35,9;12,2;36,6;33,4;15,6;12,2;34;24;24;121;6,4;2,6;
2025/01/06;1800 UTC;0;955,7;956,4;955,7;1898,7;36,1;7;36,6;34,9;12,2;5,7;25;15;17;74;8,2;3,8;
2025/01/06;1900 UTC;0;955,6;955,7;955,6;1015,4;34,9;10,8;36;34,6;12,2;6,9;25;17;23;94;8,2;3,1;
2025/01/06;2000 UTC;0;955,7;955,8;955,6;413,5;34,5;11,3;35;34,4;11,7;10,8;25;23;24;86;6,1;1,2;
2025/01/06;2100 UTC;0;956,2;956,2;955,6;84,3;30,3;18,5;34,5;30,3;18,5;11,3;49;24;49;270;7,8;3,2;
2025/01/06;2200 UTC;0;956,7;956,7;956,2;;29,4;18,9;30,3;29,4;18,9;18,5;53;49;53;278;7,4;3,4;
2025/01/06;2300 UTC;0;957,6;957,6;956,7;;29,1;18,7;29,4;29;19;18,7;54;53;54;238;6,9;1,5;
2025/01/07;0000 UTC;0;958,6;958,6;957,6;;28,2;18,7;29,1;28,2;18,7;18,6;56;54;56;276;4;1,6;
2025/01/07;0100 UTC;0;959,6;959,6;958,6;;28,2;18,8;28,3;27,9;19;18,7;58;56;57;39;4;1,7;
