REGIAO:;NE
UF:;PI
ESTACAO:;PIRIPIRI
CODIGO (WMO):;A335
LATITUDE:;-4,2761111
LONGITUDE:;-41,79444444
ALTITUDE:;157,89
DATA DE FUNDACAO:;31/08/07
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;0;990,6;990,6;989,8;;30,5;19,9;32;30,5;19,9;16,7;53;40;53;330;5,8;2,7;
2025/01/01;0100 UTC;0;991,4;991,4;990,6;;28,7;21;30,5;28,7;21;20;63;53;63;258;4,9;2,3;
2025/01/01;0200 UTC;0;991,8;991,8;991,4;;28,4;21,3;28,8;28,4;21,3;21;65;63;65;271;5,4;1,2;
2025/01/01;0300 UTC;0;991,6;991,8;991,6;;27,4;21,5;28,4;27,4;21,5;21,3;70;65;70;325;2,4;1,2;
2025/01/01;0400 UTC;0;991,4;991,6;991,4;;26,9;21,6;27,4;26,9;21,6;21,5;73;70;73;30;2;1;
2025/01/01;0500 UTC;0;990,8;991,4;990,8;;26,5;21,6;27;26,4;21,7;21,5;75;72;75;22;2,3;1,3;
2025/01/01;0600 UTC;0;990,9;990,9;990,7;;25,9;21,6;26,5;25,9;21,6;21,4;77;74;77;162;2,3;1,1;
2025/01/01;0700 UTC;0;991;991;990,8;;25,1;21,3;25,9;24,6;21,6;21,3;82;77;80;182;1,9;1;
2025/01/01;0800 UTC;0;991,5;991,5;991;;24,9;21,4;25,1;24,8;21,4;21,3;81;80;81;91;2;1;
2025/01/01;0900 UTC;0;992;992;991,5;;24,6;21,1;25,1;24,6;21,4;21,1;81;80;81;102;1,8;1,1;
2025/01/01;1000 UTC;0;992,6;992,6;992;161,8;25,6;21,8;25,6;24,5;21,8;21;81;78;80;51;1,6;,4;
2025/01/01;1100 UTC;0;993,2;993,2;992,6;804,2;28,3;19,7;28,3;25,6;22,3;19,7;80;59;60;131;4,4;2,1;
2025/01/01;1200 UTC;0;993,4;993,5;993,2;1705,7;30,4;19,4;30,6;28,3;20,5;19,4;60;51;52;109;5,5;2,2;
2025/01/01;1300 UTC;0;993;993,4;993;2496,7;33,2;18,9;33,2;30,4;19,9;18,6;53;43;43;94;6,9;2,8;
2025/01/01;1400 UTC;0;992,7;993,1;992,7;2276;33,1;18,4;33,5;32,7;18,9;18,1;44;41;42;90;7,8;2,3;
2025/01/01;1500 UTC;0;991,9;992,7;991,9;3042,3;35;17,2;35,3;33,1;18,8;16,9;42;34;35;123;6,7;3,1;
2025/01/01;1600 UTC;0;990,9;991,8;990,9;2906,1;36,2;16,9;36,2;34,9;17,8;16,5;36;31;32;81;6,5;2;
2025/01/01;1700 UTC;0;989,7;990,9;989,7;2673,1;36,1;16,6;36,7;35,2;17,4;16,5;34;31;32;63;7,2;3;
2025/01/01;1800 UTC;0;988,7;989,7;988,7;2101,9;37,6;16,3;37,6;35,8;17,5;15,7;34;29;29;205;6,7;,9;
2025/01/01;1900 UTC;0;987,8;988,7;987,8;1656;37,4;14,4;37,8;36,7;16,1;14,4;29;25;26;51;6,8;3,4;
2025/01/01;2000 UTC;0;987,6;987,8;987,5;1069,3;37,1;14,3;37,8;36,8;15,1;14;27;24;26;58;7,7;3,8;
2025/01/01;2100 UTC;0;987,9;987,9;987,6;501,5;36,6;15,1;37,2;36,6;15,2;14,2;28;26;28;58;6,4;1,9;
2025/01/01;2200 UTC;0;988,4;988,4;987,9;4,5;32,1;18,5;36,6;32,1;18,9;14,7;45;27;45;266;3,9;1;
2025/01/01;2300 UTC;2,4;989,8;989,8;988,4;,9;28,8;22,9;32,3;27,2;22,9;18,1;74;44;71;318;9,4;4,4;
2025/01/02;0000 UTC;0;990,7;990,7;989,8;;29,5;21,7;29,8;28,8;22,8;21,6;71;62;63;345;9;3,7;
2025/01/02;0100 UTC;0;991,1;991,2;990,7;;28,3;22,2;29,4;28,3;22,3;21,7;70;63;70;353;6,7;2,5;
2025/01/02;0200 UTC;0;991,5;991,5;991,1;;27,4;22,2;28,3;27,4;22,3;22,1;73;70;73;354;3,9;1,8;
2025/01/02;0300 UTC;0;991,4;991,5;991,3;;26,7;22,1;27,4;26,7;22,3;22;76;73;76;342;3,1;2;
2025/01/02;0400 UTC;0;991,1;991,4;991,1;;25,7;22;26,7;25,7;22,1;21,8;80;75;80;335;4,3;1,7;
2025/01/02;0500 UTC;0;990,8;991,1;990,8;;25,2;21,8;25,7;25,2;22,1;21,8;83;80;81;312;3;1,7;
2025/01/02;0600 UTC;0;990,6;990,8;990,5;;24,8;21,8;25,2;24,8;21,9;21,8;83;81;83;316;3,5;1,5;
2025/01/02;0700 UTC;0;990,5;990,7;990,4;;24,3;21,7;24,8;24,3;21,9;21,7;85;83;85;307;2,7;1,5;
2025/01/02;0800 UTC;0;991;991;990,4;;23,8;21,6;24,3;23,8;21,7;21,4;88;84;88;170;2,6;1,3;
