REGIAO:;NE
UF:;PI
ESTACAO:;URUCUI
CODIGO (WMO):;A346
LATITUDE:;-7,44138888
LONGITUDE:;-44,34499999
ALTITUDE:;398,83
DATA DE FUNDACAO:;06/03/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;0;965,4;965,5;965,3;;22,5;21,5;23;22,5;21,5;21;94;89;94;168;0;0;
2025/01/01;0100 UTC;0;965,8;965,8;965,4;;22,3;21,7;22,5;22,3;22;21,5;98;94;96;212;0;0;
2025/01/01;0200 UTC;0;966,2;966,2;965,8;;22,3;22,3;22,4;22,3;22,4;21,7;100;96;100;190;0;0;
2025/01/01;0300 UTC;0;965,4;966,2;965,3;;22,7;21,6;22,7;22,3;22,4;21,3;100;94;94;251;0;0;
2025/01/01;0400 UTC;0;964,7;965,4;964,7;;22,6;21,1;22,9;22,6;21,6;21;94;89;91;276;0;0;
2025/01/01;0500 UTC;,2;964,5;964,7;964,4;;22,5;22,5;22,6;22,4;22,5;21,1;100;91;100;210;0;0;
2025/01/01;0600 UTC;0;964,5;964,5;964,3;;22,6;;22,6;22,4;;;;;;202;0;0;
2025/01/01;0700 UTC;0;964,8;964,8;964,5;;22,6;;22,8;22,5;;;;;;297;0;0;
2025/01/01;0800 UTC;0;965,5;965,5;964,8;;22,3;;22,7;22,3;;;;;;222;0;0;
2025/01/01;0900 UTC;0;966,3;966,3;965,4;112,7;23,2;;23,2;22,2;;;;;;250;0;0;
2025/01/01;1000 UTC;0;967,4;967,4;966,3;544,3;24,5;23;24,5;23,1;23,5;22;100;92;92;350;2,9;0;
2025/01/01;1100 UTC;0;968;968;967,4;1157,1;25,5;22,3;25,5;24,1;23,2;22;92;82;83;276;2,6;0;
2025/01/01;1200 UTC;0;968,1;968,2;967,9;1849,7;27,2;22,2;27,8;25,5;23,3;21,2;83;73;74;10;1,9;0;
2025/01/01;1300 UTC;0;967,7;968,2;967,7;2742,2;28,6;21,9;28,6;27;22,8;20,6;75;63;67;30;2,2;,2;
2025/01/01;1400 UTC;0;967,3;967,7;967,3;2777,7;29,4;21,7;29,7;28,1;22,5;20,4;68;60;63;28;2,1;,2;
2025/01/01;1500 UTC;0;966,7;967,3;966,7;2071;29,4;20,7;29,8;28,6;22,1;20,3;67;60;60;345;2;0;
2025/01/01;1600 UTC;0;965,9;966,7;965,8;1699,4;29,6;21;30,2;29,2;22,8;20,8;66;59;60;84;0;0;
2025/01/01;1700 UTC;0;965;965,9;965;2074,8;29,9;21,5;30,6;29,6;22,3;20,8;63;57;61;189;0;0;
2025/01/01;1800 UTC;0;964,2;965;964,2;1295,3;29,4;22,1;30,3;29,3;23;21,3;67;60;65;165;0;0;
2025/01/01;1900 UTC;0;963,7;964,2;963,7;981,3;29,2;22,4;30,1;29,2;23,2;21,5;69;60;67;136;0;0;
2025/01/01;2000 UTC;0;963,5;963,7;963,4;467,6;28,4;23,4;29,3;28,4;23,7;21,9;76;66;74;194;0;0;
2025/01/01;2100 UTC;0;963,9;963,9;963,5;96,8;26,9;23;28,4;26,9;23,6;21,8;79;71;79;224;0;0;
2025/01/01;2200 UTC;0;964,1;964,2;963,9;;26,1;21,3;26,9;26,1;24;21,3;87;75;75;200;0;0;
2025/01/01;2300 UTC;0;964,6;964,6;964,1;;25,5;22,4;26,1;25,5;22,6;21,2;83;74;83;129;0;0;
2025/01/02;0000 UTC;0;965;965,1;964,5;;24,7;22,3;25,5;24,7;22,5;22,2;87;83;87;201;0;0;
2025/01/02;0100 UTC;0;965,5;965,5;965;;24,5;22,3;24,7;24,3;22,6;22,2;89;87;87;156;0;0;
2025/01/02;0200 UTC;0;965,2;965,5;965,2;;24,7;21,5;24,8;24,4;22,2;21,4;87;81;82;193;0;0;
2025/01/02;0300 UTC;0;964,7;965,2;964,7;;24,4;21,6;24,7;24,2;21,6;21,4;85;82;84;203;0;0;
2025/01/02;0400 UTC;0;965;965,2;964,7;;24,3;21,6;24,8;24;21,7;21,2;86;82;85;28;0;0;
2025/01/02;0500 UTC;0;965,8;966;965;;23,9;21,9;24,3;23,7;22,3;21,6;91;85;89;81;1,5;0;
2025/01/02;0600 UTC;0;965,2;965,8;965,1;;24,3;21,8;24,3;23,9;22;21,7;89;85;86;318;1,1;0;
