REGIAO:;NE
UF:;PI
ESTACAO:;OEIRAS
CODIGO (WMO):;A354
LATITUDE:;-6,97416666
LONGITUDE:;-42,14694444
ALTITUDE:;154,03
DATA DE FUNDACAO:;22/07/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;0;991,8;991,8;990,8;0;26;22,7;26,5;25,8;22,7;22,1;83;78;82;63;1,2;,2;
2025/01/01;0100 UTC;0;992,2;992,2;991,8;0;24,9;22,3;26,1;24,9;22,8;22,3;86;81;86;33;1,2;,2;
2025/01/01;0200 UTC;0;992,3;992,5;992,2;0;24;21,9;24,9;23,9;22,3;21,8;88;86;88;271;1,2;,7;
2025/01/01;0300 UTC;0;992;992,3;992;0;23,2;21,4;24;23,2;21,9;21,4;89;88;89;59;1,2;,3;
2025/01/01;0400 UTC;0;991,8;992,1;991,8;0;22,9;21,3;23,2;22,8;21,3;21,1;91;89;91;289;1,6;,6;
2025/01/01;0500 UTC;0;991,3;991,8;991,3;0;22,4;20,9;22,9;22,4;21,3;20,9;91;91;91;81;1,1;,3;
2025/01/01;0600 UTC;0;991,2;991,3;991,1;0;22;20,7;22,4;21,9;20,9;20,5;92;91;92;193;,8;,2;
2025/01/01;0700 UTC;0;991,4;991,4;991,1;0;22;20,7;22,4;22;21,3;20,6;93;92;93;203;1,1;,5;
2025/01/01;0800 UTC;0;992,5;992,5;991,4;0;21,9;20,8;22,2;21,8;21;20,7;94;93;93;337;1,1;,7;
2025/01/01;0900 UTC;0;993,5;993,5;992,5;4,2;22,4;21,9;22,4;21,6;21,9;20,5;97;93;97;189;1,5;,6;
2025/01/01;1000 UTC;0;994,1;994,1;993,5;231,9;24,3;22,5;24,3;22,4;23,1;21,9;97;90;90;145;1,1;,6;
2025/01/01;1100 UTC;0;994,7;994,7;994,1;974,5;27,2;21,5;27,3;24,3;22,6;21,5;90;71;71;170;1,4;,4;
2025/01/01;1200 UTC;0;994,8;994,8;994,7;1613,4;29,3;20,8;29,5;27,1;22,5;20,6;74;59;60;317;2,4;1;
2025/01/01;1300 UTC;0;994,5;994,8;994,4;2400,3;31,9;18,7;32,3;29,2;22,3;18,7;64;45;46;22;5,6;2,7;
2025/01/01;1400 UTC;0;993,7;994,5;993,7;2196,4;32,9;17,3;33,4;31,2;19,5;17,3;49;39;39;60;8,2;1,7;
2025/01/01;1500 UTC;0;993,1;993,8;993,1;2913,4;35;16,9;35,8;32,4;19,1;16,3;44;33;34;71;6,8;2,8;
2025/01/01;1600 UTC;0;991,8;993,1;991,8;2780;35,2;16,7;36;33,9;17,7;16,2;37;32;33;88;5,8;1,9;
2025/01/01;1700 UTC;0;990,5;991,8;990,5;2473;35,3;15,9;36,7;34,7;17,2;15,7;35;30;32;83;7;1,2;
2025/01/01;1800 UTC;0;989,4;990,5;989,4;2013,8;36,1;17,3;36,1;34,7;17,6;16,1;36;31;33;317;5,6;2,6;
2025/01/01;1900 UTC;0;988,6;989,4;988,6;1919,5;35,6;16,9;36,8;35,3;17,5;16,2;34;30;33;321;5,6;2,5;
2025/01/01;2000 UTC;0;988,6;988,7;988,5;847,7;34,9;18;35,7;34,5;18,3;16,9;38;33;37;339;5,9;2,4;
2025/01/01;2100 UTC;0;988,7;988,7;988,5;168;32,1;20,1;34,9;32,1;20,1;17,3;49;36;49;298;5,9;,6;
2025/01/01;2200 UTC;0;989,1;989,1;988,7;5,2;29;20,3;32,1;29;21;19,5;61;48;60;249;1,6;,3;
2025/01/01;2300 UTC;0;989,7;989,7;989,1;0;27,5;21;29;27,5;21,3;20,5;68;60;68;169;1,7;1;
2025/01/02;0000 UTC;0;990,7;990,7;989,7;0;26,2;21,1;27,7;26,2;21,4;20,8;74;66;73;321;1,7;,6;
2025/01/02;0100 UTC;0;991,4;991,4;990,7;0;25,2;21,1;26,3;25,2;21,3;20,8;78;73;78;236;1,5;,7;
2025/01/02;0200 UTC;0;992,1;992,2;991,4;0;25,2;21;25,2;24,7;21,2;20,8;80;78;78;275;1,4;,8;
2025/01/02;0300 UTC;0;991,7;992,2;991,6;0;24,4;21;25,4;24,4;21,2;20,8;82;77;81;19;1,4;,3;
2025/01/02;0400 UTC;0;991,4;991,7;991,4;0;23,3;20,8;24,4;23,3;21,1;20,8;86;81;86;290;1,2;,7;
2025/01/02;0500 UTC;0;991,1;991,4;991,1;0;23,1;20,4;23,3;22,9;20,8;20,3;86;85;85;311;1,4;,8;
2025/01/02;0600 UTC;0;991,1;991,3;991,1;0;22,4;20,1;23,1;22,4;20,3;20,1;87;85;87;233;1,2;,3;
2025/01/02;0700 UTC;0;991,6;991,7;991;0;23,1;20,8;23,2;22,3;20,9;20;88;87;87;352;1,8;,8;
2025/01/02;0800 UTC;0;992,2;992,3;991,5;0;22,6;20,6;23,1;22,2;20,7;20;88;86;88;338;2,6;1,2;
2025/01/02;0900 UTC;0;993;993;992,2;3,3;21,8;20,1;22,7;21,7;20,7;19,9;90;88;90;215;2,6;,5;
2025/01/02;1000 UTC;0;993,8;993,8;993;148,8;24;21,3;24;21,7;21,4;19,9;90;85;85;313;1;,6;
2025/01/02;1100 UTC;0;994,1;994,1;993,8;982,9;28,6;20,9;28,6;24;21,8;20,5;85;63;63;84;2,5;,9;
2025/01/02;1200 UTC;0;994,3;994,3;994,1;1968,3;31,8;20,5;31,8;28,6;21,3;19,9;63;51;51;315;3,1;1,1;
2025/01/02;1300 UTC;0;994,1;994,3;994,1;2768,1;34,3;18,3;34,3;31,7;20,5;17,1;51;37;39;84;5,8;2,5;
2025/01/02;1400 UTC;0;993,6;994,1;993,5;3271,1;35,4;17;36;33,1;18,8;16,4;42;33;34;49;5,9;2,1;
2025/01/02;1500 UTC;0;992,6;993,6;992,6;2835,3;35,5;16,4;36,7;33,7;18,4;16,3;38;31;32;91;5,5;1,8;
2025/01/02;1600 UTC;0;991,6;992,5;991,6;1827;36;16,1;37,3;34,5;17,8;15,9;36;29;31;81;5,2;2,3;
