REGIAO:;NE
UF:;PI
ESTACAO:;CASTELO DO PIAUI
CODIGO (WMO):;A361
LATITUDE:;-5,34916666
LONGITUDE:;-41,51222222
ALTITUDE:;268,75
DATA DE FUNDACAO:;20/04/09
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;;978,8;978,9;978,5;;26,8;19,8;29,5;26,8;19,8;19,3;65;54;65;44;3,4;,4;
2025/01/01;0100 UTC;;979,4;979,4;978,8;;24,6;19,6;26,8;24,6;19,9;19,4;74;65;74;143;1,3;,7;
2025/01/01;0200 UTC;;979,4;979,6;979,4;;23,7;19,6;24,7;23,7;19,8;19,4;78;74;78;90;2;,6;
2025/01/01;0300 UTC;;979,5;979,7;979,4;;23,3;19,7;24,7;23,3;20,2;19,5;80;75;80;22;4,1;,5;
2025/01/01;0400 UTC;;979,4;979,6;979,3;;22,6;19,7;23,3;22,6;19,9;19,5;84;80;84;176;1,6;,9;
2025/01/01;0500 UTC;;979,4;979,5;979,2;;22,9;19,9;22,9;22,6;19,9;19,7;84;83;83;101;1,6;,6;
2025/01/01;0600 UTC;;979,3;979,5;979,3;;22,9;20,1;22,9;22,6;20,1;19,7;85;83;84;118;1,8;,6;
2025/01/01;0700 UTC;;979,7;979,7;979,3;;23,8;20,3;24;22,9;20,4;20,1;84;80;81;115;1,9;,6;
2025/01/01;0800 UTC;;980,1;980,4;979,7;;25,1;21;25,1;23,8;21;20,4;82;78;78;183;3,6;1,9;
2025/01/01;0900 UTC;;981;981;980,1;23;24,7;21;25,2;24,1;21,1;20,7;82;78;80;103;3,6;1,6;
2025/01/01;1000 UTC;;981,4;981,4;981;304,6;27,1;19,3;27,1;24,7;21,1;19,1;80;62;62;79;4;1,6;
2025/01/01;1100 UTC;;982;982,1;981,4;1137,7;29,6;18,8;29,9;27,1;19,7;18,6;63;52;52;108;7,1;3,7;
2025/01/01;1200 UTC;;982,1;982,2;982;1967;29,6;18,7;30,6;29,4;19,2;18,4;53;49;52;69;8,1;2,5;
2025/01/01;1300 UTC;;981,4;982,1;981,4;1741,2;31,5;17,7;32,3;29,4;19;17,5;53;42;44;74;7,7;3,3;
2025/01/01;1400 UTC;;980,7;981,5;980,7;2782;33,5;17,7;34,5;31,5;18,3;17,2;44;37;39;73;7,5;2,6;
2025/01/01;1500 UTC;;979,8;980,8;979,8;3307;34,9;17;35,9;32,9;17,9;16,6;39;33;35;102;8,8;3,4;
2025/01/01;1600 UTC;;978,7;979,8;978,7;2304,8;34,5;15,9;36,6;34,4;17,6;15,9;36;32;33;60;7,5;3,3;
2025/01/01;1700 UTC;;977,6;978,7;977,5;2614,7;37,2;15,2;37,3;34,5;16,4;14,8;33;27;27;74;8,3;2,9;
2025/01/01;1800 UTC;;976,4;977,6;976,4;2453,8;38,2;14,4;38,2;36,1;15,3;13,8;28;24;24;86;7,2;2,9;
2025/01/01;1900 UTC;;976,1;976,4;976;1152,7;36;13,9;38,3;36;14,3;13,5;27;24;27;81;9,5;2,8;
2025/01/01;2000 UTC;;976,3;976,3;976,1;969,6;36,4;13;37,2;36;14,3;12,8;27;24;25;97;8,2;2,7;
2025/01/01;2100 UTC;;976,6;976,7;976,3;195,5;34,3;13,1;36,4;34,3;13,6;12,9;28;25;28;96;7,6;2,3;
2025/01/01;2200 UTC;;977,1;977,1;976,6;;32,3;13,1;34,3;32,3;13,2;13;31;28;31;91;4,2;1,7;
2025/01/01;2300 UTC;;978,2;978,2;977,1;;30,9;13,4;32,3;30,8;13,4;13,1;35;31;35;80;3,7;1,4;
2025/01/02;0000 UTC;;978,7;978,7;978,2;;30,2;13,8;30,9;29,9;13,9;13,5;38;35;37;80;3,3;1,6;
2025/01/02;0100 UTC;;978,9;978,9;978,7;;30,6;13,7;31,1;30,1;13,8;13,4;37;34;36;87;5,1;2;
2025/01/02;0200 UTC;;978,9;979,1;978,9;;30,1;14,1;30,7;30,1;14,1;13,7;38;36;38;82;4,9;1,9;
2025/01/02;0300 UTC;;979,3;979,5;978,9;;26,1;14,9;30,1;26,1;14,9;14;50;38;50;63;6,6;,4;
2025/01/02;0400 UTC;;979;979,3;978,9;;24,2;15,1;26,1;24,2;15,5;15;57;50;57;123;2,2;,8;
2025/01/02;0500 UTC;;979;979,2;979;;23;15,7;24,2;23;15,9;15,2;64;57;64;115;2,1;,7;
2025/01/02;0600 UTC;;979;979;978,9;;22,3;16,8;23;22,2;16,8;15,7;71;64;71;125;1,5;,9;
2025/01/02;0700 UTC;;979,3;979,3;978,9;;22,3;17,2;22,5;22,1;17,5;16,7;74;70;73;360;2,1;,6;
2025/01/02;0800 UTC;;979,9;979,9;979,3;;21,5;17,9;22,3;21,5;17,9;17,2;80;73;80;230;1,9;,3;
2025/01/02;0900 UTC;;980,9;980,9;979,9;34;21,6;18;21,6;21,1;18,1;17,5;82;79;80;277;,8;,2;
2025/01/02;1000 UTC;;981,5;981,5;980,9;535,9;27,7;19,3;27,8;21,6;20;18;80;60;60;94;3,9;1,4;
2025/01/02;1100 UTC;;981,3;981,6;981,2;1444;29,8;19;29,9;27,6;19,7;19;61;52;52;56;7,8;4,1;
2025/01/02;1200 UTC;;981,5;981,6;981,3;2308,1;32,1;18,1;32,2;29,7;19,1;18;53;43;44;89;11,9;4,6;
2025/01/02;1300 UTC;;981,1;981,5;981,1;2997,2;33,4;17,5;33,9;31,7;18,4;17,5;44;38;39;85;10,3;4,7;
2025/01/02;1400 UTC;;980,3;981,1;980,3;3259,3;34,9;15,7;35,9;33;18,1;15,7;40;32;32;95;9,5;4,1;
2025/01/02;1500 UTC;;979,5;980,3;979,5;3728,9;37;15;37,3;34,8;16,8;14,6;33;27;27;95;9;3,6;
2025/01/02;1600 UTC;;978,9;979,6;978,8;3590,5;37,9;14,4;38,1;36,1;14,9;13,4;27;24;25;80;9,5;3,6;
2025/01/02;1700 UTC;;977,8;978,9;977,8;2602,2;36,8;14,4;38,4;36,6;14,6;13,5;27;24;26;77;8,6;3,7;
2025/01/02;1800 UTC;;976,8;977,8;976,8;1653;36,5;13,4;38,2;36,1;14,7;13,4;27;24;25;62;8,9;2,6;
2025/01/02;1900 UTC;;976,2;976,8;976,2;1339,2;37,5;13,2;38,1;36,4;14,2;12,7;26;22;23;71;7,6;1,9;
2025/01/02;2000 UTC;;976;976,2;975,9;827,9;36,7;13,3;37,8;36,4;13,4;12,8;25;23;25;75;6,3;2,5;
2025/01/02;2100 UTC;;976,2;976,2;976;186,8;34,6;12,8;36,8;34,5;13,5;12,5;27;24;27;108;5,9;1,9;
2025/01/02;2200 UTC;;977,2;977,2;976,2;;29,6;14,2;34,6;29,5;14,5;12,8;40;27;39;88;3,6;1,1;
2025/01/02;2300 UTC;;977,9;977,9;977,2;;29,8;14,7;29,9;28,4;15;13,7;44;38;40;85;2,2;1,3;
2025/01/03;0000 UTC;;978,5;978,5;977,9;;30,9;13;30,9;29,5;14,9;13;41;34;34;89;3;1,4;
2025/01/03;0100 UTC;;979;979;978,5;;30;13,3;31,5;30;13,3;12,8;36;32;36;26;4,4;,7;
2025/01/03;0200 UTC;;979,2;979,2;979;;26,1;14,9;30;25,8;15,2;13,5;52;36;50;145;2,1;1;
2025/01/03;0300 UTC;;979;979,2;979;;24,2;15,6;26,1;24,1;15,8;15;59;50;59;78;1,4;1;
2025/01/03;0400 UTC;;978,4;979;978,4;;25,6;17,9;25,6;23,6;17,9;15,6;64;58;63;67;4,7;1,8;
2025/01/03;0500 UTC;;978,3;978,4;978,2;;24;17,2;27,6;23,9;18,7;16,6;66;56;66;271;4,7;,9;
2025/01/03;0600 UTC;;978,7;978,7;978,3;;23,3;17,5;24,2;23,1;17,8;17,1;71;65;70;258;2,4;1;
2025/01/03;0700 UTC;;978,7;978,7;978,7;;22,5;18;23,3;22,4;18;17,4;76;70;76;127;2;,7;
2025/01/03;0800 UTC;;979,2;979,2;978,7;;22,1;18,3;22,6;22,1;18,4;17,8;79;75;79;126;2;,4;
2025/01/03;0900 UTC;;980,5;980,5;979,2;47,2;22,9;19;22,9;21,9;19,1;18,3;82;79;79;137;1,3;,8;
2025/01/03;1000 UTC;;981;981;980,5;538,3;28,2;20;28,2;22,9;20,2;19;79;61;61;88;3,3;1,3;
2025/01/03;1100 UTC;;981,3;981,4;981;833;28,7;19,7;28,8;27,9;20;19,5;61;58;58;97;6,2;2,9;
2025/01/03;1200 UTC;;981,4;981,5;981,3;1067,9;29,5;19,6;29,7;28,7;20,1;19,6;58;55;55;50;5,9;1,9;
2025/01/03;1300 UTC;;981,1;981,5;981,1;1159,4;31,7;19;32;29,5;20,1;18,8;56;46;47;50;4,7;2,5;
2025/01/03;1400 UTC;;980,6;981,1;980,6;2310;33,4;18,3;34,7;31,7;19,7;18,2;47;39;41;74;7,8;2,7;
2025/01/03;1500 UTC;;979,5;980,6;979,5;2886,7;36,2;17,2;37,4;33,4;18,6;17,1;41;33;33;41;7,5;3;
2025/01/03;1600 UTC;;978,4;979,6;978,4;2663,6;37,1;16,6;37,5;34,8;17,8;16,2;36;30;30;19;7,5;3,1;
2025/01/03;1700 UTC;;977,3;978,4;977,3;1865;36,6;16,2;38,1;35,9;16,9;15,8;31;28;30;87;7,3;3,4;
