REGIAO:;NE
UF:;PI
ESTACAO:;CANTO DO BURITI
CODIGO (WMO):;A365
LATITUDE:;-8,11805554
LONGITUDE:;-42,97583332
ALTITUDE:;312,07
DATA DE FUNDACAO:;12/06/10
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;0;975,2;975,4;974,1;;22,8;21,6;23,7;22,4;22,1;20,4;94;86;93;164;9,5;2,6;
2025/01/01;0100 UTC;0;973,8;975,3;973,8;1,7;23,2;21,8;23,4;22,8;22;21,6;94;90;92;308;5,6;3,3;
2025/01/01;0200 UTC;0;974,2;974,3;973,6;2,6;23,1;21,8;23,6;23,1;22,3;21,8;93;91;92;179;4,9;2,3;
2025/01/01;0300 UTC;0;974,1;974,4;974,1;1,9;22,8;21;23,1;22,8;21,9;21;94;89;89;208;3,9;1,9;
2025/01/01;0400 UTC;0;973,7;974,1;973,7;,8;22,7;21,5;22,8;22,6;21,5;20,9;92;89;92;8;3,9;1;
2025/01/01;0500 UTC;0;973,6;973,8;973,6;;22,5;21,6;22,8;22,5;21,7;21,4;95;92;94;187;2,9;1,2;
2025/01/01;0600 UTC;0;973,6;973,6;973,5;;22,6;21,7;22,7;22,4;21,8;21,5;95;94;95;228;2,4;,3;
2025/01/01;0700 UTC;0;973,5;973,6;973,4;;22,8;22;22,8;22,4;22;21,6;96;95;95;317;1,2;,5;
2025/01/01;0800 UTC;0;974,1;974,1;973,5;;22,9;22;22,9;22,7;22,1;21,8;95;94;95;66;1,8;1,2;
2025/01/01;0900 UTC;0;975;975;974,1;22,7;23;22,2;23,2;22,7;22,2;21,8;96;93;95;197;2,2;,2;
