REGIAO:;NE
UF:;PI
ESTACAO:;BAIXA GRANDE DO RIBEIRO
CODIGO (WMO):;A375
LATITUDE:;-8,333531
LONGITUDE:;-45,094625
ALTITUDE:;519
DATA DE FUNDACAO:;23/03/18
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;0;951,6;951,6;951,1;;23,3;;23,9;23,3;;;;;;176;2,7;,2;
2025/01/01;0100 UTC;0;952;952,1;951,6;;23;;23,3;22,9;;;;;;156;2,6;0;
2025/01/01;0200 UTC;0;952,1;952,1;951,8;;22,4;;23;22,4;;;;;;185;1,2;0;
2025/01/01;0300 UTC;0;951,6;952,1;951,6;;22,6;;22,8;22,4;;;;;;179;2,8;,1;
2025/01/01;0400 UTC;0;951,1;951,6;951,1;;22,5;;22,7;22,5;;;;;;148;2,2;0;
2025/01/01;0500 UTC;0;950,4;951,1;950,4;;22,3;;22,5;22,3;;;;;;194;2,3;,3;
2025/01/01;0600 UTC;0;950,4;950,5;950,3;;22,8;;22,8;22,3;;;;;;207;2,2;0;
2025/01/01;0700 UTC;0;950,7;950,7;950,4;;22,8;;22,8;22,6;;;;;;260;1,3;0;
2025/01/01;0800 UTC;0;951,1;951,1;950,7;;22,5;;22,8;22,4;;;;;;146;1,1;0;
2025/01/01;0900 UTC;0;952,2;952,2;951,1;2;22,8;;22,9;22,5;;;;;;4;1,6;0;
2025/01/01;1000 UTC;,2;952,8;953,2;951,8;40,3;22,6;;22,8;22,3;;;;;;223;2,7;,2;
2025/01/01;1100 UTC;,2;953,1;953,2;952,8;467,4;23,8;;23,9;22,4;;;;;;268;2,8;,4;
2025/01/01;1200 UTC;0;953,5;953,5;953,1;1835,3;26,4;;26,7;23,8;;;;;;209;2,8;,3;
2025/01/01;1300 UTC;0;953,7;953,7;953,5;2512,1;27,8;;28,2;26,3;;;;;;161;4,5;,7;
2025/01/01;1400 UTC;0;953,2;953,7;953,1;2194,7;29,5;;29,7;27,3;;;;;;255;4;,9;
2025/01/01;1500 UTC;0;952,5;953,2;952,5;3759,5;30;;30,5;28,4;;;;;;297;4;,9;
2025/01/01;1600 UTC;6,6;952,7;953,1;951,8;2242;22,1;;31,3;21,4;;;;;;341;13,5;1,2;
2025/01/01;1700 UTC;3,2;951,8;952,8;951,8;130,7;22;;22,1;21;;;;;;265;6,5;,4;
2025/01/01;1800 UTC;,2;950,6;951,8;950,6;305,5;22,7;;22,7;21,9;;;;;;286;2,8;0;
2025/01/01;1900 UTC;0;949,9;950,6;949,9;298,7;23,6;;23,6;22,7;;;;;;310;1,9;0;
2025/01/01;2000 UTC;0;949,7;949,9;949,5;295,6;24,5;;24,8;23,6;;;;;;320;0;0;
2025/01/01;2100 UTC;0;949,9;950;949,7;174,8;24,3;;24,7;24,2;;;;;;300;0;0;
2025/01/01;2200 UTC;0;950,1;950,1;949,8;8,5;24,6;;24,6;23,8;;;;;;338;1,9;,1;
2025/01/01;2300 UTC;0;950,7;950,7;950,1;;24,3;;24,6;24;;;;;;328;2,7;0;
2025/01/02;0000 UTC;0;950,8;951;950,7;;23,1;;24,5;23,1;;;;;;192;1,8;0;
2025/01/02;0100 UTC;0;951,2;951,2;950,8;;23,4;;23,4;23,1;;;;;;280;0;0;
2025/01/02;0200 UTC;0;951,6;951,6;951,2;;23;;23,4;23;;;;;;151;0;0;
2025/01/02;0300 UTC;0;951,5;951,6;951,4;;22,5;;23;22,5;;;;;;197;0;0;
2025/01/02;0400 UTC;0;951,1;951,6;951,1;;22,2;;22,5;22,2;;;;;;199;2,7;,4;
2025/01/02;0500 UTC;0;951,2;951,2;950,9;;21,9;;22,3;21,9;;;;;;144;3,5;,3;
2025/01/02;0600 UTC;0;950,8;951,3;950,8;;22,3;;22,3;21,9;;;;;;184;4,4;0;
2025/01/02;0700 UTC;0;951,4;951,8;950,8;;23,1;;23,1;22,3;;;;;;14;6,7;0;
2025/01/02;0800 UTC;0;951,5;951,5;951,2;;22,8;;23,2;22,7;;;;;;7;1,7;0;
2025/01/02;0900 UTC;0;951,7;951,8;951,5;6,7;22,7;;22,9;22,6;;;;;;77;2;0;
2025/01/02;1000 UTC;0;952,3;952,3;951,7;80,4;23,5;;23,5;22,7;;;;;;266;1,3;0;
2025/01/02;1100 UTC;0;953,4;953,4;952,3;148,4;23,1;;23,5;23,1;;;;;;332;2,9;,5;
2025/01/02;1200 UTC;0;954,1;954,1;953,4;929,4;25;;25,3;23;;;;;;332;3;,6;
2025/01/02;1300 UTC;0;954,4;954,4;954;1195,2;25,8;;26;25;;;;;;92;3,1;0;
2025/01/02;1400 UTC;0;954;954,5;954;2988,6;28,1;;28,1;25,7;;;;;;24;2,8;,2;
2025/01/02;1500 UTC;0;953,4;954;953,4;3561,5;29,1;;29,3;27,5;;;;;;16;3,7;1,1;
2025/01/02;1600 UTC;0;952,4;953,4;952,4;3231;30,5;;30,6;28,6;;;;;;41;3,8;1;
