REGIAO:;NE
UF:;PI
ESTACAO:;CAMPO MAIOR
CODIGO (WMO):;A376
LATITUDE:;-4,86416666
LONGITUDE:;-42,14555555
ALTITUDE:;125
DATA DE FUNDACAO:;23/11/18
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;;994,1;994,1;993,4;;29,9;21,1;30,3;29,9;21,1;20,6;59;56;59;225;4,2;1,4;
2025/01/01;0100 UTC;;995;995;994;;29,9;21,2;29,9;29,4;21,2;21;61;59;60;328;5,3;1,3;
2025/01/01;0200 UTC;;995,1;995,2;995;;29,5;21;29,9;29,5;21,1;21;60;59;60;287;5,4;1;
2025/01/01;0300 UTC;;996,1;;;62,2;26,4;21,3;;;;;;;74;241;;0;
2025/01/01;0400 UTC;;996,8;;;736,6;27,8;20,9;;;;;;;66;243;;0;
2025/01/01;0500 UTC;;;;;;;;;;;;;;;;;;
2025/01/01;0600 UTC;;;;;;;;;;;;;;;;;;
2025/01/01;0700 UTC;;;;;;;;;;;;;;;;;;
2025/01/01;0800 UTC;;;;;;;;;;;;;;;;;;
2025/01/01;0900 UTC;;;;;;;;;;;;;;;;;;
2025/01/01;1000 UTC;;;;;;;;;;;;;;;;;;
2025/01/01;1100 UTC;;;;;;;;;;;;;;;;;;
2025/01/01;1200 UTC;;997,1;997,3;997,1;2954,4;31,1;19,9;31,1;28,4;20,9;19,6;64;51;51;90;6,2;2,9;
2025/01/01;1300 UTC;;997;997,2;997;2126,5;30,9;20,2;31,3;30,1;20,6;19,6;55;51;53;125;6,3;3,4;
2025/01/01;1400 UTC;;996,3;997;996,3;3470,8;32,5;19,6;33,4;30,7;20,8;19,1;55;45;47;119;9,1;3,5;
2025/01/01;1500 UTC;;995,5;996,3;995,5;3526,8;33,6;18,1;34,7;31,9;19,5;17,9;47;38;40;159;7;2,3;
2025/01/01;1600 UTC;;994,2;995,5;994,2;3126,9;35,3;16,3;36,2;33,5;18,6;16,3;40;31;32;134;10,1;2,8;
2025/01/01;1700 UTC;;993,1;994,2;993,1;2751,1;35,6;15,7;36,7;34,4;16,8;15,6;35;30;31;167;10,1;2,4;
2025/01/01;1800 UTC;;991,9;993,1;991,9;1754,9;36,8;14,8;36,9;35,5;15,8;14,8;31;27;27;96;5,3;2;
2025/01/01;1900 UTC;;991,2;991,9;991,1;1859,7;37,3;13,7;37,8;36,5;14,8;13,6;27;24;25;83;6,7;3;
2025/01/01;2000 UTC;;991,3;991,4;991,1;559;35,1;15,2;37,8;32,8;18;13,6;42;24;31;72;10;0;
2025/01/01;2100 UTC;;991,4;991,4;991,3;195,1;34,7;15,9;35,6;34,7;15,9;14,5;33;29;33;313;3,3;1,6;
2025/01/01;2200 UTC;;992,1;992,1;991,4;;33,2;17,2;34,7;33,2;17,2;15,8;38;33;38;320;4,8;0;
2025/01/01;2300 UTC;;993;993;992,1;;32;17,9;33,2;32;17,9;17,2;43;38;43;231;,3;0;
2025/01/02;0000 UTC;;994,3;994,3;993;;31,4;19;32;31,2;19,3;17,9;48;43;48;333;7,9;3;
2025/01/02;0100 UTC;;994,8;994,8;994,3;;30,5;20,7;31,4;30,4;20,8;19,1;56;48;56;352;5,9;2,4;
2025/01/02;0200 UTC;;;;;;;;;;;;;;;;;;
2025/01/02;0300 UTC;;996,8;;;192,9;27,5;21,1;;;;;;;68;196;;0;
2025/01/02;0400 UTC;;;;;;;;;;;;;;;;;;
2025/01/02;0500 UTC;;;;;;;;;;;;;;;;;;
2025/01/02;0600 UTC;;;;;;;;;;;;;;;;;;
2025/01/02;0700 UTC;;;;;;;;;;;;;;;;;;
2025/01/02;0800 UTC;;;;;;;;;;;;;;;;;;
2025/01/02;0900 UTC;;;;;;;;;;;;;;;;;;
2025/01/02;1000 UTC;;;;;;;;;;;;;;;;;;
2025/01/02;1100 UTC;;;;;;;;;;;;;;;;;;
2025/01/02;1200 UTC;;996,8;997;996,8;4220,3;31,5;18,6;31,8;29,6;20,2;18,6;57;46;47;68;7,9;3,6;
2025/01/02;1300 UTC;;996,5;996,9;996,5;3352,8;32,6;18;33;31;18,9;18;48;42;42;73;7,2;3,4;
2025/01/02;1400 UTC;;995,7;996,5;995,7;3429,9;35,2;16,7;35,9;32,5;18,2;16,6;43;33;33;83;7,9;3,4;
2025/01/02;1500 UTC;;995;995,7;995;2636,2;36,1;16;36,5;34,3;17;15,9;35;30;30;98;8,1;3,4;
2025/01/02;1600 UTC;;994,1;995;994,1;2706,7;36,6;14,6;38,5;35,2;16,1;14,5;31;25;27;129;8,1;4;
2025/01/02;1700 UTC;;992,8;994,1;992,8;3275,9;38,1;13;39,1;36,2;15;12,7;28;22;23;82;8,8;3,9;
2025/01/02;1800 UTC;;991,8;992,8;991,8;3147,2;38,6;10;39,1;37,9;13,3;9,8;23;18;18;98;8,7;4;
2025/01/02;1900 UTC;;991,1;991,8;991,1;2205,1;38,1;11,1;39,5;38,1;11,4;10,2;20;18;20;93;8,7;3,5;
2025/01/02;2000 UTC;;990,8;991,1;990,6;1072,9;38,4;11,3;39,3;38;11,6;11;20;19;20;99;9,1;3,4;
2025/01/02;2100 UTC;;990,9;990,9;990,6;286,1;37,3;11,8;38,4;37,3;12,1;11,3;22;20;22;78;6,2;3;
2025/01/02;2200 UTC;;991,7;991,7;990,9;;35,2;13;37,3;35,2;13;11,8;26;22;26;47;4,9;1,3;
2025/01/02;2300 UTC;;993,1;993,1;991,7;;33,1;16,9;35,2;33,1;16,9;13;38;26;38;2;9,3;5,8;
2025/01/03;0000 UTC;;993,9;993,9;993,1;;32;19,9;33,1;32;19,9;17;49;38;49;2;9,3;3,5;
2025/01/03;0100 UTC;;994,5;994,5;993,9;;31;20,9;32;31;20,9;20;55;49;55;360;6,7;3,1;
2025/01/03;0200 UTC;;995,5;;;91,4;26,1;21,9;;;;;;;78;265;;0;
2025/01/03;0300 UTC;;996,3;;;870;28,2;21,8;;;;;;;68;231;;1,5;
2025/01/03;0400 UTC;;;;;;;;;;;;;;;;;;
2025/01/03;0500 UTC;;;;;;;;;;;;;;;;;;
2025/01/03;0600 UTC;;;;;;;;;;;;;;;;;;
2025/01/03;0700 UTC;;;;;;;;;;;;;;;;;;
2025/01/03;0800 UTC;;;;;;;;;;;;;;;;;;
2025/01/03;0900 UTC;;;;;;;;;;;;;;;;;;
2025/01/03;1000 UTC;;;;;;;;;;;;;;;;;;
2025/01/03;1100 UTC;;;;;;;;;;;;;;;;;;
2025/01/03;1200 UTC;;996,7;996,8;996,4;3208,2;31,5;19,5;31,6;28,7;21,1;19,1;62;49;49;102;5,8;2,6;
2025/01/03;1300 UTC;;996,8;996,9;996,6;3450,8;32,8;18,8;33,1;30,8;19,6;18,5;50;43;44;113;7,1;3,2;
2025/01/03;1400 UTC;;996,3;996,8;996,3;3618,7;32,6;17,8;35;32;19,3;17,7;45;37;41;148;6,4;2,7;
2025/01/03;1500 UTC;;995,4;996,3;995,4;3798,5;34,5;17,1;36,2;32,6;18,6;16,8;42;33;36;82;6,3;1,4;
2025/01/03;1600 UTC;;994;995,4;994;2246,8;35,4;16,5;36,9;34,4;17,7;16;36;31;33;354;5,2;1,1;
2025/01/03;1700 UTC;;992,5;994;992,5;2767,9;37,1;15,5;37,8;35,4;16,7;15;33;27;28;211;5,6;2,5;
2025/01/03;1800 UTC;;991,4;992,5;991,4;3241,5;38,5;14;39,2;37,2;15,6;13,3;28;22;23;135;6,2;3,3;
2025/01/03;1900 UTC;;990,9;991,4;990,9;1887,1;33,6;18,5;39,2;33,6;18,5;12,9;41;21;41;334;10,5;6,3;
2025/01/03;2000 UTC;;992;992;990,9;333,5;31,9;19,3;33,7;31,8;19,9;18,6;49;41;47;344;11,3;2,8;
2025/01/03;2100 UTC;;992,5;992,5;992;97,7;31;19,3;32;30,7;20,2;18,9;51;47;50;324;5,4;2,3;
2025/01/03;2200 UTC;;994;994,1;992,5;;29,2;18,9;31,2;29,2;19,7;18,9;56;50;54;7;7,8;3,8;
2025/01/03;2300 UTC;;994,8;994,9;994;;28,3;19,9;29,2;28,3;20,1;18,6;61;53;60;342;8,4;3,6;
2025/01/04;0000 UTC;;995,4;995,4;994,8;;27,7;20,7;28,3;27,7;20,8;19,6;66;60;66;303;6,9;3;
2025/01/04;0100 UTC;;995,7;995,8;995,4;;27,1;21,3;27,7;27,1;21,4;20,7;71;66;71;321;5,9;2,7;
2025/01/04;0200 UTC;;996,5;;;4,4;24,8;22;;;;;;;84;;;;
2025/01/04;0300 UTC;;996,8;996,9;996,7;511,5;26,5;21,9;26,7;25,5;22,4;21,8;82;75;76;213;;0;
2025/01/04;0400 UTC;;;;;;;;;;;;;;;;;;
2025/01/04;0500 UTC;;;;;;;;;;;;;;;;;;
2025/01/04;0600 UTC;;;;;;;;;;;;;;;;;;
2025/01/04;0700 UTC;;;;;;;;;;;;;;;;;;
2025/01/04;0800 UTC;;;;;;;;;;;;;;;;;;
2025/01/04;0900 UTC;;;;;;;;;;;;;;;;;;
2025/01/04;1000 UTC;;;;;;;;;;;;;;;;;;
2025/01/04;1100 UTC;;;;;;;;;;;;;;;;;;
2025/01/04;1200 UTC;;997,1;997,2;996,9;2622,9;30,1;21,5;30,1;27,3;21,8;21;71;59;60;92;4,1;1;
2025/01/04;1300 UTC;;996,4;997,1;996,4;3245,8;32,6;19,7;32,7;30,1;21,4;19,6;60;47;47;91;6,6;3,5;
2025/01/04;1400 UTC;;995,8;996,4;995,7;2854,7;33,8;18,5;34,3;31,9;20,2;18,5;49;40;41;80;7,8;3,7;
2025/01/04;1500 UTC;;994,9;995,8;994,9;2623,5;35,2;17,2;35,8;33,5;18,8;17,2;42;34;35;76;7,1;2,4;
2025/01/04;1600 UTC;;993,7;994,9;993,7;2684,1;36,3;16,2;37,3;35;17,4;16,2;35;30;30;135;6,4;2,8;
2025/01/04;1700 UTC;;992,5;993,7;992,5;2669,8;37,3;15,7;37,9;35,8;16,7;15,4;31;27;28;105;8,2;,4;
2025/01/04;1800 UTC;;991,3;992,5;991,3;1795,5;37,4;14,9;38,2;36,4;16,3;14,8;29;26;26;81;7,7;1,3;
2025/01/04;1900 UTC;;990,6;991,3;990,6;822,3;37,3;15;38,2;37;15,2;14,3;27;25;27;49;7;2,7;
2025/01/04;2000 UTC;;990,8;990,8;990,5;552,2;35,1;14;37,5;35;15,7;14;32;26;28;339;9,2;4,1;
2025/01/04;2100 UTC;;991;991,1;990,7;240,5;33,3;18,2;35,3;33,3;18,3;13,6;41;28;41;316;8;3,4;
2025/01/04;2200 UTC;;992;992;991;;31,9;18,8;33,3;31,8;19;18,3;47;41;46;346;6,4;3;
2025/01/04;2300 UTC;;992,9;992,9;992;;30,9;21,1;32,1;30,9;21,1;18,8;56;46;56;349;8,5;5;
2025/01/05;0000 UTC;;993,8;993,9;992,9;;30;21,3;31;30;21,4;21,1;60;56;60;2;9;3,1;
2025/01/05;0100 UTC;;994,9;994,9;993,8;;29,3;21,2;29,9;29,3;21,4;21,2;62;60;62;5;7,1;3,3;
2025/01/05;0200 UTC;;995,5;;;125,7;26,3;20,9;;;;;;;73;122;;0;
2025/01/05;0300 UTC;;995,5;;;643,9;28,7;20,1;;;;;;;60;94;;2;
2025/01/05;0400 UTC;;;;;;;;;;;;;;;;;;
2025/01/05;0500 UTC;;;;;;;;;;;;;;;;;;
2025/01/05;0600 UTC;;;;;;;;;;;;;;;;;;
2025/01/05;0700 UTC;;;;;;;;;;;;;;;;;;
2025/01/05;0800 UTC;;;;;;;;;;;;;;;;;;
2025/01/05;0900 UTC;;;;;;;;;;;;;;;;;;
2025/01/05;1000 UTC;;;;;;;;;;;;;;;;;;
2025/01/05;1100 UTC;;;;;;;;;;;;;;;;;;
2025/01/05;1200 UTC;;995,7;995,7;995,4;3686,3;31,3;18,9;31,4;29,2;19,6;18,9;55;48;48;88;8;4,2;
2025/01/05;1300 UTC;;995,4;995,8;995,4;3395,1;32,4;18,1;33;31;19;18;48;42;43;111;9,2;4,1;
2025/01/05;1400 UTC;;994,7;995,5;994,6;3571,6;35;16,6;35,1;32,4;18,3;16,6;43;34;34;58;7,6;3,9;
2025/01/05;1500 UTC;;993,8;994,6;993,8;3874,4;37,7;16;37,7;34,1;16,8;15,7;35;28;28;109;8,5;2,2;
2025/01/05;1600 UTC;;993;993,8;993;3666;37,6;15,2;37,9;35,6;15,7;14,7;30;27;27;8;7,6;1,7;
2025/01/05;1700 UTC;;992,1;993;992;2571,6;38;14,5;38,4;36,4;15,1;14,2;28;25;25;50;7,2;1,2;
