REGIAO:;NE
UF:;RN
ESTACAO:;MACAU
CODIGO (WMO):;A317
LATITUDE:;-5,15111111
LONGITUDE:;-36,57305554
ALTITUDE:;17,37
DATA DE FUNDACAO:;06/01/07
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;;;;;;;;;;;;;;;;;;
2025/01/01;0100 UTC;;;;;;;;;;;;;;;;;;
2025/01/01;0200 UTC;;;;;;;;;;;;;;;;;;
2025/01/01;0300 UTC;;;;;;;;;;;;;;;;;;
2025/01/01;0400 UTC;;;;;;;;;;;;;;;;;;
2025/01/01;0500 UTC;;;;;;;;;;;;;;;;;;
2025/01/01;0600 UTC;;;;;;;;;;;;;;;;;;
2025/01/01;0700 UTC;;;;;;;;;;;;;;;;;;
2025/01/01;0800 UTC;;;;;;;;;;;;;;;;;;
2025/01/01;0900 UTC;;;;;;;;;;;;;;;;;;
2025/01/01;1000 UTC;;1009,5;;;428,9;29,7;21,5;;;;;;;61;135;;4,9;
2025/01/01;1100 UTC;;;;;;;;;;;;;;;;;;
2025/01/01;1200 UTC;;1009,6;1009,8;1009,6;2065,6;32;20,2;32;30,2;21,1;20;57;49;50;129;9,6;4,7;
2025/01/01;1300 UTC;;1009,1;1009,7;1009,1;2160,3;33,4;18,4;34,3;32;20,4;17,9;50;39;41;123;10,8;4,6;
2025/01/01;1400 UTC;;1008,5;1009,1;1008,4;1905,7;33;20,5;35,2;32,7;20,5;17,6;48;36;48;81;9,7;4,6;
2025/01/01;1500 UTC;;1008;1008,5;1008;2626,5;32,3;22,3;33;31,2;23;20,6;60;48;56;37;11,3;7,3;
2025/01/01;1600 UTC;;1007,3;1008;1007,2;3057,2;32,7;22,3;33,6;31,9;23,2;22;58;52;55;42;11,4;7,5;
2025/01/01;1700 UTC;;1006;1007,3;1006;2962,6;33,4;21,5;34,4;32,7;23;21,3;55;48;50;51;11,7;7,6;
2025/01/01;1800 UTC;;1005,4;1006;1005,4;2368,3;33,5;21,6;33,9;32,9;22;21;52;48;50;63;13,7;7,5;
2025/01/01;1900 UTC;;1005,3;1005,4;1005,2;1575,7;31,8;22,1;33,5;31,8;22,1;21;57;49;57;61;13,5;7,7;
2025/01/01;2000 UTC;;1005,8;1005,8;1005,3;735,3;30,9;22,7;31,8;30,8;22,8;22,1;62;57;62;63;12,8;6;
2025/01/01;2100 UTC;;1006,4;1006,4;1005,8;92,1;30;22,9;30,9;30;22,9;22,7;66;62;66;71;11;5,5;
2025/01/01;2200 UTC;;1007,2;1007,2;1006,3;;30,6;20,1;30,6;29,8;23,1;20,1;67;54;54;91;10,1;4,7;
2025/01/01;2300 UTC;;;;;;;;;;;;;;;;;;
2025/01/02;0000 UTC;;;;;;;;;;;;;;;;;;
2025/01/02;0100 UTC;;;;;;;;;;;;;;;;;;
2025/01/02;0200 UTC;;;;;;;;;;;;;;;;;;
2025/01/02;0300 UTC;;;;;;;;;;;;;;;;;;
2025/01/02;0400 UTC;;;;;;;;;;;;;;;;;;
2025/01/02;0500 UTC;;;;;;;;;;;;;;;;;;
2025/01/02;0600 UTC;;;;;;;;;;;;;;;;;;
2025/01/02;0700 UTC;;;;;;;;;;;;;;;;;;
2025/01/02;0800 UTC;;;;;;;;;;;;;;;;;;
