REGIAO:;NE
UF:;RN
ESTACAO:;CALCANHAR
CODIGO (WMO):;A344
LATITUDE:;-5,16
LONGITUDE:;-35,48749999
ALTITUDE:;9,82
DATA DE FUNDACAO:;08/05/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;;1010,6;1010,7;1010,4;0;27,8;20,1;28,2;27,6;20,4;19,8;63;62;63;;;;
2025/01/01;0100 UTC;;1010,8;1010,8;1010,6;0;27,8;19,7;28;27,4;20,3;19,6;63;62;62;;;;
2025/01/01;0200 UTC;;1010,9;1010,9;1010,7;0;27,6;19,7;27,9;27,4;20;19,6;63;62;62;;;;
2025/01/01;0300 UTC;;1010,3;1010,9;1010,3;0;27,5;19,5;27,9;27,3;20,2;19,5;63;62;62;;;;
2025/01/01;0400 UTC;;1009,6;1010,3;1009,6;0;27,5;19,5;27,7;27,3;19,9;19,5;63;62;62;;;;
2025/01/01;0500 UTC;;1009,2;1009,7;1009,2;0;27,4;19,5;27,7;27,2;19,9;19,5;63;62;62;;;;
2025/01/01;0600 UTC;;1009;1009,2;1009;,1;27,4;19,4;27,8;27,3;19,9;19,4;63;62;62;;;;
2025/01/01;0700 UTC;;1009;1009,1;1008,9;,1;27,6;19,7;27,7;27,4;20;19,4;63;62;62;;;;
2025/01/01;0800 UTC;;1009,2;1009,2;1008,9;,1;27,4;19,5;27,7;27,3;19,9;19,5;62;62;62;;;;
2025/01/01;0900 UTC;;1009,6;1009,6;1009,2;105,8;27,9;19,9;28;27,3;20;19,4;62;62;62;;;;
2025/01/01;1000 UTC;;1009,8;1009,9;1009,5;574,2;28,2;20,2;28,6;27,8;20,6;19,8;62;62;62;;;;
2025/01/01;1100 UTC;;1010,3;1010,3;1009,8;1637,4;29,6;21;30;28,2;21,4;20,1;62;60;60;;;;
