REGIAO:;NE
UF:;RN
ESTACAO:;SANTA CRUZ
CODIGO (WMO):;A367
LATITUDE:;-6,22805554
LONGITUDE:;-36,02666666
ALTITUDE:;227,49
DATA DE FUNDACAO:;17/08/10
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;0;986,6;986,7;986,1;;26,3;20,6;27,3;26,3;20,6;20;71;64;71;97;6,7;2,1;
2025/01/01;0100 UTC;0;987;987,1;986,6;;25,9;21,1;26,3;25,9;21,2;20,6;75;71;75;143;6,7;1,3;
2025/01/01;0200 UTC;;;;;;;;;;;;;;;;;;
2025/01/01;0300 UTC;;;;;;;;;;;;;;;;;;
2025/01/01;0400 UTC;;;;;;;;;;;;;;;;;;
2025/01/01;0500 UTC;;;;;;;;;;;;;;;;;;
2025/01/01;0600 UTC;;;;;;;;;;;;;;;;;;
2025/01/01;0700 UTC;;;;;;;;;;;;;;;;;;
2025/01/01;0800 UTC;;;;;;;;;;;;;;;;;;
2025/01/01;0900 UTC;;;;;;;;;;;;;;;;;;
2025/01/01;1000 UTC;;;;;;;;;;;;;;;;;;
2025/01/01;1100 UTC;0;986,8;;;776,3;28,5;20,1;;;;;;;60;116;;2,4;
2025/01/01;1200 UTC;0;986,7;986,9;986,7;1730,3;30,4;19,3;30,4;27,7;19,8;19,1;61;51;51;101;8,7;2,8;
2025/01/01;1300 UTC;0;986,2;986,8;986,2;2281,2;30,5;17,6;31,5;29,9;19,4;17,4;51;44;46;120;8;2,9;
2025/01/01;1400 UTC;0;985,6;986,2;985,6;2791,8;33,9;16,1;33,9;30,5;17,8;16,1;46;35;35;108;8,3;3;
2025/01/01;1500 UTC;0;984,9;985,6;984,8;3358,5;34,3;15,5;35,1;32,7;16,8;15,4;38;31;33;93;7,9;3,1;
2025/01/01;1600 UTC;0;984;984,9;984;2737,3;35,4;15,6;35,6;33,3;16,1;15;34;31;31;97;8,7;3,5;
2025/01/01;1700 UTC;0;983,3;984;983,3;2784;33,9;14,8;35,9;33,9;15,6;14,5;32;29;32;124;9,1;3,9;
2025/01/01;1800 UTC;0;982,8;983,3;982,8;1662;34,2;15,4;35;33,3;15,7;14,5;33;31;33;102;9,1;3,6;
2025/01/01;1900 UTC;0;982,7;982,8;982,6;1334,5;34;16;34,7;33,3;16;15,1;34;32;34;97;8,9;2,8;
2025/01/01;2000 UTC;0;983,1;983,2;982,7;742,4;32,2;16,9;34;32,1;16,9;15,7;40;34;40;94;9,7;2,9;
2025/01/01;2100 UTC;0;983,9;983,9;983,1;90,4;30;18,6;32,2;30;18,6;17;51;40;51;97;8,9;3,3;
2025/01/01;2200 UTC;0;985;985;984;;28,3;19,7;30;28,3;19,7;18,7;60;51;60;89;8,5;3,4;
2025/01/01;2300 UTC;0;985,8;985,8;985;;27,2;19,9;28,3;27,2;20;19,7;64;60;64;94;9;3,4;
2025/01/02;0000 UTC;0;986,4;986,4;985,8;;26,4;20,4;27,2;26,4;20,4;19,8;70;64;70;97;7,1;2,3;
2025/01/02;0100 UTC;;;;;;;;;;;;;;;;;;
2025/01/02;0200 UTC;;;;;;;;;;;;;;;;;;
2025/01/02;0300 UTC;;;;;;;;;;;;;;;;;;
2025/01/02;0400 UTC;;;;;;;;;;;;;;;;;;
2025/01/02;0500 UTC;;;;;;;;;;;;;;;;;;
2025/01/02;0600 UTC;;;;;;;;;;;;;;;;;;
2025/01/02;0700 UTC;;;;;;;;;;;;;;;;;;
2025/01/02;0800 UTC;;;;;;;;;;;;;;;;;;
2025/01/02;0900 UTC;;;;;;;;;;;;;;;;;;
2025/01/02;1000 UTC;;;;;;;;;;;;;;;;;;
2025/01/02;1100 UTC;;;;;;;;;;;;;;;;;;
2025/01/02;1200 UTC;0;986,9;987,1;986,9;1384,8;30;18,7;30,1;27,7;19,9;18,5;60;51;51;110;;3,1;
2025/01/02;1300 UTC;0;986,5;986,9;986,5;2470,8;31,5;17,8;32,1;29,9;19;17,3;51;42;44;105;8,4;2,9;
2025/01/02;1400 UTC;0;985,9;986,5;985,9;3029,8;32,6;17,5;33,5;31,5;18,4;17;44;39;41;110;8,1;2,5;
2025/01/02;1500 UTC;0;985,2;985,9;985,2;2893,8;33,5;16,9;34,1;32,5;17,7;16,3;41;36;37;89;8,5;3,2;
2025/01/02;1600 UTC;0;984,1;985,2;984,1;2933,8;34,8;16,1;35,5;33,3;17,2;15,5;37;32;33;94;8,1;2,9;
2025/01/02;1700 UTC;0;983,2;984,1;983,2;2116,7;34,5;16,1;35,5;33,5;16,4;15,1;35;30;33;126;8,4;2,7;
2025/01/02;1800 UTC;0;982,6;983,2;982,6;2221,1;34,6;15,2;35,7;34,4;16,2;15,1;33;31;31;124;8,6;3,1;
2025/01/02;1900 UTC;0;982,7;982,7;982,5;1474;34,3;16,6;35,5;33,4;16,6;15;36;30;35;96;9,2;3,5;
2025/01/02;2000 UTC;0;983,4;983,4;982,7;665;32,2;18;34,3;32,2;18;16,6;43;35;43;88;9,4;3,9;
2025/01/02;2100 UTC;0;984,2;984,2;983,4;78,9;30;19;32,2;30;19;18;52;43;52;89;9,5;3,8;
2025/01/02;2200 UTC;0;985;985;984,2;;28,4;20;30;28,4;20;19,1;60;52;60;85;9,2;3;
2025/01/02;2300 UTC;0;985,7;985,7;985;;27,2;20,7;28,4;27,2;20,7;20,1;68;60;68;98;7,8;2,6;
2025/01/03;0000 UTC;0;986,3;986,3;985,7;;26,4;20,6;27,2;26,4;21;20,6;71;68;71;107;7,8;2,7;
2025/01/03;0100 UTC;;;;;;;;;;;;;;;;;;
2025/01/03;0200 UTC;;;;;;;;;;;;;;;;;;
2025/01/03;0300 UTC;;;;;;;;;;;;;;;;;;
2025/01/03;0400 UTC;;;;;;;;;;;;;;;;;;
2025/01/03;0500 UTC;;;;;;;;;;;;;;;;;;
2025/01/03;0600 UTC;;;;;;;;;;;;;;;;;;
2025/01/03;0700 UTC;;;;;;;;;;;;;;;;;;
2025/01/03;0800 UTC;;;;;;;;;;;;;;;;;;
2025/01/03;0900 UTC;;;;;;;;;;;;;;;;;;
2025/01/03;1000 UTC;;;;;;;;;;;;;;;;;;
2025/01/03;1100 UTC;;;;;;;;;;;;;;;;;;
2025/01/03;1200 UTC;0;986,5;;;372;29,1;19,8;;;;;;;57;102;;2,4;
2025/01/03;1300 UTC;0;986,4;986,5;986,3;1507,7;30,1;19,2;30,5;28,7;20,1;18,9;58;52;52;147;7,4;3,5;
