REGIAO:;NE
UF:;SE
ESTACAO:;ITABAIANINHA
CODIGO (WMO):;A417
LATITUDE:;-11,27249999
LONGITUDE:;-37,79499999
ALTITUDE:;204,8
DATA DE FUNDACAO:;23/05/07
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;0;990,1;990,1;989,8;;24,5;19,2;24,8;24,5;19,3;19,1;73;70;72;85;5,3;2,2;
2025/01/01;0100 UTC;0;990;990,2;990;;24,2;19,2;24,5;24,2;19,2;19,2;74;72;74;84;5,1;2,3;
2025/01/01;0200 UTC;0;989,8;990,1;989,7;;24,1;19,3;24,2;24;19,4;19,2;75;74;75;84;5,5;2,3;
2025/01/01;0300 UTC;0;989,3;989,8;989,3;;23,5;19,2;24,1;23,5;19,3;19,1;77;75;77;67;5,1;2,6;
2025/01/01;0400 UTC;0;988,9;989,3;988,9;;23,6;19,2;23,6;23,4;19,3;19,1;77;76;76;83;4,4;1,9;
2025/01/01;0500 UTC;0;988,9;988,9;988,7;;23,2;19,3;23,7;23,2;19,3;19,1;79;76;79;67;4,4;2,2;
2025/01/01;0600 UTC;0;988,6;988,9;988,6;;23;20,9;23,4;22,9;20,9;19,2;88;79;88;71;3,7;1,7;
2025/01/01;0700 UTC;0;988,8;988,8;988,6;;22,4;22,4;23;22,4;22,7;20,8;100;88;100;56;2,7;1,6;
2025/01/01;0800 UTC;0;989;989,1;988,8;;22,6;;22,6;22,3;;;;;;65;3,8;2;
2025/01/01;0900 UTC;0;989,4;989,4;989;167,6;24;23,7;24;22,6;23,7;22,9;100;98;98;57;3,9;2,5;
