REGIAO:;N
UF:;AM
ESTACAO:;PARINTINS
CODIGO (WMO):;A123
LATITUDE:;-2,63916666
LONGITUDE:;-56,75611111
ALTITUDE:;18,72
DATA DE FUNDACAO:;11/04/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;0;1005,8;1005,8;1004,4;0;26,4;23,9;27,4;26,4;24,3;23,9;86;83;86;189;2,6;1;
2025/01/01;0100 UTC;0;1006,7;1006,7;1005,8;0;26,3;24;27;26,2;24,3;23,9;87;85;87;177;2,4;1,3;
2025/01/01;0200 UTC;0;1007,2;1007,2;1006,7;0;26,4;23,9;26,8;26,2;24,2;23,9;87;86;86;139;3,1;1,1;
2025/01/01;0300 UTC;0;1007,3;1007,4;1007,2;0;26,4;23,7;27;26,3;24,2;23,6;86;85;85;122;3,1;,9;
2025/01/01;0400 UTC;0;1007;1007,3;1007;0;26,2;23,7;26,4;26,1;23,8;23,6;86;85;86;124;3,2;1,3;
2025/01/01;0500 UTC;0;1006,3;1007;1006,3;0;26;23,5;26,3;25,9;23,8;23,4;86;86;86;106;3,9;1;
2025/01/01;0600 UTC;0;1005,4;1006,3;1005,4;0;25,5;23,2;26,1;25,5;23,6;23,2;87;86;87;98;3;1,1;
2025/01/01;0700 UTC;0;1005,4;1005,4;1005,1;0;26,3;23,8;26,3;25,4;23,8;23,2;88;86;86;62;4,8;2,5;
2025/01/01;0800 UTC;0;1005,5;1005,5;1005,3;0;26,3;23,9;26,4;26,1;23,9;23,8;87;86;86;68;4,8;1,4;
2025/01/01;0900 UTC;0;1005,8;1005,8;1005,5;0;26,2;24;26,4;26,1;24,1;23,9;88;86;88;59;3,4;1,5;
2025/01/01;1000 UTC;0;1006,5;1006,5;1005,8;13,2;25,5;23,6;26,2;25,4;24;23,5;89;88;89;98;2,5;1;
2025/01/01;1100 UTC;0;1007,2;1007,2;1006,5;302,3;26,8;24,6;26,8;25,5;24,6;23,7;90;87;88;119;2,6;1,2;
2025/01/01;1200 UTC;0;1008;1008;1007,2;679,9;28,4;25,2;28,5;26,8;25,3;24,6;88;83;83;68;6,1;3,2;
2025/01/01;1300 UTC;0;1008,6;1008,6;1008;2134;30;25,9;30,3;28,2;26,2;25;83;78;79;66;6,5;3;
2025/01/01;1400 UTC;0;1008,7;1008,8;1008,6;2618,6;30,3;25;30,7;29,8;26,3;25;79;73;74;57;6,8;3,5;
2025/01/01;1500 UTC;0;1008,3;1008,7;1008,3;2778,3;30,7;24,9;31,3;29,8;25,7;24,8;76;70;71;48;6,8;3,8;
2025/01/01;1600 UTC;0;1007,4;1008,3;1007,4;3180,6;31,8;25,5;32,3;30,6;26,2;24,9;73;68;69;37;5,7;2,7;
2025/01/01;1700 UTC;0;1006,4;1007,4;1006,4;3384,7;32,4;24,7;32,9;31,6;26;24,1;70;63;64;55;6,4;3,4;
2025/01/01;1800 UTC;0;1005;1006,3;1005;1689,1;28,3;23,1;33,4;28,3;25,8;22,8;73;62;73;197;6,1;2,8;
2025/01/01;1900 UTC;0;1003,9;1005;1003,9;976,3;31,1;25,2;31,1;28,2;25,3;23,1;77;71;71;145;5;1,7;
2025/01/01;2000 UTC;0;1003;1003,9;1003;1623,6;30,5;24,5;32,6;30,4;26,1;24,4;71;67;71;58;5,1;3,1;
2025/01/01;2100 UTC;0;1002,9;1003;1002,7;629,5;30,2;24,4;30,8;30,1;25,3;24,3;73;70;71;67;5,1;2,2;
2025/01/01;2200 UTC;0;1003,1;1003,1;1002,9;187,5;29,9;24,7;30,5;29,9;24,7;24,5;74;71;74;72;3,9;1,9;
2025/01/01;2300 UTC;0;1003,9;1003,9;1003,1;,1;29,4;24,7;29,9;28,3;24,7;23,8;78;73;76;58;3,6;1,3;
2025/01/02;0000 UTC;0;1005,3;1005,3;1003,9;0;26,8;24;29,4;26,7;24,6;23,5;85;76;85;265;2;,3;
2025/01/02;0100 UTC;0;1006,2;1006,2;1005,3;0;26,7;24,6;26,8;26,3;24,6;23,9;88;85;88;224;1;,7;
2025/01/02;0200 UTC;0;1007,3;1007,3;1006,2;0;26,3;24,5;26,7;26,2;24,6;24,3;90;88;90;227;1,2;,9;
2025/01/02;0300 UTC;0;1007,6;1007,6;1007;0;26;24,6;26,3;25,9;24,7;24,5;92;90;92;226;1,7;1,1;
2025/01/02;0400 UTC;;;;;;;;;;;;;;;;;;
2025/01/02;0500 UTC;0;1006,5;1006,8;1006,5;0;25,9;24,7;26,1;25,9;24,9;24,7;94;93;94;234;2,2;1,2;
2025/01/02;0600 UTC;0;1006;1006,5;1005,8;0;26,1;25,1;26,1;25,6;25,1;24,6;95;94;94;148;3,6;,9;
2025/01/02;0700 UTC;0;1006,6;1006,7;1005,9;,1;24,7;23;26,3;24,7;25,2;23;94;88;90;57;12,9;6,8;
2025/01/02;0800 UTC;6,8;1005,5;1006,8;1005,1;,5;23;21,9;24,7;22,6;22,8;21,3;94;90;94;118;12,9;2;
2025/01/02;0900 UTC;,4;1006,3;1006,3;1005,5;0;23,9;23;23,9;23;23;21,9;95;94;95;9;4,7;1,3;
2025/01/02;1000 UTC;0;1007,3;1007,4;1006,3;8,4;23,9;22,9;24;23,8;23,1;22,9;95;94;94;1;4,4;1;
2025/01/02;1100 UTC;0;1008,6;1008,6;1007,3;120;24,1;23,3;24,1;23,7;23,3;22,8;95;94;95;286;2,5;,5;
2025/01/02;1200 UTC;0;1009,3;1009,3;1008,6;379,2;24,9;24;25;24;24,1;23,2;95;94;94;198;1,6;,8;
2025/01/02;1300 UTC;0;1010,1;1010,2;1009,3;821,1;26,4;24,8;26,7;24,9;25,3;23,9;95;91;91;223;1,8;1;
