REGIAO:;N
UF:;AM
ESTACAO:;URUCARA
CODIGO (WMO):;A124
LATITUDE:;-2,53472221
LONGITUDE:;-57,75805555
ALTITUDE:;18,49
DATA DE FUNDACAO:;17/04/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;0;1006,3;1006,3;1004,8;;24,7;22,8;24,8;24,6;22,9;22,7;89;89;89;218;2,1;,2;
2025/01/01;0100 UTC;0;1007,2;1007,2;1006,3;;24,4;22,6;24,7;24,4;22,8;22,6;90;89;90;209;1,8;0;
2025/01/01;0200 UTC;0;1007,5;1007,5;1007,2;;24,1;22,4;24,5;24,1;22,6;22,3;90;90;90;220;0;0;
2025/01/01;0300 UTC;0;1007,7;1007,8;1007,5;;23,7;22;24,1;23,7;22,4;22;90;90;90;300;0;0;
2025/01/01;0400 UTC;0;1007,3;1007,7;1007,3;;23,6;21,9;23,7;23,5;22;21,9;91;90;91;242;0;0;
2025/01/01;0500 UTC;0;1006,4;1007,3;1006,4;;23,6;22;23,6;23,5;22,1;21,9;91;91;91;35;0;0;
2025/01/01;0600 UTC;0;1005,8;1006,4;1005,8;;23,2;21,7;23,6;23,2;22;21,7;91;91;91;36;0;0;
2025/01/01;0700 UTC;0;1005,6;1005,8;1005,6;;23;21,5;23,2;23;21,7;21,5;91;91;91;270;0;0;
2025/01/01;0800 UTC;0;1005,8;1005,8;1005,5;;23,1;21,6;23,1;23;21,7;21,5;92;91;92;335;0;0;
2025/01/01;0900 UTC;0;1006,1;1006,1;1005,8;;22,7;21,3;23,1;22,7;21,6;21,3;92;92;92;26;0;0;
