REGIAO:;N
UF:;AM
ESTACAO:;S. G. DA CACHOEIRA
CODIGO (WMO):;A134
LATITUDE:;-,12527777
LONGITUDE:;-67,06111111
ALTITUDE:;79,67
DATA DE FUNDACAO:;31/08/11
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;0;997,7;997,7;997;0;24,6;19,7;25,4;24,6;20;19,6;74;72;74;108;;;
2025/01/01;0100 UTC;0;999,4;999,4;997,7;0;24,3;19,7;24,6;24,3;19,7;19,6;76;74;76;77;;;
2025/01/01;0200 UTC;0;1000,3;1000,5;999,4;0;24,4;20,1;24,4;24,2;20,1;19,8;77;76;77;149;;;
2025/01/01;0300 UTC;2,2;1000,2;1000,5;1000,1;0;24,4;20,3;24,6;24,4;20,5;20,1;78;77;78;115;;;
2025/01/01;0400 UTC;0;1000,6;1000,9;1000,2;0;24,4;20,4;24,4;24,3;20,4;20,2;79;78;79;160;;;
2025/01/01;0500 UTC;,2;1000,2;1000,7;1000,2;0;24,2;20,4;24,5;24,2;20,6;20,3;79;79;79;156;;;
2025/01/01;0600 UTC;0;999,4;1000,2;999,4;0;24,4;20,6;24,5;24,2;20,7;20,4;79;79;79;197;;;
2025/01/01;0700 UTC;0;998,8;999,4;998,8;0;24,2;20,5;24,5;24,2;20,7;20,4;80;79;80;26;;;
2025/01/01;0800 UTC;0;998,4;998,8;998,4;0;24,3;20,6;24,3;24,1;20,6;20,4;80;80;80;205;;;
2025/01/01;0900 UTC;0;999,2;999,2;998,4;0;24,4;20,8;24,4;24,2;20,8;20,5;80;80;80;205;;;
2025/01/01;1000 UTC;0;999,8;999,8;999,2;0;24,2;20,6;24,4;24,2;20,8;20,6;80;80;80;344;;;
2025/01/01;1100 UTC;0;1000,5;1000,5;999,8;23,4;24,2;20,7;24,2;24;20,7;20,5;81;80;81;62;;;
2025/01/01;1200 UTC;0;1001,4;1001,4;1000,5;192,4;25,1;21,5;25,1;24,2;21,5;20,6;81;81;81;328;;;
2025/01/01;1300 UTC;0;1002,2;1002,2;1001,4;700,8;26,9;23;26,9;25,1;23;21,5;81;79;79;269;;;
2025/01/01;1400 UTC;0;1002,2;1002,5;1002,2;899,7;27,6;23,2;27,9;26,9;23,6;22,8;79;77;77;214;;;
2025/01/01;1500 UTC;0;1002,2;1002,2;1002,1;1374,9;29,4;24,4;29,4;27,6;24,6;23,2;78;75;75;241;;;
2025/01/01;1600 UTC;0;1001,5;1002,3;1001,5;1703,2;30,5;24,3;31;28,4;25,2;23,3;74;70;70;351;;;
2025/01/01;1700 UTC;4,2;1000,2;1001,5;1000,2;640,5;27,1;22,1;30,5;25,9;24,3;20,3;74;69;74;334;;;
