REGIAO:;N
UF:;PA
ESTACAO:;BRAGANCA
CODIGO (WMO):;A226
LATITUDE:;-1,05583333
LONGITUDE:;-46,78277777
ALTITUDE:;5,6
DATA DE FUNDACAO:;11/03/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;0;1007,3;1007,3;1006,4;0;27,9;24,6;28;27,8;24,7;24,6;83;82;83;86;4,3;1,6;
2025/01/01;0100 UTC;0;1007,7;1007,7;1007,3;0;27,7;24,4;28;27,7;24,6;24,4;83;82;82;81;4,8;1,8;
2025/01/01;0200 UTC;0;1007,8;1007,8;1007,7;0;27,4;24,4;27,7;27,3;24,5;24,4;84;82;84;84;4,1;1,2;
2025/01/01;0300 UTC;0;1007,3;1007,8;1007,3;0;26,8;24,5;27,4;26,7;24,5;24,3;88;84;87;62;2,7;,6;
2025/01/01;0400 UTC;0;1006,9;1007,3;1006,9;0;26,8;24,7;26,8;26,5;24,8;24,4;90;87;89;70;3,4;1,9;
2025/01/01;0500 UTC;0;1006,5;1006,9;1006,5;0;26,7;24,7;26,9;26,7;24,8;24,7;89;88;89;100;3,4;1;
2025/01/01;0600 UTC;0;1006,5;1006,6;1006,4;0;26,2;24,6;26,7;26,2;24,8;24,6;91;89;91;152;2,4;,1;
2025/01/01;0700 UTC;0;1006,3;1006,6;1006,3;0;25,6;24,5;26,2;25,6;24,7;24,4;94;91;94;231;,8;0;
2025/01/01;0800 UTC;0;1006,2;1006,3;1006;0;25,4;24,4;25,6;25,4;24,5;24,3;94;94;94;102;,9;0;
2025/01/01;0900 UTC;0;1006,6;1006,7;1006,2;,3;25,1;24,4;25,4;25,1;24,5;24,2;96;94;95;141;1,5;,1;
2025/01/01;1000 UTC;0;1007,1;1007,1;1006,6;91,8;25,5;24,7;25,6;25,1;24,8;24,3;96;95;95;105;1,5;0;
2025/01/01;1100 UTC;0;1007,8;1007,8;1007,1;537,5;27,2;24,7;27,2;25,5;25,1;24,6;95;86;86;109;2;,6;
2025/01/01;1200 UTC;0;1007,9;1008;1007,8;1522,3;30,7;24,1;30,7;27,2;25;24,1;86;68;68;97;7,5;3,5;
2025/01/01;1300 UTC;0;1008,3;1008,3;1007,9;2521,6;31,8;23,4;31,9;30,2;24,4;23;70;61;61;104;9,7;4,7;
2025/01/01;1400 UTC;0;1008,2;1008,5;1008,2;1883,2;31;23,3;32,1;30,8;23,9;22,9;65;60;64;75;8,9;4,5;
2025/01/01;1500 UTC;0;1007,7;1008,2;1007,7;1646,2;32,2;23,6;32,7;30,8;24,2;23,1;67;58;60;71;9,8;4,9;
2025/01/01;1600 UTC;0;1006,8;1007,7;1006,8;2415,9;31,9;24,1;33,1;31,2;24,3;23,6;66;58;63;70;10,4;5,5;
2025/01/01;1700 UTC;0;1005,9;1006,8;1005,9;2484,8;32,2;24,2;32,8;31,7;24,4;23,9;65;60;62;72;11,2;5,6;
2025/01/01;1800 UTC;0;1005,1;1005,9;1005;2369;31,9;23,9;33;31,5;24,4;23,9;65;60;63;67;11,8;6;
2025/01/01;1900 UTC;0;1004,8;1005,1;1004,7;1254,2;31,6;23,9;32,3;31,1;24,4;23,5;66;61;64;71;10,5;5,1;
2025/01/01;2000 UTC;0;1005;1005;1004,8;651,2;30,3;24,1;31,6;30,3;24,4;23,9;71;64;69;71;10,4;5,1;
2025/01/01;2100 UTC;0;1005,3;1005,3;1005;100,8;28,8;24,6;30,4;28,8;24,6;24,2;78;69;78;74;10,1;4,5;
2025/01/01;2200 UTC;0;1005,8;1005,8;1005,2;4,4;28,2;24,8;28,8;28,2;24,9;24,6;82;78;82;76;9;3,1;
2025/01/01;2300 UTC;0;1006,2;1006,2;1005,7;0;28;24,7;28,2;28;24,8;24,7;82;81;82;75;6,4;3,1;
2025/01/02;0000 UTC;0;1007;1007;1006,2;0;28;24,6;28;27,9;24,8;24,6;83;82;82;80;6,9;3,2;
2025/01/02;0100 UTC;0;1007,2;1007,2;1007;0;27,8;24,6;28;27,7;24,6;24,5;83;82;83;80;6,4;2,8;
2025/01/02;0200 UTC;0;1007;1007,2;1007;0;27,7;24,7;27,8;27,6;24,7;24,5;84;83;84;75;6,1;2,6;
2025/01/02;0300 UTC;0;1006,7;1007,1;1006,7;0;27,7;24,6;27,7;27,6;24,9;24,6;85;83;83;67;5,3;2,8;
2025/01/02;0400 UTC;0;1006,9;1006,9;1006,7;0;27,6;24,5;27,8;27,6;24,6;24,4;83;82;83;75;6,5;2,7;
2025/01/02;0500 UTC;0;1006,3;1006,9;1006,3;0;27,3;24,2;27,6;27,3;24,5;24,1;83;82;83;80;5,2;1,9;
2025/01/02;0600 UTC;0;1006;1006,4;1005,9;0;26,9;24,1;27,3;26,9;24,3;24,1;85;83;85;84;4,4;2,3;
2025/01/02;0700 UTC;0;1005,7;1006;1005,7;0;26,7;24,1;26,9;26,7;24,1;24;86;84;86;80;4,3;1,9;
2025/01/02;0800 UTC;0;1006;1006;1005,7;0;26,4;24,1;26,7;26,4;24,1;24;87;85;87;74;4,8;1,4;
2025/01/02;0900 UTC;0;1006,4;1006,4;1006;0;26,3;23,9;26,4;26,2;24,1;23,8;88;86;87;83;3,5;1,7;
2025/01/02;1000 UTC;0;1007;1007;1006,4;139,6;27,1;24,4;27,1;26,3;24,4;23,8;87;85;85;68;3,4;1,3;
2025/01/02;1100 UTC;0;1007,6;1007,6;1007;519,4;28,4;24,7;28,5;27,1;24,8;24,4;85;79;81;79;5,9;2,7;
2025/01/02;1200 UTC;0;1008,1;1008,1;1007,6;1151,4;29,8;24,7;30,3;28,3;25;24,1;81;71;74;62;8,5;4,4;
2025/01/02;1300 UTC;0;1008,2;1008,3;1008,1;1788,4;30,7;24,5;31,4;29,7;25,1;24,3;75;68;69;70;11,2;4,4;
2025/01/02;1400 UTC;0;1008,2;1008,3;1008;2027,1;31,7;23,4;32,1;30,7;24,7;23,2;70;61;62;73;11,8;6;
2025/01/02;1500 UTC;0;1007,8;1008,3;1007,8;2056,9;32,6;23,6;32,6;31,4;23,7;23,1;63;59;59;76;11,9;5,7;
2025/01/02;1600 UTC;0;1007,3;1007,9;1007,1;2710,6;32,7;23,2;33,6;31,9;23,7;23,1;61;54;58;76;11,9;5,5;
2025/01/02;1700 UTC;0;1006,3;1007,3;1006,2;2685,3;33;23,4;34,1;32,3;23,7;23,1;59;55;57;80;11,5;5,6;
2025/01/02;1800 UTC;0;1005,2;1006,4;1005,2;2248,9;32,4;23,8;33,1;32,1;23,9;22,8;62;56;60;73;11,1;5,6;
2025/01/02;1900 UTC;0;1004,8;1005,2;1004,8;1329,1;31,2;24,2;32,5;31,2;24,3;23,6;67;60;66;70;11,2;5,6;
2025/01/02;2000 UTC;0;1004,6;1004,9;1004,6;671;30,4;24,3;31,2;30,3;24,5;24;70;66;70;65;10,6;4,9;
2025/01/02;2100 UTC;0;1005;1005;1004,6;214,8;29,2;24,6;30,4;29,2;24,6;24,1;76;69;76;69;9,6;4,1;
2025/01/02;2200 UTC;0;1005,4;1005,4;1004,8;10,4;28,5;24,3;29,2;28,5;24,6;23,9;78;74;78;77;8;3,3;
2025/01/02;2300 UTC;0;1006;1006,1;1005,4;0;28,2;24,4;28,6;28,2;24,5;24,3;80;78;80;69;6,4;2,9;
2025/01/03;0000 UTC;0;1006,8;1006,8;1006;0;28,1;24,7;28,2;28;24,7;24,4;82;80;82;73;6,4;2,7;
2025/01/03;0100 UTC;0;1007,2;1007,2;1006,7;0;27,8;24,7;28,1;27,8;24,7;24,6;83;82;83;78;6,1;2,1;
2025/01/03;0200 UTC;0;1007,4;1007,5;1007,1;0;27,7;24,7;27,8;27,6;24,7;24,6;84;83;84;74;5,5;2,8;
2025/01/03;0300 UTC;0;1007,2;1007,5;1007,2;0;27,5;24,8;27,7;27,5;24,8;24,7;85;84;85;72;5,5;1,9;
2025/01/03;0400 UTC;0;1006,9;1007,3;1006,9;0;27,6;24,8;27,7;27,5;24,9;24,7;86;84;84;77;4,3;1,8;
2025/01/03;0500 UTC;0;1006,2;1006,9;1006,2;0;27,4;24,8;27,7;27,4;24,9;24,7;86;84;86;74;3,8;1,9;
2025/01/03;0600 UTC;0;1005,5;1006,2;1005,5;0;27,2;24,6;27,5;27,1;24,8;24,5;86;85;86;66;4,3;1,9;
2025/01/03;0700 UTC;0;1005,4;1005,6;1005,3;0;27,1;24,5;27,2;27,1;24,6;24,5;86;85;86;74;4,3;2;
2025/01/03;0800 UTC;0;1005,6;1005,6;1005,3;0;26,7;24,5;27,1;26,7;24,5;24,5;88;86;88;66;3,8;,6;
2025/01/03;0900 UTC;0;1006,5;1006,5;1005,6;,2;26,2;24,5;26,7;26,2;24,5;24,4;90;88;90;84;2;,1;
2025/01/03;1000 UTC;0;1007,3;1007,3;1006,5;194,4;27,2;24,4;27,2;26,2;24,6;24,4;90;85;85;79;3;1,4;
2025/01/03;1100 UTC;0;1007,8;1007,9;1007,3;768,1;28,6;24,8;29,2;27,2;25,1;24,5;85;78;80;60;6,2;3,6;
2025/01/03;1200 UTC;0;1008,5;1008,5;1007,8;804,4;29,5;24,7;29,6;28,6;24,9;24,5;80;75;75;80;7,2;3,9;
