REGIAO:;N
UF:;PA
ESTACAO:;TUCUMA
CODIGO (WMO):;A234
LATITUDE:;-6,74333333
LONGITUDE:;-51,14194444
ALTITUDE:;320,93
DATA DE FUNDACAO:;18/07/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;0;973,8;973,8;973,7;0;23,3;23,3;23,5;23,1;23,5;23,1;100;100;100;98;2;,9;
2025/01/01;0100 UTC;0;973,8;973,9;973,7;0;23,2;23,2;23,3;23,2;23,3;23,2;100;100;100;49;1,4;,9;
2025/01/01;0200 UTC;0;974,1;974,1;973,7;0;23,2;23,2;23,2;23,1;23,2;23,1;100;100;100;94;1,4;,9;
2025/01/01;0300 UTC;0;974,8;974,8;974,1;0;23,6;23,6;23,7;23,2;23,7;23,2;100;100;100;140;3,4;,9;
2025/01/01;0400 UTC;0;974,5;974,8;974,5;0;23,8;23,3;24,2;23,5;24;23,3;100;96;97;111;6,3;2,2;
2025/01/01;0500 UTC;0;974,3;974,5;974,3;0;23,5;22,8;23,8;23,5;23,4;22,8;98;95;96;88;5,1;,8;
2025/01/01;0600 UTC;0;973,7;974,3;973,7;0;22,8;22,8;23,6;22,8;23,3;22,7;100;95;100;252;2,3;,5;
2025/01/01;0700 UTC;0;973,7;973,8;973,7;0;23;23;23;22,7;23;22,7;100;100;100;243;1,9;,3;
2025/01/01;0800 UTC;0;973,6;973,7;973,5;0;23,1;23,1;23,2;23;23,2;23;100;100;100;256;1,2;,6;
2025/01/01;0900 UTC;0;974,2;974,2;973,6;0;23,2;23,2;23,2;23,1;23,2;23,1;100;100;100;232;1,2;,6;
2025/01/01;1000 UTC;0;975;975;974,2;43,7;23,4;23,4;23,4;23,1;23,4;23,1;100;100;100;143;1,6;,5;
2025/01/01;1100 UTC;0;975,9;975,9;975;298,9;24,4;23,8;24,5;23,4;24,2;23,4;100;96;97;250;1,4;,4;
2025/01/01;1200 UTC;,2;976,5;976,5;975,9;678,6;25,6;24,1;25,6;24,4;24,4;23,5;99;90;91;205;1,4;,4;
2025/01/01;1300 UTC;0;976,7;976,7;976,4;1039,5;26,6;23,6;26,6;25,5;24,5;23,1;92;84;84;144;2,4;1,1;
2025/01/01;1400 UTC;0;976,6;976,8;976,6;1764,4;28,1;22,7;28,6;26,5;24,1;22,7;84;73;73;33;2,3;,9;
2025/01/01;1500 UTC;0;975,8;976,6;975,8;2584,7;28,6;22,9;29,4;27,9;24,4;22,6;77;70;71;334;3,1;1,3;
2025/01/01;1600 UTC;0;975,2;975,8;975,2;2848,9;29,2;22,3;30,6;28,6;24,7;21,8;76;62;66;110;5,2;2,4;
2025/01/01;1700 UTC;0;974,1;975,3;974,1;2906;30,9;23,6;31,2;29,2;24;22,2;72;62;65;305;5,2;1,5;
2025/01/01;1800 UTC;0;972,7;974,1;972,7;2744;31,6;22,6;31,7;30,2;23,9;22,3;68;59;59;141;5,3;1,7;
2025/01/01;1900 UTC;0;972,1;972,7;972;1285,9;27,2;21,6;31,9;27,2;24,1;21,6;72;58;72;83;10,5;4,4;
2025/01/01;2000 UTC;0;971,7;972,2;971,5;461,5;26,1;22,2;27,2;25,1;22,5;20,6;81;70;79;238;11;1;
2025/01/01;2100 UTC;0;971,5;971,7;971,2;455,3;25,8;22,9;26,4;25,8;23;22;84;78;84;191;3,4;1,6;
2025/01/01;2200 UTC;0;972;972;971,5;67,8;24,5;23;25,8;24,5;23,3;22,7;91;84;91;181;3,4;,9;
2025/01/01;2300 UTC;0;972,9;972,9;972;0;23,5;23,5;24,5;23,5;24;23;100;91;100;37;1,6;,4;
2025/01/02;0000 UTC;0;973,6;973,6;972,9;0;23,4;23,4;23,5;23,4;23,5;23,4;100;100;100;23;1;,4;
2025/01/02;0100 UTC;0;974,3;974,3;973,6;0;23,1;23,1;23,4;23,1;23,4;23,1;100;100;100;90;1,8;,6;
2025/01/02;0200 UTC;0;974,8;974,8;974,3;0;23;23;23,2;22,9;23,2;22,9;100;100;100;50;1,5;,8;
2025/01/02;0300 UTC;0;974,9;975;974,8;0;22,8;22,8;23;22,8;23;22,8;100;100;100;23;1,1;,5;
2025/01/02;0400 UTC;0;974,4;974,9;974,4;0;22,5;22,5;23;22,5;23;22,5;100;100;100;35;1,8;,7;
2025/01/02;0500 UTC;0;974,2;974,6;974,2;0;22,4;22,4;22,6;22,3;22,6;22,3;100;100;100;354;,9;,2;
2025/01/02;0600 UTC;0;973,7;974,2;973,7;0;22,3;22,3;22,4;22,1;22,4;22,1;100;100;100;2;1,3;,6;
2025/01/02;0700 UTC;0;973,4;973,7;973,4;0;22,2;22,2;22,4;22,1;22,4;22,1;100;100;100;333;1,9;,9;
2025/01/02;0800 UTC;,2;973,3;973,5;973,1;0;21,9;21,9;22,4;21,8;22,4;21,8;100;100;100;19;2,1;,4;
2025/01/02;0900 UTC;0;973,6;973,7;973,3;0;21,8;21,8;22,1;21,8;22,1;21,8;100;100;100;324;1,2;,4;
2025/01/02;1000 UTC;0;974,8;974,8;973,6;93,2;22,6;22,6;23;21,7;23;21,7;100;100;100;217;,8;,3;
2025/01/02;1100 UTC;0;975,6;975,6;974,6;458,7;24,4;24,4;24,5;22,6;24,5;22,7;100;100;100;203;1,7;,9;
2025/01/02;1200 UTC;0;976,4;976,4;975,6;527,5;27,1;24,8;27,1;24,4;25,7;24,4;100;88;88;227;2,3;,8;
2025/01/02;1300 UTC;0;976,3;976,4;976,1;1217,4;28,5;25,5;28,6;27,1;25,7;24,6;89;81;84;344;3,2;,7;
2025/01/02;1400 UTC;3,8;976,9;977,1;976,3;1053,5;25,3;22,7;28,5;23,9;25,5;22,4;97;83;85;28;8,4;2,6;
2025/01/02;1500 UTC;0;975,9;977,1;975,9;2090,2;26,7;23,4;27,1;24,9;24,6;22,7;92;81;82;356;7,7;2,6;
2025/01/02;1600 UTC;0;975,5;976,3;975,5;828,5;25,6;22,6;26,7;25,6;23,5;22,5;85;80;84;329;6,1;1,3;
2025/01/02;1700 UTC;0;975,4;975,6;975,2;334,8;25,3;22,8;25,7;25,3;23,2;22,6;88;83;86;68;5,9;,6;
2025/01/02;1800 UTC;1,4;973,8;975,4;973,8;112;23,1;22,2;25,3;23,1;22,9;21,8;96;86;95;64;6,1;1,8;
2025/01/02;1900 UTC;,8;973,2;973,8;973,2;236,7;23,6;23,2;23,7;22,9;23,4;22;99;93;97;124;4,5;1,2;
2025/01/02;2000 UTC;0;973,1;973,2;972,7;523,4;24,7;23,8;24,8;23,6;24,1;22,9;99;92;95;187;2,1;,7;
2025/01/02;2100 UTC;0;973,3;973,4;973,1;279,4;24,6;24;24,9;24,5;24,2;23,5;98;93;96;294;1,7;,3;
2025/01/02;2200 UTC;0;973,9;973,9;973,2;42,5;23,7;23,7;24,6;23,7;24,4;23,7;100;96;100;116;1,4;,8;
2025/01/02;2300 UTC;0;974;974,1;973,9;0;23;23;23,7;23;23,7;23;100;100;100;53;1,4;,5;
2025/01/03;0000 UTC;0;975,2;975,2;974;0;22,8;22,8;23;22,8;23;22,8;100;100;100;325;1,4;,4;
2025/01/03;0100 UTC;0;975,7;975,7;975,2;0;22,8;22,8;22,9;22,7;22,9;22,7;100;100;100;16;1,3;,6;
2025/01/03;0200 UTC;0;975,9;976;975,7;0;22,6;22,6;22,8;22,6;22,8;22,6;100;100;100;300;1,2;,5;
2025/01/03;0300 UTC;0;976,1;976,2;975,9;0;22,5;22,5;22,6;22,5;22,6;22,5;100;100;100;54;,9;,4;
2025/01/03;0400 UTC;0;975,5;976,1;975,5;0;22,4;22,4;22,6;22,4;22,6;22,4;100;100;100;87;1,5;,8;
2025/01/03;0500 UTC;0;974,2;975,5;974,2;0;22,3;22,3;22,5;22,3;22,5;22,3;100;100;100;28;1,8;,5;
2025/01/03;0600 UTC;0;973,7;974,2;973,7;0;22;22;22,3;22;22,3;22;100;100;100;3;1,2;,8;
2025/01/03;0700 UTC;0;973,8;973,8;973,7;0;21,8;21,8;22;21,7;22;21,7;100;100;100;288;1,2;,5;
