REGIAO:;N
UF:;RR
ESTACAO:;BOA VISTA
CODIGO (WMO):;A135
LATITUDE:;2,81694443
LONGITUDE:;-60,69083333
ALTITUDE:;82,35
DATA DE FUNDACAO:;26/08/10
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;0;999,3;999,3;998;;29,2;19,9;30;29,1;20,1;19,7;58;54;58;72;5,8;3;
2025/01/01;0100 UTC;0;1000,6;1000,6;999,3;;28,4;19,5;29,2;28,4;20;19,4;58;57;58;62;6,4;3,2;
2025/01/01;0200 UTC;0;1001,1;1001,1;1000,5;;27,7;19,6;28,4;27,7;19,6;19,4;62;58;61;54;6,4;3,1;
2025/01/01;0300 UTC;0;1001,3;1001,4;1001,1;;27,2;20,1;27,7;27,2;20,1;19,6;65;61;65;60;5,7;2,8;
2025/01/01;0400 UTC;0;1001;1001,4;1001;;27;19,9;27,2;26,9;20,2;19,9;66;65;65;45;6,3;2,8;
2025/01/01;0500 UTC;0;1000,7;1001,1;1000,7;;26,6;19,9;27;26,6;19,9;19,8;67;65;67;64;5;2;
2025/01/01;0600 UTC;0;1000,1;1000,7;1000,1;;26,4;20,3;26,6;26,3;20,3;19,9;69;67;69;59;7,6;3,7;
2025/01/01;0700 UTC;0;999,8;1000,1;999,7;;26,2;20,4;26,4;26,2;20,4;20,2;71;69;71;57;7,6;2,9;
2025/01/01;0800 UTC;0;999,6;999,9;999,6;;26,1;20,5;26,3;26,1;20,5;20,4;71;70;71;57;7,4;3,1;
2025/01/01;0900 UTC;0;999,7;999,9;999,5;;25,8;20,2;26,2;25,8;20,5;20,2;71;70;71;58;6,8;3,5;
2025/01/01;1000 UTC;0;1000,6;1000,6;999,7;;25,3;20,2;25,8;25,3;20,2;20,2;74;71;73;56;6,8;3,2;
2025/01/01;1100 UTC;0;1001,6;1001,6;1000,6;114,5;25,8;20,5;25,8;25,2;20,6;20,2;74;72;73;56;7,2;3,2;
2025/01/01;1200 UTC;0;1002,2;1002,2;1001,6;459,9;26,5;20,2;26,8;25,8;20,6;20,2;73;68;69;71;7,4;4;
2025/01/01;1300 UTC;0;1002,8;1002,9;1002,2;1278,7;29;20,6;29;26,4;21,1;20,2;70;61;61;65;7,4;3;
2025/01/01;1400 UTC;0;1002,9;1002,9;1002,8;1664,7;30;20,5;30;28,7;20,7;20;61;56;57;64;5,9;3,2;
2025/01/01;1500 UTC;0;1002,5;1002,9;1002,5;3074,6;32,1;19,7;32,7;30;20,7;19,1;57;47;48;68;8;4,3;
2025/01/01;1600 UTC;0;1001,6;1002,5;1001,6;3196,8;32,8;18,4;33,8;31,8;20,1;18,2;49;41;43;47;6,9;3,3;
2025/01/01;1700 UTC;0;1000,1;1001,6;1000,1;2841,6;34,7;18,1;35,1;32,2;19,4;17,2;46;37;38;50;7,1;2,5;
2025/01/01;1800 UTC;0;998,7;1000,1;998,7;2707,4;34,5;16,1;35,9;33,8;17,8;16,1;38;33;33;86;7,9;4,1;
2025/01/01;1900 UTC;0;997,4;998,7;997,4;2499,3;34,8;15,9;36,4;34,5;16,5;15,4;33;30;32;74;7,1;3,5;
2025/01/01;2000 UTC;0;996,5;997,4;996,5;1672,8;35;15,8;35,8;34;16,9;15,6;35;31;32;77;7,7;3,3;
2025/01/01;2100 UTC;0;996,3;996,5;996,2;849,2;33,9;16,8;35,4;33,5;16,9;15,8;37;32;36;68;6,2;2,9;
2025/01/01;2200 UTC;0;996,8;996,8;996,3;160,3;32,9;16,9;33,8;32,9;17,2;16,4;39;36;38;72;5;2,1;
2025/01/01;2300 UTC;0;997,7;997,7;996,8;;32,2;17,5;32,9;32,2;17,5;16,7;42;38;42;49;7,1;3,5;
2025/01/02;0000 UTC;0;999,1;999,1;997,7;;31;18,7;32,2;31;18,7;17,5;48;41;48;64;8,3;3,1;
2025/01/02;0100 UTC;0;1000,2;1000,2;999,1;;29,9;19,2;31;29,9;19,2;18,7;52;48;52;62;7,5;3,7;
2025/01/02;0200 UTC;0;1001,1;1001,1;1000,2;;28;19,9;29,9;28;19,9;19,1;61;52;61;114;7,2;3,1;
2025/01/02;0300 UTC;0;1001,7;1001,7;1001,1;;28,2;19,4;28,2;27,8;20,1;19,3;63;59;59;76;5,9;3,3;
2025/01/02;0400 UTC;0;1001,4;1001,7;1001,3;;25,9;19,9;28,2;25,8;20;19,3;71;59;70;55;6,8;2,2;
2025/01/02;0500 UTC;0;1001;1001,4;1001;;26;20,3;26,1;25,9;20,3;19,8;71;68;71;78;5,4;1,7;
2025/01/02;0600 UTC;0;1000,3;1001;1000,3;;26,1;20,4;26,6;26;20,5;20,1;71;68;71;74;4,5;2,1;
