REGIAO:;N
UF:;TO
ESTACAO:;ARAGUAINA
CODIGO (WMO):;A021
LATITUDE:;-7,10388888
LONGITUDE:;-48,20111111
ALTITUDE:;230,76
DATA DE FUNDACAO:;26/01/07
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;0;984,4;984,4;983,6;;20,9;20,4;21,3;20,9;20,7;20,4;97;97;97;14;0;0;
2025/01/01;0100 UTC;;;;;;;;;;;;;;;;;;
2025/01/01;0200 UTC;0;984,8;985;984,7;;20,1;19,7;20,4;20,1;20;19,7;98;97;98;338;0;0;
2025/01/01;0300 UTC;0;984,2;984,8;984,2;;19,9;19,5;20,1;19,8;19,7;19,4;98;98;98;328;0;0;
2025/01/01;0400 UTC;;;;;;;;;;;;;;;;;;
2025/01/01;0500 UTC;0;983,1;983,6;983,1;;20,8;20,4;20,8;20,2;20,4;19,9;98;98;98;269;0;0;
2025/01/01;0600 UTC;0;982,8;983,1;982,8;;20,9;20,5;20,9;20,7;20,5;20,4;98;98;98;216;0;0;
2025/01/01;0700 UTC;0;983,3;983,3;982,8;;20,5;20,1;20,9;20,5;20,5;20,1;98;98;98;39;,8;0;
2025/01/01;0800 UTC;0;983,6;983,6;983,2;;20,4;20;20,5;20,3;20,2;20;98;98;98;46;,8;0;
2025/01/01;0900 UTC;0;984;984;983,6;;20,1;19,8;20,4;20,1;20,1;19,8;98;98;98;331;,8;0;
2025/01/01;1000 UTC;0;984,8;984,8;984;112,9;20,3;20;20,3;20;20;19,7;98;98;98;315;,3;0;
2025/01/01;1100 UTC;0;985,4;985,4;984,8;642,8;22,1;21,8;22,2;20,2;21,8;20;98;98;98;38;,6;0;
2025/01/01;1200 UTC;0;986,4;986,5;985,4;1296,5;25,2;22,7;25,2;22,1;23,6;21,7;98;86;86;310;1,1;0;
2025/01/01;1300 UTC;0;986,8;986,8;986,3;1790,8;27,3;21,9;27,3;25,2;23,2;21,5;86;73;73;51;3,5;1,2;
2025/01/01;1400 UTC;0;986,5;986,8;986,5;2847,8;28,2;22;29;27;22,9;21,4;75;67;69;67;3,5;,9;
2025/01/01;1500 UTC;0;985,7;986,5;985,7;2938,1;29,2;22,6;29,8;28,1;23,4;21,6;72;66;68;54;4,8;1,4;
2025/01/01;1600 UTC;0;984,8;985,7;984,8;2450,1;29,8;23,6;30;28,8;23,8;22,1;72;66;70;359;4,3;1,6;
2025/01/01;1700 UTC;0;983,8;984,8;983,8;2971,7;30,6;22,7;31,6;29,8;24;22,5;70;60;63;91;3,7;,4;
2025/01/01;1800 UTC;0;982,9;983,8;982,9;1885,9;30,1;23,2;31,2;30,1;23,9;22,3;68;62;67;1;4,4;,8;
2025/01/01;1900 UTC;0;981,9;982,9;981,9;2246,5;31,5;23;31,7;30,1;24,3;22,3;67;60;61;28;4,4;,9;
2025/01/01;2000 UTC;0;981,3;981,9;981,3;1265,1;31,5;23,1;31,7;30,3;23,2;22,4;65;60;61;329;3,5;,5;
2025/01/01;2100 UTC;0;981,3;981,3;981,1;433,4;29,3;24,7;31,5;29,2;24,7;22,5;76;61;76;253;2,3;0;
2025/01/01;2200 UTC;0;981,6;981,6;981,3;30,7;26,6;24,4;29,3;26,6;24,9;24,2;88;76;88;214;,3;0;
2025/01/01;2300 UTC;0;982,1;982,1;981,6;;25,3;23,8;26,6;25,3;24,5;23,8;92;88;92;269;0;0;
2025/01/02;0000 UTC;0;982,5;982,5;982,1;;24,6;23,4;25,3;24,5;23,8;23,3;93;92;93;252;0;0;
2025/01/02;0100 UTC;0;983,5;983,6;982,5;;24;23;24,6;24;23,4;23;94;93;94;285;0;0;
2025/01/02;0200 UTC;;;;;;;;;;;;;;;;;;
