REGIAO:;N
UF:;TO
ESTACAO:;SANTA FE DO ARAGUAIA
CODIGO (WMO):;A048
LATITUDE:;-7,124191
LONGITUDE:;-48,781267
ALTITUDE:;171
DATA DE FUNDACAO:;30/07/16
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;0;987,7;987,7;986,8;;21,2;;21,3;21,2;;;;;;176;2,4;1,4;
2025/01/01;0100 UTC;0;988,2;988,2;987,7;;21,2;;21,2;21,1;;;;;;144;2,1;1,1;
2025/01/01;0200 UTC;0;988,1;988,3;988,1;;21,1;;21,2;21;;;;;;11;2;,7;
2025/01/01;0300 UTC;0;987,8;988,1;987,8;;20,9;;21,1;20,7;;;;;;354;1,2;,3;
2025/01/01;0400 UTC;0;987,2;987,8;987,2;;20,4;;20,9;20,3;;;;;;225;1,6;1,4;
2025/01/01;0500 UTC;,2;986,6;987,2;986,6;;20,7;;20,7;20,3;;;;;;226;2,2;,9;
2025/01/01;0600 UTC;0;986,6;986,6;986,4;;20,7;;20,8;20,7;;;;;;305;1,9;1;
2025/01/01;0700 UTC;0;986,3;986,6;986,3;;20,9;;20,9;20,7;;;;;;286;1,3;,7;
2025/01/01;0800 UTC;0;986,7;986,8;986,3;;21;;21;20,9;;;;;;158;1,2;1;
2025/01/01;0900 UTC;0;987,6;987,6;986,7;;21;;21,1;21;;;;;;184;1,6;,7;
2025/01/01;1000 UTC;0;988;988;987,6;247;22;;22;21;;;;;;211;2,4;1,7;
2025/01/01;1100 UTC;0;989;989;988;1011,2;24,1;24,1;24,3;22;;;;;100;156;2,5;1,4;
2025/01/01;1200 UTC;0;989,7;989,7;989;1394,7;25,4;25,4;25,5;24,1;25,5;24;100;98;100;105;2,4;1;
2025/01/01;1300 UTC;0;990;990;989,6;2373;27,3;27,3;27,3;25,3;27,3;25,3;100;100;100;16;3,4;1,7;
2025/01/01;1400 UTC;0;990;990,1;990;2219,4;27,8;27,3;28,2;27,3;28,1;26,5;100;93;97;31;4,5;2,4;
2025/01/01;1500 UTC;0;989,3;990;989,3;2461,6;28,2;26;28,9;27,8;28,1;25,6;100;87;88;337;4,6;2,1;
2025/01/01;1600 UTC;0;988,4;989,3;988,4;2875,6;28,8;25,2;30,1;27,9;27,9;25,2;94;79;81;343;4,5;2,6;
2025/01/01;1700 UTC;0;987,4;988,4;987,4;2696,6;29,8;25,4;30,7;28,5;26,6;24,8;85;75;77;330;4,5;1,9;
2025/01/01;1800 UTC;0;986,3;987,4;986,3;2749,5;31,9;26,2;31,9;29,6;26,4;24,5;78;70;72;320;4,2;1,5;
2025/01/01;1900 UTC;0;985,3;986,3;985,2;2186,6;31,5;25,2;31,9;30,4;26,1;24,1;75;68;69;338;3,9;1,4;
2025/01/01;2000 UTC;0;984,6;985,3;984,6;1500,5;30,8;24,5;31,4;30,6;25,8;24,3;74;68;69;359;4;2,2;
2025/01/01;2100 UTC;0;984,7;984,7;984,6;659,8;29,6;25,4;30,8;29,6;25,4;24,2;78;69;78;352;3,4;1,9;
2025/01/01;2200 UTC;0;984,8;984,9;984,7;56,2;28;25;29,9;28;26;24,5;84;77;84;323;2,8;,1;
2025/01/01;2300 UTC;0;985,4;985,4;984,8;;26,6;26;28;26,6;26,7;24,9;100;84;97;184;,6;,2;
2025/01/02;0000 UTC;0;985,9;985,9;985,4;;25,2;25,2;26,6;25,2;26,5;25,2;100;97;100;239;1;,3;
2025/01/02;0100 UTC;0;986,9;986,9;985,9;;24,7;24,7;25,3;24,7;25,3;24,7;100;100;100;201;1,6;,8;
2025/01/02;0200 UTC;0;987,7;987,7;986,9;;24,2;24,2;24,9;24,1;24,9;24,1;100;100;100;104;1,7;,5;
2025/01/02;0300 UTC;0;987,5;987,7;987,4;;24,3;24,3;24,7;24,1;24,7;24,2;100;100;100;247;1,4;,5;
2025/01/02;0400 UTC;0;987;987,6;987;;24,1;24,1;24,4;23,9;24,4;23,9;100;100;100;210;1,2;,6;
2025/01/02;0500 UTC;0;986,4;987;986,4;;23,9;23,9;24,1;23,8;24,1;23,8;100;100;100;166;3,4;1,4;
