REGIAO:;N
UF:;TO
ESTACAO:;RIO SONO
CODIGO (WMO):;A050
LATITUDE:;-9,793363
LONGITUDE:;-47,132732
ALTITUDE:;291
DATA DE FUNDACAO:;03/08/16
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;;;;;;;;;;;;;;;;;;
2025/01/01;0100 UTC;0;974,7;974,8;974,6;;23,6;;25,1;23,6;;;;;;359;2;,6;
2025/01/01;0200 UTC;0;974,9;975;974,7;;23,6;;23,9;23,6;;;;;;304;2,3;1,1;
2025/01/01;0300 UTC;0;974,9;975,1;974,9;;23,1;;23,6;23,1;;;;;;286;2,9;1,7;
2025/01/01;0400 UTC;0;974,6;974,9;974,6;;22,5;;23,2;22,5;;;;;;20;2,9;,4;
2025/01/01;0500 UTC;0;974,3;974,6;974,2;;22;;22,5;21,9;;;;;;213;1,6;,4;
2025/01/01;0600 UTC;0;974;974,3;973,9;;21,5;;22;21,5;;;;;;206;,9;,3;
2025/01/01;0700 UTC;0;974;974,1;974;;21,3;;21,7;21,3;;;;;;46;,8;,3;
2025/01/01;0800 UTC;0;974,3;974,3;974;;21,8;;21,8;21,3;;;;;;121;,6;,4;
2025/01/01;0900 UTC;0;975;975;974,3;2,6;22,4;;22,4;21,8;;;;;;135;3,3;1,7;
2025/01/01;1000 UTC;0;975,7;975,7;975;151,5;23;;23,2;22,4;;;;;;102;3,2;,5;
