REGIAO:;SE
UF:;ES
ESTACAO:;ALEGRE
CODIGO (WMO):;A617
LATITUDE:;-20,75055555
LONGITUDE:;-41,48888888
ALTITUDE:;138
DATA DE FUNDACAO:;25/10/06
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;0;998,6;998,7;997,8;16,2;25,4;21,1;25,6;24,3;21,7;20,9;84;75;77;115;3,1;1,1;
2025/01/01;0100 UTC;0;999;999,1;998,6;14;23,9;21,3;25,4;23,9;21,6;21;86;76;86;206;2,3;,7;
2025/01/01;0200 UTC;0;998,9;999,2;998,9;12,7;23,3;21,2;23,9;23,2;21,4;21,1;88;86;88;330;1,5;,7;
2025/01/01;0300 UTC;0;997,8;998,9;997,8;12,4;22,8;20,9;23,6;22,8;21,4;20,9;90;87;90;295;1,5;,5;
2025/01/01;0400 UTC;0;997,2;997,8;997,2;12,4;22,6;20,9;22,9;22,6;21,2;20,9;90;89;90;255;2,2;,6;
2025/01/01;0500 UTC;0;996,9;997,3;996,9;11,6;22,3;20,6;22,9;22,3;21,2;20,6;90;88;90;303;1,9;,7;
2025/01/01;0600 UTC;0;997,1;997,2;996,8;13,1;22,4;20,8;22,5;22,3;20,8;20,6;91;90;91;202;1,5;,6;
2025/01/01;0700 UTC;0;997,2;997,2;997;13,6;22,1;20,6;22,4;22,1;20,8;20,6;91;91;91;279;1,4;,5;
2025/01/01;0800 UTC;0;997,3;997,4;997,2;14;22;20,6;22,2;22;20,8;20,6;92;91;92;272;1,2;,4;
2025/01/01;0900 UTC;0;997,6;997,6;997,3;63,1;22,4;21;22,4;22;21;20,6;92;92;92;198;1,4;,5;
2025/01/01;1000 UTC;0;998;998;997,5;288,8;23,2;21,6;23,2;22,4;21,7;21;92;91;91;125;1,1;,4;
2025/01/01;1100 UTC;0;998,4;998,5;998;723,5;24,5;21,5;24,5;23,1;21,9;21,3;91;83;83;41;2,4;1,2;
