REGIAO:;SE
UF:;ES
ESTACAO:;AFONSO CLAUDIO
CODIGO (WMO):;A657
LATITUDE:;-20,10416666
LONGITUDE:;-41,10694444
ALTITUDE:;507,48
DATA DE FUNDACAO:;24/09/11
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;0;955,9;955,9;955,4;;22,8;19,4;23,1;22,6;19,6;19,3;83;80;81;221;2,9;,9;
2025/01/01;0100 UTC;0;956,3;956,4;955,9;;22;20;22,8;21,8;20;19,3;89;81;89;169;2,2;1,1;
2025/01/01;0200 UTC;0;956,3;956,5;956,3;;21,9;20,4;22,4;21,8;20,4;19,8;91;86;91;48;1,6;,5;
2025/01/01;0300 UTC;0;955,6;956,3;955,6;;21,3;20,5;21,9;21,2;20,5;19,9;95;91;95;161;1,8;,9;
2025/01/01;0400 UTC;0;955,2;955,6;955,2;;20,9;20,3;21,6;20,9;20,7;20,2;96;94;96;293;1,5;1;
2025/01/01;0500 UTC;0;954,5;955,2;954,5;;21;20,5;21,1;20,8;20,6;20,2;97;96;97;326;1,4;,4;
2025/01/01;0600 UTC;0;954,3;954,5;954,2;;20,8;20,5;21,1;20,7;20,6;20,3;98;97;98;113;1,5;1,1;
2025/01/01;0700 UTC;0;954,5;954,5;954,3;;21,1;20,8;21,3;20,8;21;20,5;98;98;98;184;1,5;,6;
2025/01/01;0800 UTC;0;954,9;955;954,5;;21;20,8;21,1;20,8;20,8;20,5;98;98;98;124;2,2;,8;
2025/01/01;0900 UTC;0;955,3;955,3;954,9;60,1;21,3;21,1;21,3;21;21,1;20,7;99;98;99;295;1,5;,8;
2025/01/01;1000 UTC;0;956;956;955,3;270,8;21,8;21,5;21,8;21,1;21,5;20,9;99;98;98;335;1,4;,5;
2025/01/01;1100 UTC;,2;956,5;956,5;956;300,5;22,1;21,7;22,2;21,6;21,8;21,3;98;98;98;298;1,7;,7;
2025/01/01;1200 UTC;,2;956,8;956,8;956,5;713,6;23,1;22,3;23,1;22,1;22,5;21,7;98;95;95;330;2,4;1,6;
2025/01/01;1300 UTC;0;957,1;957,1;956,8;866,8;23,7;21,8;23,7;23,1;22,6;21,4;95;89;89;325;3,5;2;
2025/01/01;1400 UTC;0;956,8;957,1;956,8;1115,9;24,2;21;24,4;23,5;22,1;20,8;91;82;82;356;4,6;3,1;
2025/01/01;1500 UTC;5,4;957,1;957,1;956,8;588,6;21;20;24,4;20,8;21,4;19,7;94;81;94;51;8,6;3,5;
2025/01/01;1600 UTC;2,4;957;957,5;957;227,9;21,2;20,4;21,3;21;20,5;20;95;94;95;116;5,7;2,1;
2025/01/01;1700 UTC;,6;956,2;957,1;956,2;798,5;22,4;20,9;22,4;21,2;21;20,3;96;90;91;339;3,3;,9;
2025/01/01;1800 UTC;0;955,6;956,2;955,6;1288,5;22,8;20,6;23,3;22,4;21,5;19,7;92;84;87;355;2,6;1,5;
2025/01/01;1900 UTC;0;955,5;955,7;955,4;939,7;22,9;20,1;23,3;22,8;20,7;19,7;88;81;84;4;2,8;1;
2025/01/01;2000 UTC;0;955,3;955,5;955,3;610,5;23;20,4;23,1;22,7;20,9;19,9;89;83;85;94;2,3;,9;
2025/01/01;2100 UTC;0;955,5;955,5;955,1;301;22,6;20,6;23,1;22,6;20,7;20;89;83;89;217;2,3;,6;
2025/01/01;2200 UTC;0;955,7;955,7;955,4;28,3;21,9;21;22,6;21,9;21,1;20,4;95;88;95;356;1,1;,8;
2025/01/01;2300 UTC;0;956;956;955,7;;21,5;21;21,9;21,5;21,1;21;97;95;97;193;1,1;,6;
2025/01/02;0000 UTC;0;956,4;956,4;956;;21,2;20,8;21,6;21,2;21;20,7;97;96;97;200;1,5;1;
2025/01/02;0100 UTC;0;956,9;956,9;956,4;;21,1;20,8;21,3;21,1;20,8;20,7;98;97;98;68;1,5;,7;
2025/01/02;0200 UTC;0;956,7;957;956,7;;20,9;20,6;21,2;20,8;20,8;20,5;98;98;98;104;1,7;,9;
2025/01/02;0300 UTC;0;956,3;956,7;956,3;;20,7;20,5;20,9;20,6;20,6;20,3;99;98;99;330;1,9;,4;
