REGIAO:;SE
UF:;MG
ESTACAO:;TIMOTEO
CODIGO (WMO):;A511
LATITUDE:;-19,57388888
LONGITUDE:;-42,62249999
ALTITUDE:;493,42
DATA DE FUNDACAO:;22/02/06
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;0;958,5;958,5;957,9;;22,5;19,9;22,8;22,5;20,4;19,9;87;84;85;42;2,8;,5;
2025/01/01;0100 UTC;0;958,9;958,9;958,5;;22,8;19,3;22,8;22,5;20;19,1;85;80;81;52;3,4;,7;
2025/01/01;0200 UTC;0;958,8;958,9;958,8;;22,4;20;22,9;22,3;20,2;19,1;87;80;86;63;3,2;1,2;
2025/01/01;0300 UTC;0;958,3;958,8;958,3;;21,7;19,8;22,5;21,6;20;19,5;89;85;89;66;3;0;
2025/01/01;0400 UTC;0;957,8;958,3;957,8;;21,6;19,9;21,8;21,4;20;19,7;90;89;90;26;,8;0;
2025/01/01;0500 UTC;0;957,2;957,8;957,2;;21,4;19,7;21,8;21,2;20;19,6;91;89;90;42;,9;0;
2025/01/01;0600 UTC;0;956,6;957,2;956,5;;21;19,4;21,5;20,8;19,8;19,3;91;90;91;67;,8;0;
2025/01/01;0700 UTC;0;957;957;956,4;;21,3;19,5;21,3;21;19,5;19,3;91;90;90;33;,6;0;
2025/01/01;0800 UTC;0;957,8;957,8;957;;21,4;19,6;21,5;21,2;19,7;19,5;90;89;90;61;1;0;
2025/01/01;0900 UTC;0;958,3;958,3;957,7;41,9;21;19,8;21,4;20,9;19,8;19,5;93;90;93;65;,9;0;
2025/01/01;1000 UTC;0;958,9;958,9;958,2;234,7;21,6;20,3;21,6;21;20,3;19,9;93;93;93;46;,9;0;
2025/01/01;1100 UTC;0;959,2;959,2;958,8;641,2;22,4;20,8;22,4;21,6;21;20,3;93;91;91;51;1,1;,2;
2025/01/01;1200 UTC;0;959,9;959,9;959,2;699,8;22,7;21;22,7;22,2;21,1;20,4;91;89;90;29;1,6;0;
2025/01/01;1300 UTC;2,4;960,2;960,2;959,9;671;21,1;18,2;23;21,1;21;18,2;91;82;83;32;3,6;,9;
2025/01/01;1400 UTC;,6;959,7;960,2;959,7;1353,7;23,3;20,1;23,3;20,5;20,7;18,3;91;82;82;30;4;,1;
2025/01/01;1500 UTC;0;959,5;959,7;959,5;2569,5;24,4;20,5;24,7;23,3;21,4;19,9;87;76;79;40;4,9;,6;
2025/01/01;1600 UTC;0;959;959,5;959;2258,3;23,7;20,4;25,2;23,7;21,9;20;85;74;82;66;3,1;1,4;
2025/01/01;1700 UTC;10,2;958,5;959;958,5;938,2;22,4;20,6;23,7;21,6;20,7;19,7;90;80;90;72;4,6;2,1;
2025/01/01;1800 UTC;0;957,8;958,6;957,7;1858,1;22,6;19,8;23;22,3;20,9;19,8;90;84;84;70;4,8;2,4;
2025/01/01;1900 UTC;0;957,4;957,8;957,4;927,2;22,7;20,2;23;22,5;20,4;19,7;87;83;86;38;5,6;1,9;
2025/01/01;2000 UTC;0;957,3;957,4;956,9;660,2;22,2;19,5;23,3;22,2;20,7;19,5;87;84;85;43;5,7;,9;
