REGIAO:;SE
UF:;MG
ESTACAO:;CAMPINA VERDE
CODIGO (WMO):;A519
LATITUDE:;-19,53916666
LONGITUDE:;-49,51805554
ALTITUDE:;559,07
DATA DE FUNDACAO:;15/07/06
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;0;948,3;948,4;947,3;;23,6;22,7;24,3;23,6;23,2;22,7;95;93;95;56;3,1;2;
2025/01/01;0100 UTC;0;948,7;948,7;948,3;;23,2;22,3;23,9;23,2;22,8;22,2;95;92;95;61;4,5;2,4;
2025/01/01;0200 UTC;0;948,6;948,8;948,6;;22,6;22,2;23,3;22,6;22,8;22;98;95;98;39;3,7;1,8;
2025/01/01;0300 UTC;0;948,3;948,6;948,1;;22,1;21,9;22,6;22,1;22,3;21,7;99;96;99;57;3,9;1,7;
2025/01/01;0400 UTC;0;948,1;948,3;948;;22,1;22,1;22,2;21,9;22,1;21,8;100;99;100;56;2,8;,9;
2025/01/01;0500 UTC;0;947,7;948,1;947,6;;22;22;22,2;21,9;22,2;21,9;100;100;100;42;4,2;2,1;
2025/01/01;0600 UTC;0;947,5;947,9;947,4;;21,6;21,6;22,1;21,6;22,1;21,6;100;100;100;60;3,9;2,3;
2025/01/01;0700 UTC;0;947,7;947,7;947,5;;21,7;21,7;21,8;21,5;21,8;21,5;100;100;100;41;3,2;2;
2025/01/01;0800 UTC;0;948,2;948,2;947,7;;21,7;21,7;21,7;21,4;21,7;21,4;100;100;100;38;3,6;2,2;
2025/01/01;0900 UTC;0;948,9;948,9;948,2;20,4;21,7;21,6;21,7;21,3;21,7;21,3;100;99;100;17;3,6;1,8;
