REGIAO:;SE
UF:;MG
ESTACAO:;SERRA DOS AIMORES
CODIGO (WMO):;A522
LATITUDE:;-17,79888888
LONGITUDE:;-40,25
ALTITUDE:;211,97
DATA DE FUNDACAO:;21/08/06
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;0;989,5;989,5;989,2;;23,4;20,6;23,9;23,4;21,2;20,6;85;84;85;;;;
2025/01/01;0100 UTC;0;989,7;989,7;989,5;;23;20,4;23,4;23;20,6;20,3;85;85;85;;;;
2025/01/01;0200 UTC;0;989,6;989,9;989,6;;23,1;20,6;23,2;23;20,6;20,4;86;85;85;;;;
2025/01/01;0300 UTC;0;989,3;989,7;989,3;;23,1;20,6;23,2;23,1;20,7;20,5;86;85;86;;;;
2025/01/01;0400 UTC;0;988,8;989,4;988,8;;23;20,5;23,2;23;20,7;20,5;86;86;86;;;;
2025/01/01;0500 UTC;0;988,1;988,8;988,1;;23;20,6;23,1;22,7;20,7;20,3;87;86;87;;;;
2025/01/01;0600 UTC;0;987,9;988,1;987,9;;22,8;20,6;23;22,7;20,6;20,4;87;87;87;;;;
2025/01/01;0700 UTC;0;988,1;988,1;987,9;;22,7;20,5;22,8;22,7;20,6;20,4;87;87;87;;;;
2025/01/01;0800 UTC;0;988,8;988,8;988,1;;22,6;20,4;22,8;22,6;20,5;20,4;87;87;87;;;;
2025/01/01;0900 UTC;0;989;989,1;988,8;39,1;22,8;20,5;22,8;22,6;20,5;20,3;87;87;87;;;;
2025/01/01;1000 UTC;0;989,9;989,9;989;150,7;23,2;20,9;23,3;22,7;21;20,5;87;87;87;;;;
2025/01/01;1100 UTC;0;990,3;990,3;989,9;426,5;23,8;21,3;23,8;23,1;21,4;20,8;87;86;86;;;;
2025/01/01;1200 UTC;0;990,9;990,9;990,3;683,4;25;22,2;25;23,8;22,3;21,4;86;84;85;;;;
2025/01/01;1300 UTC;0;990,9;991;990,9;1855,5;26,6;22,9;27,1;25;23,7;22,4;85;80;80;;;;
2025/01/01;1400 UTC;0;990,8;991;990,7;1921,9;27,6;23,5;27,8;26,6;23,9;22,9;81;77;78;;;;
2025/01/01;1500 UTC;0;990,3;990,8;990,3;1724;28,2;23,2;28,8;27,6;24;22,9;78;74;74;;;;
2025/01/01;1600 UTC;0;990;990,4;990;1965,2;28,6;22,9;29,2;28,2;24;22,7;75;71;71;;;;
2025/01/01;1700 UTC;0;989,4;990;989,4;2110,7;28,9;22,4;29,9;28,6;23,9;22,4;72;68;68;;;;
2025/01/01;1800 UTC;0;988,8;989,4;988,8;1026,9;28,7;21,9;29;28,6;22,5;21,9;68;67;67;;;;
2025/01/01;1900 UTC;0;988,5;988,8;988,4;734,7;28,2;21,9;29;28,2;22,3;21,5;69;66;69;;;;
2025/01/01;2000 UTC;0;988,4;988,5;988,3;241,3;27;21,4;28,2;27;21,9;21,4;72;69;71;;;;
2025/01/01;2100 UTC;0;988,4;988,6;988,3;61;26,1;21,1;27;26;21,4;21;75;71;74;;;;
2025/01/01;2200 UTC;0;988,3;988,4;988,2;3,7;24,8;20,6;26,2;24,8;21,1;20,5;78;74;78;;;;
2025/01/01;2300 UTC;0;988,9;988,9;988,3;;24,7;21;24,9;24,7;21,1;20,6;80;78;80;;;;
2025/01/02;0000 UTC;0;989,6;989,6;988,8;;24,4;21;24,7;24,4;21;21;81;80;81;;;;
2025/01/02;0100 UTC;0;990,3;990,3;989,6;;23,9;20,6;24,4;23,9;21;20,6;82;81;82;;;;
2025/01/02;0200 UTC;0;990,5;990,6;990,3;;23,7;20,1;24;23,6;20,6;20,1;82;80;81;;;;
2025/01/02;0300 UTC;0;990;990,6;990;;23,4;20,1;23,7;23,4;20,2;20,1;81;81;81;;;;
2025/01/02;0400 UTC;0;988,8;990;988,8;;23,2;20,1;23,4;23,2;20,1;20;83;81;83;;;;
2025/01/02;0500 UTC;0;988,9;989;988,5;;22,8;19,9;23,2;22,8;20;19,9;83;83;83;;;;
2025/01/02;0600 UTC;0;988;989;988;;22,7;19,9;22,9;22,7;20;19,8;84;83;84;;;;
2025/01/02;0700 UTC;0;988,3;988,4;987,8;;22,8;20;22,8;22,6;20;19,9;85;84;85;;;;
2025/01/02;0800 UTC;0;988,8;988,8;987,9;;22,8;20,1;22,9;22,7;20,2;20;85;84;84;;;;
2025/01/02;0900 UTC;0;989,6;989,6;988,8;45,5;23;20,2;23;22,7;20,3;20;85;84;85;;;;
2025/01/02;1000 UTC;0;990;990,1;989,6;291,7;23,8;21;23,8;23;21;20,3;85;84;84;;;;
2025/01/02;1100 UTC;0;990,4;990,4;990;808,7;24,8;21,6;24,9;23,8;21,7;21;84;82;82;;;;
2025/01/02;1200 UTC;0;990,5;990,5;990,4;2397,4;27,4;23,1;28,1;24,7;23,9;21,4;83;76;78;;;;
2025/01/02;1300 UTC;0;990,4;990,5;990,3;2274,5;27,6;22,2;28,5;27,3;24;22,1;78;72;72;;;;
2025/01/02;1400 UTC;0;990;990,4;990;1737,8;28,2;22;28,5;27,4;22,6;21,8;73;69;69;;;;
2025/01/02;1500 UTC;0;989,6;990;989,6;2345,9;29;21,7;29,7;28,1;23,1;21,6;70;65;65;;;;
