REGIAO:;SE
UF:;MG
ESTACAO:;CALDAS
CODIGO (WMO):;A530
LATITUDE:;-21,91805554
LONGITUDE:;-46,38305554
ALTITUDE:;1077,34
DATA DE FUNDACAO:;28/11/06
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;0;895,1;895,5;895,1;;16,8;16;17,6;16,6;16,2;14,3;96;82;95;250;2;0;
2025/01/01;0100 UTC;0;895,1;895,3;895;;15,8;15,6;16,8;15,7;16,1;15,6;99;95;99;28;1,1;0;
2025/01/01;0200 UTC;0;895,4;895,4;895,1;;15;15;15,9;15;15,8;15;100;99;100;174;,4;0;
2025/01/01;0300 UTC;0;895,5;895,9;895,4;;14,9;14,9;15,3;14,6;15,3;14,6;100;100;100;134;1,9;0;
2025/01/01;0400 UTC;0;895,2;895,5;895,2;;14,5;14,5;15,1;14,5;15,1;14,5;100;100;100;153;1,7;0;
2025/01/01;0500 UTC;0;894,8;895,3;894,8;;14,2;14,2;14,6;14;14,6;14;100;100;100;337;1,2;0;
2025/01/01;0600 UTC;0;894,7;894,8;894,5;;13,6;13,6;14,2;13,4;14,2;13,4;100;100;100;342;,1;0;
2025/01/01;0700 UTC;0;894,6;894,7;894,6;;14,5;14,5;14,5;13,4;14,5;13,4;100;100;100;258;,1;0;
2025/01/01;0800 UTC;0;895;895;894,6;,3;15,3;15,3;15,3;14,5;15,3;14,5;100;100;100;252;,2;0;
2025/01/01;0900 UTC;0;895,5;895,5;895;140;16,7;16,7;16,7;15,3;16,7;15,3;100;100;100;324;0;0;
2025/01/01;1000 UTC;0;896,1;896,1;895,5;1223,2;20,2;16,6;20,2;16,7;19;16,2;100;80;80;40;2,1;,7;
2025/01/01;1100 UTC;0;896,3;896,3;896;2022,1;21,8;16,7;21,8;19,9;17,1;15,3;80;71;73;31;3,1;1,4;
2025/01/01;1200 UTC;0;896,7;896,7;896,3;2754,5;23,1;15,9;23,8;21,1;17;15,1;76;63;64;20;5,8;1,2;
2025/01/01;1300 UTC;0;896,5;896,7;896,5;3376,6;24;15,7;24,5;22,6;17,3;15,2;68;60;60;19;6,4;2,7;
2025/01/01;1400 UTC;0;896,2;896,5;896,1;3675,5;25,6;16,2;25,8;23,8;17,7;15,5;64;55;56;13;6,1;2,7;
2025/01/01;1500 UTC;0;895,5;896,2;895,5;3972,6;26,7;16,4;26,8;25,3;17,3;15,2;60;50;53;10;5,7;2,5;
2025/01/01;1600 UTC;,4;895;895,5;894,9;2076,8;22,1;16,1;26,7;22,1;16,4;14,6;69;49;69;128;6,3;,9;
2025/01/01;1700 UTC;9,8;894,6;895,4;894,4;1255,3;20,6;17,4;22,1;16,9;18,7;13,6;96;69;82;338;9;,4;
2025/01/01;1800 UTC;0;893,3;894,6;893,3;1463,6;23,8;16,9;23,8;20,2;18,9;14,7;84;65;65;117;2,7;0;
2025/01/01;1900 UTC;0;893;893,3;892,9;2204,3;25,8;15,3;26;23,8;17,3;14,3;66;49;52;248;2;0;
2025/01/01;2000 UTC;0;892,8;893;892,6;1317;26,4;15,8;26,8;25,3;16;13,7;54;47;52;218;,6;0;
2025/01/01;2100 UTC;0;893;893,1;892,7;267,3;21,1;16,4;26,6;21,1;16,7;14,5;75;52;75;158;1,2;,1;
2025/01/01;2200 UTC;0;893,5;893,5;892,8;15,6;19,6;17,5;21,1;19,5;17,7;16,2;88;74;88;228;3;0;
