REGIAO:;SE
UF:;MG
ESTACAO:;GUANHAES
CODIGO (WMO):;A533
LATITUDE:;-18,78694444
LONGITUDE:;-42,94305555
ALTITUDE:;852,68
DATA DE FUNDACAO:;02/06/07
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;0;918,7;918,8;918,4;;20,1;18,2;20,2;19,8;18,5;18,2;92;89;89;123;,9;,2;
2025/01/01;0100 UTC;0;919;919;918,6;;19,5;18,4;20,1;19,5;18,6;18,1;94;88;94;107;1,5;,7;
2025/01/01;0200 UTC;0;919,2;919,3;919;;19,5;18,6;19,7;19,4;18,6;18,3;95;92;95;337;1,3;0;
2025/01/01;0300 UTC;0;919,1;919,2;919;;19,2;18,5;19,5;19,2;18,6;18,4;95;95;95;293;,9;0;
2025/01/01;0400 UTC;0;918,3;919,1;918,3;;19,2;18,5;19,3;19,1;18,6;18,5;96;95;96;48;,8;,1;
2025/01/01;0500 UTC;,2;917,6;918,3;917,6;;19,1;18,5;19,4;19,1;18,7;18,5;96;96;96;54;1,9;1;
2025/01/01;0600 UTC;0;917,2;917,6;917,2;;18,9;18,3;19,1;18,9;18,5;18,3;96;96;96;57;2,1;,4;
2025/01/01;0700 UTC;0;917,3;917,3;917,1;;19,1;18,5;19,2;18,9;18,6;18,3;96;96;96;196;1,4;,3;
2025/01/01;0800 UTC;,2;918;918;917,3;;19,1;18,5;19,1;19;18,5;18,5;97;96;97;241;2,4;,9;
2025/01/01;0900 UTC;,8;918,3;918,3;918;1,5;19,1;18,6;19,2;19,1;18,6;18,5;97;97;97;44;1,7;,9;
2025/01/01;1000 UTC;2,2;919;919;918,3;29,9;19,1;18,5;19,2;19,1;18,6;18,5;97;97;97;48;1,7;,1;
2025/01/01;1100 UTC;1;919,4;919,5;919;143,2;19,4;18,9;19,6;19,1;19;18,6;97;97;97;20;2,1;,5;
2025/01/01;1200 UTC;1;920;920;919,4;330,5;19,9;19,3;20;19,4;19,4;18,8;97;96;96;49;2,5;,7;
2025/01/01;1300 UTC;,6;920,3;920,4;920;528,8;20,6;19,9;20,6;19,7;19,9;19,1;96;95;95;61;3,2;,8;
2025/01/01;1400 UTC;,2;920,1;920,4;920,1;1313,7;22,2;19,7;22,5;20,6;20,8;19,4;95;85;86;1;4,9;1,7;
2025/01/01;1500 UTC;0;919,7;920,2;919,7;1524;22,7;19,5;23,2;21,6;20;18,7;86;78;82;356;5,3;1,9;
2025/01/01;1600 UTC;0;919,2;919,7;919,2;1980,2;25,3;20,1;25,3;22,7;20,2;18,9;82;72;73;19;4,5;1;
2025/01/01;1700 UTC;0;918,8;919,3;918,8;1704,4;23,7;19,6;25,8;23,3;20,5;18,5;78;68;78;9;5,5;1,7;
2025/01/01;1800 UTC;0;918,2;918,8;918,2;1549,7;24,5;19,2;25,1;23,4;19,9;18,7;78;71;72;9;5,7;1,8;
