REGIAO:;SE
UF:;MG
ESTACAO:;UNAI
CODIGO (WMO):;A542
LATITUDE:;-16,55416666
LONGITUDE:;-46,88194443
ALTITUDE:;640,85
DATA DE FUNDACAO:;16/06/07
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;;;;;;;;;;;;;;;;;;
2025/01/01;0100 UTC;,2;941;941;940,6;;21,9;20,3;22;21,8;20,4;20,2;91;90;90;204;3;1,7;
2025/01/01;0200 UTC;;;;;;;;;;;;;;;;;;
2025/01/01;0300 UTC;1,6;941;941,4;941;;21,7;20,6;21,7;21,7;20,6;20,5;93;93;93;171;3,6;1,6;
2025/01/01;0400 UTC;2,2;940,7;941;940,7;;21,7;20,7;21,7;21,7;20,7;20,5;94;93;94;168;3,5;2;
2025/01/01;0500 UTC;3;940,3;940,8;940,3;;21,6;20,6;21,7;21,6;20,7;20,6;94;94;94;156;5;2,3;
2025/01/01;0600 UTC;2;940,1;940,4;940,1;;21,3;20,3;21,6;21,3;20,6;20,3;94;94;94;143;4,8;1,5;
2025/01/01;0700 UTC;1,8;940,1;940,1;940;;21,1;20,2;21,3;21,1;20,4;20,1;94;94;94;136;3,3;,4;
2025/01/01;0800 UTC;2,6;940,3;940,4;940,1;;20,9;19,9;21,1;20,9;20,2;19,9;94;94;94;116;2,3;,5;
2025/01/01;0900 UTC;1,4;941;941;940,3;,5;21;20,1;21;20,8;20,1;19,9;95;94;95;174;2,6;,2;
2025/01/01;1000 UTC;0;942;942;941;54,8;21,3;20,3;21,3;20,9;20,3;20;95;94;94;158;2,6;,6;
2025/01/01;1100 UTC;,6;942,3;942,3;942;338,2;21,6;20,5;21,7;21,2;20,6;20,3;94;93;93;116;2,4;,5;
2025/01/01;1200 UTC;,2;942,9;942,9;942,3;547,4;22,3;20,9;22,3;21,6;20,9;20,5;94;91;92;109;2,4;,2;
2025/01/01;1300 UTC;,2;943,1;943,3;942,9;714,9;22,5;20,9;22,7;22,3;21,1;20,6;92;89;91;111;2,6;1,2;
2025/01/01;1400 UTC;,2;943,1;943,3;943,1;598,9;23;21,4;23;22,1;21,4;20,5;92;90;91;92;3,9;1,9;
2025/01/01;1500 UTC;0;942,6;943,1;942,6;1568;24;21,1;24;23;21,6;20,7;91;82;84;47;5;3,1;
2025/01/01;1600 UTC;,2;942,1;942,6;942,1;1907,4;25,5;21,7;25,5;23,5;22,1;20,6;86;80;80;36;5;2,1;
2025/01/01;1700 UTC;0;940,7;942,1;940,7;2310,9;25,6;21;26,4;24,6;22,4;20,9;82;74;76;39;4,5;2,6;
