REGIAO:;SE
UF:;MG
ESTACAO:;GUARDA-MOR
CODIGO (WMO):;A546
LATITUDE:;-17,56138888
LONGITUDE:;-47,19916666
ALTITUDE:;997,01
DATA DE FUNDACAO:;11/07/07
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;;904,1;904,2;903,4;0;19;18,5;19;18,2;18,5;17,7;97;97;97;172;2,6;,3;
2025/01/01;0100 UTC;;904,3;904,3;904;;19,3;18,8;19,3;19;18,8;18,5;97;97;97;110;3,4;,1;
2025/01/01;0200 UTC;;904,2;904,8;904,1;;19,2;18,7;19,5;19,2;19;18,7;97;97;97;16;4,1;2,9;
2025/01/01;0300 UTC;;904,1;904,2;904,1;;19;18,5;19,3;18,9;18,8;18,4;97;97;97;26;4,1;1,9;
2025/01/01;0400 UTC;;903,4;904,1;903,4;;19,1;18,7;19,2;19;18,7;18,5;97;97;97;35;2,7;1,5;
2025/01/01;0500 UTC;;903,4;903,5;903,4;;19,2;18,7;19,3;19,1;18,8;18,7;97;97;97;82;3,5;,8;
2025/01/01;0600 UTC;;902,9;903,4;902,8;;19,3;18,8;19,4;19,1;18,9;18,6;97;97;97;84;2,7;,2;
2025/01/01;0700 UTC;;903;903;902,9;;18,6;18,2;19,3;18,6;18,9;18,2;97;97;97;115;3,2;1,2;
2025/01/01;0800 UTC;;903;903,1;902,8;,2;18,6;18,1;18,6;18,4;18,2;18;97;97;97;92;3,1;,7;
2025/01/01;0900 UTC;;903,9;903,9;903;8,2;18,6;18,2;18,7;18,5;18,2;18;97;97;97;83;2,5;,2;
2025/01/01;1000 UTC;;904,5;904,5;903,9;152,9;19,1;18,7;19,2;18,6;18,7;18,1;97;97;97;54;1,9;,8;
2025/01/01;1100 UTC;;905;905;904,5;545,8;20,5;20;20,5;19,1;20;18,7;97;97;97;13;2,5;1,4;
2025/01/01;1200 UTC;;905,5;905,5;905;1270,5;21,4;20,5;21,8;20,5;21,3;20,1;97;95;95;13;3,1;1,5;
2025/01/01;1300 UTC;;905,4;905,6;905,4;1837;22,3;19,8;22,8;21,4;20,7;19,3;95;84;86;17;3,9;2,2;
2025/01/01;1400 UTC;;905,1;905,4;905,1;2314,3;24;20,2;24,1;22,2;21,1;19,1;88;77;79;42;3,8;,7;
2025/01/01;1500 UTC;;904,6;905,1;904,6;1971,3;23,6;20,3;24,8;23,3;21,3;19,3;86;74;82;30;3,5;1,4;
2025/01/01;1600 UTC;;903,9;904,6;903,9;1703,3;24,4;21,2;24,6;22,4;22;19,7;90;80;83;25;3,9;1,7;
2025/01/01;1700 UTC;;902,9;903,9;902,8;2371,4;25,7;21,7;26,2;23,9;22,6;20,1;84;76;78;34;5,8;2,2;
2025/01/01;1800 UTC;;901,9;902,9;901,8;1755,5;23,2;20,4;26,7;23,1;23,4;20,2;86;76;84;53;7,5;3,6;
2025/01/01;1900 UTC;;901,8;902,1;901,3;172,3;21,2;19,9;23,3;21,2;20,7;19,7;92;84;92;70;7,1;2;
2025/01/01;2000 UTC;;902,4;902,4;901,4;38,3;20,3;19,6;21,3;20,3;20,4;19,6;96;92;96;351;5,2;3,2;
2025/01/01;2100 UTC;;902,4;902,5;901,9;17,4;19;17,5;20,3;18,6;19,5;16,8;96;88;91;293;6,5;,9;
2025/01/01;2200 UTC;;902,7;902,7;902,2;2,4;19,6;17,8;19,6;18,9;18,1;17,5;94;90;90;331;5,1;2,8;
