REGIAO:;SE
UF:;MG
ESTACAO:;ITAOBIM
CODIGO (WMO):;A550
LATITUDE:;-16,57555554
LONGITUDE:;-41,48555555
ALTITUDE:;271,63
DATA DE FUNDACAO:;05/09/07
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;0;982,6;982,6;982,2;;23,5;22;24,2;23,5;22,9;22;93;91;91;153;2,7;1,8;
2025/01/01;0100 UTC;0;982,8;982,8;982,6;;23,1;21,8;23,6;23;22;21,6;93;90;93;155;2,9;1,9;
2025/01/01;0200 UTC;0;982,9;983;982,8;;23,2;21,6;23,4;23,1;21,9;21,6;93;90;91;181;2,8;,6;
2025/01/01;0300 UTC;0;982,2;982,9;982,2;;23,1;21,8;23,3;22,9;21,9;21,6;93;91;93;130;1,9;0;
2025/01/01;0400 UTC;0;981,6;982,2;981,5;;23,4;22,2;23,4;22,9;22,2;21,8;93;93;93;342;1,3;,3;
2025/01/01;0500 UTC;0;981,2;981,6;981,2;;23,1;22;23,4;22,9;22,3;21,8;94;93;94;117;1,3;,1;
2025/01/01;0600 UTC;0;981;981,3;981;;23,2;22,3;23,2;22,8;22,3;21,9;95;94;95;157;1,4;,2;
2025/01/01;0700 UTC;0;981,1;981,3;980,9;;23,4;22,2;23,5;23,1;22,5;22,2;95;93;93;127;2,2;,5;
2025/01/01;0800 UTC;0;981,5;981,6;981;;23,3;22;23,5;23,2;22,2;21,9;93;92;92;152;2,4;1;
2025/01/01;0900 UTC;0;982,1;982,1;981,5;12,6;23,5;22,2;23,5;23,3;22,2;21,9;92;92;92;123;2,3;1,1;
2025/01/01;1000 UTC;0;983;983;982,1;266,7;24,5;22,3;24,6;23,5;22,5;22,1;92;87;87;152;2,5;,7;
2025/01/01;1100 UTC;0;983,4;983,4;982,9;699,7;25,5;22,2;25,5;24,5;22,5;21,6;87;80;82;94;4,4;1,5;
2025/01/01;1200 UTC;0;984;984;983,4;1189,7;26,5;20,9;26,5;25,5;22,5;20,8;83;72;72;81;5,3;2;
2025/01/01;1300 UTC;0;983,9;984;983,8;1772,7;27,3;21,3;27,4;26,4;21,5;20,5;74;68;69;55;5,7;2,8;
2025/01/01;1400 UTC;0;983,7;984;983,7;2170,2;28,4;21,2;28,8;27,3;21,6;20,5;70;62;65;91;5,5;1,9;
2025/01/01;1500 UTC;0;983;983,7;983;2528,7;29,4;20,8;30;28,1;22;20,1;66;57;60;81;6,4;1,9;
2025/01/01;1600 UTC;0;982,6;983;982,6;1639,6;29,7;20,1;30,3;29;21,7;19,6;64;54;57;89;5,4;1,5;
2025/01/01;1700 UTC;0;982,2;982,6;982,2;2009,9;30,3;19,6;30,9;29,7;21;19,4;58;52;53;150;3,8;,6;
2025/01/01;1800 UTC;0;981,3;982,2;981,3;1367,1;29,9;21,1;30,7;29,8;21,1;19,2;59;52;59;190;3,8;1,2;
2025/01/01;1900 UTC;0;980,9;981,3;980,9;1169,8;29,7;20,9;30,6;29,7;21,6;20,3;62;55;59;219;3,4;1;
2025/01/01;2000 UTC;0;980,6;980,9;980,6;1089,9;29,6;20,8;30,7;29,5;21,3;19,8;61;55;59;204;5;1,1;
2025/01/01;2100 UTC;0;980,7;980,7;980,5;281,9;28,2;20,8;29,6;28,2;21,1;20,4;64;58;64;162;3,6;,2;
2025/01/01;2200 UTC;0;980,8;980,8;980,6;54;27,6;19,7;28,2;27,2;21,4;19,6;70;60;62;89;4;2;
