REGIAO:;SE
UF:;MG
ESTACAO:;CORONEL PACHECO
CODIGO (WMO):;A557
LATITUDE:;-21,54666666
LONGITUDE:;-43,26111111
ALTITUDE:;411,14
DATA DE FUNDACAO:;17/10/12
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;0;965,4;965,4;964,6;;24,2;22,8;24,3;24,1;23;22,7;93;92;92;321;4,1;2,8;
2025/01/01;0100 UTC;,8;965,8;965,8;965;;24,2;23;24,2;23,9;23;22,4;93;91;93;205;4,4;1,9;
2025/01/01;0200 UTC;,6;965,6;965,8;964,9;;24,3;23,2;24,3;24,1;23,2;22,8;93;92;93;273;3,5;1,2;
2025/01/01;0300 UTC;,6;965,2;965,6;965;;24,3;23,2;24,4;24,2;23,3;23;94;93;94;277;4,4;1,2;
2025/01/01;0400 UTC;0;964,2;965,2;964,2;;24;23;24,3;24;23,2;23;94;94;94;44;2,8;1,3;
2025/01/01;0500 UTC;0;964,4;964,6;963,9;;23,6;22,5;24;23,6;23;22,5;94;93;94;280;2,9;1,3;
2025/01/01;0600 UTC;0;964,4;964,9;964,1;;22,6;21,2;23,6;22,5;22,5;20,9;94;91;92;290;5,6;1,2;
2025/01/01;0700 UTC;0;964,6;964,7;964;;22,3;20,9;22,7;22,1;21,3;20,2;92;88;92;313;3,9;1;
2025/01/01;0800 UTC;0;963,6;964,6;962,8;;22,2;21,1;22,5;22,2;21,3;21;94;92;93;163;3,2;1;
2025/01/01;0900 UTC;0;964,6;964,6;963,6;51,1;22,8;21,8;22,8;22,2;21,8;21,1;94;93;94;259;2,9;1,1;
2025/01/01;1000 UTC;0;965,1;965,1;964,6;436,2;24;22,4;24;22,8;22,5;21,8;94;91;91;55;2,3;1,5;
2025/01/01;1100 UTC;0;965,5;965,5;965,1;893,8;24,4;21,2;24,5;23,8;22,3;21,1;91;82;82;337;2,7;,6;
2025/01/01;1200 UTC;0;966;966;965,5;1557,7;26,3;20,5;26,4;24,2;21,7;19,8;83;70;70;37;2;,8;
2025/01/01;1300 UTC;0;966,2;966,2;965,9;3081;28,5;21,2;29;26,3;22,1;18,9;73;58;65;334;3,4;1;
2025/01/01;1400 UTC;0;965,8;966,2;965,8;3411,5;29,7;20,8;30;28,5;21,8;19,1;64;53;59;17;3,3;1,6;
2025/01/01;1500 UTC;0;965;965,8;965;3822,1;31,1;20,4;31,7;29,7;22,3;18,9;62;49;53;44;4,3;2,1;
2025/01/01;1600 UTC;0;964,1;965;964,1;3605,3;31,6;20,8;32,3;31;22,1;19,3;58;47;53;92;7,7;1,9;
2025/01/01;1700 UTC;0;963;964,1;963;3276,3;33,2;19,9;33,4;31,6;21,8;18,6;54;42;46;57;4,5;1,3;
2025/01/01;1800 UTC;0;961,9;963;961,9;2882;33,7;21,5;33,7;33;21,5;18,8;50;42;49;71;4,4;1,2;
2025/01/01;1900 UTC;0;962;962,1;961,9;1296,7;31,9;20,8;33,7;31,9;21,5;19,5;52;44;52;91;4,5;1,9;
2025/01/01;2000 UTC;0;961,8;962;961,5;213,8;30,2;23,4;31,9;30,2;23,4;20,4;67;51;67;150;4,5;1,1;
2025/01/01;2100 UTC;0;963,1;963,1;961,7;89;27,5;21,3;30,2;27,5;24,8;21;78;67;69;343;6,3;3,8;
2025/01/01;2200 UTC;,4;964,3;964,3;962,7;4,6;25,8;23,5;27,5;25,8;24,3;21,2;88;69;87;11;6,3;1,8;
2025/01/01;2300 UTC;1,2;966,1;966,1;964,3;;22,5;21,1;25,9;22,5;23,9;20,9;92;82;92;49;14,3;1,4;
2025/01/02;0000 UTC;,2;966,8;966,9;966,1;;22,5;21,3;22,6;22,3;21,4;20,8;93;91;93;117;4,6;,8;
2025/01/02;0100 UTC;0;967;967,1;966,7;;22,1;21;22,6;22,1;21,4;21;94;93;94;145;1,7;,5;
2025/01/02;0200 UTC;0;966,1;967;966,1;;21,6;20,6;22,1;21,6;21;20,6;94;94;94;230;2,4;1,4;
2025/01/02;0300 UTC;0;965,7;966,2;965,6;;21,3;20,2;21,6;21,3;20,7;20,2;94;93;93;297;3,7;1,1;
2025/01/02;0400 UTC;0;964,9;965,8;964,9;;20,9;19,9;21,3;20,8;20,2;19,9;94;93;94;262;2,1;,4;
2025/01/02;0500 UTC;0;964,1;965,1;964,1;;20,5;19,6;20,9;20,5;19,9;19,6;95;94;95;50;5,2;,7;
2025/01/02;0600 UTC;,2;964,2;964,2;963,9;;20,5;19,6;20,6;20,4;19,7;19,5;95;95;95;310;4,2;,9;
2025/01/02;0700 UTC;0;964,4;964,4;964,1;;20,5;19,6;20,5;20,3;19,6;19,5;95;95;95;193;3,5;,7;
2025/01/02;0800 UTC;0;964,9;964,9;964,3;;20,7;19,8;20,7;20,4;19,8;19,5;95;95;95;336;5,6;1,7;
2025/01/02;0900 UTC;0;965,2;965,3;964,9;115,1;21,2;20,3;21,2;20,6;20,4;19,7;95;95;95;267;4,3;,7;
2025/01/02;1000 UTC;0;965,7;965,8;965,2;581,6;22,5;21,5;22,5;21,2;21,5;20,4;95;94;94;331;2,2;,6;
2025/01/02;1100 UTC;0;965,8;966;965,7;1725,2;24,9;19,9;24,9;22,4;21,6;19,9;94;74;74;98;2;,9;
2025/01/02;1200 UTC;0;965,6;965,8;965,6;2462,4;26,2;20,9;26,3;24,5;20,9;19,6;78;68;73;184;2,5;1,3;
2025/01/02;1300 UTC;0;965;965,6;965;3120,2;29,4;20,9;29,5;26,2;22,3;20,5;74;60;61;104;3,4;1,3;
2025/01/02;1400 UTC;0;964,2;965;964,2;3312,5;30,7;22,2;30,8;29,1;23,1;20,8;68;58;60;32;4,3;1,8;
2025/01/02;1500 UTC;0;963,3;964,2;963,3;3435,5;31,8;20,8;32,1;30,2;22,8;20,6;63;52;52;124;4,3;1,1;
2025/01/02;1600 UTC;0;962,5;963,3;962,5;3958,4;33,3;22,3;33,4;31,7;22,9;21,1;58;50;53;51;5,1;1,7;
2025/01/02;1700 UTC;0;961,4;962,5;961,4;3098,3;33,6;19,6;34;32,4;22,8;19,5;57;43;44;303;5,4;1,5;
