REGIAO:;SE
UF:;MG
ESTACAO:;PATOS DE MINAS
CODIGO (WMO):;A562
LATITUDE:;-18,52055554
LONGITUDE:;-46,44055555
ALTITUDE:;950
DATA DE FUNDACAO:;12/05/17
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;0;908,4;908,6;908;1,1;18,9;17,8;20;18,9;19,2;17,8;96;92;93;103;6;,6;
2025/01/01;0100 UTC;0;909,4;909,4;908,4;,7;18,6;17,6;19;18,6;17,8;17,5;94;92;94;263;3,6;,3;
2025/01/01;0200 UTC;2,6;909,1;909,5;909,1;;18,9;18,1;18,9;18,6;18,1;17,6;95;94;95;74;4,5;1,5;
2025/01/01;0300 UTC;1,8;908,7;909,1;908,7;;18,3;17,1;18,9;18,3;18,1;17,1;95;92;93;56;6,6;2,1;
2025/01/01;0400 UTC;5;908;908,8;908;;17,7;16,9;18,3;17,7;17,2;16,9;95;93;95;81;4,5;1,8;
2025/01/01;0500 UTC;1,2;907,6;908,3;907,6;;17,5;16,5;17,8;17,5;17;16,5;95;93;94;53;4;2;
2025/01/01;0600 UTC;,2;907,2;907,6;907,2;;17,3;16,6;17,5;17,3;16,6;16,4;95;94;95;62;3,6;1,3;
2025/01/01;0700 UTC;0;907;907,3;907;;17,4;16,6;17,5;17,3;16,6;16,5;95;95;95;129;3,1;,9;
2025/01/01;0800 UTC;0;907,2;907,2;906,9;1;17,5;16;18;17,4;16,6;15,6;95;86;91;325;4;,4;
2025/01/01;0900 UTC;0;908;908;907,2;17,5;17,7;15,9;17,9;17,5;16,1;15,9;91;89;89;140;2,2;,4;
2025/01/01;1000 UTC;0;908,6;908,7;907,9;201,9;18,6;17;18,6;17,7;17,2;15,9;92;89;90;67;2,2;,5;
2025/01/01;1100 UTC;0;909,1;909,1;908,6;1271,7;20,7;18,4;20,7;18,5;18,4;16,9;92;85;87;70;3;1,3;
2025/01/01;1200 UTC;0;909,7;909,7;909,1;1846,8;21,3;18,4;22,5;20,7;19,1;17,9;87;79;83;27;4,7;2,9;
2025/01/01;1300 UTC;0;909,6;909,8;909,6;2357,1;23,3;18,7;24,2;21,2;19,8;18,1;85;72;76;53;6,3;3,4;
2025/01/01;1400 UTC;0;909,2;909,6;909,2;2493;24,2;18,3;24,8;23;20;18,3;79;69;70;36;6,2;2,4;
2025/01/01;1500 UTC;0;908,8;909,2;908,8;2060;23,9;19,1;25,7;23,9;19,7;17,8;75;64;74;340;5,2;3;
2025/01/01;1600 UTC;0;908,1;908,8;908,1;2446,3;25,6;19,7;26,2;23,4;21,5;19;83;68;70;288;5,1;1,4;
2025/01/01;1700 UTC;,8;907,4;908,1;907,3;2439,7;23,4;20;26,6;23,4;20,7;19;81;67;81;340;4,9;2,5;
2025/01/01;1800 UTC;0;906,2;907,4;906,2;2002,4;23,8;20;26,3;23,4;21,4;18,8;83;65;79;44;6,5;4,1;
2025/01/01;1900 UTC;0;905,7;906,3;905,7;1042,6;21,5;19,9;23,9;21,5;21,1;19,8;91;79;91;51;9,7;5,3;
2025/01/01;2000 UTC;5,2;905,5;906,3;905,4;241,7;20,4;19,3;21,5;20,4;20;19;94;90;93;59;9,2;3,3;
2025/01/01;2100 UTC;,2;906,4;906,5;905,5;112,1;20,4;19,3;20,5;20,3;19,4;19,2;94;93;93;44;8;2,7;
2025/01/01;2200 UTC;0;906,8;906,8;906,3;15,5;20,3;19,3;20,5;20,3;19,5;19,2;94;93;94;87;6,4;1;
2025/01/01;2300 UTC;,4;907,4;907,6;906,7;;19,5;17,5;20,3;19,5;19,3;17,5;95;88;88;34;6,9;4,2;
2025/01/02;0000 UTC;1;909;909;907;;18,6;17,6;19,5;18,6;18,1;17,1;94;88;94;272;7,8;2,6;
2025/01/02;0100 UTC;1,4;909,6;909,6;909;;18;17,1;18,6;17,9;17,5;17,1;95;93;95;278;6,1;2,9;
2025/01/02;0200 UTC;,8;909;909,6;909;;17,8;16,9;18,3;17,7;17,1;16,5;95;91;94;110;4,7;,9;
2025/01/02;0300 UTC;0;908,3;909;908,3;;17,6;16,7;17,9;17,5;17;16,6;95;94;95;129;2,2;,5;
2025/01/02;0400 UTC;0;908,7;908,9;908,3;;17,2;16,5;17,6;17,2;16,8;16,3;96;94;96;72;2,1;,6;
2025/01/02;0500 UTC;0;908,3;908,7;908,3;;17,8;17,1;17,8;17,2;17,1;16,5;96;96;96;111;2,1;,7;
2025/01/02;0600 UTC;0;907,5;908,3;907,5;;18,3;17,5;18,3;17,8;17,6;17,1;96;95;95;57;1,5;,9;
2025/01/02;0700 UTC;0;907,4;907,5;907,3;;18,4;17,5;18,5;18,2;17,6;17,4;95;94;94;335;3,1;,8;
2025/01/02;0800 UTC;0;907,7;907,7;907,3;;18,3;17,5;18,5;18,3;17,6;17,4;95;94;95;7;2,5;1,5;
2025/01/02;0900 UTC;0;908,2;908,2;907,7;9,3;18,4;17,8;18,4;18,2;17,8;17,5;96;95;96;19;4;2,1;
2025/01/02;1000 UTC;0;908,9;908,9;908,2;334,8;19,3;18,1;19,3;18,4;18,2;17,8;96;93;93;34;4;2,2;
2025/01/02;1100 UTC;0;909,5;909,5;908,9;758,4;19,8;18,1;20;19,3;18,5;17,9;93;89;90;5;5,3;3,2;
2025/01/02;1200 UTC;0;910;910,1;909,4;859,5;20,6;18,2;20,7;19,9;18,4;17,9;90;85;86;6;6,2;2,8;
2025/01/02;1300 UTC;0;909,7;910;909,7;1509,5;22,1;18,5;22,2;20,6;19,1;18;87;79;80;350;6;3;
2025/01/02;1400 UTC;0;909,2;909,7;909,2;2748,9;23,8;18,8;24,5;22,1;19,8;18;82;71;74;346;6,5;2,4;
2025/01/02;1500 UTC;,2;908,6;909,2;908,6;2763,6;25,5;19,7;25,5;23,5;19,9;18,1;75;67;71;335;5,7;2,1;
