REGIAO:;SE
UF:;MG
ESTACAO:;BAMBUI
CODIGO (WMO):;A565
LATITUDE:;-20,0311111
LONGITUDE:;-46,00888888
ALTITUDE:;697
DATA DE FUNDACAO:;23/11/16
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;,2;936,2;936,2;934,6;;21,1;19,6;22,1;21,1;21,9;19,3;100;89;92;289;8,3;1,2;
2025/01/01;0100 UTC;1;936,6;936,7;936,1;;20,4;20,1;21,1;20,3;20,5;19,4;100;91;98;323;3,1;1;
2025/01/01;0200 UTC;,4;936,1;936,6;935,9;;19,9;19,9;20,4;19,9;20,3;19,9;100;98;100;50;2,3;,8;
2025/01/01;0300 UTC;0;935,6;936,1;935,6;;19,3;19,3;19,9;19,3;19,9;19,3;100;100;100;160;1,7;,9;
2025/01/01;0400 UTC;0;935,1;935,6;935,1;;19,3;19,3;19,4;19,2;19,4;19,2;100;100;100;153;2,3;1,5;
2025/01/01;0500 UTC;0;935,4;935,4;935,1;;19,4;19,4;19,5;19,3;19,5;19,3;100;100;100;137;3,1;2,2;
2025/01/01;0600 UTC;0;935,3;935,4;935,2;;19,9;19,9;19,9;19,4;19,9;19,4;100;100;100;145;3,9;1,9;
2025/01/01;0700 UTC;0;935,3;935,5;935,2;1,1;19,5;18,1;20,1;19,5;20;18,1;100;91;91;128;6,5;3,2;
2025/01/01;0800 UTC;0;935,6;935,6;935,3;,3;19,2;18,2;19,5;19,1;18,6;17,9;96;91;94;192;6;,8;
2025/01/01;0900 UTC;0;936,2;936,2;935,6;27;19,1;18;19,3;19,1;18,3;17,3;95;89;93;3;2,6;1,1;
2025/01/01;1000 UTC;0;936,8;936,8;936,2;372,5;19,9;18,6;19,9;19,1;19;18,1;97;91;92;333;2;1,2;
2025/01/01;1100 UTC;0;937;937;936,8;1142,7;21,2;18,4;22,3;19,8;19,7;17,7;93;78;84;358;2,2;1,1;
2025/01/01;1200 UTC;0;937,2;937,2;937;2375,1;23,4;19,2;23,8;21,2;20;18,1;86;73;77;28;3,1;1,7;
2025/01/01;1300 UTC;0;937,1;937,2;937,1;3058,2;25,2;19,4;25,5;23,4;20,7;18,6;81;68;70;79;4,1;2,2;
2025/01/01;1400 UTC;0;936,8;937,2;936,8;3614,8;26,6;19,1;26,6;25,1;20,4;18;71;61;63;76;5,1;1,9;
2025/01/01;1500 UTC;0;936,1;936,8;936,1;3621;28;19,4;28;26,4;20,6;18;69;57;59;1;5,9;1,8;
2025/01/01;1600 UTC;0;935,4;936,1;935,4;3727,3;28,2;19,2;28,8;27,2;20,3;18;65;55;58;79;4,1;1,6;
2025/01/01;1700 UTC;0;934,2;935,3;934,2;3189,9;29,4;18,9;29,6;27,6;20,2;18,5;61;53;53;1;5,1;1,5;
2025/01/01;1800 UTC;0;933,1;934,2;933,1;2452,3;29,4;18,7;30;28,9;20,3;18,5;59;52;53;153;5;,8;
2025/01/01;1900 UTC;0;932,7;933,1;932,5;1195,3;28,5;20,9;30;28,4;20,9;18,4;64;51;63;164;3,5;,6;
2025/01/01;2000 UTC;0;932,1;932,7;932,1;1029,4;28,6;19,8;28,8;28,4;20,2;18,7;63;55;59;133;3;1,6;
2025/01/01;2100 UTC;0;932,2;932,2;931,7;889,1;28,2;19,5;28,7;28,2;19,9;18,7;60;56;59;67;3,5;1,8;
2025/01/01;2200 UTC;0;933,5;933,5;932,2;131,1;24,6;20,4;28,2;24,6;20,7;18,6;78;58;78;41;9,7;4,7;
2025/01/01;2300 UTC;0;933,9;934;933,5;;23,2;20,8;24,6;23,2;20,8;20,4;86;78;86;52;7,9;1,5;
2025/01/02;0000 UTC;0;935,2;935,2;933,9;;22,6;21,3;23,2;22,6;21,3;20,8;92;86;92;28;4,1;1,6;
2025/01/02;0100 UTC;0;936,4;936,4;935,2;;22,5;21,7;22,6;22,1;21,8;21,2;97;92;95;62;6,9;4,2;
2025/01/02;0200 UTC;0;936,9;937;936,4;;22;20,9;22,5;22;21,7;20,9;95;93;93;54;9,6;3,6;
2025/01/02;0300 UTC;0;935,8;936,9;935,8;;21,5;20,4;22,1;21,4;21;20,4;96;91;94;347;7,5;2,8;
2025/01/02;0400 UTC;0;935,6;935,8;935,6;;20,9;20,3;21,5;20,8;20,5;20,2;97;93;97;174;5,9;,6;
2025/01/02;0500 UTC;0;935,2;935,6;935,2;;20,6;20,5;20,9;20,3;20,5;20,2;100;96;100;198;2,3;,9;
2025/01/02;0600 UTC;0;934,2;935,2;934,2;;20,2;20,1;20,6;20;20,4;20;100;99;99;109;2,6;1,4;
