REGIAO:;SE
UF:;SP
ESTACAO:;IGUAPE
CODIGO (WMO):;A712
LATITUDE:;-24,67166666
LONGITUDE:;-47,54583333
ALTITUDE:;2,7
DATA DE FUNDACAO:;20/07/06
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;0;1012,3;1012,3;1011,2;;24,3;21,9;24,6;24,1;21,9;21,5;87;84;87;101;5;1,5;
2025/01/01;0100 UTC;0;1013;1013;1012,1;;24,3;22,1;24,7;24,1;22,1;21,8;88;85;88;136;6,5;,3;
2025/01/01;0200 UTC;0;1013,1;1013,3;1013;;24,2;21,7;24,9;24,2;22,2;21,6;88;83;86;92;6,5;1,9;
2025/01/01;0300 UTC;0;1012,4;1013,1;1012,4;;23,8;22,3;24,2;23,6;22,3;21,7;91;86;91;104;4,8;1,7;
2025/01/01;0400 UTC;0;1011,7;1012,4;1011,7;;23,9;22,1;24,5;23,8;22,4;22;91;87;89;81;5,7;1,1;
2025/01/01;0500 UTC;0;1011,4;1011,7;1011,3;;23;21,6;24;23;22,3;21,5;92;89;92;189;3,7;,3;
2025/01/01;0600 UTC;0;1011;1011,4;1011;;22,6;22,1;23;22,6;22,1;21,6;97;92;97;;1,4;;
2025/01/01;0700 UTC;0;1011,2;1011,2;1011;;22,7;22,3;22,8;22,6;22,5;22;98;97;98;;;;
2025/01/01;0800 UTC;0;1011,7;1011,7;1011,2;;22,3;22,1;22,7;22,3;22,5;22;99;98;98;;;;
2025/01/01;0900 UTC;0;1012,1;1012,1;1011,7;24,8;22,5;22,3;22,5;22,3;22,3;22;99;98;99;;;;
2025/01/01;1000 UTC;0;1012,7;1012,7;1012,1;507,4;24,9;22,7;25,2;22,5;23,7;22,3;99;88;88;145;;,3;
2025/01/01;1100 UTC;0;1012,9;1013;1012,7;607,1;24,8;22,6;25,1;24,5;23,2;22,2;90;86;88;298;1,2;,4;
2025/01/01;1200 UTC;0;1013,1;1013,2;1012,9;1297,8;27;21,7;27,1;24,7;22,9;21,7;88;72;73;201;1,4;,5;
