REGIAO:;SE
UF:;SP
ESTACAO:;IPERO
CODIGO (WMO):;A713
LATITUDE:;-23,4261111
LONGITUDE:;-47,58555555
ALTITUDE:;609,33
DATA DE FUNDACAO:;22/08/06
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;;944,2;944,3;943,7;;21,5;17,9;22,3;21,4;18,3;17,8;80;77;80;125;;;
2025/01/01;0100 UTC;;945,2;945,3;944,2;;20,6;17,9;21,9;20,5;18,2;17,6;84;79;84;115;;;
2025/01/01;0200 UTC;;945;945,4;945;;20,4;17,7;20,9;20;17,9;17,4;85;83;84;136;;;
2025/01/01;0300 UTC;;944,2;945,1;944,2;;19,5;17,6;20,4;19,5;17,8;17,4;89;84;89;191;;;
2025/01/01;0400 UTC;;944,3;944,5;944,2;;19,6;17,5;19,7;19,3;17,8;17,4;89;88;88;167;;;
2025/01/01;0500 UTC;;943,9;944,4;943,9;;19;17;19,9;19;17,8;17;89;87;88;111;;;
2025/01/01;0600 UTC;;943,7;943,9;943,6;;18,5;16,9;19,1;18,5;17,5;16,9;91;88;91;121;;;
2025/01/01;0700 UTC;;944,1;944,1;943,7;;18,6;17,4;18,6;18,2;17,4;16,9;93;91;92;122;;;
2025/01/01;0800 UTC;;944,4;944,4;944;;18,8;17,4;18,9;18,6;17,5;17,2;92;92;92;131;;;
2025/01/01;0900 UTC;;944,8;944,8;944,4;35,7;18,4;17,2;18,8;18,3;17,4;17;93;92;93;215;;;
2025/01/01;1000 UTC;;945,5;945,5;944,8;450,5;21,4;18,7;21,4;18,4;19;17,2;93;84;85;159;;;
2025/01/01;1100 UTC;;945,7;945,7;945,5;1227,7;22,7;18,5;22,8;21,3;19;18,1;84;77;77;58;;;
2025/01/01;1200 UTC;;946;946,1;945,7;1899,8;24,8;18;24,8;22,5;19,7;17,8;78;66;66;1;;;
2025/01/01;1300 UTC;;946,3;946,3;946;2372,5;26,9;17,9;27,1;24,8;19,2;17,5;68;58;58;342;;;
2025/01/01;1400 UTC;;945,7;946,3;945,7;2795,5;27,1;18,1;27,7;26,1;19;17,4;62;57;58;325;;;
2025/01/01;1500 UTC;;945,4;945,7;945,4;2947,9;27,5;18,3;29,2;26,7;19,6;17,6;60;52;57;270;;;
2025/01/01;1600 UTC;;944,7;945,4;944,7;2853,7;28,4;18,4;29,8;27,5;19,9;17,4;60;51;55;296;;;
2025/01/01;1700 UTC;;943,4;944,7;943,4;2153;28,7;18,2;30,2;28,3;19,8;17,4;57;49;53;3;;;
2025/01/01;1800 UTC;;942,5;943,4;942,5;2186,1;30,6;18,4;30,9;28,6;19,5;17,2;55;45;48;308;;;
2025/01/01;1900 UTC;;941,8;942,5;941,8;1383,8;30,6;18,4;30,8;29,4;19,1;16,9;52;45;48;324;;;
2025/01/01;2000 UTC;;942,3;942,3;941,3;1459,2;25,9;14,4;30,7;25,9;19,5;14,4;56;47;49;137;;;
2025/01/01;2100 UTC;;942,2;942,9;942,2;324,4;22,7;16;25,9;22,6;16,1;14,7;67;49;66;170;;;
2025/01/01;2200 UTC;;942,6;942,6;941,9;77,9;22,6;15,2;22,8;22,5;16,1;15,2;66;62;63;183;;;
2025/01/01;2300 UTC;;943,7;943,8;942,6;;21,6;15,6;22,7;21,5;15,9;15,2;71;62;69;145;;;
2025/01/02;0000 UTC;;944,2;944,2;943,6;;21,1;16;21,6;20,9;16,1;15,7;74;69;73;153;;;
2025/01/02;0100 UTC;;944,8;944,8;944,2;;20,2;16,8;21,2;19,9;16,8;16;81;72;81;111;;;
2025/01/02;0200 UTC;;944,7;944,9;944,5;;20,1;17,2;20,3;19,8;17,2;16,9;84;81;84;149;;;
2025/01/02;0300 UTC;;944,7;944,9;944,6;;20,9;17,7;20,9;19,6;17,7;16,4;85;79;82;118;;;
2025/01/02;0400 UTC;;944,1;944,7;944,1;;19,5;17,1;21,2;19,5;17,8;16,8;86;80;86;241;;;
2025/01/02;0500 UTC;;943,7;944,1;943,7;;18,9;17,3;20,3;18,9;18,1;17;90;85;90;126;;;
2025/01/02;0600 UTC;;943,3;943,7;943,3;;18,3;17;18,9;18,3;17,5;16,9;93;90;92;221;;;
2025/01/02;0700 UTC;;943,7;944;942,9;;18;17;18,9;17,9;17,6;16,5;94;91;94;302;;;
2025/01/02;0800 UTC;;943,8;943,8;943,5;;18,5;17,4;18,6;18;17,6;16,9;94;94;94;314;;;
2025/01/02;0900 UTC;;944,6;944,6;943,8;37,9;18,3;17,3;18,6;17,6;17,6;16,6;94;93;94;17;;;
2025/01/02;1000 UTC;;944,7;944,7;944,5;395,2;20,2;18,7;20,2;18,3;19;17,3;94;91;91;23;;;
2025/01/02;1100 UTC;;944,9;945,2;944,7;1149;22,7;18,3;22,7;20,2;19,4;18,1;91;76;77;352;;;
2025/01/02;1200 UTC;;945;945;944,8;1934,9;24,1;18,7;24,6;22,6;19;17,7;77;69;71;24;;;
2025/01/02;1300 UTC;;944,5;945;944,5;2458,7;25,9;18,3;26,1;24,2;19,4;18,1;72;63;63;348;;;
2025/01/02;1400 UTC;;943,9;944,6;943,9;2775,1;27,7;18,1;28;25,8;19,3;17,2;66;54;56;352;;;
2025/01/02;1500 UTC;;943,3;943,9;943,2;3003,8;28,6;17,5;29,4;27,6;18,8;16,8;57;48;51;294;;;
