REGIAO:;SE
UF:;SP
ESTACAO:;BARRA DO TURVO
CODIGO (WMO):;A746
LATITUDE:;-24,96277777
LONGITUDE:;-48,41638888
ALTITUDE:;659,89
DATA DE FUNDACAO:;03/07/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;0;940;940;938,7;;19,9;19,6;20,3;19,7;19,9;19,3;99;97;99;253;3,6;,2;
2025/01/01;0100 UTC;0;940,5;940,6;940;;19,9;19,7;20;19,8;19,8;19,6;99;98;99;297;1,9;,1;
2025/01/01;0200 UTC;0;940,2;940,6;940,1;;19,2;19;19,9;19,2;19,7;19;99;98;99;222;1,7;,2;
2025/01/01;0300 UTC;0;939,9;940,2;939,8;;18,7;18,6;19,3;18,7;19,2;18,5;99;99;99;7;4,2;0;
2025/01/01;0400 UTC;0;939,5;940;939,5;;17,7;17,7;18,7;17,6;18,6;17,6;100;99;100;115;1,3;0;
2025/01/01;0500 UTC;0;939,2;939,5;939,1;;17,2;17,2;17,7;17,2;17,7;17,2;100;100;100;89;,8;0;
2025/01/01;0600 UTC;,2;938,6;939,2;938,6;;17,3;17,3;17,3;16,8;17,3;16,8;100;100;100;53;1;0;
2025/01/01;0700 UTC;0;939;939;938,5;;16,5;16,5;17,3;16,2;17,3;16,2;100;100;100;319;1;0;
2025/01/01;0800 UTC;0;939;939,2;938,8;;15,8;15,8;16,6;15,8;16,6;15,8;100;100;100;141;,6;0;
2025/01/01;0900 UTC;0;939,7;939,7;939;20,5;15,5;15,5;15,9;15,4;15,9;15,4;100;100;100;138;0;0;
2025/01/01;1000 UTC;0;940,2;940,2;939,7;258,8;17,6;17,6;17,6;15,5;17,6;15,5;100;100;100;199;,3;0;
2025/01/01;1100 UTC;0;940,6;940,6;940,2;856,4;21,1;21,1;21,1;17,6;21,1;17,7;100;100;100;215;1,3;0;
2025/01/01;1200 UTC;0;940,7;940,7;940,5;1472,4;22,5;18,8;22,5;20,9;21,2;18;100;78;80;321;2,4;,3;
