REGIAO:;SE
UF:;SP
ESTACAO:;PRADOPOLIS
CODIGO (WMO):;A747
LATITUDE:;-21,33833333
LONGITUDE:;-48,11388888
ALTITUDE:;544
DATA DE FUNDACAO:;22/04/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;;950,9;950,9;950,2;;22,7;18,4;23,6;22,7;18,6;18,1;77;72;77;205;6;1,2;
2025/01/01;0100 UTC;;951,5;951,7;950,9;;22;18,5;23;21,7;18,7;17,9;81;77;80;251;4,2;1,7;
2025/01/01;0200 UTC;;951,3;951,6;951,3;;21,8;19;22,4;21,5;19,1;18,1;84;79;84;231;3,1;,4;
2025/01/01;0300 UTC;;950,8;951,3;950,8;;21,2;18,6;21,8;20,6;19;18,2;87;84;85;229;2,3;1,3;
2025/01/01;0400 UTC;;950,6;950,8;950,6;;20,5;18,2;21,4;20,3;18,7;17,9;87;84;87;228;2,1;0;
2025/01/01;0500 UTC;;950,3;950,7;950,2;;20,1;18,4;20,6;19,8;18,5;17,6;90;86;90;247;0;0;
2025/01/01;0600 UTC;;950,4;950,5;950,3;;19,8;17,9;20,1;19,7;18,4;17,8;90;89;89;241;3,4;1,9;
2025/01/01;0700 UTC;;950,7;950,7;950,4;;19,4;17,4;20;19,3;18;17,3;89;87;88;246;3,4;1,7;
2025/01/01;0800 UTC;;951,2;951,2;950,6;;19,4;17,3;19,7;19,4;17,6;17,3;89;88;88;246;2,7;0;
2025/01/01;0900 UTC;;951,6;951,6;951,2;94,5;20,5;18,5;20,6;19,3;18,5;17,3;88;88;88;225;,7;0;
