REGIAO:;SE
UF:;SP
ESTACAO:;DRACENA
CODIGO (WMO):;A762
LATITUDE:;-21,45777777
LONGITUDE:;-51,55222222
ALTITUDE:;383
DATA DE FUNDACAO:;03/11/16
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;0;965,1;965,4;965,1;;26,2;20,2;27,5;26,2;21,6;20,1;73;66;69;86;5,3;1,7;
2025/01/01;0100 UTC;0;965,7;965,7;965,1;;25,1;19,5;26,2;25,1;20,3;19,1;71;66;71;79;3,3;2,3;
2025/01/01;0200 UTC;0;966,4;966,4;965,7;;25,2;19,4;25,4;25;19,6;19,2;72;69;70;113;3,3;1,7;
2025/01/01;0300 UTC;0;966,4;966,6;966,3;;25,2;19,6;25,4;24,4;19,8;19,4;75;70;71;126;3,1;1,8;
2025/01/01;0400 UTC;0;966,1;966,4;966,1;;24,4;20,2;25,2;24,4;20,3;19,6;78;71;78;91;3,1;1,5;
2025/01/01;0500 UTC;0;965,7;966,1;965,7;;24,9;20,7;25,2;24,1;20,7;20,1;81;76;77;86;4,6;3;
2025/01/01;0600 UTC;0;965,4;965,7;965,4;;24,1;21,9;24,9;24,1;21,9;20,7;88;77;88;89;5,2;2,4;
2025/01/01;0700 UTC;0;965,9;965,9;965,4;;23,4;23,4;24,1;23,3;23,7;22;100;88;100;82;3,5;1,6;
2025/01/01;0800 UTC;0;966,4;966,4;965,9;;23;23;23,4;22,9;23,3;22,9;100;100;100;87;2,9;1,7;
2025/01/01;0900 UTC;0;966,6;966,7;966,4;5,5;22,7;;23;22,6;23;19,9;100;82;;78;4,1;2,6;
2025/01/01;1000 UTC;0;967,7;967,7;966,6;383;24,5;24,5;24,5;22,7;24,5;23;100;88;100;75;5,4;3,3;
2025/01/01;1100 UTC;0;968,2;968,2;967,7;1193,5;26;23,3;26,1;24,5;24,9;23,1;100;84;85;60;6,5;3,8;
2025/01/01;1200 UTC;0;968,6;968,6;968,2;1834,7;27,5;23;27,8;26;23,8;22,9;87;76;76;53;5,7;3,3;
2025/01/01;1300 UTC;0;968,8;968,8;968,6;2485,8;29,8;23,3;30;27,5;24,6;22,9;79;68;68;26;5,9;2,1;
2025/01/01;1400 UTC;0;968,5;968,8;968,5;3125,8;31;24,3;31,1;29,3;24,8;23,1;73;64;67;18;9,9;2,3;
2025/01/01;1500 UTC;0;967,7;968,5;967,7;3768,6;32,1;23,1;32,4;30,7;24,7;22,2;67;56;59;24;4,9;2,3;
2025/01/01;1600 UTC;0;966,6;967,8;966,6;3378,5;33,2;22,9;33,4;32;23,5;21,4;60;51;55;23;6,6;2,3;
2025/01/01;1700 UTC;0;965,6;966,6;965,6;3037,6;33,6;22;33,7;31,7;23,1;20,6;57;49;51;24;6,1;2,5;
2025/01/01;1800 UTC;0;965,5;965,7;965;1011,4;25,5;18,6;33,8;25,5;22,6;17,8;66;48;66;288;10,1;4,5;
2025/01/01;1900 UTC;1;964,9;966,1;964,8;100,4;25,1;22,9;25,5;23,5;24;18,8;100;66;88;150;8,2;4,2;
2025/01/01;2000 UTC;0;965,2;965,2;964,5;553,2;26,2;21,1;26,3;24,8;25,4;21;100;73;73;74;7,6;1,4;
2025/01/01;2100 UTC;0;967;967,2;965,2;228;24,7;19,5;26,5;24,7;23,2;19,5;84;66;73;286;12,3;4,1;
2025/01/01;2200 UTC;0;965,4;967,1;965,3;223,3;23,5;19,9;24,7;23,5;20,3;19,6;80;73;80;321;8,3;2,5;
