REGIAO:;S
UF:;PR
ESTACAO:;JOAQUIM TAVORA
CODIGO (WMO):;A821
LATITUDE:;-23,50527777
LONGITUDE:;-49,94638888
ALTITUDE:;512,67
DATA DE FUNDACAO:;23/11/06
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2025/01/01;0000 UTC;0;952,2;952,3;951,6;;24,6;18,2;25,6;24,6;18,5;18,1;68;64;68;212;9,8;6,4;
2025/01/01;0100 UTC;0;952,6;952,7;952,2;;23,8;18,3;24,6;23,8;18,4;18,2;72;68;71;221;9,8;4,4;
2025/01/01;0200 UTC;0;953,1;953,1;952,6;;23,4;18,8;24,1;23,3;18,8;18,2;76;70;76;219;10;5,9;
2025/01/01;0300 UTC;0;953,1;953,3;952,9;;22,7;19,3;23,4;22,6;19,4;18,8;81;76;81;210;11,5;6,9;
2025/01/01;0400 UTC;0;952,9;953,2;952,8;;22,1;19,1;22,7;22,1;19,3;19,1;83;81;83;219;11,7;7,1;
2025/01/01;0500 UTC;0;952,7;952,9;952,6;;21,9;18,9;22,1;21,8;19,1;18,9;84;83;83;220;12,1;7,8;
2025/01/01;0600 UTC;0;952,4;952,8;952,4;;21,6;18,9;22,1;21,6;18,9;18,9;85;82;85;220;13,5;6,6;
2025/01/01;0700 UTC;0;952,7;952,7;952,3;;21,2;18,5;21,6;21,2;18,9;18,5;85;84;85;213;10,9;3,8;
2025/01/01;0800 UTC;0;953,2;953,3;952,7;;20,9;18,3;21,2;20,7;18,6;18,2;86;85;85;222;7,7;,5;
2025/01/01;0900 UTC;0;953,8;953,8;953,2;28,2;21;18,1;21,1;20,5;18,3;17,8;85;83;83;224;6,9;,6;
2025/01/01;1000 UTC;0;954,8;954,8;953,8;509,1;22,4;18,5;22,6;21;19;18,1;84;78;79;216;5,9;2,3;
2025/01/01;1100 UTC;0;955,1;955,1;954,8;1329,2;24,7;19,8;24,7;22,4;19,9;18,7;80;74;74;230;7;2,6;
2025/01/01;1200 UTC;0;955,5;955,5;955,1;2110,6;25,8;20;26,1;24,3;20,7;19,2;75;69;70;230;5,4;2,4;
2025/01/01;1300 UTC;0;955,6;955,6;955,3;2613,9;26,7;20,2;27,4;25,5;21,6;19,5;73;66;68;229;6,7;1,3;
2025/01/01;1400 UTC;0;955,1;955,6;955,1;2297,6;27,5;20,6;28,1;26,5;21,9;19,9;72;65;66;223;5;1,3;
2025/01/01;1500 UTC;0;954,6;955,1;954,6;2923;28,3;21,1;29,7;27,4;22,6;20,4;68;61;65;213;4,4;1,6;
2025/01/01;1600 UTC;0;953,5;954,6;953,5;3190,8;30,6;22,2;30,8;28,3;23,1;20,4;67;59;61;235;4;1,4;
2025/01/01;1700 UTC;0;952,3;953,5;952,3;3370,8;31,9;22,6;31,9;29,8;23,4;20,7;65;54;58;219;3,5;0;
2025/01/01;1800 UTC;0;951,8;952,2;951,8;1577,1;30,4;21,1;31,9;29,9;22,2;20,4;61;54;58;208;2,1;0;
2025/01/01;1900 UTC;0;950,4;951,8;950,3;1136,9;29,7;21,4;30,9;29,7;22,3;20,4;63;55;61;223;0;0;
2025/01/01;2000 UTC;0;950,7;950,7;950,3;1350;30,6;21,5;31,3;29,7;22,2;20,2;64;54;59;223;2;0;
2025/01/01;2100 UTC;0;950,6;950,7;950,4;597,2;29,4;21,6;30,7;29,4;22,3;20,3;64;55;63;238;0;0;
2025/01/01;2200 UTC;0;952,7;952,7;950,5;109;21,9;17,6;29,4;21,9;22,5;16,1;77;58;77;221;13,9;3,4;
2025/01/01;2300 UTC;,8;952,4;952,7;952;8;21,3;18,8;21,7;18,3;18,8;15,3;87;75;86;226;20,4;3,6;
2025/01/02;0000 UTC;0;952,7;953,1;952,4;2,6;20,6;18;21,5;20,4;19,3;17,8;87;84;85;206;7,3;1,9;
2025/01/02;0100 UTC;0;953,2;953,3;952,5;4,7;21;17;21,3;20;18;16,8;86;77;78;232;7,2;1,7;
2025/01/02;0200 UTC;0;953,6;953,6;953;3,9;21,3;17,3;21,6;20,6;17,3;16,7;78;76;78;216;9,4;3,3;
2025/01/02;0300 UTC;0;953,3;954,2;953,3;;19,2;17,3;21,4;19,2;17,3;16,8;88;78;88;226;6,8;,1;
2025/01/02;0400 UTC;0;954,2;954,3;953,3;;18,9;17,4;19,5;18,6;17,6;16,8;92;88;91;225;3,3;,2;
2025/01/02;0500 UTC;0;953;954,3;953;;18,3;16,9;19;18,1;17,4;16,6;92;90;92;230;2,3;0;
2025/01/02;0600 UTC;0;952,6;953;952,4;;18,2;17;18,6;18,1;17,3;16,9;93;92;93;239;2,3;0;
2025/01/02;0700 UTC;0;952,5;952,6;952,3;;18,8;17,5;18,9;17,8;17,8;16,7;94;92;92;229;0;0;
2025/01/02;0800 UTC;0;952,7;952,7;952,2;;20,7;17,6;20,7;18,3;17,9;16,7;92;83;83;222;3,2;,3;
2025/01/02;0900 UTC;0;953,7;953,7;952,7;44,9;19,2;17,5;20,6;18,9;17,5;16,6;90;83;90;236;3,2;0;
2025/01/02;1000 UTC;0;954,3;954,4;953,7;531,9;20,3;18,4;20,3;19,2;18,5;17,4;90;88;88;236;0;0;
2025/01/02;1100 UTC;0;954,2;954,5;954,2;1336,1;22,7;19,5;22,7;20,3;20;18,3;89;82;82;219;1,4;,1;
